species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
livbul1,CN-SOUTH,1.7485909738266763,1.5614571428571427,4.7465,postbreeding_migration,0.9951,0.1114,0.145,112.0,99.51,0.7292190754377905,common,72.92190754377906,,peak_abundance_with_occupancy_days_modifiers,0.9951
swiwhe1,CN-SOUTH,1.6252325183327412,0.8891785714285714,4.0796,nonbreeding,0.9676,0.1227,0.3029,147.0,96.76,0.6777746037407533,common,67.77746037407533,,peak_abundance_with_occupancy_days_modifiers,0.9676
brbbul1,CN-SOUTH,1.4048162070585115,1.1826750802566957,3.074777757050748,resident,0.9842399325168988,0.2278295817305926,0.2766056243962275,365.0,98.42399325168988,0.5858538623411503,common,58.585386234115035,,peak_abundance_with_occupancy_days_modifiers,0.9842399325168988
rebsta1,CN-SOUTH,1.3167566984039998,0.24563214285714285,2.7313,nonbreeding,0.6082,0.0868,0.1004,112.0,60.81999999999999,0.5491301948593151,common,54.913019485931514,,peak_abundance_with_occupancy_days_modifiers,0.6082
barswa,CN-SOUTH,1.2864740258376797,1.0405714285714285,2.62,prebreeding_migration,0.9979,0.0033,0.0055,154.0,99.79,0.5365013395002651,common,53.650133950026515,,peak_abundance_with_occupancy_days_modifiers,0.9979
rewbul,CN-SOUTH,1.0491418931938135,0.5688142857142858,1.8552,resident,0.7697,0.0717,0.1464,365.0,76.97,0.43752615266197725,common,43.75261526619772,,peak_abundance_with_occupancy_days_modifiers,0.7697
whblau1,CN-SOUTH,1.0413528062071375,0.7009483289752096,1.8330469867110064,resident,0.9893617593170968,0.1506424271179702,0.2559004370699121,365.0,98.93617593170968,0.4342778510889123,common,43.42778510889123,,peak_abundance_with_occupancy_days_modifiers,0.9893617593170968
chebul1,CN-SOUTH,0.9763751499640515,0.628393945817076,1.6548154713551275,resident,0.903688950866807,0.164445070095964,0.2046553614312787,365.0,90.3688950866807,0.40718006371671545,common,40.71800637167154,,peak_abundance_with_occupancy_days_modifiers,0.903688950866807
eutspa,CN-SOUTH,0.9413345023135865,0.6963333333333334,1.5634,resident,0.6733,0.0096,0.0052,365.0,67.33,0.39256697862998763,common,39.25669786299876,,peak_abundance_with_occupancy_days_modifiers,0.6733
litegr,CN-SOUTH,0.8887550816796341,0.5116214285714286,1.4321,nonbreeding,0.5611,0.0107,0.024,84.0,56.11000000000001,0.3706396571033092,common,37.06396571033092,,peak_abundance_with_occupancy_days_modifiers,0.5611
cremyn,CN-SOUTH,0.8802904276331134,0.4486285714285713,1.4116,resident,0.9841,0.072,0.1093,365.0,98.41,0.3671096221837097,common,36.710962218370966,,peak_abundance_with_occupancy_days_modifiers,0.9841
olbsun4,CN-SOUTH,0.8528631284698244,0.35477060216981904,1.3463551602287032,resident,0.9404388714733544,0.0399892850512249,0.0507225648705157,365.0,94.04388714733544,0.35567155002333506,common,35.56715500233351,,peak_abundance_with_occupancy_days_modifiers,0.9404388714733544
chpher1,CN-SOUTH,0.8344297053938347,0.24110714285714283,1.3035,prebreeding_migration,0.9979,0.049,0.1008,147.0,99.79,0.34798421551582015,common,34.79842155158202,,peak_abundance_with_occupancy_days_modifiers,0.9979
whssta2,CN-SOUTH,0.8319956623787537,0.155425,1.2979,postbreeding_migration,0.1835,0.104,0.4455,119.0,18.35,0.3469691407364115,common,34.69691407364115,,peak_abundance_with_occupancy_days_modifiers,0.1835
olbpip,CN-SOUTH,0.8205724688151842,0.30317200000000005,1.2718,nonbreeding,0.9573,0.0557,0.0659,119.0,95.73,0.342205299006894,common,34.2205299006894,,peak_abundance_with_occupancy_days_modifiers,0.9573
spodov,CN-SOUTH,0.7876843343839343,0.4883285714285715,1.1983,resident,0.7429,0.0214,0.0236,365.0,74.29,0.3284898816555477,common,32.84898816555477,,peak_abundance_with_occupancy_days_modifiers,0.7429
whiwag,CN-SOUTH,0.7582792754977276,0.5228178571428571,1.1346,nonbreeding,0.943,0.0181,0.0109,112.0,94.3,0.31622701962826216,common,31.622701962826216,,peak_abundance_with_occupancy_days_modifiers,0.943
