species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
recpoc,CN-WEST,1.5853910912755473,0.7016312499999999,3.8812,postbreeding_migration,0.6928,0.1559,0.347,77.0,69.28,0.6611594381373371,common,66.11594381373371,,peak_abundance_with_occupancy_days_modifiers,0.6928
mallar3,CN-WEST,1.314261158220059,0.71185625,2.722,postbreeding_migration,0.6045,0.0469,0.0346,126.0,60.45,0.548089473768511,common,54.8089473768511,,peak_abundance_with_occupancy_days_modifiers,0.6045
eutspa,CN-WEST,1.2886264039417321,1.2551750000000002,2.6278,resident,0.7394,0.0646,0.0467,365.0,73.94,0.5373989508882473,common,53.73989508882473,,peak_abundance_with_occupancy_days_modifiers,0.7394
eurcoo,CN-WEST,1.2647762336847612,0.42265624999999996,2.5423,postbreeding_migration,0.3443,0.0527,0.0413,154.0,34.43,0.5274526573501074,common,52.74526573501074,,peak_abundance_with_occupancy_days_modifiers,0.3443
twite1,CN-WEST,1.1717698092858362,0.54250625,2.2277,nonbreeding,0.9094,0.1862,0.2843,70.0,90.94,0.48866596576520527,common,48.86659657652053,,peak_abundance_with_occupancy_days_modifiers,0.9094
gnwtea,CN-WEST,1.0904793054379207,0.3515857142857143,1.9757,postbreeding_migration,0.4006,0.026,0.0177,119.0,40.06,0.4547651925454272,common,45.476519254542715,,peak_abundance_with_occupancy_days_modifiers,0.4006
comcra,CN-WEST,1.0575124777826839,0.31589,1.8792,nonbreeding,0.1292,0.0485,0.0122,105.0,12.920000000000002,0.44101695757069276,common,44.10169575706927,,peak_abundance_with_occupancy_days_modifiers,0.1292
eurwig,CN-WEST,1.0290835593492773,0.2661428571428572,1.7985,postbreeding_migration,0.3844,0.0008,0.0008,49.0,38.440000000000005,0.4291611777308043,common,42.91611777308043,,peak_abundance_with_occupancy_days_modifiers,0.3844
barswa,CN-WEST,0.941256477891903,0.32241875,1.5632,postbreeding_migration,0.6811,0.0218,0.029,154.0,68.11,0.39253443991882353,common,39.25344399188235,,peak_abundance_with_occupancy_days_modifiers,0.6811
rebcho1,CN-WEST,0.9079762622700698,1.024375,1.4793,resident,0.7298,0.1676,0.1896,365.0,72.98,0.3786555120109359,common,37.86555120109359,,peak_abundance_with_occupancy_days_modifiers,0.7298
horlar,CN-WEST,0.8585768696836817,0.5433,1.3598,postbreeding_migration,0.9257,,,,92.57,0.35805436518572925,common,35.805436518572925,,peak_abundance_with_occupancy_days_modifiers,0.9257
blakit1,CN-WEST,0.8070114367089924,0.3763307692307692,1.2412,postbreeding_migration,0.8233,0.0496,0.0838,84.0,82.33,0.33654990935746787,common,33.65499093574679,,peak_abundance_with_occupancy_days_modifiers,0.8233
brambl,CN-WEST,0.745739630679116,0.23580833333333331,1.108,postbreeding_migration,0.9517,0.0394,0.0251,98.0,95.17,0.31099758156194596,common,31.099758156194596,,peak_abundance_with_occupancy_days_modifiers,0.9517
grecor,CN-WEST,0.6943464611354274,0.27436875,1.0024,postbreeding_migration,0.5131,0.0521,0.0452,98.0,51.31,0.28956496516426977,common,28.956496516426977,,peak_abundance_with_occupancy_days_modifiers,0.5131
compoc,CN-WEST,0.6577272353286849,0.23328333333333331,0.9304,postbreeding_migration,0.3016,0.0812,0.0918,112.0,30.159999999999997,0.2742935618539795,fairly_common,27.429356185397953,,peak_abundance_with_occupancy_days_modifiers,0.3016
gadwal,CN-WEST,0.6571572428267901,0.1979,0.9293,postbreeding_migration,0.2467,0.0391,0.0277,112.0,24.67,0.2740558565178204,fairly_common,27.40558565178204,,peak_abundance_with_occupancy_days_modifiers,0.2467
comswi,CN-WEST,0.643799360929606,0.3029181818181818,0.9037,breeding,0.9267,0.0883,0.0619,70.0,92.67,0.26848518708587504,fairly_common,26.848518708587505,,peak_abundance_with_occupancy_days_modifiers,0.9267
skylar,CN-WEST,0.6424852657577174,0.28983749999999997,0.9012,postbreeding_migration,0.7393,0.053,0.0448,126.0,73.92999999999999,0.26793716683378327,fairly_common,26.793716683378328,,peak_abundance_with_occupancy_days_modifiers,0.7393
gragoo,CN-WEST,0.632335041163188,0.30314615384615384,0.882,breeding,0.3433,0.119,0.1003,91.0,34.33,0.2637041943976335,fairly_common,26.37041943976335,,peak_abundance_with_occupancy_days_modifiers,0.3433
banswa,CN-WEST,0.6320693310513549,0.11135,0.8815,postbreeding_migration,0.5738,,,,57.379999999999995,0.2635933846742701,fairly_common,26.359338467427012,,peak_abundance_with_occupancy_days_modifiers,0.5738
whiwag,CN-WEST,0.5942656309998281,0.33835,0.8117,postbreeding_migration,1.0,0.0442,0.0349,112.0,100.0,0.24782801723709708,fairly_common,24.782801723709706,,peak_abundance_with_occupancy_days_modifiers,1.0
litbun,CN-WEST,0.5887306636395174,0.20373333333333335,0.8017,postbreeding_migration,0.9999,0.0646,0.0518,21.0,99.99,0.24551975656237146,rare,24.551975656237147,rare,peak_abundance_with_occupancy_days_modifiers,0.9999
eursta,CN-WEST,0.567413875094182,0.30404,0.7637,breeding,0.4936,0.0403,0.0136,140.0,49.36,0.23662996525782526,fairly_common,23.662996525782525,,peak_abundance_with_occupancy_days_modifiers,0.4936
whwter,CN-WEST,0.5350303124628081,0.22152499999999997,0.7075,breeding,0.2809,0.0719,0.0774,91.0,28.09,0.22312497069082657,fairly_common,22.312497069082657,,peak_abundance_with_occupancy_days_modifiers,0.2809
fotswi,CN-WEST,0.5269154849149386,0.27636666666666665,0.6937,breeding,0.7492,,,,74.92,0.21974082475254317,fairly_common,21.974082475254317,,peak_abundance_with_occupancy_days_modifiers,0.7492
renpha,CN-WEST,0.5092243423990168,0.1869,0.664,prebreeding_migration,0.0194,,,,1.94,0.21236304528210123,rare,21.236304528210123,rare,peak_abundance_with_occupancy_days_modifiers,0.0194
norlap,CN-WEST,0.49048004910056053,0.15541999999999997,0.6331,postbreeding_migration,0.2508,0.0308,0.0211,133.0,25.080000000000002,0.20454606782228849,fairly_common,20.454606782228847,,peak_abundance_with_occupancy_days_modifiers,0.2508
bahgoo,CN-WEST,0.4808817473929186,0.1842125,0.6175,breeding,0.2526,0.0979,0.0304,105.0,25.259999999999998,0.2005432651075392,fairly_common,20.05432651075392,,peak_abundance_with_occupancy_days_modifiers,0.2526
whoswa,CN-WEST,0.47306144934497346,0.12709285714285715,0.6049,nonbreeding,0.5887,0.0477,0.0341,35.0,58.87,0.19728194751095424,fairly_common,19.728194751095423,,peak_abundance_with_occupancy_days_modifiers,0.5887
himgri1,CN-WEST,0.4688779959582253,0.291525,0.5982,resident,0.6978,0.2235,0.2753,365.0,69.78,0.19553731194066676,common,19.553731194066675,,peak_abundance_with_occupancy_days_modifiers,0.6978
bkhgul,CN-WEST,0.4435954834694318,0.1640090909090909,0.5583,postbreeding_migration,0.2313,0.0368,0.0293,126.0,23.13,0.18499368529625185,fairly_common,18.499368529625183,,peak_abundance_with_occupancy_days_modifiers,0.2313
grcgre1,CN-WEST,0.4304178494637408,0.11108571428571432,0.5379,postbreeding_migration,0.2822,0.0551,0.0841,112.0,28.22,0.17949818507354506,fairly_common,17.949818507354507,,peak_abundance_with_occupancy_days_modifiers,0.2822
blared1,CN-WEST,0.4287909334116611,0.14813636363636362,0.5354,breeding,0.8803,0.0861,0.1794,119.0,88.03,0.1788197083816998,fairly_common,17.88197083816998,,peak_abundance_with_occupancy_days_modifiers,0.8803
origre,CN-WEST,0.4133009938759393,0.10879166666666666,0.5118,prebreeding_migration,0.5915,0.0394,0.034,70.0,59.150000000000006,0.17235990185410074,fairly_common,17.235990185410074,,peak_abundance_with_occupancy_days_modifiers,0.5915
tufduc,CN-WEST,0.3840371606945439,0.09775625,0.4682,postbreeding_migration,0.2086,0.0804,0.0527,91.0,20.86,0.1601559355202232,fairly_common,16.01559355202232,,peak_abundance_with_occupancy_days_modifiers,0.2086
rinphe1,CN-WEST,0.36325325929885494,0.137775,0.438,resident,0.6122,0.0384,0.0367,365.0,61.22,0.1514883754180533,common,15.14883754180533,,peak_abundance_with_occupancy_days_modifiers,0.6122
commer,CN-WEST,0.3554341745025994,0.12841249999999998,0.4268,nonbreeding,0.3054,0.0629,0.0316,49.0,30.54,0.14822756378672192,fairly_common,14.822756378672192,,peak_abundance_with_occupancy_days_modifiers,0.3054
carcro1,CN-WEST,0.35065687161316933,0.14651875,0.42,nonbreeding,0.5301,0.042,0.0235,105.0,53.010000000000005,0.1462352737381849,fairly_common,14.62352737381849,,peak_abundance_with_occupancy_days_modifiers,0.5301
orimag1,CN-WEST,0.33968136756216133,0.21805000000000002,0.4045,resident,0.3863,0.0531,0.0232,365.0,38.629999999999995,0.14165813303670655,fairly_common,14.165813303670655,,peak_abundance_with_occupancy_days_modifiers,0.3863
bnhgul1,CN-WEST,0.3069698613590652,0.06758125000000001,0.3593,postbreeding_migration,0.6894,0.3814,0.4987,126.0,68.94,0.12801637537774027,fairly_common,12.801637537774027,,peak_abundance_with_occupancy_days_modifiers,0.6894
orisky1,CN-WEST,0.3005489381586045,0.06371249999999999,0.3506,prebreeding_migration,0.7471,0.135,0.3761,105.0,74.71,0.12533864242030074,fairly_common,12.533864242030074,,peak_abundance_with_occupancy_days_modifiers,0.7471
graher1,CN-WEST,0.29594781686881355,0.10355714285714286,0.3444,postbreeding_migration,0.5067,0.0269,0.0347,140.0,50.67,0.12341982580558623,fairly_common,12.341982580558623,,peak_abundance_with_occupancy_days_modifiers,0.5067
citwag,CN-WEST,0.2835234373029219,0.13665624999999998,0.3278,postbreeding_migration,0.9408,0.0893,0.1301,105.0,94.08,0.11823845708325985,fairly_common,11.823845708325985,,peak_abundance_with_occupancy_days_modifiers,0.9408
