species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
comcra,CN,1.9981239664474701,3.5210237857991427,6.3752069765385055,nonbreeding,0.1429137342581536,0.3948945898704926,0.6053451581189866,98.0,14.29137342581536,0.8332824160896889,abundant,83.3282416089689,,peak_abundance_with_occupancy_days_modifiers,0.1429137342581536
gwfgoo,CN,1.7853659145286729,4.776463611093674,4.9617610434932,postbreeding_migration,0.1153432583537819,0.1807940231152246,0.1801737658412154,91.0,11.53432583537819,0.744555416903229,common,74.4555416903229,,peak_abundance_with_occupancy_days_modifiers,0.1153432583537819
dunlin,CN,1.7617043756955657,2.2951348710487123,4.822352418492469,prebreeding_migration,0.0432532218370706,0.1249828517323658,0.4467749530412752,154.0,4.32532218370706,0.7346877887788805,rare,73.46877887788806,rare,peak_abundance_with_occupancy_days_modifiers,0.0432532218370706
tunbeg1,CN,1.5998129315123515,3.000564319894229,3.9521059547695465,postbreeding_migration,0.1924659288860656,0.5343691981847475,0.5369623449673785,84.0,19.24659288860656,0.6671738126600298,common,66.71738126600299,,peak_abundance_with_occupancy_days_modifiers,0.1924659288860656
eutspa,CN,1.5919237664153405,3.913191675732159,3.913191675732159,resident,0.4017980641798673,0.3900142304467497,0.620825089799281,365.0,40.17980641798673,0.6638837752732828,common,66.38837752732827,,peak_abundance_with_occupancy_days_modifiers,0.4017980641798673
bktgul,CN,1.5569757399475048,1.4793504498766405,3.74445107267113,breeding,0.0592910265272312,0.35711083741841,0.4086563137269598,175.0,5.92910265272312,0.6493093162198433,common,64.93093162198433,,peak_abundance_with_occupancy_days_modifiers,0.0592910265272312
grekno,CN,1.1280123742742088,0.9797813999333006,2.089509604514464,prebreeding_migration,0.0379185664223477,0.4182763758722533,0.6194206109410024,98.0,3.79185664223477,0.4704176979997152,rare,47.04176979997152,rare,peak_abundance_with_occupancy_days_modifiers,0.0379185664223477
redkno,CN,1.0890160424891915,1.0596958772826313,1.971348952583053,prebreeding_migration,0.0322240947164167,0.1382581020993466,0.793174732223186,70.0,3.22240947164167,0.4541549644986362,rare,45.41549644986362,rare,peak_abundance_with_occupancy_days_modifiers,0.0322240947164167
barswa,CN,1.0543403175571808,1.0629114529803636,1.8700811870931149,postbreeding_migration,0.3820725730645795,0.1401877310527693,0.1762428340117063,154.0,38.20725730645795,0.4396940640058704,common,43.96940640058704,,peak_abundance_with_occupancy_days_modifiers,0.3820725730645795
livbul1,CN,1.0414411314469987,1.498050845294442,1.8332972273167636,nonbreeding,0.3610882150503053,0.9766530523544276,0.9754555275417672,112.0,36.108821505030534,0.43431468557491476,common,43.43146855749148,,peak_abundance_with_occupancy_days_modifiers,0.3610882150503053
orimag1,CN,1.025398656332722,1.7882067753227209,1.7882067753227209,resident,0.4155228802443869,0.915269717003498,0.9307356056764048,365.0,41.55228802443869,0.42762445381364395,common,42.762445381364394,,peak_abundance_with_occupancy_days_modifiers,0.4155228802443869
taibeg1,CN,0.9428547629997064,1.19105,1.5673,prebreeding_migration,0.1672,,,,16.72,0.39320097657950853,common,39.32009765795085,,peak_abundance_with_occupancy_days_modifiers,0.1672
mallar3,CN,0.9312261982318596,0.825589768437211,1.5376188944650937,nonbreeding,0.0496854235170042,0.1807959063858921,0.1972740171389473,154.0,4.96854235170042,0.3883514884055416,rare,38.83514884055416,rare,peak_abundance_with_occupancy_days_modifiers,0.0496854235170042
grcter1,CN,0.893141667796473,0.7236255835385202,1.4427920497484383,breeding,0.0296185532047097,0.019075592279388,0.2004949086391474,140.0,2.96185532047097,0.37246900560180285,rare,37.246900560180286,rare,peak_abundance_with_occupancy_days_modifiers,0.0296185532047097
brambl,CN,0.8623767815643312,0.7141549573176418,1.3687840906219502,postbreeding_migration,0.3907784800886378,0.226921187509706,0.4646894817096241,112.0,39.07784800886378,0.3596390515245179,common,35.963905152451794,,peak_abundance_with_occupancy_days_modifiers,0.3907784800886378
horlar,CN,0.8111184529152077,0.7241662069051549,1.2504235724371655,postbreeding_migration,0.3227310252805777,0.2087937430566331,0.2754797540091299,98.0,32.27310252805777,0.33826266814756406,common,33.82626681475641,,peak_abundance_with_occupancy_days_modifiers,0.3227310252805777
batgod,CN,0.8092012178130293,0.5295696722206067,1.2461131147700537,prebreeding_migration,0.0369249101791071,0.1099642166919718,0.4865961143185848,112.0,3.69249101791071,0.33746311900798004,rare,33.746311900798005,rare,peak_abundance_with_occupancy_days_modifiers,0.0369249101791071
spbduc,CN,0.7979402988841522,0.7614407904898772,1.2209616969017942,nonbreeding,0.064002252390726,0.8538240333362163,0.7794975632954838,133.0,6.400225239072601,0.3327669510574358,common,33.276695105743585,,peak_abundance_with_occupancy_days_modifiers,0.064002252390726
laplon,CN,0.7961409518424394,0.7138622457719563,1.2169690092353307,nonbreeding,0.1772302489079866,0.1545546805750035,0.1411549562923409,56.0,17.723024890798662,0.33201656505762817,common,33.20165650576282,,peak_abundance_with_occupancy_days_modifiers,0.1772302489079866
recpoc,CN,0.7790037243196284,0.34859999999999997,1.1793,postbreeding_migration,0.2674,0.3484,0.6103,77.0,26.740000000000002,0.32486978608140893,common,32.486978608140895,,peak_abundance_with_occupancy_days_modifiers,0.2674
