species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
soumar,CO,2.046267599283227,4.654118217838298,6.738962225993754,nonbreeding,0.0197804824811802,0.0756056838237343,0.0764245650315045,105.0,1.97804824811802,0.8533598704230353,rare,85.33598704230353,rare,peak_abundance_with_occupancy_days_modifiers,0.0197804824811802
bbwduc,CO,1.1712113331523175,1.4633705870855327,2.225897909842852,nonbreeding,0.3217609753283152,0.100413558671293,0.1775366960077477,119.0,32.17609753283152,0.4884330631276906,common,48.84330631276906,,peak_abundance_with_occupancy_days_modifiers,0.3217609753283152
categr1,CO,1.129474788222766,1.8313377571344986,2.094031051762251,prebreeding_migration,0.3626404584443675,0.0446504672255711,0.07285785366462,140.0,36.26404584443675,0.4710275719859342,common,47.10275719859342,,peak_abundance_with_occupancy_days_modifiers,0.3626404584443675
dickci,CO,0.9658634138018355,0.5665362696074473,1.6270549130135066,postbreeding_migration,0.2350034782404747,0.1120578159832807,0.0981326753872689,70.0,23.50034782404747,0.4027963292469658,common,40.27963292469658,,peak_abundance_with_occupancy_days_modifiers,0.2350034782404747
blkvul,CO,0.831889467256938,1.2976559871862945,1.2976559871862945,resident,0.5258080326351187,0.0498776521488261,0.0793113536034706,365.0,52.58080326351187,0.346924853930803,common,34.692485393080304,,peak_abundance_with_occupancy_days_modifiers,0.5258080326351187
brtpar1,CO,0.7862400907203205,1.195127410701733,1.195127410701733,resident,0.3982570306506123,0.3668175021025595,0.3695801772452831,365.0,39.82570306506123,0.32788758526671163,common,32.78875852667117,,peak_abundance_with_occupancy_days_modifiers,0.3982570306506123
trokin,CO,0.7705913651409104,1.0117766460463649,1.161043841983248,prebreeding_migration,0.8894399279310252,0.1012015130392629,0.17708210606171,126.0,88.94399279310252,0.3213615598155884,common,32.13615598155884,,peak_abundance_with_occupancy_days_modifiers,0.8894399279310252
smbani,CO,0.734418435881071,1.0842695036117056,1.0842695036117056,resident,0.543278926548172,0.0752137109821615,0.0883579145575695,365.0,54.3278926548172,0.30627627662153756,common,30.627627662153756,,peak_abundance_with_occupancy_days_modifiers,0.543278926548172
bafibi1,CO,0.6910139285152989,0.9957380434407423,0.9957380434407423,resident,0.3757319954989409,0.1920524011637636,0.2047736811518683,365.0,37.573199549894085,0.28817519111619827,fairly_common,28.817519111619827,,peak_abundance_with_occupancy_days_modifiers,0.3757319954989409
fotfly,CO,0.6474765987444845,0.6300144925762002,0.910713244409156,nonbreeding,0.3716352802065396,0.2823082056505567,0.2578191679626162,119.0,37.163528020653956,0.2700187143656495,fairly_common,27.00187143656495,,peak_abundance_with_occupancy_days_modifiers,0.3716352802065396
