species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
turvul,CR,1.6265309898602778,2.135975,4.0862,postbreeding_migration,0.9966,0.0027,0.0095,126.0,99.66000000000001,0.6783161084270782,common,67.83161084270782,,peak_abundance_with_occupancy_days_modifiers,0.9966
buwtea,CR,1.6058916318074405,2.373666666666667,3.9823,nonbreeding,0.1521,0.011,0.0917,147.0,15.21,0.6697088275808422,common,66.97088275808422,,peak_abundance_with_occupancy_days_modifiers,0.1521
blkvul,CR,1.3207686862396832,2.7463,2.7463,resident,0.9766,0.0031,0.0082,365.0,97.66,0.5508033237407951,common,55.08033237407951,,peak_abundance_with_occupancy_days_modifiers,0.9766
categr1,CR,1.1665420602224177,1.6288846990138701,2.210870423078944,nonbreeding,0.4748648287072879,0.0026700474573756,0.0035043520591431,140.0,47.48648287072879,0.4864858250715219,common,48.64858250715219,,peak_abundance_with_occupancy_days_modifiers,0.4748648287072879
bbwduc,CR,1.1315311354252193,1.603475,2.1004,prebreeding_migration,0.2951,0.0046,0.0149,161.0,29.509999999999998,0.47188513537737187,common,47.18851353773719,,peak_abundance_with_occupancy_days_modifiers,0.2951
orcpar,CR,1.0387915103495704,1.8258,1.8258,resident,0.7445,0.0626,0.122,365.0,74.45,0.43320970775228607,common,43.32097077522861,,peak_abundance_with_occupancy_days_modifiers,0.7445
barswa,CR,0.8231222569816907,0.7375750000000001,1.2776,postbreeding_migration,0.6003,0.0005,0.0005,154.0,60.029999999999994,0.3432686432635975,common,34.326864326359754,,peak_abundance_with_occupancy_days_modifiers,0.6003
swahaw,CR,0.7610861635681382,0.6176666666666667,1.1406,prebreeding_migration,0.8808,0.0316,0.064,112.0,88.08,0.31739758287272574,common,31.739758287272572,,peak_abundance_with_occupancy_days_modifiers,0.8808
grekis,CR,0.6991292522374928,1.012,1.012,resident,0.8224,0.0036,0.0051,365.0,82.24000000000001,0.2915595439752467,common,29.15595439752467,,peak_abundance_with_occupancy_days_modifiers,0.8224
clcrob,CR,0.6849637877519259,0.9837,0.9837,resident,0.9283,0.0567,0.0748,365.0,92.83,0.2856520864451955,common,28.56520864451955,,peak_abundance_with_occupancy_days_modifiers,0.9283
trokin,CR,0.6826927226560864,0.862675,0.9792,nonbreeding,0.8785,0.0035,0.007,119.0,87.85,0.28470497873719747,fairly_common,28.470497873719747,,peak_abundance_with_occupancy_days_modifiers,0.8785
grtgra,CR,0.6774750111656497,0.906275,0.9689,prebreeding_migration,0.5805,0.0285,0.018,126.0,58.050000000000004,0.28252902403657887,fairly_common,28.252902403657888,,peak_abundance_with_occupancy_days_modifiers,0.5805
brwhaw,CR,0.6674190319872141,0.6421333333333333,0.9492,prebreeding_migration,0.8915,0.0468,0.091,98.0,89.14999999999999,0.27833535499168344,fairly_common,27.833535499168345,,peak_abundance_with_occupancy_days_modifiers,0.8915
y00599,CR,0.659745503925915,0.9343,0.9343,resident,0.6114,0.1668,0.3125,365.0,61.14000000000001,0.2751352452336188,common,27.51352452336188,,peak_abundance_with_occupancy_days_modifiers,0.6114
varsee3,CR,0.6559643894322293,0.927,0.927,resident,0.7151,0.0777,0.1536,365.0,71.50999999999999,0.2735583980140682,common,27.355839801406823,,peak_abundance_with_occupancy_days_modifiers,0.7151
crfpar,CR,0.6484635729333053,0.9126,0.9126,resident,0.5688,0.2708,0.3971,365.0,56.879999999999995,0.2704303145718874,common,27.04303145718874,,peak_abundance_with_occupancy_days_modifiers,0.5688
brnpel,CR,0.6391660666934318,0.66115,0.8949,nonbreeding,0.098,0.0207,0.0287,161.0,9.8,0.26655295331039114,fairly_common,26.655295331039113,,peak_abundance_with_occupancy_days_modifiers,0.098
