species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
turvul,CU,1.9707976089938901,5.616791940440919,6.176398165933413,nonbreeding,0.8950020709650697,0.007408630697617,0.0388754040626223,119.0,89.50020709650697,0.8218864398919087,abundant,82.18864398919087,,peak_abundance_with_occupancy_days_modifiers,0.8950020709650697
categr1,CU,1.7443533055903926,3.7118521744250224,4.722199764014233,nonbreeding,0.7867596299875742,0.0105121696557372,0.0177864843070427,140.0,78.67596299875743,0.7274518305191505,common,72.74518305191505,,peak_abundance_with_occupancy_days_modifiers,0.7867596299875742
gragra1,CU,1.6450679927154037,4.181362189856813,4.181362189856813,resident,0.8856136959823278,0.6998527085265397,0.8451889879305198,365.0,88.56136959823277,0.6860466390575894,common,68.60466390575894,,peak_abundance_with_occupancy_days_modifiers,0.8856136959823278
moudov,CU,1.4446940066882645,2.5162929249810393,3.2405543630014595,breeding,0.8622117906944636,0.0215218726874153,0.0160375036324928,112.0,86.22117906944636,0.602484196485483,common,60.2484196485483,,peak_abundance_with_occupancy_days_modifiers,0.8622117906944636
yefgra1,CU,1.3839967450580883,2.990820085750431,2.990820085750431,resident,0.8356344056330249,0.1488710153482881,0.4747019704855383,365.0,83.56344056330249,0.5771714723149475,common,57.71714723149475,,peak_abundance_with_occupancy_days_modifiers,0.8356344056330249
smbani,CU,1.3632982062312466,2.909064965854302,2.909064965854302,resident,0.8464724561645727,0.0133737169706164,0.0270537064695846,365.0,84.64724561645727,0.5685395111690021,common,56.85395111690021,,peak_abundance_with_occupancy_days_modifiers,0.8464724561645727
cogdov,CU,1.351699969771307,2.148540285116093,2.8639886144356552,breeding,0.8518569653458512,0.0454329812132329,0.2649445663022776,147.0,85.18569653458512,0.5637026708818096,common,56.37026708818096,,peak_abundance_with_occupancy_days_modifiers,0.8518569653458512
grykin,CU,1.234311148580704,1.103065589693288,2.436010804377063,breeding,0.8927930415573657,0.462686033199771,0.4896320545771893,91.0,89.27930415573657,0.5147477300542191,common,51.474773005421916,,peak_abundance_with_occupancy_days_modifiers,0.8927930415573657
palwar,CU,1.2167014543741836,1.3458809814832435,2.376033347078932,nonbreeding,0.9024575452160708,0.148208192093598,0.3189818504704326,126.0,90.24575452160708,0.5074039171670243,common,50.740391716702426,,peak_abundance_with_occupancy_days_modifiers,0.9024575452160708
cubbla,CU,1.2055797064389522,2.338693979573447,2.338693979573447,resident,0.8442634267568687,1.0,1.0,365.0,84.42634267568687,0.5027657880287771,common,50.276578802877715,,peak_abundance_with_occupancy_days_modifiers,0.8442634267568687
normoc,CU,1.1042059796739856,1.7837107325814063,2.0168280947203057,breeding,0.8548253486124534,0.0321360224142005,0.0684515747238054,112.0,85.48253486124534,0.4604896603283949,common,46.04896603283949,,peak_abundance_with_occupancy_days_modifiers,0.8548253486124534
treswa,CU,1.0294097718404194,0.8088839165266611,1.7994130545732678,nonbreeding,0.3441625422516859,0.0926997245179063,0.0296746689014148,105.0,34.41625422516859,0.42929721890609784,common,42.929721890609784,,peak_abundance_with_occupancy_days_modifiers,0.3441625422516859
