species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
categr1,CV,1.520176424329855,2.8511191630838377,3.5730319180688412,nonbreeding,0.4624659923495763,0.00024283672675781795,0.000442295925768567,98.0,46.24659923495763,0.6339628096250391,common,63.396280962503916,,peak_abundance_with_occupancy_days_modifiers,0.4624659923495763
caster1,CV,1.3270219496548192,0.9509333333333333,2.7698,nonbreeding,0.2114,0.0011,0.0171,105.0,21.14,0.5534111371370151,common,55.3411137137015,,peak_abundance_with_occupancy_days_modifiers,0.2114
grecor,CV,1.11425595265613,0.9244,2.0473,nonbreeding,0.2015,0.0002,0.001,98.0,20.150000000000002,0.46468082459488763,common,46.46808245948876,,peak_abundance_with_occupancy_days_modifiers,0.2015
rocpig,CV,1.004741073058039,1.7312,1.7312,resident,0.5773,0.0002,0.0002,365.0,57.730000000000004,0.41900957245955744,common,41.900957245955745,,peak_abundance_with_occupancy_days_modifiers,0.5773
helgui,CV,0.8507323577701981,1.341360938063057,1.341360938063057,resident,0.7266187050359713,0.0005831386330306657,0.0004648571809712894,365.0,72.66187050359713,0.3547829496228932,common,35.47829496228932,,peak_abundance_with_occupancy_days_modifiers,0.7266187050359713
spaspa1,CV,0.8344297053938347,1.18375,1.3035,breeding,0.288,,,,28.799999999999997,0.34798421551582015,common,34.79842155158202,,peak_abundance_with_occupancy_days_modifiers,0.288
grwpel1,CV,0.8056719714017897,0.72905,1.2382,nonbreeding,0.1965,0.0005,0.0034,77.0,19.650000000000002,0.3359913089371753,common,33.59913089371753,,peak_abundance_with_occupancy_days_modifiers,0.1965
santer1,CV,0.7008673035750834,0.356025,1.0155,nonbreeding,0.309,0.0063,0.0167,91.0,30.9,0.29228436768098026,common,29.228436768098025,,peak_abundance_with_occupancy_days_modifiers,0.309
yelgul1,CV,0.6378987063294668,0.8925,0.8925,nonbreeding,0.246,0.0025,0.0016,28.0,24.6,0.26602442298701057,rare,26.602442298701057,rare,peak_abundance_with_occupancy_days_modifiers,0.246
rudtur,CV,0.599989682073696,0.7011666666666668,0.8221,nonbreeding,0.5587,0.0058,0.0094,119.0,55.87,0.25021513194506667,fairly_common,25.021513194506667,,peak_abundance_with_occupancy_days_modifiers,0.5587
sander,CV,0.5851721388946461,0.6443,0.7953,prebreeding_migration,0.4932,0.0048,0.004,77.0,49.32,0.2440357364780755,fairly_common,24.40357364780755,,peak_abundance_with_occupancy_days_modifiers,0.4932
kenplo1,CV,0.5801464414727018,0.52835,0.7863,nonbreeding,0.6057,0.001,0.0016,98.0,60.57,0.24193985786362737,fairly_common,24.193985786362738,,peak_abundance_with_occupancy_days_modifiers,0.6057
bkwsti,CV,0.5156340447582954,0.4825333333333333,0.6747,nonbreeding,0.2806,0.0002,0.0004,84.0,28.060000000000002,0.21503609878530883,fairly_common,21.50360987853088,,peak_abundance_with_occupancy_days_modifiers,0.2806
comwax,CV,0.45381072903844627,0.5743,0.5743,resident,0.1125,0.0001,0.0016,365.0,11.25,0.1892537735848839,fairly_common,18.92537735848839,,peak_abundance_with_occupancy_days_modifiers,0.1125
comter,CV,0.44288933675416364,0.2475,0.5572,postbreeding_migration,0.2608,0.0002,0.0004,126.0,26.08,0.18469919924288716,fairly_common,18.469919924288718,,peak_abundance_with_occupancy_days_modifiers,0.2608
blackc1,CV,0.44179703735555464,0.33886666666666665,0.5555,prebreeding_migration,0.4129,0.0003,0.0009,63.0,41.29,0.184243675012534,fairly_common,18.4243675012534,,peak_abundance_with_occupancy_days_modifiers,0.4129
litegr,CV,0.33804243179073024,0.3745,0.4022,nonbreeding,0.4153,0.0003,0.0003,42.0,41.53,0.14097464373255592,fairly_common,14.097464373255592,,peak_abundance_with_occupancy_days_modifiers,0.4153
eurspo1,CV,0.31947139494118826,0.26043333333333335,0.3764,postbreeding_migration,0.2843,0.0012,0.001,77.0,28.43,0.13322991982396362,fairly_common,13.322991982396362,,peak_abundance_with_occupancy_days_modifiers,0.2843
eucdov,CV,0.3132036096818586,0.3678,0.3678,resident,0.2398,0.0001,0.0001,365.0,23.98,0.13061605034833168,fairly_common,13.061605034833168,,peak_abundance_with_occupancy_days_modifiers,0.2398
corplo,CV,0.2969143237653587,0.195525,0.3457,prebreeding_migration,0.6415,0.0032,0.0043,77.0,64.14999999999999,0.12382289048798041,fairly_common,12.382289048798041,,peak_abundance_with_occupancy_days_modifiers,0.6415
litter1,CV,0.29363929292590757,0.17195,0.3413,nonbreeding,0.2781,0.0039,0.0051,91.0,27.810000000000002,0.12245709654501599,fairly_common,12.2457096545016,,peak_abundance_with_occupancy_days_modifiers,0.2781
lbbgul,CV,0.2697217470747881,0.19479999999999997,0.3096,postbreeding_migration,0.2386,0.0005,0.001,105.0,23.86,0.11248270520172461,fairly_common,11.248270520172461,,peak_abundance_with_occupancy_days_modifiers,0.2386
eurkes,CV,0.2639015437863775,0.26166666666666666,0.302,postbreeding_migration,0.5142,0.0001,0.0004,77.0,51.42,0.11005549190578347,fairly_common,11.005549190578346,,peak_abundance_with_occupancy_days_modifiers,0.5142
blkter,CV,0.25456469598895337,0.0977,0.2899,postbreeding_migration,0.2324,0.0004,0.0013,119.0,23.24,0.10616172394045949,fairly_common,10.616172394045948,,peak_abundance_with_occupancy_days_modifiers,0.2324
banswa,CV,0.24959072132905802,0.09749999999999999,0.2835,nonbreeding,0.2002,,,,20.02,0.10408741539315974,fairly_common,10.408741539315974,,peak_abundance_with_occupancy_days_modifiers,0.2002
graher1,CV,0.23230148909897538,0.18912500000000002,0.2615,nonbreeding,0.3548,0.0001,0.0002,63.0,35.480000000000004,0.09687724553035922,fairly_common,9.687724553035922,,peak_abundance_with_occupancy_days_modifiers,0.3548
comgre,CV,0.17580033980368912,0.1041,0.1922,prebreeding_migration,0.4302,0.0004,0.0008,133.0,43.02,0.07331443612152755,uncommon,7.331443612152755,,peak_abundance_with_occupancy_days_modifiers,0.4302
comsan,CV,0.1354919694371567,0.1377,0.1451,nonbreeding,0.5377,0.0002,0.0003,98.0,53.769999999999996,0.05650454003315834,uncommon,5.650454003315835,,peak_abundance_with_occupancy_days_modifiers,0.5377
sabgul,CV,0.12504548897422443,0.1332,0.1332,postbreeding_migration,0.2077,,,,20.77,0.05214801930373503,uncommon,5.214801930373502,,peak_abundance_with_occupancy_days_modifiers,0.2077
bkbplo,CV,0.12354418609145502,0.052175,0.1315,nonbreeding,0.2287,0.0025,0.0009,112.0,22.869999999999997,0.051521927372281576,uncommon,5.152192737228158,,peak_abundance_with_occupancy_days_modifiers,0.2287
palswi3,CV,0.12292534683729822,0.0916,0.1308,postbreeding_migration,0.5117,,,,51.17,0.051263851358213396,uncommon,5.12638513582134,,peak_abundance_with_occupancy_days_modifiers,0.5117
cursan,CV,0.1084058738437865,0.06213333333333334,0.1145,nonbreeding,0.1965,0.0021,0.0012,126.0,19.650000000000002,0.04520876081350945,uncommon,4.520876081350945,,peak_abundance_with_occupancy_days_modifiers,0.1965
gloibi,CV,0.10696922099724239,0.09050000000000001,0.1129,prebreeding_migration,0.2089,,,,20.89,0.044609630041268694,uncommon,4.460963004126869,,peak_abundance_with_occupancy_days_modifiers,0.2089
osprey,CV,0.10642994361584655,0.0752,0.1123,nonbreeding,0.5019,0.0006,0.0017,147.0,50.19,0.044384733905264206,uncommon,4.43847339052642,,peak_abundance_with_occupancy_days_modifiers,0.5019
litsti,CV,0.09203208544649367,0.0699,0.0964,nonbreeding,0.0569,0.0001,0.0001,98.0,5.6899999999999995,0.03838036068151184,uncommon,3.838036068151184,,peak_abundance_with_occupancy_days_modifiers,0.0569
gargan,CV,0.0848924670179626,0.0886,0.0886,postbreeding_migration,0.0371,0.0,0.0001,49.0,3.71,0.0354029085344049,rare,3.54029085344049,rare,peak_abundance_with_occupancy_days_modifiers,0.0371
barswa,CV,0.08250122151174369,0.0298,0.086,postbreeding_migration,0.3956,0.0,0.0,105.0,39.56,0.03440568170246397,uncommon,3.440568170246397,,peak_abundance_with_occupancy_days_modifiers,0.3956
houspa,CV,0.07955027875800906,0.0828,0.0828,resident,0.0494,0.0,0.0,365.0,4.9399999999999995,0.033175042988917935,rare,3.3175042988917935,rare,peak_abundance_with_occupancy_days_modifiers,0.0494
batgod,CV,0.06466351332572215,0.0301,0.0668,nonbreeding,0.2744,0.0068,0.0003,112.0,27.439999999999998,0.026966779600119516,uncommon,2.6966779600119515,,peak_abundance_with_occupancy_days_modifiers,0.2744
purher1,CV,0.05021771616061742,0.039733333333333336,0.0515,nonbreeding,0.0717,0.0001,0.0002,56.0,7.17,0.020942414262326344,uncommon,2.0942414262326343,,peak_abundance_with_occupancy_days_modifiers,0.0717
redkno,CV,0.04907583764659263,0.017333333333333333,0.0503,nonbreeding,0.0667,,,,6.67,0.020466213934906583,uncommon,2.0466213934906583,,peak_abundance_with_occupancy_days_modifiers,0.0667
comsni,CV,0.04859966983606234,0.0416,0.0498,postbreeding_migration,0.241,0.0001,0.0001,42.0,24.099999999999998,0.020267636534161915,rare,2.0267636534161912,,peak_abundance_with_occupancy_days_modifiers,0.241
woosan,CV,0.04774199598542116,0.030266666666666664,0.0489,prebreeding_migration,0.2991,0.0001,0.0001,133.0,29.909999999999997,0.019909958757166932,rare,1.9909958757166932,,peak_abundance_with_occupancy_days_modifiers,0.2991
ruff,CV,0.04631090286325025,0.029966666666666666,0.0474,postbreeding_migration,0.1557,0.0001,0.0,133.0,15.57,0.01931314657007727,rare,1.931314657007727,,peak_abundance_with_occupancy_days_modifiers,0.1557
dunlin,CV,0.04430392555652441,0.028433333333333335,0.0453,nonbreeding,0.0581,0.0003,0.0,70.0,5.81,0.018476172024319115,rare,1.8476172024319115,,peak_abundance_with_occupancy_days_modifiers,0.0581
brnowl,CV,0.03333805961051037,0.0339,0.0339,resident,0.4524,,,,45.24,0.013903050724815232,rare,1.3903050724815231,,peak_abundance_with_occupancy_days_modifiers,0.4524
lirplo,CV,0.028976108236517098,0.011866666666666666,0.0294,prebreeding_migration,0.1199,0.0001,0.0,70.0,11.99,0.012083975712042562,rare,1.2083975712042563,,peak_abundance_with_occupancy_days_modifiers,0.1199
bktgod,CV,0.027517886036739245,0.013233333333333333,0.0279,postbreeding_migration,0.026,0.0001,0.0,105.0,2.6,0.011475849820841258,rare,1.1475849820841257,rare,peak_abundance_with_occupancy_days_modifiers,0.026
comswi,CV,0.024302292522964862,0.019799999999999998,0.0246,postbreeding_migration,0.3078,0.0001,0.0,56.0,30.78,0.010134843167943598,rare,1.0134843167943597,,peak_abundance_with_occupancy_days_modifiers,0.3078
euroys1,CV,0.02097840638519171,0.01095,0.0212,nonbreeding,0.2287,0.009,0.0001,91.0,22.869999999999997,0.00874867498308622,rare,0.874867498308622,,peak_abundance_with_occupancy_days_modifiers,0.2287
norwhe,CV,0.019214218923804288,0.00975,0.0194,postbreeding_migration,0.2262,,,,22.62,0.008012951667143145,rare,0.8012951667143146,,peak_abundance_with_occupancy_days_modifiers,0.2262
parjae,CV,0.016070180177494467,0.0162,0.0162,postbreeding_migration,0.2188,,,,21.88,0.006701785670039033,rare,0.6701785670039033,,peak_abundance_with_occupancy_days_modifiers,0.2188
shteag1,CV,0.01587334915629015,0.0074,0.016,postbreeding_migration,0.293,,,,29.299999999999997,0.006619700758559729,rare,0.6619700758559729,,peak_abundance_with_occupancy_days_modifiers,0.293
monhar1,CV,0.01587334915629015,0.008450000000000001,0.016,postbreeding_migration,0.246,0.0001,0.0001,35.0,24.6,0.006619700758559729,rare,0.6619700758559729,,peak_abundance_with_occupancy_days_modifiers,0.246
trepip,CV,0.014987129808248345,0.005666666666666667,0.0151,postbreeding_migration,0.4981,0.0001,0.0,49.0,49.81,0.0062501185845193685,rare,0.6250118584519369,,peak_abundance_with_occupancy_days_modifiers,0.4981
grnsan,CV,0.011137744410455924,0.009049999999999999,0.0112,prebreeding_migration,0.0902,0.0,0.0,14.0,9.02,0.004644800186564507,rare,0.4644800186564507,rare,peak_abundance_with_occupancy_days_modifiers,0.0902
comhom1,CV,0.010658395999223726,0.0107153990421907,0.0107153990421907,prebreeding_migration,0.4377510040160642,0.00010250748351651452,4.467234798326963e-06,21.0,43.77510040160642,0.00444489637230287,rare,0.444489637230287,rare,peak_abundance_with_occupancy_days_modifiers,0.4377510040160642
comred1,CV,0.0103462920541443,0.007166666666666666,0.0104,prebreeding_migration,0.068,0.0001,0.0,140.0,6.800000000000001,0.004314738917713461,rare,0.4314738917713461,,peak_abundance_with_occupancy_days_modifiers,0.068
comred2,CV,0.010247316451549523,0.0052,0.0103,postbreeding_migration,0.2151,0.0001,0.0,63.0,21.51,0.0042734628854707085,rare,0.42734628854707085,,peak_abundance_with_occupancy_days_modifiers,0.2151
webwar1,CV,0.010247316451549523,0.00515,0.0103,postbreeding_migration,0.2237,0.0005,0.0002,35.0,22.37,0.0042734628854707085,rare,0.42734628854707085,,peak_abundance_with_occupancy_days_modifiers,0.2237
squher1,CV,0.009653257028138304,0.005266666666666667,0.0097,postbreeding_migration,0.0705,0.0,0.0,56.0,7.049999999999999,0.0040257208634774475,very_rare,0.4025720863477448,,peak_abundance_with_occupancy_days_modifiers,0.0705
blueth,CV,0.009554212804811658,0.0096,0.0096,postbreeding_migration,0.2386,,,,23.86,0.0039844162141667834,very_rare,0.3984416214166783,,peak_abundance_with_occupancy_days_modifiers,0.2386
eutdov,CV,0.007670506304219701,0.0033333333333333335,0.0077,nonbreeding,0.1545,0.0001,0.0,70.0,15.45,0.0031988495874835155,very_rare,0.31988495874835154,,peak_abundance_with_occupancy_days_modifiers,0.1545
grewhi1,CV,0.006876303939432157,0.0069,0.0069,postbreeding_migration,0.3004,0.0001,0.0,56.0,30.04,0.0028676414760213194,very_rare,0.2867641476021319,,peak_abundance_with_occupancy_days_modifiers,0.3004
wlwwar,CV,0.006876303939432157,0.005,0.0069,postbreeding_migration,0.2188,0.0002,0.0,70.0,21.88,0.0028676414760213194,very_rare,0.2867641476021319,,peak_abundance_with_occupancy_days_modifiers,0.2188
audgul1,CV,0.006776984279023751,0.003325,0.0068,postbreeding_migration,0.0643,0.0065,0.0007,98.0,6.43,0.0028262219605257625,very_rare,0.28262219605257627,,peak_abundance_with_occupancy_days_modifiers,0.0643
perfal,CV,0.006180859075081115,0.0037333333333333333,0.0062,prebreeding_migration,0.2892,,,,28.92,0.0025776184411373257,very_rare,0.2577618441137326,,peak_abundance_with_occupancy_days_modifiers,0.2892
blasto1,CV,0.005286004429237355,0.0052,0.0053,postbreeding_migration,0.1904,0.0001,0.0001,35.0,19.040000000000003,0.0022044350682040464,very_rare,0.22044350682040464,,peak_abundance_with_occupancy_days_modifiers,0.1904
