species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
laugul,CW,1.8963146606993895,2.621725,5.6613,breeding,0.5588,0.0015,0.0013,161.0,55.879999999999995,0.7908246378443247,abundant,79.08246378443246,,peak_abundance_with_occupancy_days_modifiers,0.5588
grefla2,CW,1.857734458151588,5.4092,5.4092,resident,0.6373,0.0073,0.0057,365.0,63.73,0.774735443714183,abundant,77.4735443714183,,peak_abundance_with_occupancy_days_modifiers,0.6373
leater1,CW,1.5688450583258424,3.2058,3.8011,breeding,0.6667,0.0039,0.0206,70.0,66.67,0.6542592064477373,common,65.42592064477373,,peak_abundance_with_occupancy_days_modifiers,0.6667
barswa,CW,1.4680586629225303,0.9105500000000001,3.3408,postbreeding_migration,1.0,0.0,0.0,154.0,100.0,0.6122280149496643,common,61.222801494966426,,peak_abundance_with_occupancy_days_modifiers,1.0
royter1,CW,1.4141040617591578,2.4717249999999997,3.1128,postbreeding_migration,0.598,0.0025,0.0081,126.0,59.8,0.5897271985981617,common,58.972719859816166,,peak_abundance_with_occupancy_days_modifiers,0.598
baepig2,CW,1.2364883960026158,2.4435,2.4435,resident,0.5686,0.018,0.0503,365.0,56.86,0.5156557127533014,common,51.565571275330136,,peak_abundance_with_occupancy_days_modifiers,0.5686
brtpar1,CW,1.2075264825252336,2.3452,2.3452,resident,0.6176,0.0006,0.0014,365.0,61.760000000000005,0.5035776567156066,common,50.357765671560664,,peak_abundance_with_occupancy_days_modifiers,0.6176
tromoc,CW,1.1546775126010584,2.173,2.173,resident,0.7353,0.0005,0.0032,365.0,73.53,0.48153792440381976,common,48.15379244038198,,peak_abundance_with_occupancy_days_modifiers,0.7353
banana,CW,1.147910260389396,2.1516,2.1516,resident,0.7353,0.0001,0.001,365.0,73.53,0.4787157610306191,common,47.871576103061905,,peak_abundance_with_occupancy_days_modifiers,0.7353
cogdov,CW,1.1205368460839014,2.0665,2.0665,resident,0.7059,0.0003,0.0017,365.0,70.59,0.467300160601352,common,46.7300160601352,,peak_abundance_with_occupancy_days_modifiers,0.7059
santer1,CW,1.095005793073998,1.377775,1.9892,postbreeding_migration,0.2843,0.0008,0.0034,105.0,28.43,0.45665288450905284,common,45.66528845090529,,peak_abundance_with_occupancy_days_modifiers,0.2843
magfri,CW,0.9759548925954654,1.147625,1.6537,breeding,0.8529,0.0025,0.0011,140.0,85.28999999999999,0.4070048027812803,common,40.70048027812803,,peak_abundance_with_occupancy_days_modifiers,0.8529
eardov1,CW,0.7735282925067578,1.1674,1.1674,resident,0.549,0.0001,0.0,365.0,54.900000000000006,0.32258635365840704,common,32.2586353658407,,peak_abundance_with_occupancy_days_modifiers,0.549
semsan,CW,0.7658863592002503,0.8756666666666667,1.1509,postbreeding_migration,0.7549,0.0032,0.0002,112.0,75.49,0.3193994199364897,common,31.93994199364897,,peak_abundance_with_occupancy_days_modifiers,0.7549
buwtea,CW,0.7043343699505097,0.5224,1.0225,nonbreeding,0.2059,0.0002,0.0004,161.0,20.59,0.2937302466627508,common,29.373024666275082,,peak_abundance_with_occupancy_days_modifiers,0.2059
bknsti,CW,0.7006688219587914,0.8225750000000001,1.0151,postbreeding_migration,0.7941,0.0002,0.0002,140.0,79.41,0.29220159441788424,common,29.220159441788425,,peak_abundance_with_occupancy_days_modifiers,0.7941
ventro1,CW,0.6416433376928297,0.8996,0.8996,resident,0.549,0.0015,0.0115,365.0,54.900000000000006,0.267586055559476,common,26.7586055559476,,peak_abundance_with_occupancy_days_modifiers,0.549
bkfgra,CW,0.6265264932180495,0.8711,0.8711,resident,0.6765,0.0062,0.0106,365.0,67.65,0.26128184175737007,common,26.128184175737008,,peak_abundance_with_occupancy_days_modifiers,0.6765
y00475,CW,0.6072624414027757,0.505875,0.8354,nonbreeding,0.1078,0.0002,0.0001,112.0,10.780000000000001,0.2532481081603257,fairly_common,25.324810816032574,,peak_abundance_with_occupancy_days_modifiers,0.1078
brnpel,CW,0.6063357835729818,0.68875,0.8337,nonbreeding,0.5392,0.0022,0.0004,161.0,53.92,0.2528616618295348,fairly_common,25.28616618295348,,peak_abundance_with_occupancy_days_modifiers,0.5392
rudtur,CW,0.5866749360494286,0.48755000000000004,0.798,postbreeding_migration,0.4608,0.0005,0.0011,119.0,46.08,0.24466245156935995,fairly_common,24.466245156935994,,peak_abundance_with_occupancy_days_modifiers,0.4608
semplo,CW,0.5842247733357584,0.43115,0.7936,nonbreeding,0.549,0.0017,0.0012,161.0,54.900000000000006,0.24364065435349958,fairly_common,24.364065435349957,,peak_abundance_with_occupancy_days_modifiers,0.549
leasan,CW,0.5771188544998229,0.47485,0.7809,postbreeding_migration,0.7745,0.0005,0.0005,140.0,77.45,0.2406772560280828,fairly_common,24.06772560280828,,peak_abundance_with_occupancy_days_modifiers,0.7745
grykin,CW,0.5489880848603397,0.5903,0.7315,postbreeding_migration,1.0,0.0025,0.0017,112.0,100.0,0.2289458138927245,fairly_common,22.89458138927245,,peak_abundance_with_occupancy_days_modifiers,1.0
whcpin,CW,0.5478901679028068,0.62695,0.7296,nonbreeding,0.2255,0.0002,0.0009,105.0,22.55,0.22848794695833935,fairly_common,22.848794695833934,,peak_abundance_with_occupancy_days_modifiers,0.2255
whtdov,CW,0.48956112846126637,0.6316,0.6316,resident,0.5294,0.0,0.0001,365.0,52.94,0.2041628481505546,common,20.41628481505546,,peak_abundance_with_occupancy_days_modifiers,0.5294
categr1,CW,0.45787217216372383,0.4048833733983338,0.5807069317996502,nonbreeding,0.11,1.209423830487156e-05,1.509921216669543e-05,140.0,11.0,0.19094752692405195,fairly_common,19.094752692405194,,peak_abundance_with_occupancy_days_modifiers,0.11
comgal1,CW,0.43405256496007694,0.375725,0.5435,breeding,0.1863,0.0,0.0003,126.0,18.63,0.18101397916912887,fairly_common,18.101397916912887,,peak_abundance_with_occupancy_days_modifiers,0.1863
bbwduc,CW,0.42153528828565884,0.35075,0.5243,postbreeding_migration,0.1961,0.0,0.0001,161.0,19.61,0.17579386934347738,fairly_common,17.57938693434774,,peak_abundance_with_occupancy_days_modifiers,0.1961
comter,CW,0.4133009938759393,0.37070000000000003,0.5118,breeding,0.6176,0.0,0.0,112.0,61.760000000000005,0.17235990185410074,fairly_common,17.235990185410074,,peak_abundance_with_occupancy_days_modifiers,0.6176
sander,CW,0.39278505495078986,0.36463333333333336,0.4811,nonbreeding,0.2451,0.0005,0.0004,63.0,24.51,0.1638040907818319,fairly_common,16.380409078183188,,peak_abundance_with_occupancy_days_modifiers,0.2451
y00678,CW,0.38750478273117156,0.4733,0.4733,resident,0.6765,0.0001,0.0001,365.0,67.65,0.16160204623071348,common,16.160204623071348,,peak_abundance_with_occupancy_days_modifiers,0.6765
houspa,CW,0.3742496009552429,0.4539,0.4539,resident,0.2745,0.0,0.0,365.0,27.450000000000003,0.1560742060759348,fairly_common,15.60742060759348,,peak_abundance_with_occupancy_days_modifiers,0.2745
rucspa1,CW,0.3702523523524199,0.4481,0.4481,resident,0.4118,0.0,0.0,365.0,41.18,0.15440722393198228,fairly_common,15.440722393198229,,peak_abundance_with_occupancy_days_modifiers,0.4118
bkbplo,CW,0.33275103581935905,0.21737499999999998,0.3948,nonbreeding,0.5098,0.0007,0.0003,140.0,50.980000000000004,0.13876796021664237,fairly_common,13.876796021664237,,peak_abundance_with_occupancy_days_modifiers,0.5098
boboli,CW,0.33095705593310276,0.3923,0.3923,postbreeding_migration,0.5294,0.0001,0.0007,70.0,52.94,0.13801981249450992,fairly_common,13.801981249450993,,peak_abundance_with_occupancy_days_modifiers,0.5294
bncfly,CW,0.3298072175024281,0.260725,0.3907,postbreeding_migration,0.6373,0.0001,0.0002,140.0,63.73,0.13754029262401413,fairly_common,13.754029262401414,,peak_abundance_with_occupancy_days_modifiers,0.6373
grbani,CW,0.29773140830478234,0.299975,0.3468,nonbreeding,0.4118,0.0002,0.0003,133.0,41.18,0.1241636412074521,fairly_common,12.416364120745211,,peak_abundance_with_occupancy_days_modifiers,0.4118
rocpig,CW,0.2970629342575329,0.3459,0.3459,resident,0.098,0.0,0.0,365.0,9.8,0.12388486587692257,fairly_common,12.388486587692258,,peak_abundance_with_occupancy_days_modifiers,0.098
lesyel,CW,0.2964683597323988,0.20727500000000001,0.3451,postbreeding_migration,0.7353,0.0001,0.0001,133.0,73.53,0.12363690904082598,fairly_common,12.363690904082599,,peak_abundance_with_occupancy_days_modifiers,0.7353
grnher,CW,0.2774802099671842,0.257175,0.3198,postbreeding_migration,0.9314,0.0005,0.001,119.0,93.14,0.11571823553551677,fairly_common,11.571823553551678,,peak_abundance_with_occupancy_days_modifiers,0.9314
saffin,CW,0.26727526267411833,0.3064,0.3064,resident,0.3431,0.0,0.0,365.0,34.31,0.11146244196153114,fairly_common,11.146244196153114,,peak_abundance_with_occupancy_days_modifiers,0.3431
amekes,CW,0.23475586664237577,0.2513,0.2646,prebreeding_migration,0.7255,0.0,0.0001,105.0,72.55,0.0979008004667414,fairly_common,9.79008004667414,,peak_abundance_with_occupancy_days_modifiers,0.7255
