species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
cowpig1,CY,2.8942137685709106,9.194213609293366,17.06928921185948,nonbreeding,0.9141252006420546,0.0037614469847329,0.0067432714505878,112.0,91.41252006420547,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9141252006420546
comcha,CY,2.3136495369792898,3.4336444936128743,9.11125881326524,nonbreeding,0.8242375601926164,0.0013648457206039,0.002604268144571,112.0,82.42375601926165,0.9648667993240734,abundant,96.48667993240734,,peak_abundance_with_occupancy_days_modifiers,0.8242375601926164
barswa,CY,2.24642573338934,6.776466479127326,8.45388467153041,breeding,0.9719101123595506,0.0004777881761038051,0.0013402056029813,119.0,97.19101123595506,0.9368322957523227,abundant,93.68322957523228,,peak_abundance_with_occupancy_days_modifiers,0.9719101123595506
houspa,CY,2.2163779331817888,8.174041622594883,8.174041622594883,resident,0.8178170144462279,0.0006317287794305637,0.0011254091723161,365.0,81.78170144462278,0.9243013897747298,abundant,92.43013897747298,,peak_abundance_with_occupancy_days_modifiers,0.8178170144462279
eurjac,CY,1.8376088054623356,3.8317,5.2815,nonbreeding,0.6926,0.0016,0.004,140.0,69.26,0.7663423946442104,abundant,76.63423946442104,,peak_abundance_with_occupancy_days_modifiers,0.6926
meapip1,CY,1.5993905514260487,1.7749484067871457,3.95001472550688,nonbreeding,0.8202247191011236,0.0035037557381713,0.0102098436298664,98.0,82.02247191011236,0.6669976664825491,common,66.69976664825491,,peak_abundance_with_occupancy_days_modifiers,0.8202247191011236
bkhgul,CY,1.5480851809939837,1.131428312930323,3.702457201806156,nonbreeding,0.1019261637239165,0.0011836084213273,0.0013994655396063,161.0,10.19261637239165,0.6456016651583583,common,64.56016651583583,,peak_abundance_with_occupancy_days_modifiers,0.1019261637239165
comswi,CY,1.5360073977431898,1.976868614585798,3.646003546734396,prebreeding_migration,0.7881219903691814,0.0009760797953754952,0.00359677947588,112.0,78.81219903691814,0.640564838326176,common,64.0564838326176,,peak_abundance_with_occupancy_days_modifiers,0.7881219903691814
hoocro1,CY,1.5169497469989384,2.7544000000000004,3.5583,nonbreeding,0.8439,0.0014,0.0025,168.0,84.39,0.6326171806613726,common,63.26171806613726,,peak_abundance_with_occupancy_days_modifiers,0.8439
rocpig,CY,1.5021428707015794,3.4913030476167344,3.4913030476167344,resident,0.5313001605136437,0.0005976735871610324,0.0007713915301950274,365.0,53.13001605136437,0.626442233629562,common,62.6442233629562,,peak_abundance_with_occupancy_days_modifiers,0.5313001605136437
categr1,CY,1.3576672512525103,1.8321431489813818,2.887115054502246,postbreeding_migration,0.3547351524879615,0.0003766468012904724,0.0010692144610151,140.0,35.47351524879615,0.5661912205482174,common,56.61912205482174,,peak_abundance_with_occupancy_days_modifiers,0.3547351524879615
eurser1,CY,1.2935694827169675,1.2712819295482913,2.645776895181325,nonbreeding,0.7993579454253612,0.0090271357876991,0.0154693084143478,119.0,79.93579454253612,0.5394603748508822,common,53.94603748508822,,peak_abundance_with_occupancy_days_modifiers,0.7993579454253612
eubeat1,CY,1.2109131508616824,1.9766547292861603,2.3565482885171667,postbreeding_migration,0.7768860353130016,0.0006311639199845298,0.0016146747524583,77.0,77.68860353130016,0.5049900071109166,common,50.499000711091654,,peak_abundance_with_occupancy_days_modifiers,0.7768860353130016
whiwag,CY,1.1769328947750186,1.6525184033571112,2.244407986298228,nonbreeding,0.4975922953451043,0.0005979494192657374,0.0014311225117277,77.0,49.75922953451043,0.4908191396538869,common,49.081913965388694,,peak_abundance_with_occupancy_days_modifiers,0.4975922953451043
corbun1,CY,1.1437577124291198,1.0623536171730947,2.1385399648264936,nonbreeding,0.6741573033707865,0.00198119749237,0.0024885705179881,140.0,67.41573033707866,0.4769840140242413,common,47.69840140242413,,peak_abundance_with_occupancy_days_modifiers,0.6741573033707865
eurgol,CY,1.1346548800150391,1.8321,2.1101,nonbreeding,0.9987,0.0006,0.0015,245.0,99.87,0.473187838053863,common,47.3187838053863,,peak_abundance_with_occupancy_days_modifiers,0.9987
spaspa1,CY,1.1297232836931623,1.84945,2.0948,nonbreeding,0.6843,,,,68.43,0.4711312026462118,common,47.11312026462118,,peak_abundance_with_occupancy_days_modifiers,0.6843
crelar1,CY,1.1014825789252884,1.5478857054837034,2.008623240452804,breeding,0.5858747993579454,0.0006898754502151425,0.0008851025936140372,161.0,58.58747993579454,0.4593539140013591,common,45.93539140013591,,peak_abundance_with_occupancy_days_modifiers,0.5858747993579454
eucdov,CY,1.0749836615582817,1.929945029406532,1.929945029406532,resident,0.6613162118780096,0.0005502063273727648,0.000635443993038263,365.0,66.13162118780096,0.4483030071216428,common,44.83030071216428,,peak_abundance_with_occupancy_days_modifiers,0.6613162118780096
comchi1,CY,1.0530019202397838,1.1502181356000414,1.8662424475839583,nonbreeding,0.8940609951845907,0.0016598672702186,0.0048809888836533,84.0,89.40609951845907,0.4391359089719204,common,43.91359089719204,,peak_abundance_with_occupancy_days_modifiers,0.8940609951845907
yelgul1,CY,1.030766126941167,1.3742549407683062,1.8032126289524768,breeding,0.2808988764044944,0.0082504360944792,0.0043523611784596,133.0,28.08988764044944,0.4298628629173831,common,42.98628629173831,,peak_abundance_with_occupancy_days_modifiers,0.2808988764044944
stonec4,CY,1.0236152383558297,1.4083665529103555,1.7832386686584731,nonbreeding,0.8314606741573034,0.0057079889807162,0.0170339721496775,70.0,83.14606741573034,0.4268807107498315,common,42.68807107498315,,peak_abundance_with_occupancy_days_modifiers,0.8314606741573034
