species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
eursta,CZ,5.051289126040812,76.02921581603844,155.22372680669298,postbreeding_migration,0.5950205222082273,0.0054206278878055,0.0577927738799914,126.0,59.50205222082273,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.5950205222082273
cowpig1,CZ,2.6530239487772267,4.883041316661066,13.196904512659046,postbreeding_migration,0.908668077642662,0.010401826051205,0.0205510741746333,112.0,90.8668077642662,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.908668077642662
comcha,CZ,2.5538209709269135,5.105313983404713,11.856132963760906,postbreeding_migration,1.0,0.010657228952767,0.0130316200303077,112.0,100.0,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,1.0
barswa,CZ,2.824181043434767,8.123118584865747,15.847142257185816,postbreeding_migration,0.7535946685558057,0.00235557861863,0.0064272255489353,105.0,75.35946685558056,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.7535946685558057
gwfgoo,CZ,2.192220390536984,3.6887784656834803,7.955074819555243,nonbreeding,0.0660742974794687,0.0040346833513131,0.0071252521430308,126.0,6.60742974794687,0.9142269119946335,abundant,91.42269119946334,,peak_abundance_with_occupancy_days_modifiers,0.0660742974794687
fieldf,CZ,1.953367984424468,3.3012500000000005,6.0524,nonbreeding,0.859,0.0077,0.0041,91.0,85.9,0.8146177218760957,abundant,81.46177218760957,,peak_abundance_with_occupancy_days_modifiers,0.859
yellow2,CZ,1.8819174016340603,3.4478931096267584,5.566082617573663,nonbreeding,0.7700426810214555,0.0144346632644178,0.0399206068847379,112.0,77.00426810214555,0.784820514466356,abundant,78.48205144663561,,peak_abundance_with_occupancy_days_modifiers,0.7700426810214555
mallar3,CZ,1.8266340291057328,4.03221722408267,5.212938852105114,nonbreeding,0.1150449564777332,0.003795233163849,0.0134551779549677,154.0,11.50449564777332,0.7617655574148701,abundant,76.17655574148701,,peak_abundance_with_occupancy_days_modifiers,0.1150449564777332
comhom1,CZ,1.768216886392314,2.2892524154298353,4.860394290492217,breeding,0.8136082530806569,0.010790117807782,0.0270541123981135,91.0,81.36082530806569,0.7374037166889215,common,73.74037166889215,,peak_abundance_with_occupancy_days_modifiers,0.8136082530806569
gretit1,CZ,1.7228938513727334,4.600712665680814,4.600712665680814,resident,0.9977457305105696,0.0075866532051292,0.0140931432851228,365.0,99.77457305105696,0.718502543008101,common,71.85025430081011,,peak_abundance_with_occupancy_days_modifiers,0.9977457305105696
