species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
cowpig1,DE,2.437212135175321,4.47395,10.4411,postbreeding_migration,0.9803,0.0537,0.0947,112.0,98.03,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9803
brambl,DE,3.177937156875194,8.032433333333332,22.9972,nonbreeding,0.5501,0.0146,0.024,84.0,55.010000000000005,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.5501
eursta,DE,3.3121621398572483,12.154,26.4444,postbreeding_migration,0.8725,0.0184,0.049,140.0,87.25,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8725
bargoo,DE,2.36806379702114,5.366625,9.6767,prebreeding_migration,0.1349,0.1644,0.3319,112.0,13.489999999999998,0.987559308316907,abundant,98.75593083169069,,peak_abundance_with_occupancy_days_modifiers,0.1349
gwfgoo,DE,2.3234949502221203,4.59575,9.2113,nonbreeding,0.2931,0.0575,0.0319,42.0,29.310000000000002,0.9689726555532909,abundant,96.8972655553291,,peak_abundance_with_occupancy_days_modifiers,0.2931
tunbeg1,DE,2.2961666442108277,5.628827350975459,8.936021054602096,nonbreeding,0.3075158013798947,0.1354944689237759,0.1578298660813511,98.0,30.75158013798947,0.9575758667438281,abundant,95.75758667438281,,peak_abundance_with_occupancy_days_modifiers,0.3075158013798947
gragoo,DE,2.272290820360445,6.124874999999999,8.7016,postbreeding_migration,0.3962,0.0662,0.1575,112.0,39.62,0.9476188748262788,abundant,94.76188748262788,,peak_abundance_with_occupancy_days_modifiers,0.3962
mallar3,DE,2.197735557874536,5.3314,8.0046,nonbreeding,0.4887,0.0177,0.0343,126.0,48.870000000000005,0.9165269154185178,abundant,91.65269154185178,,peak_abundance_with_occupancy_days_modifiers,0.4887
comcha,DE,2.1720663007856578,3.5231,7.7764,postbreeding_migration,0.9968,0.0327,0.0506,112.0,99.68,0.9058220037486591,abundant,90.5822003748659,,peak_abundance_with_occupancy_days_modifiers,0.9968
comcra,DE,2.0936649083160788,3.1485333333333334,7.1146,postbreeding_migration,0.5203,0.0362,0.0353,133.0,52.03,0.8731260835560797,abundant,87.31260835560796,,peak_abundance_with_occupancy_days_modifiers,0.5203
