species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
spepig1,DJ,1.332286860288536,2.7897,2.7897,resident,0.9762,0.0044,0.0138,365.0,97.61999999999999,0.5556067754092289,common,55.56067754092289,,peak_abundance_with_occupancy_days_modifiers,0.9762
barswa,DJ,1.1890926417964842,1.483825,2.2841,nonbreeding,0.7635,0.0005,0.0006,154.0,76.35,0.4958901480333625,common,49.58901480333625,,peak_abundance_with_occupancy_days_modifiers,0.7635
litsti,DJ,1.0066797316018357,0.6945999999999999,1.7365,postbreeding_migration,0.2856,0.0004,0.0026,119.0,28.560000000000002,0.41981805586823195,common,41.98180558682319,,peak_abundance_with_occupancy_days_modifiers,0.2856
afcdov1,DJ,0.9502050743408517,1.236221443847545,1.5862399763952184,breeding,0.9927020706867676,0.032676223190357,0.0423255044717859,147.0,99.27020706867677,0.3962662944958191,common,39.62662944958191,,peak_abundance_with_occupancy_days_modifiers,0.9927020706867676
litswi1,DJ,0.9426989451504566,1.5669,1.5669,breeding,0.9722,0.0012,0.0022,84.0,97.22,0.3931359954892093,common,39.313599548920934,,peak_abundance_with_occupancy_days_modifiers,0.9722
combul2,DJ,0.8472871572547428,1.3333083594912407,1.3333083594912407,resident,0.9119722199836728,0.00216133353378,0.0013707656419936,365.0,91.19722199836728,0.35334618941299684,common,35.33461894129968,,peak_abundance_with_occupancy_days_modifiers,0.9119722199836728
eubeat1,DJ,0.8404890184578732,0.6276666666666666,1.3175,postbreeding_migration,0.9981,0.0007,0.0011,91.0,99.81,0.3505111453333043,common,35.05111453333043,,peak_abundance_with_occupancy_days_modifiers,0.9981
eaywag1,DJ,0.768764727018534,0.5821666666666666,1.1571,nonbreeding,0.6823,0.001,0.0032,119.0,68.23,0.3205997925511471,common,32.05997925511471,,peak_abundance_with_occupancy_days_modifiers,0.6823
categr1,DJ,0.767524246720525,0.8348208036218981,1.1544258189265493,postbreeding_migration,0.2305590291758764,0.00044121813159272896,0.0008911834011085524,98.0,23.05590291758764,0.3200824720859538,common,32.00824720859538,,peak_abundance_with_occupancy_days_modifiers,0.2305590291758764
combuz1,DJ,0.7194969558827273,0.52965,1.0534,postbreeding_migration,0.9444,0.0009,0.0023,63.0,94.44,0.3000535361342392,common,30.005353613423917,,peak_abundance_with_occupancy_days_modifiers,0.9444
grefla3,DJ,0.6434812797454112,0.5929175822747492,0.9030945651434712,postbreeding_migration,0.1657269257957823,0.0054267771978726,0.0007614654272392521,70.0,16.57269257957823,0.2683525369289633,fairly_common,26.835253692896334,,peak_abundance_with_occupancy_days_modifiers,0.1657269257957823
comswi,DJ,0.3548733219921042,0.19683333333333333,0.426,postbreeding_migration,0.9793,0.0007,0.0008,84.0,97.92999999999999,0.14799367012303377,fairly_common,14.799367012303378,,peak_abundance_with_occupancy_days_modifiers,0.9793
