species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
grecor,DK,2.4037990521606187,6.463805793959151,10.06513365115357,postbreeding_migration,0.3420781266657997,0.0072915262107254,0.033965720924552,133.0,34.20781266657997,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.3420781266657997
gragoo,DK,2.9591467086084284,12.62208873823757,18.281511985817595,nonbreeding,0.6290413216635097,0.0275053197967583,0.069372381983524,154.0,62.90413216635097,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.6290413216635097
comcha,DK,2.4281089717083133,4.118463269921959,10.337422409443278,postbreeding_migration,0.9033046767859064,0.006500826933932,0.0080212824886624,112.0,90.33046767859064,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9033046767859064
bargoo,DK,3.68508145970173,21.693207905078488,38.848368353854944,nonbreeding,0.3169946045319623,0.0708204858171103,0.1908936195867226,119.0,31.69946045319623,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.3169946045319623
rook1,DK,2.425254510427866,6.2841178692528965,10.305106320610085,nonbreeding,0.7083732887419941,0.006933878758725,0.0155555171790728,217.0,70.83732887419941,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.7083732887419941
cowpig1,DK,2.754691844250761,8.486664858402442,14.71619712002346,postbreeding_migration,0.8449270641883841,0.0133107785781473,0.0171338377168533,112.0,84.49270641883841,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8449270641883841
eursta,DK,4.393302676822932,29.307027864403267,79.90718850751615,postbreeding_migration,0.4232520340795892,0.0033187210267813,0.0119363628922897,126.0,42.325203407958924,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.4232520340795892
bkhgul,DK,2.2054011671017832,6.821738907042281,8.073890984348607,postbreeding_migration,0.4354354771038066,0.0153293655797707,0.0277933947718899,161.0,43.54354771038066,0.9197237227662806,abundant,91.97237227662805,,peak_abundance_with_occupancy_days_modifiers,0.4354354771038066
mallar3,DK,2.1975622809764235,4.851618147619838,8.00303984601648,nonbreeding,0.2858848997687401,0.006657915764425,0.0069114176678992,154.0,28.58848997687401,0.9164546533393193,abundant,91.64546533393192,,peak_abundance_with_occupancy_days_modifiers,0.2858848997687401
hergul,DK,2.1786758302702256,5.74165,7.8346,nonbreeding,0.6759,0.0228,0.0585,133.0,67.58999999999999,0.9085783916357976,abundant,90.85783916357975,,peak_abundance_with_occupancy_days_modifiers,0.6759
eurjac,DK,2.1532030252418894,4.64115,7.6124,nonbreeding,0.8204,0.0149,0.0456,140.0,82.04,0.897955406838547,abundant,89.7955406838547,,peak_abundance_with_occupancy_days_modifiers,0.8204
comeid,DK,2.0869111591691967,5.498533050425316,7.059980677387479,prebreeding_migration,0.2569785315446983,0.0650494626401936,0.0769948677656673,98.0,25.69785315446983,0.870309551398276,abundant,87.0309551398276,,peak_abundance_with_occupancy_days_modifiers,0.2569785315446983
whoswa,DK,2.0378432825415644,2.6470122468536794,6.674040601068158,nonbreeding,0.6539168712397962,0.0379188937548042,0.0946690957290734,161.0,65.39168712397962,0.8498466574661446,abundant,84.98466574661447,,peak_abundance_with_occupancy_days_modifiers,0.6539168712397962
barswa,DK,1.9815212405100897,4.216651045504694,6.253769323924405,postbreeding_migration,0.9111333590040178,0.0022894363571852,0.0033889777773952,126.0,91.11333590040178,0.8263585415878617,abundant,82.63585415878617,,peak_abundance_with_occupancy_days_modifiers,0.9111333590040178
eurwig,DK,1.9632423956684666,3.1264606242144892,6.122383250920764,postbreeding_migration,0.2014608352798081,0.0087696592932452,0.0408126754612776,147.0,20.14608352798081,0.8187356712110869,abundant,81.87356712110869,,peak_abundance_with_occupancy_days_modifiers,0.2014608352798081
fieldf,DK,1.944223012354524,3.3159250000000005,5.9882,postbreeding_migration,0.9424,0.0012,0.0002,91.0,94.24,0.8108039723042592,abundant,81.08039723042592,,peak_abundance_with_occupancy_days_modifiers,0.9424
gwfgoo,DK,1.9373774613028865,3.125443738323978,5.940525286160522,nonbreeding,0.5567980485807302,0.0241607131168699,0.003781080813614,133.0,55.67980485807303,0.807949155778578,abundant,80.7949155778578,,peak_abundance_with_occupancy_days_modifiers,0.5567980485807302
tufduc,DK,1.8803975527833299,2.733838506388476,5.556110744243189,nonbreeding,0.1342664300911608,0.0088450451711402,0.0607348140094126,133.0,13.426643009116079,0.7841866882655325,abundant,78.41866882655324,,peak_abundance_with_occupancy_days_modifiers,0.1342664300911608
eugplo,DK,1.850094339578625,2.2143368065932476,5.360419533597672,postbreeding_migration,0.1961059948558213,0.0119656911279591,0.0454904539160608,168.0,19.61059948558213,0.7715492667949356,abundant,77.15492667949356,,peak_abundance_with_occupancy_days_modifiers,0.1961059948558213
blksco1,DK,1.8196458473565387,3.2123496909177396,5.16967305690265,nonbreeding,0.218777206817828,0.1160437026001535,0.3097809744785129,147.0,21.8777206817828,0.7588512592682963,abundant,75.88512592682963,,peak_abundance_with_occupancy_days_modifiers,0.218777206817828
brambl,DK,1.79815938278712,2.2623241480392795,5.038522620588404,nonbreeding,0.3461306139463753,0.0028029703347388,0.002450114722242,112.0,34.613061394637526,0.7498907075656593,abundant,74.98907075656594,,peak_abundance_with_occupancy_days_modifiers,0.3461306139463753
mewgul,DK,1.6587790730260494,2.925178949158582,4.252893528306882,postbreeding_migration,0.659922046652542,0.0486703542104714,0.0717232426855991,154.0,65.99220466525419,0.6917646036685479,common,69.17646036685478,,peak_abundance_with_occupancy_days_modifiers,0.659922046652542
