species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
carmar1,DM,2.564533465403228,8.02221078980238,11.994594527366466,breeding,0.3383458646616541,0.0056625141562853,0.1024548052925091,196.0,33.83458646616541,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.3383458646616541
banana,DM,1.8779582482009147,5.540137882519486,5.540137882519486,resident,0.8045112781954887,0.00022488865909611573,0.0056475504569455,365.0,80.45112781954887,0.7831694192421158,abundant,78.31694192421158,,peak_abundance_with_occupancy_days_modifiers,0.8045112781954887
manshe,DM,1.6361960196818481,4.13559659996203,4.13559659996203,prebreeding_migration,0.2105263157894736,0.0001375982230172342,0.00025890170246478813,56.0,21.05263157894736,0.6823467389267543,common,68.23467389267543,,peak_abundance_with_occupancy_days_modifiers,0.2105263157894736
laugul,DM,1.5040137766287751,1.5782964972214293,3.4997137184429885,breeding,0.1954887218045112,0.0010420497732009,0.0008284201184765483,84.0,19.54887218045112,0.6272224620025103,common,62.72224620025103,,peak_abundance_with_occupancy_days_modifiers,0.1954887218045112
leabul1,DM,1.3908077501975782,3.018094359035779,3.018094359035779,resident,0.8045112781954887,0.1149301825993555,0.1760347261502535,365.0,80.45112781954887,0.5800118820762716,common,58.001188207627166,,peak_abundance_with_occupancy_days_modifiers,0.8045112781954887
bkfgra,DM,1.1583949241179947,2.184817298014361,2.184817298014361,resident,0.8045112781954887,0.0079347423062662,0.0218929170970834,365.0,80.45112781954887,0.4830882054186356,common,48.30882054186356,,peak_abundance_with_occupancy_days_modifiers,0.8045112781954887
bkwvir,DM,0.8796904737064297,0.6558585656978385,1.4101535850449611,breeding,0.8045112781954887,0.0138350142229118,0.0086812229396846,105.0,80.45112781954887,0.36685942196292043,common,36.685942196292046,,peak_abundance_with_occupancy_days_modifiers,0.8045112781954887
scnpig1,DM,0.8306433546736363,1.2947946323039836,1.2947946323039836,resident,1.0,0.0086363636363636,0.0126337440489423,365.0,100.0,0.3464051846202049,common,34.640518462020495,,peak_abundance_with_occupancy_days_modifiers,1.0
leaswi1,DM,0.810127605275148,1.2481948498958595,1.2481948498958595,resident,0.7969924812030075,0.2304347826086956,0.3257100229442464,365.0,79.69924812030075,0.3378494525866928,common,33.78494525866928,,peak_abundance_with_occupancy_days_modifiers,0.7969924812030075
magfri,DM,0.7986502417247235,0.9823700715052455,1.2225390125934343,breeding,0.4661654135338345,0.001580351822586,0.0006856596359388064,140.0,46.616541353383454,0.33306302021801376,common,33.30630202180138,,peak_abundance_with_occupancy_days_modifiers,0.4661654135338345
renpar1,DM,0.771361777144122,1.1627093775905109,1.1627093775905109,resident,0.8045112781954887,1.0,1.0,365.0,80.45112781954887,0.3216828465756697,common,32.16828465756697,,peak_abundance_with_occupancy_days_modifiers,0.8045112781954887
anchum1,DM,0.769651841767839,1.1590144442660468,1.1590144442660468,resident,0.7669172932330827,0.0977948226270374,0.1336711436832218,365.0,76.69172932330827,0.3209697481365175,common,32.096974813651755,,peak_abundance_with_occupancy_days_modifiers,0.7669172932330827
grykin,DM,0.7690386955974977,0.8712816416685071,1.1576910585837257,nonbreeding,0.8045112781954887,0.0038279908414424,0.004249539611982,91.0,80.45112781954887,0.3207140463228075,common,32.071404632280746,,peak_abundance_with_occupancy_days_modifiers,0.8045112781954887
blkswi,DM,0.7200663821584725,0.651898816741424,1.0545695928814716,breeding,0.7819548872180451,0.0020174336721099,0.0135459723244412,84.0,78.19548872180451,0.3002910053357531,common,30.02910053357531,,peak_abundance_with_occupancy_days_modifiers,0.7819548872180451
putcar1,DM,0.5756929058727313,0.7783623378079637,0.7783623378079637,resident,0.7894736842105263,0.2142857142857142,0.2336148205619615,365.0,78.94736842105263,0.24008258926207865,common,24.008258926207866,,peak_abundance_with_occupancy_days_modifiers,0.7894736842105263
scbthr,DM,0.5638609389933652,0.7574448053325925,0.7574448053325925,resident,0.7744360902255639,0.1582181259600614,0.1827041385484666,365.0,77.44360902255639,0.23514827581912418,common,23.514827581912417,,peak_abundance_with_occupancy_days_modifiers,0.7744360902255639
carela1,DM,0.5508248275710718,0.734683242507447,0.734683242507447,resident,0.7969924812030075,0.0804248861911987,0.1002524901911776,365.0,79.69924812030075,0.22971179509781217,common,22.971179509781216,,peak_abundance_with_occupancy_days_modifiers,0.7969924812030075
brwhaw,DM,0.5110564686859561,0.547810844404805,0.6670514526111739,prebreeding_migration,0.8045112781954887,0.0008857469247197894,0.0070843601811077,112.0,80.45112781954887,0.21312710128893472,fairly_common,21.31271012889347,,peak_abundance_with_occupancy_days_modifiers,0.8045112781954887
pluwar1,DM,0.49887756054171506,0.6468717190892177,0.6468717190892177,resident,0.6090225563909775,0.4426229508196721,0.4988131006142371,365.0,60.902255639097746,0.20804810210060565,common,20.804810210060566,,peak_abundance_with_occupancy_days_modifiers,0.6090225563909775
zendov,DM,0.45903127384086434,0.5825401941188296,0.5825401941188296,resident,0.3533834586466165,0.0036993309720582,0.0075745148436354,365.0,35.338345864661655,0.19143090986837377,fairly_common,19.14309098683738,,peak_abundance_with_occupancy_days_modifiers,0.3533834586466165
brotre1,DM,0.3725377148257206,0.4514132179074773,0.4514132179074773,resident,0.556390977443609,0.3333333333333333,0.3808303638039292,365.0,55.639097744360896,0.15536029410949415,common,15.536029410949414,,peak_abundance_with_occupancy_days_modifiers,0.556390977443609
leasal1,DM,0.33663101030951903,0.4002223008109214,0.4002223008109214,resident,0.7744360902255639,0.1849192100538599,0.1325041023906362,365.0,77.44360902255639,0.14038603525693882,common,14.038603525693883,,peak_abundance_with_occupancy_days_modifiers,0.7744360902255639
grtcar1,DM,0.33658375947022373,0.4001561406950809,0.4001561406950809,resident,0.7744360902255639,0.1049949031600407,0.1247223813100638,365.0,77.44360902255639,0.1403663301264307,common,14.03663301264307,,peak_abundance_with_occupancy_days_modifiers,0.7744360902255639
brnpel,DM,0.3320342517516275,0.3526753022902666,0.3938005878064865,breeding,0.4661654135338345,0.0018910510583785,0.00015985467880439636,161.0,46.616541353383454,0.13846903804274144,fairly_common,13.846903804274143,,peak_abundance_with_occupancy_days_modifiers,0.4661654135338345
royter1,DM,0.31170308078883746,0.2605663078690046,0.365749115670534,postbreeding_migration,0.2406015037593984,0.0014187434751184,0.00033272638067970286,126.0,24.06015037593984,0.1299902811956739,fairly_common,12.999028119567392,,peak_abundance_with_occupancy_days_modifiers,0.2406015037593984
rutsol1,DM,0.3093963824569614,0.3626023751494905,0.3626023751494905,resident,0.518796992481203,0.0292496820686731,0.0330958738163837,365.0,51.8796992481203,0.1290283132740373,common,12.90283132740373,,peak_abundance_with_occupancy_days_modifiers,0.518796992481203
