species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
palmch1,DO,2.019612930612428,6.535407643479815,6.535407643479815,resident,0.8933749028360665,0.6495541317670195,0.7704512605146686,365.0,89.33749028360664,0.8422440102046312,abundant,84.22440102046312,,peak_abundance_with_occupancy_days_modifiers,0.8933749028360665
hiswoo1,DO,1.6726261461199958,4.326136660139943,4.326136660139943,resident,0.9743196005174856,0.6629635776987958,0.711966860078826,365.0,97.43196005174856,0.6975392816751426,common,69.75392816751426,,peak_abundance_with_occupancy_days_modifiers,0.9743196005174856
categr1,DO,1.6027743927458034,3.5540446535659087,3.966793161641224,nonbreeding,0.6488887887989914,0.0034726145202999,0.0072467949398372,140.0,64.88887887989914,0.6684088379203265,common,66.84088379203264,,peak_abundance_with_occupancy_days_modifiers,0.6488887887989914
vilwea1,DO,1.4010241214861576,3.059355111584721,3.059355111584721,resident,0.7533285789054422,0.0091338784750982,0.0181929697480983,365.0,75.33285789054422,0.5842724398264261,common,58.42724398264261,,peak_abundance_with_occupancy_days_modifiers,0.7533285789054422
banana,DO,1.3313566677095057,2.78617648820957,2.78617648820957,resident,0.9460244404391316,0.0115364085273061,0.1239027716130978,365.0,94.60244404391315,0.5552188549735106,common,55.521885497351064,,peak_abundance_with_occupancy_days_modifiers,0.9460244404391316
grykin,DO,1.2809539163672863,2.161346058685685,2.6000722559839184,postbreeding_migration,0.7928426316222508,0.1766650138139351,0.2756599134213475,98.0,79.28426316222507,0.5341992750469035,common,53.41992750469034,,peak_abundance_with_occupancy_days_modifiers,0.7928426316222508
moudov,DO,1.2145909353950655,1.9821594142126973,2.3689156782553686,breeding,0.9565673780564184,0.0086426910310952,0.0059831449645081,112.0,95.65673780564184,0.5065237623900164,common,50.65237623900164,,peak_abundance_with_occupancy_days_modifiers,0.9565673780564184
anpswi,DO,1.1865711729613726,2.275829675263408,2.275829675263408,resident,0.9289158633385632,0.2767757324603335,0.4877533631703566,365.0,92.89158633385632,0.49483861385515415,common,49.48386138551542,,peak_abundance_with_occupancy_days_modifiers,0.9289158633385632
turvul,DO,1.1424965665890783,1.4923535695185166,2.134584303063523,postbreeding_migration,0.8745290240942516,0.002290910522034,0.0040166325696586,119.0,87.45290240942516,0.47645807535863394,common,47.64580753586339,,peak_abundance_with_occupancy_days_modifiers,0.8745290240942516
whwdov,DO,1.1163657299224294,1.1323793365354438,2.053735911045728,postbreeding_migration,0.6536702315853579,0.0187519646708554,0.0201865067007085,98.0,65.36702315853579,0.465560670053625,common,46.5560670053625,,peak_abundance_with_occupancy_days_modifiers,0.6536702315853579
smbani,DO,1.0005602711435306,1.719805230046639,1.719805230046639,resident,0.6950071887511492,0.0043980949996077,0.0064060250284011,365.0,69.50071887511491,0.41726604263907885,common,41.72660426390789,,peak_abundance_with_occupancy_days_modifiers,0.6950071887511492
bkwvir,DO,0.9887062069524132,1.1573885803041895,1.6877548233577295,breeding,0.926918258898328,0.6235405095054163,0.8252328297259492,105.0,92.6918258898328,0.4123225139013606,common,41.23225139013606,,peak_abundance_with_occupancy_days_modifiers,0.926918258898328
yefgra1,DO,0.9845099376724896,1.6764999111969183,1.6764999111969183,resident,0.906154155927044,0.0646594396094631,0.1065786691416679,365.0,90.6154155927044,0.41057253368849406,common,41.05725336884941,,peak_abundance_with_occupancy_days_modifiers,0.906154155927044
cogdov,DO,0.9794289200211715,1.3288819784526598,1.662935058715168,breeding,0.7530572453418615,0.0158730327545332,0.0652936683491758,147.0,75.30572453418614,0.408453584746496,common,40.8453584746496,,peak_abundance_with_occupancy_days_modifiers,0.7530572453418615
normoc,DO,0.9301530684739637,1.4081925786258105,1.534897160763156,prebreeding_migration,0.8227902681823134,0.0118514678266664,0.0220099300586817,112.0,82.27902681823134,0.3879039585362978,common,38.790395853629775,,peak_abundance_with_occupancy_days_modifiers,0.8227902681823134
brbtod1,DO,0.8781087192116636,1.4063443272282896,1.4063443272282896,resident,0.9025000173449002,0.653486423441675,0.7374846036939418,365.0,90.25000173449001,0.366199779103322,common,36.6199779103322,,peak_abundance_with_occupancy_days_modifiers,0.9025000173449002
bcptan1,DO,0.8345468931650156,1.3037699578484858,1.3037699578484858,resident,0.9373760699462392,0.7499642473757903,0.8160497817512774,365.0,93.73760699462392,0.34803308661228144,common,34.803308661228144,,peak_abundance_with_occupancy_days_modifiers,0.9373760699462392
antman2,DO,0.5757844577098501,0.7785251576001648,0.7785251576001648,resident,0.9608761699159006,0.6610256612565368,0.7483706124358296,365.0,96.08761699159007,0.2401207693436516,common,24.012076934365158,,peak_abundance_with_occupancy_days_modifiers,0.9608761699159006
hislic1,DO,0.5684227366192088,0.7654802269219205,0.7654802269219205,resident,0.9520862345225568,0.6613301121797714,0.6987522208983776,365.0,95.20862345225568,0.23705069319222313,common,23.705069319222314,,peak_abundance_with_occupancy_days_modifiers,0.9520862345225568
nutman,DO,0.562825891617108,0.7556267077687869,0.7556267077687869,resident,0.668371725907353,0.0074311217768024,0.0041500335211866,365.0,66.8371725907353,0.23471662753656625,common,23.471662753656624,,peak_abundance_with_occupancy_days_modifiers,0.668371725907353
verhum1,DO,0.5449003068442039,0.7244364592942036,0.7244364592942036,resident,0.9198742916149772,0.565081399836663,0.5837671124876092,365.0,91.98742916149773,0.22724107805104396,common,22.724107805104396,,peak_abundance_with_occupancy_days_modifiers,0.9198742916149772
semsan,DO,0.5253430783909885,0.19582582869700155,0.6910389077780587,postbreeding_migration,0.0980289985963087,0.0168370508708817,0.0030715299429003,119.0,9.80289985963087,0.21908508029956925,fairly_common,21.908508029956923,,peak_abundance_with_occupancy_days_modifiers,0.0980289985963087
