species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
grefla3,DZ,1.2684734969982927,1.2741625450141212,2.555421056889859,postbreeding_migration,0.0167555732605371,0.0016860912264095,0.0048528592681793,91.0,1.6755573260537102,0.5289945359114744,rare,52.89945359114744,rare,peak_abundance_with_occupancy_days_modifiers,0.0167555732605371
categr1,DZ,1.1642450611210329,1.3765141445351652,2.2035035207256186,postbreeding_migration,0.332346456220166,0.0035826351727962,0.009340054986735,140.0,33.2346456220166,0.48552790204317214,common,48.55279020431721,,peak_abundance_with_occupancy_days_modifiers,0.332346456220166
barswa,DZ,1.0206867825851516,0.9863249999999999,1.7751,postbreeding_migration,0.9991,0.039,0.0339,154.0,99.91,0.4256594498366055,common,42.56594498366055,,peak_abundance_with_occupancy_days_modifiers,0.9991
spaspa1,DZ,0.7518405268991637,0.81225,1.1209,nonbreeding,0.2645,,,,26.450000000000003,0.31354185290242353,common,31.354185290242352,,peak_abundance_with_occupancy_days_modifiers,0.2645
rocpig,DZ,0.6686495489595451,0.9516,0.9516,resident,0.5611,0.0755,0.0441,365.0,56.11000000000001,0.27884852042734276,common,27.884852042734277,,peak_abundance_with_occupancy_days_modifiers,0.5611
houspa,DZ,0.5982319227636577,0.8189,0.8189,resident,0.3184,0.0377,0.0337,365.0,31.840000000000003,0.24948208937645316,fairly_common,24.948208937645315,,peak_abundance_with_occupancy_days_modifiers,0.3184
eursta,DZ,0.24920108563349935,0.21143333333333333,0.283,prebreeding_migration,0.0112,0.0014,0.0061,42.0,1.1199999999999999,0.10392492468725661,rare,10.392492468725662,rare,peak_abundance_with_occupancy_days_modifiers,0.0112
eaywag1,DZ,0.2136587121029947,0.10314999999999999,0.2382,postbreeding_migration,0.7017,0.0462,0.0296,119.0,70.17,0.08910260365693642,fairly_common,8.910260365693642,,peak_abundance_with_occupancy_days_modifiers,0.7017
banswa,DZ,0.19400306156779254,0.09496666666666669,0.2141,prebreeding_migration,0.5638,,,,56.379999999999995,0.08090556070924179,fairly_common,8.09055607092418,,peak_abundance_with_occupancy_days_modifiers,0.5638
eutdov,DZ,0.186064543072789,0.13999999999999999,0.2045,postbreeding_migration,0.8915,0.1867,0.2548,70.0,89.14999999999999,0.07759494135690484,fairly_common,7.759494135690484,,peak_abundance_with_occupancy_days_modifiers,0.8915
norshr1,DZ,0.18232155679395465,0.16310000000000002,0.2,nonbreeding,0.8237,,,,82.37,0.07603399483797443,uncommon,7.6033994837974435,,peak_abundance_with_occupancy_days_modifiers,0.8237
norwhe,DZ,0.1820715255387453,0.080075,0.1997,postbreeding_migration,0.8071,0.0003,0.0001,7.0,80.71000000000001,0.0759297237056837,very_rare,7.592972370568369,very_rare,peak_abundance_with_occupancy_days_modifiers,0.8071
eucdov,DZ,0.17218704231335688,0.1879,0.1879,resident,0.2395,0.0355,0.016,365.0,23.95,0.07180757402820709,uncommon,7.180757402820709,,peak_abundance_with_occupancy_days_modifiers,0.2395
crelar1,DZ,0.15563529153144884,0.10935,0.1684,nonbreeding,0.2292,0.0376,0.0233,147.0,22.919999999999998,0.06490495781736991,uncommon,6.490495781736991,,peak_abundance_with_occupancy_days_modifiers,0.2292
whiwag,DZ,0.15392208227225665,0.13256666666666667,0.1664,nonbreeding,0.1522,0.0183,0.0172,77.0,15.22,0.06419049406299873,uncommon,6.419049406299873,,peak_abundance_with_occupancy_days_modifiers,0.1522
