species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
wvspet1,EC,1.3960811749407094,3.0393394451967612,3.0393394451967612,breeding,0.6130239520958084,0.0038475089845676,0.0026580379715489,364.0,61.30239520958084,0.5822110710078956,common,58.22110710078956,,peak_abundance_with_occupancy_days_modifiers,0.6130239520958084
categr1,EC,0.8643212849625547,1.1554568117111261,1.3733946805369452,nonbreeding,0.3323028602684312,0.0089681397660476,0.0120214840493453,140.0,33.23028602684312,0.3604499724268116,common,36.04499724268116,,peak_abundance_with_occupancy_days_modifiers,0.3323028602684312
blkvul,EC,0.8480547167562925,1.3351,1.3351,resident,0.8008,0.0123,0.0192,365.0,80.08,0.3536662865874885,common,35.36662865874885,,peak_abundance_with_occupancy_days_modifiers,0.8008
magfri,EC,0.7277901240034849,0.7986,1.0705,breeding,0.1033,0.0858,0.2118,140.0,10.33,0.3035120558681221,common,30.351205586812206,,peak_abundance_with_occupancy_days_modifiers,0.1033
pacpar2,EC,0.6994807748813205,1.0127073878835269,1.0127073878835269,resident,0.4788595173681001,0.4672811853373083,0.4257712160030795,365.0,47.885951736810014,0.29170614030404196,common,29.170614030404195,,peak_abundance_with_occupancy_days_modifiers,0.4788595173681001
neocor,EC,0.6078615862775849,0.8365,0.8365,resident,0.1119,0.008,0.036,365.0,11.19,0.2534979709802771,fairly_common,25.34979709802771,,peak_abundance_with_occupancy_days_modifiers,0.1119
whcswi,EC,0.6007577312665978,0.8235,0.8235,resident,0.6566,0.0529,0.069,365.0,65.66,0.250535433336714,common,25.053543333671403,,peak_abundance_with_occupancy_days_modifiers,0.6566
scrbla1,EC,0.541277231221819,0.7182,0.7182,resident,0.2926,0.4169,0.6445,365.0,29.26,0.2257301381599299,fairly_common,22.57301381599299,,peak_abundance_with_occupancy_days_modifiers,0.2926
bbwduc,EC,0.5205184957368906,0.4779999999999999,0.6829,breeding,0.0743,0.006,0.0344,161.0,7.430000000000001,0.21707307305770684,fairly_common,21.707307305770684,,peak_abundance_with_occupancy_days_modifiers,0.0743
bugtan,EC,0.47430685706557046,0.6069,0.6069,resident,0.7131,0.0297,0.0621,365.0,71.31,0.19780132287097302,common,19.780132287097302,,peak_abundance_with_occupancy_days_modifiers,0.7131
yercac1,EC,0.4524123052153312,0.5721,0.5721,resident,0.5133,0.0187,0.0347,365.0,51.33,0.18867058555370558,common,18.86705855537056,,peak_abundance_with_occupancy_days_modifiers,0.5133
bawswa1,EC,0.4449421986503644,0.46335000000000004,0.5604,prebreeding_migration,0.6885,0.0618,0.0645,133.0,68.85,0.18555530914872354,fairly_common,18.555530914872353,,peak_abundance_with_occupancy_days_modifiers,0.6885
