species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
comeid,EE,2.4173324144179658,4.2082,10.2159,prebreeding_migration,0.0991,0.0148,0.0307,84.0,9.91,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.0991
lotduc,EE,2.9287427511653776,8.85295,17.7041,prebreeding_migration,0.1071,0.0156,0.1385,140.0,10.71,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.1071
comcha,EE,3.1883135192855607,7.558825,23.2475,postbreeding_migration,0.9898,0.0042,0.0205,112.0,98.98,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9898
gwfgoo,EE,2.548483771429142,3.243375,11.7877,prebreeding_migration,0.7338,0.0006,0.0,7.0,73.38,1.0,very_rare,100.0,very_rare,peak_abundance_with_occupancy_days_modifiers,0.7338
bargoo,EE,2.2648832258100344,3.2247250000000003,8.63,postbreeding_migration,0.3416,0.0217,0.0269,112.0,34.160000000000004,0.9445296679562198,abundant,94.45296679562199,,peak_abundance_with_occupancy_days_modifiers,0.3416
comcra,EE,2.195912605966924,3.2241,7.9882,postbreeding_migration,0.9586,0.0038,0.0054,133.0,95.86,0.9157666854250349,abundant,91.5766685425035,,peak_abundance_with_occupancy_days_modifiers,0.9586
eursta,EE,2.116219369571008,3.831675,7.2997,postbreeding_migration,0.678,0.0023,0.003,140.0,67.80000000000001,0.8825320244705083,abundant,88.25320244705082,,peak_abundance_with_occupancy_days_modifiers,0.678
grecor,EE,1.9973769998096578,2.663475,6.3697,breeding,0.1571,0.0009,0.0261,98.0,15.709999999999999,0.8329709068064078,abundant,83.29709068064078,,peak_abundance_with_occupancy_days_modifiers,0.1571
cowpig1,EE,1.734836321828434,1.9742250000000001,4.668,postbreeding_migration,0.9882,0.0047,0.0057,105.0,98.82,0.7234829400217552,common,72.34829400217552,,peak_abundance_with_occupancy_days_modifiers,0.9882
bkhgul,EE,1.7095547037688732,2.389825,4.5265,prebreeding_migration,0.61,0.0034,0.0068,175.0,61.0,0.7129396863833021,common,71.29396863833021,,peak_abundance_with_occupancy_days_modifiers,0.61
eursis,EE,1.7082872764762693,1.7610000000000001,4.5195,postbreeding_migration,0.9873,0.0045,0.0122,154.0,98.72999999999999,0.7124111281485112,common,71.24111281485112,,peak_abundance_with_occupancy_days_modifiers,0.9873
redpol1,EE,1.5828841420057203,1.7559233102348388,3.868978405084195,postbreeding_migration,0.9731738367720292,0.0053960768031455,0.0063720078447137,105.0,97.31738367720291,0.6601139590881617,common,66.01139590881617,,peak_abundance_with_occupancy_days_modifiers,0.9731738367720292
tunbeg1,EE,1.5786030580388526,2.8907631318524674,3.8481784546342497,prebreeding_migration,0.4387274878463972,0.027310100460362,0.0088982279341851,77.0,43.87274878463972,0.6583286084035709,common,65.83286084035709,,peak_abundance_with_occupancy_days_modifiers,0.4387274878463972
norlap,EE,1.5533119066539725,3.2644,3.7271,postbreeding_migration,0.3474,0.0048,0.0081,133.0,34.74,0.6477813790596618,common,64.77813790596618,,peak_abundance_with_occupancy_days_modifiers,0.3474
mallar3,EE,1.5297018244146197,2.4224,3.6168,postbreeding_migration,0.4717,0.0017,0.0023,126.0,47.17,0.6379352100016613,common,63.79352100016613,,peak_abundance_with_occupancy_days_modifiers,0.4717
fieldf,EE,1.519644487316647,1.330225,3.5706,postbreeding_migration,0.9497,0.0041,0.0038,91.0,94.97,0.6337409746603341,common,63.374097466033405,,peak_abundance_with_occupancy_days_modifiers,0.9497
barswa,EE,1.4290185453296689,1.5802666666666665,3.1746,postbreeding_migration,0.9845,0.0009,0.0009,105.0,98.45,0.5959470213484295,common,59.59470213484295,,peak_abundance_with_occupancy_days_modifiers,0.9845
whiwag,EE,1.3703174065967498,1.4763333333333335,2.9366,postbreeding_migration,0.9863,0.0014,0.004,91.0,98.63,0.5714667450833139,common,57.14667450833139,,peak_abundance_with_occupancy_days_modifiers,0.9863
mewgul,EE,1.3276583856349333,1.7910499999999998,2.7722,postbreeding_migration,0.2734,0.0051,0.0174,77.0,27.339999999999996,0.5536765515557905,common,55.36765515557905,,peak_abundance_with_occupancy_days_modifiers,0.2734
comgol,EE,1.2948915376465466,1.583475,2.6506,postbreeding_migration,0.3548,0.0054,0.0099,70.0,35.480000000000004,0.5400117145797588,common,54.001171457975886,,peak_abundance_with_occupancy_days_modifiers,0.3548
yellow2,EE,1.2678767491625489,1.49655,2.5533,nonbreeding,0.7363,0.0069,0.0132,112.0,73.63,0.5287456727344569,common,52.87456727344569,,peak_abundance_with_occupancy_days_modifiers,0.7363
