species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
combuz1,EG,2.6964892734720287,3.4572508144053113,13.827584646603004,prebreeding_migration,0.2798357719523288,0.0073626878787183,0.3833568707784133,84.0,27.98357719523288,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.2798357719523288
grwpel1,EG,1.994650917628227,1.7016834213582592,6.349636951332167,prebreeding_migration,0.0666789798521178,0.0715832942756165,0.7285955887307405,77.0,6.667897985211781,0.8318340422350669,abundant,83.18340422350668,,peak_abundance_with_occupancy_days_modifiers,0.0666789798521178
euhbuz1,EG,1.9658841739488568,3.076259208494767,6.141223883727546,prebreeding_migration,0.1235785905404852,0.0185214797221341,0.687361518804469,56.0,12.35785905404852,0.8198373783249707,abundant,81.98373783249707,,peak_abundance_with_occupancy_days_modifiers,0.1235785905404852
whisto1,EG,1.62364146389842,1.4234547822225732,4.071524505874352,postbreeding_migration,0.0370721547028587,0.008127245881869,0.366204011998847,77.0,3.70721547028587,0.6771110825051222,rare,67.71110825051223,rare,peak_abundance_with_occupancy_days_modifiers,0.0370721547028587
barswa,EG,1.5240930900182545,2.2791240750614503,3.5909780768849635,postbreeding_migration,0.5450504585348426,0.0177698694599438,0.0227222113952768,154.0,54.505045853484255,0.6355961860834819,common,63.55961860834819,,peak_abundance_with_occupancy_days_modifiers,0.5450504585348426
rocpig,EG,1.155508538149638,2.175637940011601,2.175637940011601,resident,0.4336401374955101,0.0440320837166727,0.0433899940132197,365.0,43.36401374955101,0.4818844889756784,common,48.188448897567845,,peak_abundance_with_occupancy_days_modifiers,0.4336401374955101
blakit1,EG,1.0899958173464672,0.7324601353367473,1.9742616322311248,prebreeding_migration,0.3412476738509134,0.0248648747478483,0.0967883854300624,105.0,34.124767385091346,0.4545635623504231,common,45.456356235042314,,peak_abundance_with_occupancy_days_modifiers,0.3412476738509134
eubeat1,EG,1.0302148142767624,0.6925883431980618,1.8016676082629863,prebreeding_migration,0.3236409020956144,0.0188895923929174,0.063438269408184,63.0,32.36409020956144,0.42963294767852395,common,42.963294767852396,,peak_abundance_with_occupancy_days_modifiers,0.3236409020956144
whiwag,EG,1.0167831490240757,0.6889774351425983,1.764288142998156,postbreeding_migration,0.288365264207839,0.0255731933099826,0.05683294428356,77.0,28.836526420783898,0.42403150819738605,common,42.403150819738606,,peak_abundance_with_occupancy_days_modifiers,0.288365264207839
houspa,EG,0.9697219526532908,1.6372110878571868,1.6372110878571868,resident,0.0930107548562375,0.0064851994573451,0.0203466976143715,365.0,9.30107548562375,0.40440546493159163,common,40.44054649315916,,peak_abundance_with_occupancy_days_modifiers,0.0930107548562375
skylar,EG,0.8522866102745494,0.7736501521422038,1.3450028336441513,nonbreeding,0.1125052986193749,0.0020688966647179,0.0091622931259896,56.0,11.25052986193749,0.3554311232616599,common,35.54311232616599,,peak_abundance_with_occupancy_days_modifiers,0.1125052986193749
blbsan1,EG,0.8482338805318049,0.5314169184276412,1.3355184028123936,postbreeding_migration,0.4790244413794812,0.044383877700982,0.052039107056532,105.0,47.902444137948116,0.3537410036852471,common,35.37410036852471,,peak_abundance_with_occupancy_days_modifiers,0.4790244413794812
spaspa1,EG,0.8066544213535402,0.7934,1.2404,nonbreeding,0.5473,,,,54.730000000000004,0.3364010223900085,common,33.64010223900085,,peak_abundance_with_occupancy_days_modifiers,0.5473
eaywag1,EG,0.7452176728509474,0.413425,1.1069,postbreeding_migration,0.8983,0.0343,0.0602,126.0,89.83,0.3107799082406422,common,31.077990824064223,,peak_abundance_with_occupancy_days_modifiers,0.8983
leswhi4,EG,0.701722050747922,0.30236521711581316,1.0172234793914947,prebreeding_migration,0.5321296290622677,0.0490781655521,0.1245976134664112,91.0,53.21296290622677,0.2926408249385323,common,29.264082493853227,,peak_abundance_with_occupancy_days_modifiers,0.5321296290622677
categr1,EG,0.6476194477894877,0.5996234916755043,0.9109862074671866,postbreeding_migration,0.1329712837920879,0.0113044670184296,0.0304528667585899,140.0,13.29712837920879,0.2700782870444998,fairly_common,27.00782870444998,,peak_abundance_with_occupancy_days_modifiers,0.1329712837920879
blackc1,EG,0.6329604327871464,0.2992602212669719,0.8831773551519417,prebreeding_migration,0.2432113116582051,0.0021010765337849,0.0085256964755739,63.0,24.32113116582051,0.26396500296214953,fairly_common,26.396500296214953,,peak_abundance_with_occupancy_days_modifiers,0.2432113116582051
levspa1,EG,0.44922677754703333,0.28400000000000003,0.5671,prebreeding_migration,0.1599,,,,15.989999999999998,0.18734211733224718,fairly_common,18.73421173322472,,peak_abundance_with_occupancy_days_modifiers,0.1599
eursta,EG,0.44519197415704903,0.21907991251843328,0.560789798379648,nonbreeding,0.0081906543763323,3.450725417107397e-05,5.937265438794508e-05,0.0,0.81906543763323,0.18565947362559537,very_rare,18.565947362559537,very_rare,peak_abundance_with_occupancy_days_modifiers,0.0081906543763323
crelar1,EG,0.4293091848922106,0.4977819676085416,0.5361959295512554,breeding,0.1283031360930895,0.0176313538061376,0.0241317741721486,161.0,12.830313609308948,0.17903583603599246,fairly_common,17.903583603599245,,peak_abundance_with_occupancy_days_modifiers,0.1283031360930895
comcra,EG,0.4236903125959427,0.3077553286791404,0.5275884456236327,postbreeding_migration,0.2111183063155503,0.003236882931166,0.0026962958811094,35.0,21.11183063155503,0.17669258428517245,fairly_common,17.669258428517246,,peak_abundance_with_occupancy_days_modifiers,0.2111183063155503
palswi3,EG,0.39499358736197354,0.17621430778120595,0.4843746721329258,breeding,0.2448449171703383,0.3655284806492883,0.313405438355555,119.0,24.48449171703383,0.1647251203348058,fairly_common,16.47251203348058,,peak_abundance_with_occupancy_days_modifiers,0.2448449171703383
eucdov,EG,0.39309623578619196,0.4815609616528105,0.4815609616528105,resident,0.0933598312533494,0.0058658870486577,0.0119740437171657,365.0,9.33598312533494,0.16393386326978504,fairly_common,16.393386326978504,,peak_abundance_with_occupancy_days_modifiers,0.0933598312533494
grecor,EG,0.3860423615605097,0.12383549731214498,0.4711469895769914,nonbreeding,0.016651320755331,0.0050754156811714,0.0186010381359506,133.0,1.6651320755331,0.16099216923264292,rare,16.099216923264294,rare,peak_abundance_with_occupancy_days_modifiers,0.016651320755331
