species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
barswa,ER,1.2522343953488841,1.1917096751689014,2.4981504828329224,postbreeding_migration,0.8051688399551493,0.0023927530600504,0.0014416553157866,126.0,80.51688399551493,0.5222223045160403,common,52.222230451604034,,peak_abundance_with_occupancy_days_modifiers,0.8051688399551493
eubeat1,ER,1.119103152475217,1.5578878612502598,2.062106728604053,postbreeding_migration,0.9375323535438042,0.0074277471920989,0.0091895503247016,70.0,93.75323535438042,0.4667022639271527,common,46.67022639271527,,peak_abundance_with_occupancy_days_modifiers,0.9375323535438042
combuz1,ER,1.0379847885452724,1.8235212847936184,1.8235212847936184,postbreeding_migration,0.3056329785609977,0.001874845376152,0.0075979285964973,28.0,30.56329785609977,0.4328732786290255,rare,43.28732786290255,rare,peak_abundance_with_occupancy_days_modifiers,0.3056329785609977
categr1,ER,0.7948685129815259,0.6568123634199534,1.2141498457015325,postbreeding_migration,0.3133525322313978,0.0034694265532944,0.0056982266866009,112.0,31.33525322313978,0.3314859168365204,common,33.14859168365204,,peak_abundance_with_occupancy_days_modifiers,0.3133525322313978
grefla3,ER,0.7311084940445894,0.6760023659763225,1.0773820975280062,postbreeding_migration,0.1531893690259871,0.0083857206264612,0.0014884988087362,49.0,15.31893690259871,0.3048959236619945,common,30.489592366199446,,peak_abundance_with_occupancy_days_modifiers,0.1531893690259871
spepig1,ER,0.6471935910771927,0.9101725744214768,0.9101725744214768,resident,0.3361931184926948,0.0097456542449327,0.0225955509358548,365.0,33.61931184926948,0.2699006910013674,fairly_common,26.990069100136736,,peak_abundance_with_occupancy_days_modifiers,0.3361931184926948
litswi1,ER,0.6120455791229038,0.8442,0.8442,breeding,0.8189,0.0059,0.007,84.0,81.89,0.2552428315222623,fairly_common,25.52428315222623,,peak_abundance_with_occupancy_days_modifiers,0.8189
litsti,ER,0.5620572586675883,0.3085073845740561,0.7542777937104457,postbreeding_migration,0.1820792843851233,0.0045372786291695,0.0155672049254461,126.0,18.20792843851233,0.2343960826995005,fairly_common,23.43960826995005,,peak_abundance_with_occupancy_days_modifiers,0.1820792843851233
grcter1,ER,0.5362215467041892,0.7095352444529249,0.7095352444529249,breeding,0.0349417052543336,0.0027004784819893,0.011831941541002,14.0,3.49417052543336,0.22362175395525616,rare,22.362175395525615,rare,peak_abundance_with_occupancy_days_modifiers,0.0349417052543336
afcdov1,ER,0.45250323892825833,0.421735479317109,0.5722429633900903,breeding,0.3961579228345693,0.0754457091224471,0.0883419510251924,168.0,39.615792283456926,0.18870850785746868,fairly_common,18.870850785746867,,peak_abundance_with_occupancy_days_modifiers,0.3961579228345693
banswa,ER,0.43050585883456544,0.2732575227988788,0.5380353555675831,postbreeding_migration,0.9371778629660962,0.0080032963696354,0.0024808129807331,63.0,93.71778629660962,0.17953488783192786,fairly_common,17.953488783192785,,peak_abundance_with_occupancy_days_modifiers,0.9371778629660962
egyvul1,ER,0.42606345929782985,0.26049161557489575,0.53121794206557,nonbreeding,0.6893531434703901,0.0095650509932639,0.0051788344122734,49.0,68.93531434703901,0.17768226332946102,fairly_common,17.768226332946103,,peak_abundance_with_occupancy_days_modifiers,0.6893531434703901
eaywag1,ER,0.40085449555048114,0.36123333333333335,0.4931,nonbreeding,0.643,0.0052,0.0078,119.0,64.3,0.16716930889257708,fairly_common,16.716930889257707,,peak_abundance_with_occupancy_days_modifiers,0.643
bkwsti,ER,0.39141916259061293,0.16786349699472658,0.4790783578124599,postbreeding_migration,0.2285339812359215,0.0046547465984089,0.004031427117534,105.0,22.85339812359215,0.16323446942443923,fairly_common,16.323446942443923,,peak_abundance_with_occupancy_days_modifiers,0.2285339812359215
comswi,ER,0.38368856607691426,0.4676882825785475,0.4676882825785475,postbreeding_migration,0.6850088565202748,0.0079113529414945,0.0043498269041653,42.0,68.50088565202748,0.16001056027319552,fairly_common,16.001056027319553,,peak_abundance_with_occupancy_days_modifiers,0.6850088565202748
kenplo1,ER,0.28827533635226127,0.21032128552353743,0.3341245865550858,nonbreeding,0.0927388250940506,0.0067890513315643,0.0074233149118254,91.0,9.273882509405059,0.1202201529076125,fairly_common,12.02201529076125,,peak_abundance_with_occupancy_days_modifiers,0.0927388250940506
cursan,ER,0.2843257469667328,0.21120681636223634,0.3288657342388797,nonbreeding,0.1321637911370866,0.0217025815356585,0.0192406369339464,56.0,13.21637911370866,0.11857304620102171,fairly_common,11.857304620102171,,peak_abundance_with_occupancy_days_modifiers,0.1321637911370866
comchi1,ER,0.22139316442377116,0.13043792785350225,0.2478139301790797,nonbreeding,0.294069041654593,0.0052159742380702,0.0061922059064753,35.0,29.406904165459302,0.09232812080462668,fairly_common,9.232812080462669,,peak_abundance_with_occupancy_days_modifiers,0.294069041654593
hoopoe,ER,0.21752667052205688,0.13094145984186278,0.2429985804867097,postbreeding_migration,0.8341470577564952,0.0055048120874401,0.0035901281873184,112.0,83.41470577564952,0.09071566760636747,fairly_common,9.071566760636747,,peak_abundance_with_occupancy_days_modifiers,0.8341470577564952
combul2,ER,0.20831763040127885,0.2316043023965246,0.2316043023965246,resident,0.1971759264809232,0.0022127354813685,0.0011274950876781,365.0,19.71759264809232,0.0868751995820776,fairly_common,8.68751995820776,,peak_abundance_with_occupancy_days_modifiers,0.1971759264809232
whiwag,ER,0.2045940674993583,0.1021691044792765,0.2270268737667969,postbreeding_migration,0.2447055575438027,0.0024739940564024,0.000954802912054696,63.0,24.470555754380268,0.08532235324047104,fairly_common,8.532235324047104,,peak_abundance_with_occupancy_days_modifiers,0.2447055575438027
whrswi1,ER,0.19819490595024478,0.2192,0.2192,breeding,0.806,,,,80.60000000000001,0.08265369559653418,fairly_common,8.265369559653418,,peak_abundance_with_occupancy_days_modifiers,0.806
rebshr1,ER,0.19648792601125994,0.11483173834278515,0.217120625288752,prebreeding_migration,0.4804434978041006,0.0020204348315717,0.0023871047858194,42.0,48.04434978041006,0.08194182967046613,fairly_common,8.194182967046613,,peak_abundance_with_occupancy_days_modifiers,0.4804434978041006
