species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
eursta,ES,4.229702682670185,18.881961788755742,67.69680438678229,nonbreeding,0.3147860878064722,0.0244249626426347,0.1320021803662567,126.0,31.47860878064722,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.3147860878064722
sposta1,ES,2.9230686828151153,17.59827217924156,17.59827217924156,resident,0.6352738820210236,0.5625502538279403,0.7444405885005283,365.0,63.527388202102365,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.6352738820210236
comcra,ES,2.4060114020595513,5.057333694016761,10.089640697553394,nonbreeding,0.1423581470346911,0.032689380380646,0.0796162339324772,126.0,14.23581470346911,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.1423581470346911
comcha,ES,2.4325139804642215,5.641169039318844,10.38747401236703,nonbreeding,0.9557964482025304,0.0721068323820963,0.1352686357015151,112.0,95.57964482025304,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9557964482025304
brambl,ES,2.537822245811206,5.099086851283583,11.652087809838168,nonbreeding,0.5769679596046215,0.0429333218488174,0.0569219649362208,84.0,57.696795960462154,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.5769679596046215
comswi,ES,2.2115452639474205,3.474415012424979,8.129813469984635,breeding,0.8845387004116296,0.0583232838012559,0.1584549811700472,77.0,88.45387004116296,0.9222860101669589,abundant,92.22860101669589,,peak_abundance_with_occupancy_days_modifiers,0.8845387004116296
barswa,ES,1.9152657044539265,2.669520371361703,5.788742356462483,postbreeding_migration,0.7639813725168597,0.0152934149548065,0.0232011780534289,154.0,76.39813725168597,0.7987278369412647,abundant,79.87278369412647,,peak_abundance_with_occupancy_days_modifiers,0.7639813725168597
cowpig1,ES,1.8992769628627706,4.534094768103199,5.68106203951576,postbreeding_migration,0.9042124308941256,0.1285508539010204,0.1177856148615289,112.0,90.42124308941256,0.7920600137996406,abundant,79.20600137996406,,peak_abundance_with_occupancy_days_modifiers,0.9042124308941256
eurlin1,ES,1.8638667657967,3.583459259579371,5.448623942485656,nonbreeding,0.6576496700917974,0.0868912835126031,0.2126524175114133,147.0,65.76496700917974,0.7772928146363735,abundant,77.72928146363735,,peak_abundance_with_occupancy_days_modifiers,0.6576496700917974
norlap,ES,1.665669580159265,1.737588986673853,4.289213616844664,nonbreeding,0.1821160388893317,0.0685736088586996,0.1188533060383082,168.0,18.21160388893317,0.6946381683364385,common,69.46381683364386,,peak_abundance_with_occupancy_days_modifiers,0.1821160388893317
houspa,ES,1.574086982251052,3.8263330781162392,3.8263330781162392,resident,0.5782933603158481,0.0205999254083388,0.024294015205253,365.0,57.82933603158481,0.6564452585179312,common,65.64452585179312,,peak_abundance_with_occupancy_days_modifiers,0.5782933603158481
eurgri1,ES,1.4607037187502565,3.102335051606141,3.3089907792521034,nonbreeding,0.6831862462279557,0.2417671827171278,0.6582904826589923,203.0,68.31862462279557,0.6091607649927091,common,60.91607649927091,,peak_abundance_with_occupancy_days_modifiers,0.6831862462279557
corbun1,ES,1.4374468621683447,2.3674692484389173,3.2099335434602976,nonbreeding,0.5197849218633764,0.0818245113099065,0.1765863555198895,140.0,51.97849218633765,0.5994619024753438,common,59.94619024753438,,peak_abundance_with_occupancy_days_modifiers,0.5197849218633764
whiwag,ES,1.4180425131801067,1.3493474379259502,3.129030002563241,nonbreeding,0.5153655417789096,0.0288417166923928,0.0929179592860333,154.0,51.536554177890956,0.5913696604127481,common,59.13696604127481,,peak_abundance_with_occupancy_days_modifiers,0.5153655417789096
sonthr1,ES,1.3446311881611435,1.5186497272219026,2.836771232971179,postbreeding_migration,0.949840610131664,0.1392967227187665,0.3264895661285337,112.0,94.9840610131664,0.5607547599824674,common,56.07547599824674,,peak_abundance_with_occupancy_days_modifiers,0.949840610131664
eurgol,ES,1.3254822217231332,2.2153,2.764,nonbreeding,0.9207,0.0428,0.1246,245.0,92.07,0.5527690207155213,common,55.27690207155212,,peak_abundance_with_occupancy_days_modifiers,0.9207
comhom1,ES,1.3145811103520968,1.2587770844376946,2.723191052365156,breeding,0.6053567467190913,0.0532239432688007,0.1115299185010791,140.0,60.535674671909135,0.548222904171276,common,54.8222904171276,,peak_abundance_with_occupancy_days_modifiers,0.6053567467190913
eubeat1,ES,1.3046774358236302,2.140574678239386,2.68649976913686,breeding,0.6999936517512875,0.0491401462662239,0.1003611731074666,70.0,69.99936517512874,0.5440927510987822,common,54.409275109878216,,peak_abundance_with_occupancy_days_modifiers,0.6999936517512875
plaswi1,ES,1.2956350209645862,1.144896464523089,2.653315169417347,breeding,0.5793269230769231,0.9577836411609498,0.9936687004941848,147.0,57.932692307692314,0.5403217712058649,common,54.03217712058649,,peak_abundance_with_occupancy_days_modifiers,0.5793269230769231
redkit1,ES,1.2231514960569856,0.9586124943080558,2.39787928074344,nonbreeding,0.5692822371188433,0.450176441144935,0.7894254331170727,119.0,56.92822371188433,0.5100937934747892,common,51.00937934747892,,peak_abundance_with_occupancy_days_modifiers,0.5692822371188433
azwmag3,ES,1.1842985500230345,2.2683934027236714,2.2683934027236714,resident,0.4232964054680717,0.7131019168474372,0.7231975139022798,365.0,42.32964054680717,0.4938908564763734,common,49.38908564763734,,peak_abundance_with_occupancy_days_modifiers,0.4232964054680717
rocpig,ES,1.1802036392996063,2.2550369888553483,2.2550369888553483,resident,0.2601463819182435,0.0136297154884745,0.0232052297215535,365.0,26.014638191824353,0.49218314606471336,common,49.21831460647134,,peak_abundance_with_occupancy_days_modifiers,0.2601463819182435
meapip1,ES,1.1766116194506338,1.4454356287067782,2.243365805492445,nonbreeding,0.70415582075072,0.1386726239358818,0.2673261617844629,98.0,70.41558207507201,0.49068515743705304,common,49.068515743705305,,peak_abundance_with_occupancy_days_modifiers,0.70415582075072
eurrob1,ES,1.1760326889816897,1.5314423723417594,2.2414886656248747,postbreeding_migration,0.9081320320761262,0.107950563911331,0.1603611063935074,112.0,90.81320320761263,0.4904437246791209,common,49.04437246791209,,peak_abundance_with_occupancy_days_modifiers,0.9081320320761262
eurbla,ES,1.1710573681497436,2.016227114880321,2.225401272696211,prebreeding_migration,0.8614598922977302,0.076956801774171,0.0940997533699144,119.0,86.14598922977302,0.4883688547344716,common,48.83688547344716,,peak_abundance_with_occupancy_days_modifiers,0.8614598922977302
skylar,ES,1.1697704086459941,1.2972719979361391,2.2212529817886684,nonbreeding,0.3697945364891445,0.0584945438677804,0.1301571564526983,154.0,36.97945364891445,0.4878321509349567,common,48.78321509349567,,peak_abundance_with_occupancy_days_modifiers,0.3697945364891445
bkhgul,ES,1.107157489281779,0.8824313812921261,2.0257454451761507,nonbreeding,0.0575710314091347,0.0306941330392569,0.0351549128909698,161.0,5.75710314091347,0.4617205354384446,common,46.17205354384446,,peak_abundance_with_occupancy_days_modifiers,0.0575710314091347
corshe,ES,1.0611204668912804,1.0700334918802337,1.8896068849158127,breeding,0.1102678439197641,0.0030432096181228,0.001110999503389,154.0,11.02678439197641,0.44252160589688344,common,44.252160589688344,,peak_abundance_with_occupancy_days_modifiers,0.1102678439197641
eurser1,ES,1.0600429866065044,1.6304576875024286,1.886495067228726,prebreeding_migration,0.7274251308075586,0.226385302746681,0.4279059478822492,168.0,72.74251308075586,0.4420722617170108,common,44.20722617170108,,peak_abundance_with_occupancy_days_modifiers,0.7274251308075586
yelgul1,ES,1.0177853723779118,1.424632848118847,1.7670599658926065,nonbreeding,0.0832974972060021,0.1182209197906283,0.1442974480333971,133.0,8.32974972060021,0.4244494677993776,common,42.44494677993776,,peak_abundance_with_occupancy_days_modifiers,0.0832974972060021
mallar3,ES,0.9541781926387265,1.2217186026929843,1.5965358535932348,nonbreeding,0.0958193773123126,0.0207118495286333,0.0231791502142514,154.0,9.58193773123126,0.39792321352099325,common,39.79232135209932,,peak_abundance_with_occupancy_days_modifiers,0.0958193773123126
lbbgul,ES,0.9190883845861967,0.6049804326045355,1.507003924486043,nonbreeding,0.059397806090359,0.0476178427389244,0.1827705277623542,154.0,5.939780609035901,0.38328962695422897,common,38.328962695422895,,peak_abundance_with_occupancy_days_modifiers,0.059397806090359
callar1,ES,0.8964247875297877,1.067578723487034,1.4508252082262116,nonbreeding,0.3172856179383029,0.0925272584051517,0.1526965697481911,119.0,31.72856179383029,0.3738381728755192,common,37.38381728755192,,peak_abundance_with_occupancy_days_modifiers,0.3172856179383029
spaspa1,ES,0.8834782421276047,1.12615,1.4193,nonbreeding,0.3049,,,,30.490000000000002,0.3684390440857643,common,36.84390440857643,,peak_abundance_with_occupancy_days_modifiers,0.3049
eugplo,ES,0.8764741844590238,0.6529203705743888,1.4024142865676292,nonbreeding,0.140443796857458,0.1772516447514181,0.086363891933749,119.0,14.0443796857458,0.3655181251665627,common,36.55181251665627,,peak_abundance_with_occupancy_days_modifiers,0.140443796857458
gretit1,ES,0.8740679535564091,1.396640472421259,1.396640472421259,resident,0.8366193558581932,0.04127542351351,0.0277587979378104,365.0,83.66193558581932,0.3645146489389263,common,36.451464893892634,,peak_abundance_with_occupancy_days_modifiers,0.8366193558581932
comchi1,ES,0.8312933423666484,0.6835614363727696,1.2962867054350262,nonbreeding,0.6489969877534425,0.0555599135189027,0.1563340177768774,119.0,64.89969877534425,0.34667625054221807,common,34.66762505422181,,peak_abundance_with_occupancy_days_modifiers,0.6489969877534425
berpip1,ES,0.7794172623147039,1.1802014097234068,1.1802014097234068,resident,0.6330128205128205,0.966952264381885,0.9645121553785722,365.0,63.30128205128205,0.32504224482044,common,32.504224482043995,,peak_abundance_with_occupancy_days_modifiers,0.6330128205128205
categr1,ES,0.7602414607819261,0.6929654274108477,1.138792592684301,nonbreeding,0.1154790675392994,0.0054205798083062,0.0150689354532355,140.0,11.54790675392994,0.31704531444974904,common,31.704531444974904,,peak_abundance_with_occupancy_days_modifiers,0.1154790675392994
crelar1,ES,0.7401981506317973,1.0766784092481492,1.096350866590549,breeding,0.4934686920335029,0.0223514060143976,0.0265780719841783,161.0,49.34686920335029,0.30868660488578287,common,30.868660488578286,,peak_abundance_with_occupancy_days_modifiers,0.4934686920335029
eurgre1,ES,0.7368090466073582,1.0299084964226377,1.089258141212946,breeding,0.7319183984302017,0.0557597478898805,0.1071987962379172,287.0,73.19183984302016,0.30727323872968565,common,30.727323872968565,,peak_abundance_with_occupancy_days_modifiers,0.7319183984302017
norgan,ES,0.6811304335703213,0.5199945997981724,0.9761103315475296,postbreeding_migration,0.0942247446476812,0.0030721678141695,0.0024368444852054,112.0,9.42247446476812,0.2840534535836648,fairly_common,28.40534535836648,,peak_abundance_with_occupancy_days_modifiers,0.0942247446476812
sarwar1,ES,0.6792203399026354,0.9440022733322833,0.9723393783000652,nonbreeding,0.5676541621007261,0.2634529133321819,0.4019792805129738,161.0,56.76541621007261,0.2832568826535855,fairly_common,28.32568826535855,,peak_abundance_with_occupancy_days_modifiers,0.5676541621007261
carcro1,ES,0.6710038158742555,0.7292000000000001,0.9562,nonbreeding,0.671,0.0607,0.0569,105.0,67.10000000000001,0.2798303259888354,fairly_common,27.98303259888354,,peak_abundance_with_occupancy_days_modifiers,0.671
blutit,ES,0.6707345966519488,0.955673424242662,0.955673424242662,resident,0.7084531548407808,0.0428441430294846,0.0448498439234229,365.0,70.84531548407807,0.27971805285273943,common,27.971805285273945,,peak_abundance_with_occupancy_days_modifiers,0.7084531548407808
misthr1,ES,0.6698854679214471,0.6386529774879806,0.9540135105905808,nonbreeding,0.7297852446255121,0.08627398391846,0.1414522274149657,126.0,72.9785244625512,0.27936393866763126,fairly_common,27.936393866763126,,peak_abundance_with_occupancy_days_modifiers,0.7297852446255121
stonec4,ES,0.6557501308276023,0.854454684209073,0.926587167896878,postbreeding_migration,0.887276282446861,0.1946303068469355,0.3263064520973195,140.0,88.7276282446861,0.2734690452357973,fairly_common,27.34690452357973,,peak_abundance_with_occupancy_days_modifiers,0.887276282446861
gloibi,ES,0.6466561718382738,0.5008131474587465,0.909146286728404,nonbreeding,0.0274769612189816,0.0063494922230709,0.0582217559201629,133.0,2.74769612189816,0.26967656977096366,rare,26.967656977096365,rare,peak_abundance_with_occupancy_days_modifiers,0.0274769612189816
eurmag1,ES,0.6455810894465229,0.907094900074684,0.907094900074684,resident,0.3322453175297516,0.015050200422998,0.0285076655276426,365.0,33.22453175297516,0.26922822559015375,fairly_common,26.922822559015376,,peak_abundance_with_occupancy_days_modifiers,0.3322453175297516
blackc1,ES,0.6440918481374586,0.8626302831382066,0.9042568893351222,prebreeding_migration,0.7512091106768117,0.2004093058467673,0.4251216860971284,133.0,75.12091106768118,0.2686071637256268,fairly_common,26.86071637256268,,peak_abundance_with_occupancy_days_modifiers,0.7512091106768117
whisto1,ES,0.6030099514724867,0.6632153458258594,0.8276115518675494,nonbreeding,0.1980091925712983,0.045547589088508,0.1207761824108669,133.0,19.800919257129827,0.2514746821151898,fairly_common,25.14746821151898,,peak_abundance_with_occupancy_days_modifiers,0.1980091925712983
grefla3,ES,0.5893434377518213,0.735389330608478,0.802804373449311,postbreeding_migration,0.0183991091694483,0.0152251923500816,0.0206530873739524,133.0,1.83991091694483,0.24577530321582852,rare,24.577530321582852,rare,peak_abundance_with_occupancy_days_modifiers,0.0183991091694483
blared1,ES,0.5755516416751607,0.554635393518174,0.7781111366226082,postbreeding_migration,0.9172999680264416,0.0585028055780609,0.1546115739787704,119.0,91.72999680264417,0.24002367751594317,fairly_common,24.002367751594317,,peak_abundance_with_occupancy_days_modifiers,0.9172999680264416
blakit1,ES,0.5524217208553374,0.4271330891019328,0.7374555594857843,breeding,0.41860173111088,0.0156949924250883,0.0241406927260753,105.0,41.860173111088,0.23037775132299876,fairly_common,23.037775132299878,,peak_abundance_with_occupancy_days_modifiers,0.41860173111088
thelar1,ES,0.5346364865331804,0.7068276746234337,0.7068276746234337,resident,0.5591929981450463,0.2510549299842993,0.4012668343632788,365.0,55.91929981450463,0.22296073252158904,common,22.296073252158905,,peak_abundance_with_occupancy_days_modifiers,0.5591929981450463
relpar1,ES,0.5345096404995482,0.7066111840335906,0.7066111840335906,resident,0.7392078521542469,0.4449338642892205,0.7273875944941405,365.0,73.92078521542469,0.22290783361684077,common,22.290783361684078,,peak_abundance_with_occupancy_days_modifiers,0.7392078521542469
