species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
barswa,ET,1.4810134571777225,1.776125,3.3974,nonbreeding,0.8008,0.0239,0.0423,154.0,80.08,0.6176305837783163,common,61.763058377831626,,peak_abundance_with_occupancy_days_modifiers,0.8008
lesfla1,ET,0.9410382136357585,1.145908142625044,1.5626406061087168,prebreeding_migration,0.0092051718284067,0.0627542534287142,0.0912057004532849,49.0,0.9205171828406701,0.39244341665412114,very_rare,39.244341665412115,very_rare,peak_abundance_with_occupancy_days_modifiers,0.0092051718284067
spepig1,ET,0.8591699643843972,1.3612,1.3612,resident,0.7962,0.1788,0.3314,365.0,79.62,0.3583017048871097,common,35.83017048871097,,peak_abundance_with_occupancy_days_modifiers,0.7962
combul2,ET,0.8078179981186797,1.2430083946240136,1.2430083946240136,resident,0.6787544160600573,0.0793242169050456,0.0630172740323694,365.0,67.87544160600572,0.3368862715909803,common,33.688627159098026,,peak_abundance_with_occupancy_days_modifiers,0.6787544160600573
eaywag1,ET,0.78294217967616,0.5930333333333334,1.1879,nonbreeding,0.7688,0.0531,0.1599,119.0,76.88000000000001,0.32651224953726093,common,32.65122495372609,,peak_abundance_with_occupancy_days_modifiers,0.7688
litswi1,ET,0.7254691520220701,0.7181000000000001,1.0657,breeding,0.8714,0.0533,0.0751,84.0,87.14,0.3025441353722839,common,30.25441353722839,,peak_abundance_with_occupancy_days_modifiers,0.8714
eubeat1,ET,0.6159421096509738,0.6182,0.8514,postbreeding_migration,0.9989,0.054,0.0383,91.0,99.89,0.25686781096664096,fairly_common,25.686781096664095,,peak_abundance_with_occupancy_days_modifiers,0.9989
vilwea1,ET,0.4993172427611909,0.6475959785121862,0.6475959785121862,resident,0.4556220652689636,0.1188657297473882,0.0828626803723368,365.0,45.56220652689636,0.20823146382806038,fairly_common,20.823146382806037,,peak_abundance_with_occupancy_days_modifiers,0.4556220652689636
reedov1,ET,0.47056597110191173,0.6009,0.6009,resident,0.818,0.0672,0.0687,365.0,81.8,0.19624125225150302,common,19.6241252251503,,peak_abundance_with_occupancy_days_modifiers,0.818
categr1,ET,0.4321576285888878,0.35113766236339317,0.5405779351489274,postbreeding_migration,0.1589339685751638,0.0156297858227582,0.0200523823548252,140.0,15.893396857516379,0.18022372932265512,fairly_common,18.02237293226551,,peak_abundance_with_occupancy_days_modifiers,0.1589339685751638
litsti,ET,0.4162072046400665,0.2888,0.5162,postbreeding_migration,0.2497,0.0256,0.0383,119.0,24.97,0.1735718858790476,fairly_common,17.35718858790476,,peak_abundance_with_occupancy_days_modifiers,0.2497
blakit1,ET,0.3672092626536318,0.23567499999999997,0.4437,nonbreeding,0.8083,0.051,0.0322,147.0,80.83,0.15313815695757826,fairly_common,15.313815695757826,,peak_abundance_with_occupancy_days_modifiers,0.8083
supsta1,ET,0.3259167226816963,0.3853,0.3853,resident,0.3075,0.3146,0.2819,365.0,30.75,0.13591783026510068,fairly_common,13.591783026510068,,peak_abundance_with_occupancy_days_modifiers,0.3075
comcra,ET,0.3147377444752068,0.13956666666666667,0.3699,nonbreeding,0.1083,0.0205,0.0037,77.0,10.83,0.1312558342499688,fairly_common,13.125583424996881,,peak_abundance_with_occupancy_days_modifiers,0.1083
comhom1,ET,0.28512334446107396,0.2372379115293097,0.329926057018009,prebreeding_migration,0.2840104911196894,0.0928499055726539,0.2444856929066143,63.0,28.40104911196894,0.11890567019148078,fairly_common,11.890567019148078,,peak_abundance_with_occupancy_days_modifiers,0.2840104911196894
lessts1,ET,0.25789274364102865,0.28690000000000004,0.2942,nonbreeding,0.3871,0.0538,0.052,280.0,38.71,0.10754962761157827,fairly_common,10.754962761157827,,peak_abundance_with_occupancy_days_modifiers,0.3871
egygoo,ET,0.2550297401765315,0.2905,0.2905,resident,0.2194,,,,21.94,0.10635566243012311,fairly_common,10.635566243012311,,peak_abundance_with_occupancy_days_modifiers,0.2194
helgui,ET,0.2544082896263082,0.2896982672093812,0.2896982672093812,resident,0.1653059691983487,0.0396478513466674,0.0300044496976225,365.0,16.53059691983487,0.1060964974210116,fairly_common,10.60964974210116,,peak_abundance_with_occupancy_days_modifiers,0.1653059691983487
grbcam1,ET,0.2447911542975921,0.277354515345082,0.277354515345082,resident,0.3957812730489133,0.0532858145804354,0.0822785680714896,365.0,39.57812730489133,0.10208584047622651,fairly_common,10.20858404762265,,peak_abundance_with_occupancy_days_modifiers,0.3957812730489133
rindov,ET,0.24169048860078787,0.2734,0.2734,resident,0.552,0.0687,0.0175,365.0,55.2,0.10079276244568115,common,10.079276244568115,,peak_abundance_with_occupancy_days_modifiers,0.552
spemou2,ET,0.22676198172108636,0.2545312310367135,0.2545312310367135,resident,0.2621258576908572,0.1613883373540782,0.1270448302656114,365.0,26.212585769085724,0.09456709152124583,fairly_common,9.456709152124583,,peak_abundance_with_occupancy_days_modifiers,0.2621258576908572
isawhe1,ET,0.22641818384786702,0.16383333333333336,0.2541,nonbreeding,0.7723,,,,77.23,0.09442371667201063,fairly_common,9.442371667201064,,peak_abundance_with_occupancy_days_modifiers,0.7723
comswi,ET,0.22234323114344062,0.23099999999999998,0.249,nonbreeding,0.6795,0.0576,0.0215,140.0,67.95,0.09272432940074304,fairly_common,9.272432940074305,,peak_abundance_with_occupancy_days_modifiers,0.6795
whrswi1,ET,0.20798930354253242,0.2312,0.2312,breeding,0.9839,,,,98.39,0.08673827664700579,fairly_common,8.673827664700578,,peak_abundance_with_occupancy_days_modifiers,0.9839
whisto1,ET,0.20212418409013436,0.2099,0.224,nonbreeding,0.3751,,,,37.51,0.0842923318557833,fairly_common,8.42923318557833,,peak_abundance_with_occupancy_days_modifiers,0.3751
combuz1,ET,0.19474407679251177,0.11003333333333333,0.215,postbreeding_migration,0.7823,0.0384,0.0231,98.0,78.23,0.08121458806048829,fairly_common,8.121458806048828,,peak_abundance_with_occupancy_days_modifiers,0.7823
afcdov1,ET,0.18624082490079732,0.14681572012001803,0.2047123501780249,breeding,0.143773326030175,0.1939690797396621,0.223881679454991,154.0,14.3773326030175,0.0776684565892038,fairly_common,7.76684565892038,,peak_abundance_with_occupancy_days_modifiers,0.143773326030175
taweag1,ET,0.16514548571323953,0.1795647160426335,0.1795647160426335,resident,0.5953099368648405,0.1623430036486683,0.3660101322206215,365.0,59.530993686484045,0.06887101683991097,fairly_common,6.887101683991097,,peak_abundance_with_occupancy_days_modifiers,0.5953099368648405
bkwsti,ET,0.16322368110201407,0.065875,0.1773,postbreeding_migration,0.2225,0.0163,0.0094,105.0,22.25,0.06806956206704148,uncommon,6.8069562067041485,,peak_abundance_with_occupancy_days_modifiers,0.2225
banswa,ET,0.16228890304371854,0.14846666666666666,0.1762,nonbreeding,0.3441,,,,34.410000000000004,0.06767972933793956,uncommon,6.767972933793956,,peak_abundance_with_occupancy_days_modifiers,0.3441
grefla3,ET,0.16193491349865766,0.1242783750848893,0.175783711182391,postbreeding_migration,0.0220147925040768,0.0339014290344604,0.0087759589941993,84.0,2.20147925040768,0.06753210423142367,rare,6.753210423142367,rare,peak_abundance_with_occupancy_days_modifiers,0.0220147925040768
hadibi1,ET,0.1585410281285512,0.1718,0.1718,resident,0.428,0.0537,0.0501,365.0,42.8,0.06611674409930839,uncommon,6.611674409930838,,peak_abundance_with_occupancy_days_modifiers,0.428
wlwwar,ET,0.15040080066752523,0.09636666666666667,0.1623,prebreeding_migration,1.0,0.0413,0.0343,105.0,100.0,0.06272200557449946,uncommon,6.2722005574499455,,peak_abundance_with_occupancy_days_modifiers,1.0
whbvul1,ET,0.14652165266276718,0.1578,0.1578,resident,0.6817,0.188,0.1034,365.0,68.17,0.06110427520538656,fairly_common,6.110427520538656,,peak_abundance_with_occupancy_days_modifiers,0.6817
spwlap1,ET,0.13863086816922146,0.1467,0.1487,breeding,0.3939,0.084,0.0719,77.0,39.39,0.05781356247782987,uncommon,5.781356247782988,,peak_abundance_with_occupancy_days_modifiers,0.3939
orabis1,ET,0.13190507087993858,0.141,0.141,resident,0.2743,0.0901,0.0966,365.0,27.43,0.05500868715004551,uncommon,5.500868715004551,,peak_abundance_with_occupancy_days_modifiers,0.2743
pitwhy,ET,0.13146676274230568,0.1405,0.1405,resident,0.7452,0.0797,0.0783,365.0,74.52,0.05482589845922776,fairly_common,5.482589845922776,,peak_abundance_with_occupancy_days_modifiers,0.7452
ruff,ET,0.1268969331883509,0.06856666666666666,0.1353,postbreeding_migration,0.2294,0.0118,0.012,161.0,22.939999999999998,0.05292013151194078,uncommon,5.292013151194078,,peak_abundance_with_occupancy_days_modifiers,0.2294
leskes1,ET,0.10732857775252455,0.04806666666666667,0.1133,prebreeding_migration,0.3684,0.0481,0.053,105.0,36.84,0.04475949344829845,uncommon,4.4759493448298455,,peak_abundance_with_occupancy_days_modifiers,0.3684
