species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
comcha,FI,2.59374368008813,4.228369236797102,12.379767529711623,postbreeding_migration,0.8928301530679609,0.039343395127249,0.0592521037119047,112.0,89.28301530679609,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8928301530679609
bargoo,FI,2.3954879635191335,3.0481888115353586,9.973551445626327,postbreeding_migration,0.0897457141642982,0.1024029767718743,0.3062330026405403,105.0,8.97457141642982,0.9989960740543818,abundant,99.89960740543819,,peak_abundance_with_occupancy_days_modifiers,0.0897457141642982
comeid,FI,1.8841738357683573,2.6392859909504187,5.580915278688623,prebreeding_migration,0.0569880705737315,0.0338624310208933,0.1207433761083651,98.0,5.69880705737315,0.7857615205894731,abundant,78.57615205894732,,peak_abundance_with_occupancy_days_modifiers,0.0569880705737315
redpol1,FI,1.6736160444211567,2.0565616948211285,4.331411604169891,postbreeding_migration,0.9770708935405922,0.0505107081614926,0.0355994368633519,112.0,97.70708935405922,0.6979521013309427,common,69.79521013309426,,peak_abundance_with_occupancy_days_modifiers,0.9770708935405922
fieldf,FI,1.468933694640693,1.207725,3.3446,postbreeding_migration,0.9787,0.0338,0.054,91.0,97.87,0.6125929315196618,common,61.259293151966176,,peak_abundance_with_occupancy_days_modifiers,0.9787
lotduc,FI,1.4455287061419837,1.7113474624297544,3.244095429069084,prebreeding_migration,0.0568198887771057,0.0277541884089964,0.1313480074695798,126.0,5.68198887771057,0.602832293194788,common,60.28322931947881,,peak_abundance_with_occupancy_days_modifiers,0.0568198887771057
gretit1,FI,1.4105360947597732,3.098151812988615,3.098151812988615,resident,0.9867737618579236,0.0326726142288208,0.0413258113890194,365.0,98.67737618579237,0.5882392407878854,common,58.82392407878854,,peak_abundance_with_occupancy_days_modifiers,0.9867737618579236
comcra,FI,1.3829300668345392,1.7090448826280038,2.986565434446219,postbreeding_migration,0.5575763906009741,0.0961256383779274,0.1074656777182193,91.0,55.75763906009741,0.5767266329445007,common,57.67266329445007,,peak_abundance_with_occupancy_days_modifiers,0.5575763906009741
barswa,FI,1.2716607673382432,1.2897980156170084,2.566771223386465,postbreeding_migration,0.6943936292421831,0.0102381310478562,0.0038535177979736,105.0,69.4393629242183,0.5303237308834596,common,53.03237308834596,,peak_abundance_with_occupancy_days_modifiers,0.6943936292421831
cowpig1,FI,1.2135660706060538,1.2329481757894922,2.365464763861956,prebreeding_migration,0.6384687122712701,0.0289191247122487,0.0321086320828888,105.0,63.84687122712701,0.5060963605761684,common,50.60963605761684,,peak_abundance_with_occupancy_days_modifiers,0.6384687122712701
eursis,FI,1.146068229824405,0.954825,2.1458,postbreeding_migration,0.9857,0.0327,0.0729,154.0,98.57000000000001,0.4779475746190243,common,47.794757461902435,,peak_abundance_with_occupancy_days_modifiers,0.9857
wlwwar,FI,1.0945667552418652,1.5120282779095602,1.987887916160487,breeding,0.9785073193457884,0.0737292025148223,0.1173473531469276,98.0,97.85073193457883,0.45646979151199274,common,45.646979151199275,,peak_abundance_with_occupancy_days_modifiers,0.9785073193457884
brambl,FI,1.0614421456326992,0.741656944955828,1.890536559542013,postbreeding_migration,0.9841880434541196,0.0789125274197932,0.092855413474617,154.0,98.41880434541196,0.44265575635168763,common,44.265575635168766,,peak_abundance_with_occupancy_days_modifiers,0.9841880434541196
bkhgul,FI,1.0548406809899749,0.9700071525145986,1.8715176301100964,breeding,0.1349912807239066,0.0240038506388991,0.0415942417301466,161.0,13.49912807239066,0.43990273176482975,common,43.99027317648297,,peak_abundance_with_occupancy_days_modifiers,0.1349912807239066
grecor,FI,1.0457372089612387,0.9539707692251802,1.845495475374608,breeding,0.0544430373977323,0.0058510038194286,0.0415675860822513,133.0,5.44430373977323,0.43610628905442206,common,43.610628905442205,,peak_abundance_with_occupancy_days_modifiers,0.0544430373977323
blksco1,FI,0.9684788416695145,0.49520220546253985,1.6339347786172498,prebreeding_migration,0.0821670533159178,0.1349302905999249,0.1957873949680257,147.0,8.216705331591779,0.40388704738522163,common,40.388704738522165,,peak_abundance_with_occupancy_days_modifiers,0.0821670533159178
taibeg1,FI,0.8438490629734383,0.5164333333333333,1.3253,prebreeding_migration,0.4534,,,,45.34,0.3519123927329224,common,35.19123927329224,,peak_abundance_with_occupancy_days_modifiers,0.4534
blutit,FI,0.8343787430807373,1.3033826113030056,1.3033826113030056,resident,0.9103998945925896,0.0369579565059786,0.0410599843014786,365.0,91.03998945925896,0.3479629625805167,common,34.79629625805167,,peak_abundance_with_occupancy_days_modifiers,0.9103998945925896
whoswa,FI,0.8206485293201563,0.6344850343273825,1.2719728008267714,prebreeding_migration,0.4716390435141516,0.1191001861084739,0.1596744766060163,168.0,47.16390435141516,0.34223701870117545,common,34.223701870117544,,peak_abundance_with_occupancy_days_modifiers,0.4716390435141516
hoocro1,FI,0.8081708571287273,0.7802499999999999,1.2438,postbreeding_migration,0.9636,0.0273,0.0272,168.0,96.36,0.3370334252277761,common,33.70334252277761,,peak_abundance_with_occupancy_days_modifiers,0.9636
comgol,FI,0.7735480038265719,0.9340358771818688,1.1674427227356243,nonbreeding,0.0884866533840413,0.0615091810283085,0.1277733991319523,126.0,8.84866533840413,0.3225945739172473,common,32.25945739172473,,peak_abundance_with_occupancy_days_modifiers,0.0884866533840413
pingro,FI,0.7612244660949873,0.3231117307031587,1.1408960708621754,prebreeding_migration,0.6905569818864223,0.0208427812702147,0.0618546282194532,84.0,69.05569818864224,0.3174552595062376,common,31.745525950623758,,peak_abundance_with_occupancy_days_modifiers,0.6905569818864223
redcro,FI,0.7571719693160883,1.0339389021635466,1.1322376523871085,breeding,0.9743676653279084,0.0363256540997622,0.0868645668337735,217.0,97.43676653279084,0.31576523708329435,common,31.576523708329436,,peak_abundance_with_occupancy_days_modifiers,0.9743676653279084
mewgul,FI,0.7562494649757057,0.7329516127793627,1.1302715609014498,breeding,0.2810193282287953,0.0868479129104008,0.1322478565844276,154.0,28.101932822879526,0.3153805228921253,common,31.53805228921253,,peak_abundance_with_occupancy_days_modifiers,0.2810193282287953
gwfgoo,FI,0.7524894304952464,0.6923768009313929,1.1222767062634464,prebreeding_migration,0.140038105563415,0.0121498699443381,0.0038105569586624,77.0,14.0038105563415,0.31381246672090174,common,31.381246672090175,,peak_abundance_with_occupancy_days_modifiers,0.140038105563415
commer,FI,0.7362317456176141,0.5166777846992265,1.0880523585034567,nonbreeding,0.0790453902521742,0.0172474517674771,0.0641076306297062,112.0,7.904539025217421,0.3070324855173609,common,30.70324855173609,,peak_abundance_with_occupancy_days_modifiers,0.0790453902521742
yellow2,FI,0.7293141005696098,0.6842289722878094,1.07365779907489,nonbreeding,0.2187220184344012,0.0425126179527038,0.0395310569155558,112.0,21.87220184344012,0.30414760345996755,common,30.414760345996754,,peak_abundance_with_occupancy_days_modifiers,0.2187220184344012
grswoo,FI,0.688030098889768,0.9897919765787578,0.9897919765787578,resident,0.9457752203444784,0.0261809351476327,0.0540148978937876,365.0,94.57752203444784,0.28693083751186055,common,28.693083751186055,,peak_abundance_with_occupancy_days_modifiers,0.9457752203444784
meapip1,FI,0.6819743012528845,0.4630551369538551,0.9777786109980584,postbreeding_migration,0.7314824797218852,0.0452640453092092,0.0334803029730412,91.0,73.14824797218851,0.28440537374136976,fairly_common,28.440537374136976,,peak_abundance_with_occupancy_days_modifiers,0.7314824797218852
trepip,FI,0.672184947723071,0.666642825084201,0.9585118951803956,postbreeding_migration,0.9845519905041992,0.0380518563525268,0.0667056369556539,77.0,98.45519905041992,0.2803228962283343,fairly_common,28.032289622833428,,peak_abundance_with_occupancy_days_modifiers,0.9845519905041992
tufduc,FI,0.6612014847976593,0.4396578961584463,0.937118355037846,nonbreeding,0.0620350730227603,0.0509395067907301,0.0524294169257039,133.0,6.20350730227603,0.27574243641843027,fairly_common,27.574243641843026,,peak_abundance_with_occupancy_days_modifiers,0.0620350730227603
whiwag,FI,0.6592079451859572,0.6607790393381491,0.933260479555982,postbreeding_migration,0.6722665503391538,0.0156459408355496,0.0163126789843863,133.0,67.22665503391538,0.27491106582676317,fairly_common,27.491106582676316,,peak_abundance_with_occupancy_days_modifiers,0.6722665503391538
skylar,FI,0.6568283953717633,0.45432494104635396,0.9286656589114596,prebreeding_migration,0.2282639605299109,0.0114857172175979,0.0162653987830791,154.0,22.82639605299109,0.2739187164772368,fairly_common,27.391871647723683,,peak_abundance_with_occupancy_days_modifiers,0.2282639605299109
gnwtea,FI,0.6371606237648414,0.3818064720952593,0.891103694104353,prebreeding_migration,0.3763866899905386,0.0223294710213327,0.0578314586721038,133.0,37.63866899905386,0.2657166186500162,fairly_common,26.571661865001623,,peak_abundance_with_occupancy_days_modifiers,0.3763866899905386
mutswa,FI,0.6319412428626686,0.6428122299572155,0.8812590175068218,postbreeding_migration,0.1141076078579689,0.0183500355135765,0.0341446353559182,133.0,11.41076078579689,0.26353996775062916,fairly_common,26.353996775062917,,peak_abundance_with_occupancy_days_modifiers,0.1141076078579689
norlap,FI,0.6141396162385235,0.5187511233525166,0.848065869473056,prebreeding_migration,0.2534694622440402,0.0218534896981783,0.0271121692126406,133.0,25.34694622440402,0.2561161128283203,fairly_common,25.61161128283203,,peak_abundance_with_occupancy_days_modifiers,0.2534694622440402
redwin,FI,0.5960303697802178,0.44255,0.8149,postbreeding_migration,0.981,0.0002,0.0,7.0,98.1,0.24856397047092207,very_rare,24.85639704709221,very_rare,peak_abundance_with_occupancy_days_modifiers,0.981
eursta,FI,0.5899426082457306,0.33078309468040645,0.8038848843089595,postbreeding_migration,0.0648651477689215,0.0024934335719407,0.0007773465189396901,112.0,6.486514776892149,0.24602517671977434,fairly_common,24.602517671977434,,peak_abundance_with_occupancy_days_modifiers,0.0648651477689215
goldcr1,FI,0.5778798411731101,0.4972126630503363,0.7822557569575189,postbreeding_migration,0.8019104536605688,0.075318360237473,0.1033960533881259,98.0,80.19104536605688,0.24099461212028578,fairly_common,24.09946121202858,,peak_abundance_with_occupancy_days_modifiers,0.8019104536605688
comswi,FI,0.5531254815947931,0.334046493595138,0.7386787428588324,breeding,0.2665160174296985,0.0115400792186266,0.0094545586904526,63.0,26.65160174296985,0.23067124234716452,fairly_common,23.067124234716452,,peak_abundance_with_occupancy_days_modifiers,0.2665160174296985
eurrob1,FI,0.49697749795293056,0.37586589453371066,0.6437455306646082,postbreeding_migration,0.8500032446747703,0.0509232417599523,0.0386834900557586,112.0,85.00032446747703,0.20725571445534913,fairly_common,20.725571445534914,,peak_abundance_with_occupancy_days_modifiers,0.8500032446747703
ruff,FI,0.4953153290206646,0.2896147126247039,0.6410156173280727,prebreeding_migration,0.2303634789957957,0.0613125213341474,0.1073239646622231,119.0,23.03634789957957,0.20656253617057513,fairly_common,20.656253617057512,,peak_abundance_with_occupancy_days_modifiers,0.2303634789957957
arcter,FI,0.4912509446790199,0.38277672329376194,0.634359434953229,breeding,0.0676763968437748,0.0036475013592196,0.0037200246773429,63.0,6.76763968437748,0.20486755624891176,fairly_common,20.486755624891178,,peak_abundance_with_occupancy_days_modifiers,0.0676763968437748
comrav,FI,0.4859197341926752,0.6256695052991462,0.6256695052991462,resident,0.973369934724342,0.0108857235644791,0.0061593305281497,365.0,97.3369934724342,0.20264426879060546,common,20.264426879060547,,peak_abundance_with_occupancy_days_modifiers,0.973369934724342
eaywag1,FI,0.4835366435283199,0.3285,0.6218,postbreeding_migration,0.8204,0.008,0.0114,70.0,82.04,0.20165044279186853,fairly_common,20.16504427918685,,peak_abundance_with_occupancy_days_modifiers,0.8204
sonthr1,FI,0.47970502235793555,0.3910193201167289,0.6155977666782,prebreeding_migration,0.904322366689288,0.0528877970018813,0.0438550367524927,105.0,90.4322366689288,0.2000525326521514,fairly_common,20.00525326521514,,peak_abundance_with_occupancy_days_modifiers,0.904322366689288
eurbul,FI,0.4790872479787781,0.425,0.6146,postbreeding_migration,0.9835,,,,98.35000000000001,0.19979490072545075,fairly_common,19.979490072545076,,peak_abundance_with_occupancy_days_modifiers,0.9835
blagro1,FI,0.45488999143568737,0.576,0.576,resident,0.8335,0.1055,0.2064,365.0,83.35000000000001,0.18970386096337963,common,18.97038609633796,,peak_abundance_with_occupancy_days_modifiers,0.8335
tunbeg1,FI,0.4413036203401788,0.21448872012568665,0.5547326791527316,prebreeding_migration,0.1217227363332351,0.0434953912957562,0.0471095442582904,77.0,12.17227363332351,0.18403790413464238,fairly_common,18.40379041346424,,peak_abundance_with_occupancy_days_modifiers,0.1217227363332351
eugplo,FI,0.4294344830458146,0.23936910723123392,0.5363884241241575,prebreeding_migration,0.4403841713469715,0.096006493710581,0.0445088539090075,119.0,44.03841713469715,0.17908808942463106,fairly_common,17.908808942463107,,peak_abundance_with_occupancy_days_modifiers,0.4403841713469715
woosan,FI,0.42357700918773256,0.45190284930170727,0.5274153744513631,breeding,0.4773562107874929,0.0776333467302942,0.1904893443451704,84.0,47.73562107874929,0.17664533309389008,fairly_common,17.664533309389007,,peak_abundance_with_occupancy_days_modifiers,0.4773562107874929
comcuc,FI,0.4227832003277604,0.3216525633244662,0.5262033797039934,breeding,0.9424456412367797,0.0184267672996788,0.0194091676555745,63.0,94.24456412367796,0.1763142890866821,fairly_common,17.63142890866821,,peak_abundance_with_occupancy_days_modifiers,0.9424456412367797
brant,FI,0.4205634188715205,0.2724866803307669,0.5228192990925379,prebreeding_migration,0.0541389303723871,0.0281619970820163,0.0260076838809336,63.0,5.413893037238711,0.1753885683175472,fairly_common,17.53885683175472,,peak_abundance_with_occupancy_days_modifiers,0.0541389303723871
