species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
revbul,FJ,0.9503246629013665,1.5865492796053358,1.5865492796053358,resident,0.5773514851485149,0.0041941255270752,0.0028266192847404,365.0,57.73514851485149,0.3963161667991976,common,39.63161667991976,,peak_abundance_with_occupancy_days_modifiers,0.5773514851485149
redava,FJ,0.9466368438548713,1.5770281208532555,1.5770281208532555,resident,0.5590943975441289,0.0071529915411088,0.0356526081611924,365.0,55.909439754412894,0.3947782268030978,common,39.477822680309785,,peak_abundance_with_occupancy_days_modifiers,0.5590943975441289
silver3,FJ,0.7793576818277422,1.180071516131341,1.180071516131341,resident,0.6732673267326733,0.0182622342702239,0.011803071920231,365.0,67.32673267326733,0.3250173978274802,common,32.50173978274802,,peak_abundance_with_occupancy_days_modifiers,0.6732673267326733
commyn,FJ,0.7514860492755299,1.120148321642485,1.120148321642485,resident,0.2852722772277227,0.0015253359626904,0.0017061426646188,365.0,28.52722772277227,0.31339402425133317,common,31.33940242513332,,peak_abundance_with_occupancy_days_modifiers,0.2852722772277227
junmyn1,FJ,0.49494011453576714,0.6404,0.6404,resident,0.272,0.0133,0.0256,365.0,27.200000000000003,0.20640605957664135,fairly_common,20.640605957664135,,peak_abundance_with_occupancy_days_modifiers,0.272
spodov,FJ,0.43498585160557035,0.5449412003592334,0.5449412003592334,resident,0.4474009900990099,0.0021792106916959,0.0010250495884227,365.0,44.74009900990099,0.1814031899307833,fairly_common,18.14031899307833,,peak_abundance_with_occupancy_days_modifiers,0.4474009900990099
pagplo,FJ,0.33149615337645416,0.17167905800500974,0.3930507877260668,nonbreeding,0.1219059405940594,0.0165005156411137,0.0435761252992006,119.0,12.19059405940594,0.1382446335905214,fairly_common,13.824463359052139,,peak_abundance_with_occupancy_days_modifiers,0.1219059405940594
grcter1,FJ,0.30585402836107006,0.2424812239890406,0.3577840941120169,breeding,0.4183168316831683,0.0145460805198717,0.0026843991611063,273.0,41.83168316831683,0.12755103687415634,fairly_common,12.755103687415634,,peak_abundance_with_occupancy_days_modifiers,0.4183168316831683
pacswa1,FJ,0.2863088333720313,0.3315036045087704,0.3315036045087704,resident,0.2456683168316831,0.0044722064199255,0.0035624336909183,365.0,24.56683168316831,0.11940005746702427,fairly_common,11.940005746702427,,peak_abundance_with_occupancy_days_modifiers,0.2456683168316831
wantat1,FJ,0.23562937716649088,0.1255007806841887,0.265705124007252,nonbreeding,0.1301138111350353,0.0726304945054945,0.5654731375821992,182.0,13.011381113503532,0.09826508264954742,fairly_common,9.826508264954741,,peak_abundance_with_occupancy_days_modifiers,0.1301138111350353
whfher1,FJ,0.22716334871379967,0.2036564053761851,0.255034859527345,nonbreeding,0.1073638613861386,0.003679823538145,0.0172058838526247,322.0,10.73638613861386,0.09473447455805588,fairly_common,9.473447455805587,,peak_abundance_with_occupancy_days_modifiers,0.1073638613861386
blnter1,FJ,0.22096123240753654,0.16408396794605945,0.2472750757749441,breeding,0.354269801980198,0.0010349066324409,0.0003486377355101242,98.0,35.4269801980198,0.09214799116296361,fairly_common,9.214799116296362,,peak_abundance_with_occupancy_days_modifiers,0.354269801980198
