species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
sooshe,FK,5.0209898396361705,58.57214837396961,150.56125090346555,prebreeding_migration,0.2643326039387308,0.0006619619623494617,0.0076265733886518,91.0,26.43326039387308,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.2643326039387308
magpen1,FK,2.6004635448562587,7.297219815374203,12.46998052823987,breeding,0.4923413566739606,0.1174566715389434,0.2315030308928822,77.0,49.23413566739606,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.4923413566739606
bkbalb,FK,3.61208094822658,19.758062660341974,36.04305735030894,breeding,0.3321663019693654,0.0016179096861978,0.0108228777101657,119.0,33.21663019693654,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.3321663019693654
kelgul,FK,2.7485969577479965,14.6207,14.6207,resident,0.7839,0.0313,0.0387,365.0,78.39,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.7839
uplgoo1,FK,2.783170042096322,11.766874999999999,15.1702,postbreeding_migration,0.752,0.02,0.0638,140.0,75.2,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.752
slbpri1,FK,2.045925530467682,6.736315421072086,6.736315421072086,breeding,0.1728665207877461,0.0011752279793516,0.0109245174760798,98.0,17.28665207877461,0.8532172166468571,abundant,85.32172166468571,,peak_abundance_with_occupancy_days_modifiers,0.1728665207877461
souful1,FK,2.010962981179988,2.7738350887636822,6.470507843065314,nonbreeding,0.3089715536105032,0.0028959097736954,0.0046763894654588,175.0,30.89715536105032,0.838636701107122,abundant,83.86367011071219,,peak_abundance_with_occupancy_days_modifiers,0.3089715536105032
soater1,FK,1.9510682517129367,2.2184749999999998,6.0362,breeding,0.8545,0.1676,0.1421,133.0,85.45,0.8136586588437694,abundant,81.36586588437694,,peak_abundance_with_occupancy_days_modifiers,0.8545
angpet1,FK,1.7851659335663848,3.437646972698606,4.960568923987367,breeding,0.749234135667396,0.0027422801290409,0.009537382687152,154.0,74.92341356673961,0.7444720183642867,common,74.44720183642866,,peak_abundance_with_occupancy_days_modifiers,0.749234135667396
magcor1,FK,1.7235063285101324,4.604144024848938,4.604144024848938,resident,0.5015317286652079,0.126100352112676,0.3091227449662387,365.0,50.15317286652079,0.7187579658134031,common,71.87579658134031,,peak_abundance_with_occupancy_days_modifiers,0.5015317286652079
magoys1,FK,1.5870082374679157,1.5733499999999998,3.8891,nonbreeding,0.7018,0.3989,0.2491,133.0,70.17999999999999,0.6618338404812231,common,66.1833840481223,,peak_abundance_with_occupancy_days_modifiers,0.7018
