species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
pagplo,FM,0.7956963222668857,0.5509956978038762,1.2159834983556166,nonbreeding,0.4782608695652174,0.00024460207689399834,0.0003154423563461167,112.0,47.82608695652174,0.33183114012243714,common,33.18311401224371,,peak_abundance_with_occupancy_days_modifiers,0.4782608695652174
nutman,FM,0.6961864847683867,1.006087855152462,1.006087855152462,resident,0.4782608695652174,4.215746579975587e-05,4.380801246278264e-05,365.0,47.82608695652174,0.29033231462019987,common,29.033231462019987,,peak_abundance_with_occupancy_days_modifiers,0.4782608695652174
rudtur,FM,0.36685611519784056,0.3488292383111041,0.4431902510316475,nonbreeding,0.9130434782608696,0.0006025392726490209,0.00022593957474816576,56.0,91.30434782608697,0.15299088302956423,fairly_common,15.299088302956424,,peak_abundance_with_occupancy_days_modifiers,0.9130434782608696
yelbit,FM,0.1673720648260745,0.11270031178086667,0.1821940363101337,breeding,0.4565217391304347,0.00018062842270335063,0.00031672427744826456,140.0,45.65217391304347,0.06979957245203183,uncommon,6.979957245203183,,peak_abundance_with_occupancy_days_modifiers,0.4565217391304347
pacreh1,FM,0.15714566699107563,0.1701660560551587,0.1701660560551587,resident,0.2490974729241877,0.0013358372214585,0.0019544326754154,365.0,24.90974729241877,0.06553483330724655,uncommon,6.553483330724655,,peak_abundance_with_occupancy_days_modifiers,0.2490974729241877
grcter1,FM,0.14653822244849868,0.1578191846568623,0.1578191846568623,breeding,0.782608695652174,0.0003873216706474727,1.6852810599110164e-05,84.0,78.26086956521739,0.06111118534275553,uncommon,6.111118534275553,,peak_abundance_with_occupancy_days_modifiers,0.782608695652174
woosan,FM,0.13957277618630523,0.1497824794572332,0.1497824794572332,postbreeding_migration,0.391304347826087,1.1360258408011256e-05,7.032271292981567e-06,70.0,39.130434782608695,0.058206368630695934,uncommon,5.820636863069593,,peak_abundance_with_occupancy_days_modifiers,0.391304347826087
whimbr,FM,0.13835018448328693,0.09022069034045149,0.1483776238949402,prebreeding_migration,0.3260869565217391,0.00012684319010623118,3.2292663587041824e-05,42.0,32.60869565217391,0.05769650828905078,uncommon,5.769650828905077,,peak_abundance_with_occupancy_days_modifiers,0.3260869565217391
barswa,FM,0.13685481468613064,0.12884910922983417,0.1466616580019826,nonbreeding,0.4565217391304347,1.1765997835056398e-05,5.25759140293468e-07,21.0,45.65217391304347,0.05707289064647913,rare,5.707289064647913,rare,peak_abundance_with_occupancy_days_modifiers,0.4565217391304347
whiter2,FM,0.12019992184499272,0.07068512179767306,0.1277222853639851,nonbreeding,0.4782608695652174,0.0001101101101101101,9.005298521774487e-06,42.0,47.82608695652174,0.050127260856024855,uncommon,5.012726085602486,,peak_abundance_with_occupancy_days_modifiers,0.4782608695652174
whiter,FM,0.12019992184499272,0.07068512179767306,0.1277222853639851,nonbreeding,0.4782608695652174,0.0001101101101101101,9.005298521774487e-06,42.0,47.82608695652174,0.050127260856024855,uncommon,5.012726085602486,,peak_abundance_with_occupancy_days_modifiers,0.4782608695652174
eutspa,FM,0.09123416824256592,0.0955255125083175,0.0955255125083175,resident,0.0196078431372549,1.855654224814365e-06,1.477583840670446e-06,365.0,1.9607843137254901,0.038047603361799257,rare,3.8047603361799256,rare,peak_abundance_with_occupancy_days_modifiers,0.0196078431372549
comsan,FM,0.07162091877864624,0.041901216585782934,0.0742480396090642,nonbreeding,0.6739130434782609,6.95513266354658e-05,1.3802627961696729e-05,77.0,67.3913043478261,0.029868243034260517,uncommon,2.9868243034260518,,peak_abundance_with_occupancy_days_modifiers,0.6739130434782609
rensti,FM,0.06944956909462076,0.0719180020463207,0.0719180020463207,postbreeding_migration,0.4782608695652174,0.0003380039331366765,1.417307572232049e-05,21.0,47.82608695652174,0.02896271988291308,rare,2.896271988291308,rare,peak_abundance_with_occupancy_days_modifiers,0.4782608695652174
shtsan,FM,0.05266998079715745,0.0316855642823097,0.0540817205024802,postbreeding_migration,0.4782608695652174,0.0007638389647735442,1.758788467895166e-05,28.0,47.82608695652174,0.02196508804810769,rare,2.196508804810769,rare,peak_abundance_with_occupancy_days_modifiers,0.4782608695652174
gyttat1,FM,0.03622975100906329,0.021681447958816602,0.036894046580014,prebreeding_migration,0.3478260869565217,0.0004749324705393452,6.359037200535143e-05,35.0,34.782608695652165,0.015108979704014685,rare,1.5108979704014684,,peak_abundance_with_occupancy_days_modifiers,0.3478260869565217
comter,FM,0.03442643286298019,0.0350258816843447,0.0350258816843447,postbreeding_migration,0.3478260869565217,3.688390904889077e-06,1.1045699388288623e-07,7.0,34.782608695652165,0.014356937625054902,very_rare,1.4356937625054902,very_rare,peak_abundance_with_occupancy_days_modifiers,0.3478260869565217
grsplo,FM,0.021467906615240926,0.011766666666666667,0.0217,nonbreeding,0.1386,0.0007,0.0001,98.0,13.86,0.008952812434626341,rare,0.8952812434626342,,peak_abundance_with_occupancy_days_modifiers,0.1386
bkwsti,FM,0.017243320206665053,0.0099824246059617,0.0173928444476231,nonbreeding,0.4130434782608695,4.528985507246377e-05,6.037825047798444e-07,14.0,41.30434782608695,0.007191023061879521,rare,0.7191023061879521,,peak_abundance_with_occupancy_days_modifiers,0.4130434782608695
integr1,FM,0.0162462697910618,0.0163789580211691,0.0163789580211691,prebreeding_migration,0.3695652173913043,5.9296878542552485e-05,3.3714634531064497e-06,21.0,36.95652173913043,0.006775220742689979,rare,0.6775220742689979,,peak_abundance_with_occupancy_days_modifiers,0.3695652173913043
whwter,FM,0.003903365799421638,0.0039109938535029,0.0039109938535029,nonbreeding,0.3695652173913043,0.00016861901030559715,6.650022178388455e-07,7.0,36.95652173913043,0.0016278299739364243,very_rare,0.16278299739364244,,peak_abundance_with_occupancy_days_modifiers,0.3695652173913043
wantat1,FM,0.0031202944177448405,0.0031251676036449,0.0031251676036449,nonbreeding,0.4782608695652174,0.0037774725274725,9.410793092603768e-05,7.0,47.82608695652174,0.0013012638429799016,very_rare,0.13012638429799017,,peak_abundance_with_occupancy_days_modifiers,0.4782608695652174
commoo3,FM,0.001399020913707341,0.0014,0.0014,nonbreeding,0.0037,0.0,0.0,7.0,0.37,0.0005834370372959348,very_rare,0.05834370372959348,,peak_abundance_with_occupancy_days_modifiers,0.0037
bktgod,FM,0.0,0.0,0.0,postbreeding_migration,0.0037,0.0,0.0,7.0,0.37,0.0,very_rare,0.0,,peak_abundance_with_occupancy_days_modifiers,0.0037
