species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
norful,FO,4.283964944630432,60.8254100675044,71.52743794150548,nonbreeding,0.978082191780822,0.0010658466315365,0.0003986630253312008,154.0,97.8082191780822,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.978082191780822
atlpuf,FO,4.327066835824037,29.85645234927739,74.72185588078956,breeding,0.7917808219178082,0.0005965901999450837,0.0007309546644618796,98.0,79.17808219178082,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.7917808219178082
comeid,FO,2.7171685027467376,11.2081,14.1374,prebreeding_migration,0.8491,0.0106,0.0087,84.0,84.91,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8491
commur,FO,2.518228184447061,4.1323252176444925,11.406594979926332,breeding,0.5808219178082191,0.0002753994174243093,0.00011885405891494317,105.0,58.082191780821915,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.5808219178082191
arcter,FO,2.5005995364676914,11.1898,11.1898,breeding,0.8437,0.0007,0.0049,42.0,84.37,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8437
bklkit,FO,3.2917353604816415,11.071210926768611,25.889486142411215,prebreeding_migration,0.7534246575342466,0.0003424546052331751,0.0002357794010899163,119.0,75.34246575342466,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.7534246575342466
eursta,FO,2.3041838143577427,7.3,9.016,postbreeding_migration,0.6765,0.0002,0.0002,140.0,67.65,0.9609192863826509,abundant,96.09192863826509,,peak_abundance_with_occupancy_days_modifiers,0.6765
gragoo,FO,1.9929027802625974,3.2220000000000004,6.3368,nonbreeding,0.4528,0.0007,0.0014,112.0,45.28,0.8311050123289402,abundant,83.11050123289402,,peak_abundance_with_occupancy_days_modifiers,0.4528
norgan,FO,1.9164372002711125,5.7967,5.7967,breeding,0.5957,0.0001,0.0001,77.0,59.57,0.7992163886434493,abundant,79.92163886434494,,peak_abundance_with_occupancy_days_modifiers,0.5957
mallar3,FO,1.5964337232988464,2.0523999999999996,3.9354,nonbreeding,0.6011,0.0002,0.0001,126.0,60.11,0.6657645733776314,common,66.57645733776315,,peak_abundance_with_occupancy_days_modifiers,0.6011
euroys1,FO,1.5544324733973707,1.9245666666666665,3.7324,breeding,0.7547,0.0048,0.0123,98.0,75.47,0.6482486916884116,common,64.82486916884116,,peak_abundance_with_occupancy_days_modifiers,0.7547
redwin,FO,1.5199507459325643,0.9565,3.572,postbreeding_migration,0.7035,0.0003,0.0002,63.0,70.35,0.6338686944233243,common,63.386869442332426,,peak_abundance_with_occupancy_days_modifiers,0.7035
lbbgul,FO,1.3522979773615824,1.536425,2.8663,breeding,0.9003,0.0009,0.0031,126.0,90.03,0.563952059417272,common,56.3952059417272,,peak_abundance_with_occupancy_days_modifiers,0.9003
blkgui,FO,1.2771518094146268,1.6125468787214117,2.5864103846354025,prebreeding_migration,0.7726027397260274,0.001027772109159,0.0025918911228172,84.0,77.26027397260275,0.5326136732919851,common,53.26136732919851,,peak_abundance_with_occupancy_days_modifiers,0.7726027397260274
gbbgul,FO,1.16302580199253,2.1996,2.1996,resident,0.7763,0.0047,0.0057,365.0,77.63,0.48501943149304666,common,48.501943149304665,,peak_abundance_with_occupancy_days_modifiers,0.7763
rudtur,FO,0.9411394298435456,0.939075,1.5629,postbreeding_migration,0.6819,0.003,0.0075,119.0,68.19,0.39248562709130547,common,39.248562709130546,,peak_abundance_with_occupancy_days_modifiers,0.6819
bripet,FO,0.8577151554152377,0.789786152337512,1.3577674025542117,breeding,0.2821917808219178,0.00028798783181510623,0.000506586264428607,35.0,28.21917808219178,0.35769500242363567,common,35.76950024236357,,peak_abundance_with_occupancy_days_modifiers,0.2821917808219178
gresku1,FO,0.8451346887026896,0.8629426020023213,1.3282913879988945,breeding,0.8547945205479452,0.0007465632963640932,0.0017319229963179,91.0,85.47945205479452,0.35244854030526857,common,35.24485403052686,,peak_abundance_with_occupancy_days_modifiers,0.8547945205479452
hoocro1,FO,0.8406184599181536,1.031525,1.3178,postbreeding_migration,0.7412,0.0004,0.0003,168.0,74.11999999999999,0.35056512661503453,common,35.056512661503454,,peak_abundance_with_occupancy_days_modifiers,0.7412
mewgul,FO,0.7991724752032493,0.6997,1.2237,prebreeding_migration,0.7871,0.0017,0.0008,77.0,78.71000000000001,0.3332808084944452,common,33.32808084944452,,peak_abundance_with_occupancy_days_modifiers,0.7871
lotduc,FO,0.7795083462079887,0.7345666666666667,1.1804,nonbreeding,0.2399,0.0026,0.0011,105.0,23.990000000000002,0.3250802297542768,common,32.50802297542768,,peak_abundance_with_occupancy_days_modifiers,0.2399
eurwig,FO,0.776706773658876,0.6395249999999999,1.1743,nonbreeding,0.2102,0.0002,0.0004,49.0,21.02,0.3239118832543718,common,32.391188325437184,,peak_abundance_with_occupancy_days_modifiers,0.2102
rocpig,FO,0.7648164672503049,1.1486,1.1486,resident,0.5768,0.0001,0.0001,365.0,57.68,0.31895324033803846,common,31.895324033803846,,peak_abundance_with_occupancy_days_modifiers,0.5768
y00478,FO,0.7030975114131134,0.4644,1.02,nonbreeding,0.628,0.0113,0.0058,112.0,62.8,0.293214436589047,common,29.3214436589047,,peak_abundance_with_occupancy_days_modifiers,0.628
razorb,FO,0.6599645637876879,0.5683778348608478,0.9347237739048592,prebreeding_migration,0.6027397260273972,0.00047517840789314535,0.00013082842710594058,126.0,60.273972602739725,0.27522660029163903,fairly_common,27.5226600291639,,peak_abundance_with_occupancy_days_modifiers,0.6027397260273972
manshe,FO,0.553095572855401,0.39623381363432086,0.7386267419470703,breeding,0.4849315068493151,0.00034043240685711646,4.300452469498342e-05,119.0,48.49315068493151,0.23065876943405136,fairly_common,23.065876943405137,,peak_abundance_with_occupancy_days_modifiers,0.4849315068493151
pursan,FO,0.5519867607709316,0.266125,0.7367,nonbreeding,0.3073,0.0051,0.0062,126.0,30.73,0.23019635887882492,fairly_common,23.01963588788249,,peak_abundance_with_occupancy_days_modifiers,0.3073
