species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
eursta,FR,3.0582891450201783,12.345925,20.2911,postbreeding_migration,0.819,0.0372,0.0729,140.0,81.89999999999999,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.819
cowpig1,FR,3.0999030817905124,9.870125,21.1958,postbreeding_migration,0.9355,0.129,0.3274,112.0,93.55,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9355
comcha,FR,2.5704342876921062,6.093375,12.0715,postbreeding_migration,0.9938,0.0504,0.1211,112.0,99.38,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9938
norlap,FR,2.034940914278772,4.086625,6.6518,nonbreeding,0.2417,0.0805,0.2727,133.0,24.169999999999998,0.8486362758887185,abundant,84.86362758887185,,peak_abundance_with_occupancy_days_modifiers,0.2417
eugplo,FR,1.6288286902260325,1.9068666666666667,4.0979,nonbreeding,0.2285,0.2635,0.4194,35.0,22.85,0.6792743239053852,common,67.92743239053853,,peak_abundance_with_occupancy_days_modifiers,0.2285
carcro1,FR,1.474648586085462,2.4398,3.3695,nonbreeding,0.9557,0.0928,0.2155,105.0,95.57,0.6149762263656037,common,61.497622636560365,,peak_abundance_with_occupancy_days_modifiers,0.9557
comcra,FR,1.4249860882308767,1.6692333333333336,3.1578,nonbreeding,0.3555,0.0334,0.0155,84.0,35.55,0.5942653561212046,common,59.42653561212046,,peak_abundance_with_occupancy_days_modifiers,0.3555
bkhgul,FR,1.4069299747199622,1.55405,3.0834,nonbreeding,0.1617,0.0804,0.0942,175.0,16.17,0.5867353719239202,common,58.673537192392025,,peak_abundance_with_occupancy_days_modifiers,0.1617
mallar3,FR,1.347501556400735,1.928675,2.8478,nonbreeding,0.3549,0.0198,0.0196,126.0,35.49,0.5619517965136924,common,56.195179651369244,,peak_abundance_with_occupancy_days_modifiers,0.3549
grefla3,FR,1.340681822982476,2.642265770555713,2.821648304904554,postbreeding_migration,0.0561706089575954,0.0071044845842416,0.0120651831106926,133.0,5.61706089575954,0.5591077467773999,common,55.910774677739994,,peak_abundance_with_occupancy_days_modifiers,0.0561706089575954
skylar,FR,1.3261461882836123,1.69675,2.7665,postbreeding_migration,0.791,0.0566,0.1115,154.0,79.10000000000001,0.5530459162780637,common,55.30459162780637,,peak_abundance_with_occupancy_days_modifiers,0.791
meapip1,FR,1.3106814109007392,1.045625,2.7087,postbreeding_migration,0.9222,0.083,0.1566,98.0,92.22,0.5465966031832404,common,54.65966031832404,,peak_abundance_with_occupancy_days_modifiers,0.9222
barswa,FR,1.2762004383228167,1.3101,2.583,postbreeding_migration,0.9361,0.0095,0.0123,154.0,93.61,0.5322169207304356,common,53.221692073043556,,peak_abundance_with_occupancy_days_modifiers,0.9361
comswi,FR,1.220888916702249,0.9501666666666667,2.3902,breeding,0.9841,0.0323,0.0563,70.0,98.41,0.5091502245956963,common,50.91502245956963,,peak_abundance_with_occupancy_days_modifiers,0.9841
eurlin1,FR,1.1683249010794101,1.3239750000000001,2.2166,postbreeding_migration,0.8938,0.0749,0.1202,133.0,89.38000000000001,0.4872293274576424,common,48.72293274576424,,peak_abundance_with_occupancy_days_modifiers,0.8938
eurbla,FR,1.0439448873258015,1.6093000000000002,1.8404,nonbreeding,0.9791,0.0654,0.1276,119.0,97.91,0.4353588328765943,common,43.53588328765943,,peak_abundance_with_occupancy_days_modifiers,0.9791
redwin,FR,1.0116736363067074,1.0287,1.7502,postbreeding_migration,0.9359,0.1787,0.2508,63.0,93.58999999999999,0.4219006758898493,common,42.19006758898493,,peak_abundance_with_occupancy_days_modifiers,0.9359
comhom1,FR,0.9879485874630886,0.9965501672758682,1.6857192990948175,postbreeding_migration,0.7856386016428043,0.0581034980370557,0.1078660500170161,91.0,78.56386016428043,0.412006562033938,common,41.2006562033938,,peak_abundance_with_occupancy_days_modifiers,0.7856386016428043
