species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
barswa,GA,0.9107408058890757,0.6388441751612511,1.4861636160061378,prebreeding_migration,0.3319279680546478,0.002107643957249,0.0013607626264376,35.0,33.19279680546478,0.37980841624756656,common,37.98084162475666,,peak_abundance_with_occupancy_days_modifiers,0.3319279680546478
lessts1,GA,0.6274386867628023,0.5423961429373121,0.8728075840467528,nonbreeding,0.7253247114086833,0.034519670198365,0.0353050261177013,168.0,72.53247114086832,0.26166225601278004,fairly_common,26.166225601278004,,peak_abundance_with_occupancy_days_modifiers,0.7253247114086833
orcwax,GA,0.5080146620559786,0.6619883089060841,0.6619883089060841,resident,0.9366058615369792,0.1293852299855013,0.1541903688498171,365.0,93.66058615369792,0.21185856939578507,common,21.185856939578507,,peak_abundance_with_occupancy_days_modifiers,0.9366058615369792
litswi1,GA,0.5019261405789579,0.3739,0.6519,breeding,0.9838,0.0142,0.0108,84.0,98.38,0.20931945872398522,fairly_common,20.931945872398522,,peak_abundance_with_occupancy_days_modifiers,0.9838
combul2,GA,0.49598841057936477,0.6421205264829093,0.6421205264829093,resident,0.7194391039207446,0.0198183601724878,0.0076733084529073,365.0,71.94391039207446,0.20684323298262344,common,20.684323298262346,,peak_abundance_with_occupancy_days_modifiers,0.7194391039207446
panvul1,GA,0.31911421479158075,0.3759084650305729,0.3759084650305729,resident,0.9650347423065078,0.1150060112233732,0.1655881250661569,365.0,96.50347423065078,0.1330809641320035,common,13.30809641320035,,peak_abundance_with_occupancy_days_modifiers,0.9650347423065078
vilwea1,GA,0.22500502674267223,0.2523290113117232,0.2523290113117232,resident,0.1090646866321312,0.0067068195356635,0.0076103139361582,365.0,10.90646866321312,0.09383438438497307,fairly_common,9.383438438497308,,peak_abundance_with_occupancy_days_modifiers,0.1090646866321312
hadibi1,GA,0.14361275854945907,0.1544369761072123,0.1544369761072123,resident,0.6410193624828133,0.1139217949631251,0.0348749681141707,365.0,64.10193624828133,0.05989117213691383,fairly_common,5.989117213691383,,peak_abundance_with_occupancy_days_modifiers,0.6410193624828133
grbcam1,GA,0.1415500044674205,0.1520581108727742,0.1520581108727742,resident,0.8142376022634532,0.0258725065086029,0.0106461371571648,365.0,81.42376022634532,0.05903093686916115,fairly_common,5.903093686916115,,peak_abundance_with_occupancy_days_modifiers,0.8142376022634532
afrski1,GA,0.1236880892391308,0.1316628381277737,0.1316628381277737,resident,0.0542166783091024,0.1086068662473505,0.452631528376497,365.0,5.42166783091024,0.05158193964609033,uncommon,5.1581939646090325,,peak_abundance_with_occupancy_days_modifiers,0.0542166783091024
wookin1,GA,0.11867152971749864,0.10355,0.126,breeding,0.9865,0.0165,0.0154,203.0,98.65,0.049489871832061924,fairly_common,4.948987183206192,,peak_abundance_with_occupancy_days_modifiers,0.9865
categr1,GA,0.11261636987047102,0.0600307027836155,0.1192024907838676,prebreeding_migration,0.0317843437748263,0.0013964616927738,0.0004355254063911331,133.0,3.17843437748263,0.04696467404059996,rare,4.696467404059996,rare,peak_abundance_with_occupancy_days_modifiers,0.0317843437748263
reedov1,GA,0.08569442889758647,0.089473365858413,0.089473365858413,resident,0.1319606052917626,0.0048317637288898,0.0034070117921366,365.0,13.19606052917626,0.03573735261489554,uncommon,3.5737352614895537,,peak_abundance_with_occupancy_days_modifiers,0.1319606052917626
klacuc1,GA,0.07120135382696588,0.0456522345318795,0.0737974173215025,breeding,0.4595359052140177,0.0180929082687573,0.0196865893209768,63.0,45.95359052140177,0.029693270859103525,uncommon,2.9693270859103524,,peak_abundance_with_occupancy_days_modifiers,0.4595359052140177
woowar,GA,0.05458287777029171,0.0364,0.0561,nonbreeding,0.7771,0.018,0.0177,49.0,77.71000000000001,0.0227628280473621,uncommon,2.27628280473621,,peak_abundance_with_occupancy_days_modifiers,0.7771
broman1,GA,0.05047249943283192,0.0517679387424389,0.0517679387424389,resident,0.0188085227032347,0.0014937847811934,0.003656189545574,365.0,1.88085227032347,0.021048667139632767,rare,2.104866713963277,rare,peak_abundance_with_occupancy_days_modifiers,0.0188085227032347
pitwhy,GA,0.050285773150272835,0.0515715643598225,0.0515715643598225,resident,0.2618632117836139,0.0109111726006723,0.0080837290070512,365.0,26.18632117836139,0.020970796231475426,uncommon,2.0970796231475424,,peak_abundance_with_occupancy_days_modifiers,0.2618632117836139
comsan,GA,0.04921640723608526,0.033953949246106264,0.0504476506171943,prebreeding_migration,0.0722487637251115,0.0037173869280446,0.0033769546993234,112.0,7.224876372511151,0.020524836006974197,uncommon,2.05248360069742,,peak_abundance_with_occupancy_days_modifiers,0.0722487637251115
blakit1,GA,0.03596650814525917,0.023771752900583334,0.036621127545301,prebreeding_migration,0.0258055977841592,0.0003833989240496987,0.0003808571851163432,105.0,2.5805597784159198,0.01499919890299706,rare,1.4999198902997062,,peak_abundance_with_occupancy_days_modifiers,0.0258055977841592
affeag1,GA,0.02759074403474896,0.027974893464415,0.027974893464415,resident,0.590419410227134,0.1931054795222581,0.0340615955337717,365.0,59.041941022713395,0.011506233965985645,uncommon,1.1506233965985646,,peak_abundance_with_occupancy_days_modifiers,0.590419410227134
yeboxp1,GA,0.026934001240080944,0.0273,0.0273,resident,0.3015,0.0364,0.0186,365.0,30.15,0.01123235094777461,rare,1.1232350947774612,,peak_abundance_with_occupancy_days_modifiers,0.3015
afrjac1,GA,0.02656501539621186,0.0269210107677241,0.0269210107677241,resident,0.0933793651759536,0.0318535197809966,0.0090283751688949,365.0,9.337936517595361,0.011078471898904119,rare,1.1078471898904119,,peak_abundance_with_occupancy_days_modifiers,0.0933793651759536
whimbr,GA,0.02616620120923115,0.01773945085614517,0.0265115417561741,postbreeding_migration,0.0639213299875284,0.0028304556777647,0.001254540141123,77.0,6.392132998752841,0.010912153464773672,rare,1.0912153464773673,,peak_abundance_with_occupancy_days_modifiers,0.0639213299875284
reccuc1,GA,0.0251544327759477,0.02006804979204935,0.0254734750119594,prebreeding_migration,0.2786479604074058,0.032892087953976,0.0144555381879307,28.0,27.86479604074058,0.010490213255473911,rare,1.049021325547391,,peak_abundance_with_occupancy_days_modifiers,0.2786479604074058
litegr,GA,0.024920413876934323,0.0252335229161274,0.0252335229161274,nonbreeding,0.0425507529273634,0.0005318483964283837,0.00011243698103352996,42.0,4.25507529273634,0.010392619794379871,rare,1.0392619794379871,,peak_abundance_with_occupancy_days_modifiers,0.0425507529273634
hamerk1,GA,0.024571847516772022,0.0248762232736637,0.0248762232736637,resident,0.2628143743266479,0.0284561534970771,0.0167509050516829,365.0,26.281437432664788,0.010247256331631354,rare,1.0247256331631354,,peak_abundance_with_occupancy_days_modifiers,0.2628143743266479
werher,GA,0.020357874780890867,0.0205665096963928,0.0205665096963928,resident,0.0797918792049738,0.0177370717166919,0.0031080503656164,365.0,7.97918792049738,0.008489893204190243,rare,0.8489893204190243,,peak_abundance_with_occupancy_days_modifiers,0.0797918792049738
