species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
eursta,GB,3.135150678666111,13.7501,21.9921,nonbreeding,0.9337,0.0107,0.024,140.0,93.37,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9337
bkhgul,GB,2.7574179762001045,8.472725,14.7591,nonbreeding,0.7272,0.0892,0.1113,175.0,72.72,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.7272
cowpig1,GB,2.998049586509151,13.836974999999999,19.0464,postbreeding_migration,0.9788,0.0349,0.1244,112.0,97.88,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9788
pifgoo,GB,2.4518323420585713,4.6641,10.6096,nonbreeding,0.2013,0.151,0.6845,91.0,20.13,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.2013
redwin,GB,2.3368802338700014,5.165066666666667,9.3489,postbreeding_migration,0.9763,0.045,0.3006,63.0,97.63,0.9745547524028587,abundant,97.45547524028588,,peak_abundance_with_occupancy_days_modifiers,0.9763
eurjac,GB,2.2597193447645543,6.2978,8.5804,nonbreeding,0.9566,0.0435,0.1288,140.0,95.66,0.9423761622947929,abundant,94.23761622947929,,peak_abundance_with_occupancy_days_modifiers,0.9566
norlap,GB,2.190076871014937,4.334725000000001,7.9359,nonbreeding,0.3404,0.028,0.0803,133.0,34.04,0.9133329949222897,abundant,91.33329949222897,,peak_abundance_with_occupancy_days_modifiers,0.3404
eurwig,GB,2.046130332958837,2.917525,6.7379,nonbreeding,0.2438,0.0092,0.09,49.0,24.38,0.8533026259195132,abundant,85.33026259195132,,peak_abundance_with_occupancy_days_modifiers,0.2438
fieldf,GB,1.8649479711795303,4.4176,5.4556,postbreeding_migration,0.962,,,,96.2,0.7777437123027958,abundant,77.77437123027958,,peak_abundance_with_occupancy_days_modifiers,0.962
carcro1,GB,1.6504838818701013,3.43335,4.2095,nonbreeding,0.9853,0.0236,0.0665,105.0,98.53,0.6883052402634616,common,68.83052402634617,,peak_abundance_with_occupancy_days_modifiers,0.9853
manshe,GB,1.647214074148566,1.2366212797751464,4.192493755401667,breeding,0.1056165330854701,0.0029285201454982,0.0064011320285739,140.0,10.56165330854701,0.6869416245298523,common,68.69416245298522,,peak_abundance_with_occupancy_days_modifiers,0.1056165330854701
rook1,GB,1.6307100477096401,3.2310499999999998,4.1075,nonbreeding,0.87,0.013,0.0254,217.0,87.0,0.680058910915898,common,68.0058910915898,,peak_abundance_with_occupancy_days_modifiers,0.87
eugplo,GB,1.6195466465823882,2.078125,4.0508,nonbreeding,0.2655,0.0756,0.1024,35.0,26.55,0.675403411047372,common,67.5403411047372,,peak_abundance_with_occupancy_days_modifiers,0.2655
mallar3,GB,1.5643777830275027,3.1308,3.7797,nonbreeding,0.7747,0.0107,0.0103,126.0,77.47,0.6523962079469201,common,65.23962079469202,,peak_abundance_with_occupancy_days_modifiers,0.7747
mewgul,GB,1.456752824768452,1.087125,3.292,nonbreeding,0.6896,0.0928,0.1509,77.0,68.96,0.6075131142272135,common,60.75131142272136,,peak_abundance_with_occupancy_days_modifiers,0.6896
norgan,GB,1.4557504586344308,3.2877,3.2877,breeding,0.06,0.0006,0.0016,77.0,6.0,0.60709509508126,common,60.709509508126004,,peak_abundance_with_occupancy_days_modifiers,0.06
commur,GB,1.453155948570946,1.586345840939558,3.2765899380168717,breeding,0.0980724288727462,0.0019435563472991,0.0008789449229693211,105.0,9.80724288727462,0.6060131003449106,common,60.601310034491064,,peak_abundance_with_occupancy_days_modifiers,0.0980724288727462
eurbla,GB,1.3996300443049203,2.450625,3.0537,nonbreeding,0.9801,0.0162,0.0523,119.0,98.00999999999999,0.5836910644857047,common,58.36910644857048,,peak_abundance_with_occupancy_days_modifiers,0.9801
comcha,GB,1.3962694441419687,2.2773499999999998,3.0401,nonbreeding,0.9678,0.0122,0.0129,112.0,96.78,0.5822895853631284,common,58.22895853631284,,peak_abundance_with_occupancy_days_modifiers,0.9678
lbbgul,GB,1.3911575167858785,1.70125,3.0195,postbreeding_migration,0.9167,0.0704,0.1844,147.0,91.67,0.5801577460730309,common,58.01577460730309,,peak_abundance_with_occupancy_days_modifiers,0.9167
gnwtea,GB,1.3911077581154199,1.50855,3.0193,nonbreeding,0.3227,0.0053,0.0064,147.0,32.269999999999996,0.5801369950956954,common,58.01369950956954,,peak_abundance_with_occupancy_days_modifiers,0.3227
eurlin1,GB,1.3771022427509756,2.0606999999999998,2.9634,nonbreeding,0.7441,0.0191,0.0435,133.0,74.41,0.5742962415301323,common,57.42962415301322,,peak_abundance_with_occupancy_days_modifiers,0.7441
eurgol,GB,1.343517331763832,2.4279,2.8325,nonbreeding,0.9884,0.0122,0.0401,245.0,98.83999999999999,0.5602902457853934,common,56.02902457853934,,peak_abundance_with_occupancy_days_modifiers,0.9884
gragoo,GB,1.268861264227795,1.747775,2.5568,postbreeding_migration,0.3704,0.0247,0.0189,112.0,37.04,0.5291562474065098,common,52.915624740650976,,peak_abundance_with_occupancy_days_modifiers,0.3704
eurrob1,GB,1.2313933999019282,2.133175,2.426,postbreeding_migration,0.9879,0.016,0.0674,119.0,98.79,0.5135309343451343,common,51.35309343451343,,peak_abundance_with_occupancy_days_modifiers,0.9879
blutit,GB,1.2269175488210335,2.4107,2.4107,resident,0.9352,0.0143,0.0591,365.0,93.52000000000001,0.51166435946521,common,51.166435946521005,,peak_abundance_with_occupancy_days_modifiers,0.9352
cangoo,GB,1.1893057672825322,1.726675,2.2848,postbreeding_migration,0.4369,0.0259,0.0074,119.0,43.69,0.49597902826448254,common,49.597902826448255,,peak_abundance_with_occupancy_days_modifiers,0.4369
dunlin,GB,1.1799771987697154,0.969175,2.2543,nonbreeding,0.0651,0.0065,0.036,70.0,6.510000000000001,0.49208871302901763,common,49.20887130290176,,peak_abundance_with_occupancy_days_modifiers,0.0651
meapip1,GB,1.1633382922297528,1.1154,2.2006,postbreeding_migration,0.9928,0.0247,0.041,98.0,99.28,0.4851497500439725,common,48.51497500439725,,peak_abundance_with_occupancy_days_modifiers,0.9928
atlpuf,GB,1.099636674506926,0.8395977496471332,2.003074732103584,breeding,0.0731478227766748,0.0014176568056902,0.0004168104213789556,98.0,7.314782277667479,0.45858411206742883,common,45.858411206742886,,peak_abundance_with_occupancy_days_modifiers,0.0731478227766748
