species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
euhbuz1,GE,2.4877736461764735,4.387863391102955,11.034453321836748,postbreeding_migration,0.638593087211421,0.0113112996670359,0.2482463433440595,84.0,63.859308721142106,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.638593087211421
combuz1,GE,3.849381144164466,12.202426231446385,45.96399029707425,postbreeding_migration,0.9660906141003112,0.0077251165170556,0.2086154043026401,105.0,96.60906141003112,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9660906141003112
eursta,GE,2.347090938472886,4.833664470718835,9.455110882055369,prebreeding_migration,0.2278900532238345,0.0017143354192638,0.0029129172368208,126.0,22.78900532238345,0.9788129469615263,abundant,97.88129469615264,,peak_abundance_with_occupancy_days_modifiers,0.2278900532238345
bkhgul,GE,2.313280312751249,2.7244285303611333,9.107526180666992,nonbreeding,0.0449835364697625,0.0030398263493918,0.0200329728362291,161.0,4.49835364697625,0.9647128208612819,rare,96.47128208612818,rare,peak_abundance_with_occupancy_days_modifiers,0.0449835364697625
comcha,GE,2.2288810076280416,5.121590371423294,8.289465420494706,postbreeding_migration,0.9284071406661067,0.0087800973931098,0.0132633979483034,112.0,92.84071406661067,0.929515576811206,abundant,92.9515576811206,,peak_abundance_with_occupancy_days_modifiers,0.9284071406661067
eubeat1,GE,2.049229683368487,2.7032258802260416,6.761919666989505,postbreeding_migration,0.8138804479416125,0.0034445867219235,0.0160975130466862,77.0,81.38804479416125,0.8545951554327113,abundant,85.45951554327112,,peak_abundance_with_occupancy_days_modifiers,0.8138804479416125
barswa,GE,1.857010899694853,3.3070705553245574,5.404564246460681,postbreeding_migration,0.5592627096053341,0.0012588026264645,0.0018046667484943,105.0,55.92627096053341,0.7744336964006356,abundant,77.44336964006357,,peak_abundance_with_occupancy_days_modifiers,0.5592627096053341
blakit1,GE,1.6397623931507272,1.211267983223838,4.153944754160628,postbreeding_migration,0.219709729763304,0.0008802172662094009,0.0130127921285554,77.0,21.9709729763304,0.6838340321831929,common,68.38340321831929,,peak_abundance_with_occupancy_days_modifiers,0.219709729763304
comhom1,GE,1.4396780075677567,1.9048910623461026,3.219337003660224,breeding,0.8295871248428446,0.0098375527456632,0.0160229493228607,91.0,82.95871248428446,0.6003923623768757,common,60.03923623768757,,peak_abundance_with_occupancy_days_modifiers,0.8295871248428446
eurcoo,GE,1.427282248115246,1.5630502739375849,3.167357942650075,nonbreeding,0.0572201570280503,0.0015477521137935,0.0057937695565474,154.0,5.72201570280503,0.5952229291688755,common,59.52229291688755,,peak_abundance_with_occupancy_days_modifiers,0.0572201570280503
grcgre1,GE,1.3044652036342166,0.8827960275487201,2.685717458238297,nonbreeding,0.0392262554524548,0.0026061158489845,0.0584839858665717,112.0,3.92262554524548,0.5440042434012937,rare,54.40042434012937,rare,peak_abundance_with_occupancy_days_modifiers,0.0392262554524548
