species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
semsan,GF,1.9190455011231737,3.889874785279151,5.814450978283426,postbreeding_migration,0.0247664344953411,0.0090487371857281,0.0792920176050508,147.0,2.4766434495341096,0.8003041345853383,rare,80.03041345853383,rare,peak_abundance_with_occupancy_days_modifiers,0.0247664344953411
barswi,GF,1.3579176683839826,2.888088576592114,2.888088576592114,resident,0.937538117137017,0.035017983257701,0.0971900361228741,365.0,93.7538117137017,0.5662956526034089,common,56.62956526034088,,peak_abundance_with_occupancy_days_modifiers,0.937538117137017
scrpih1,GF,0.9119100274784927,1.4890721922345012,1.4890721922345012,resident,0.932099559773502,0.0157376445180966,0.027027186112964,365.0,93.2099559773502,0.38029601952310604,common,38.02960195231061,,peak_abundance_with_occupancy_days_modifiers,0.932099559773502
blhpar1,GF,0.8001002657186248,1.2257640851402858,1.2257640851402858,resident,0.9249183382175268,0.0138589472238565,0.015257455704297,365.0,92.49183382175268,0.33366772719181303,common,33.366772719181306,,peak_abundance_with_occupancy_days_modifiers,0.9249183382175268
sibtan2,GF,0.7938432320271338,1.211880883395245,1.211880883395245,resident,0.9455771966477234,0.0112396495626696,0.0146771981954626,365.0,94.55771966477235,0.3310583414682283,common,33.10583414682283,,peak_abundance_with_occupancy_days_modifiers,0.9455771966477234
whttou1,GF,0.6802444689599656,0.9743603430560248,0.9743603430560248,resident,0.9345368352717236,0.0144687994223324,0.0212840747141107,365.0,93.45368352717236,0.2836839776434909,common,28.36839776434909,,peak_abundance_with_occupancy_days_modifiers,0.9345368352717236
paipar1,GF,0.6538864666066427,0.923,0.923,resident,0.89,0.0735,0.0891,365.0,89.0,0.27269183688891874,common,27.269183688891875,,peak_abundance_with_occupancy_days_modifiers,0.89
meapar,GF,0.5888298862164433,0.8018787781861169,0.8018787781861169,resident,0.8837602492721262,0.0172280442887223,0.0242262723775655,365.0,88.37602492721261,0.24556113559091017,common,24.556113559091017,,peak_abundance_with_occupancy_days_modifiers,0.8837602492721262
gybmar,GF,0.49059463040082757,0.2925232494607796,0.633287133442258,prebreeding_migration,0.0726966944142962,0.0018419535112929,0.0215399285019341,119.0,7.26966944142962,0.20459385193595134,fairly_common,20.459385193595132,,peak_abundance_with_occupancy_days_modifiers,0.0726966944142962
chbtou1,GF,0.4874740865260791,0.6281983333237823,0.6281983333237823,resident,0.9336085189807524,0.0159556648504809,0.0270708680304804,365.0,93.36085189807524,0.2032924840613207,common,20.32924840613207,,peak_abundance_with_occupancy_days_modifiers,0.9336085189807524
relhon1,GF,0.4179277735709445,0.518810972147658,0.518810972147658,resident,0.8807822735491311,0.0255382106803913,0.0787684136304578,365.0,88.07822735491311,0.17428941885490193,common,17.428941885490193,,peak_abundance_with_occupancy_days_modifiers,0.8807822735491311
plupig2,GF,0.4047023077431751,0.4988562357398733,0.4988562357398733,resident,0.92719902426681,0.016031785154426,0.0248343891472171,365.0,92.719902426681,0.1687739712130476,common,16.87739712130476,,peak_abundance_with_occupancy_days_modifiers,0.92719902426681
litpar2,GF,0.38406482713376944,0.4682406204279796,0.4682406204279796,resident,0.9153353984152915,0.1867127502485193,0.2159760513281341,365.0,91.53353984152915,0.16016747332153564,common,16.016747332153564,,peak_abundance_with_occupancy_days_modifiers,0.9153353984152915
retcar2,GF,0.3837575493972859,0.4677895320817736,0.4677895320817736,resident,0.9100612173403704,0.0177949590253382,0.0296041359782479,365.0,91.00612173403704,0.16003932855225844,common,16.003932855225845,,peak_abundance_with_occupancy_days_modifiers,0.9100612173403704
partan1,GF,0.3785049265253813,0.4601,0.4601,resident,0.846,0.0166,0.0252,365.0,84.6,0.15784881467473838,common,15.784881467473838,,peak_abundance_with_occupancy_days_modifiers,0.846
