species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
bkhgul,GG,3.349507894898023,8.94149040081063,27.488710753771723,nonbreeding,0.6938775510204082,0.00031687154586715625,0.00040860584146476135,140.0,69.38775510204081,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.6938775510204082
brant,GG,2.9793364327155603,6.006478439101817,18.674756787261185,nonbreeding,0.6938775510204082,0.0023953783288713,0.0044397014659698,105.0,69.38775510204081,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.6938775510204082
norgan,GG,4.409743631488491,39.32183977300111,81.24837490764199,breeding,0.9591836734693876,0.0001071229954324578,0.00020145845111280963,112.0,95.91836734693877,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9591836734693876
eursta,GG,2.5718945071299433,5.580567885950512,12.09060120096012,nonbreeding,0.2244897959183673,1.48583994532109e-05,2.0110268985964947e-05,112.0,22.44897959183673,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.2244897959183673
hergul,GG,2.646103872883224,11.249975000000001,13.099,breeding,0.8913,0.0002,0.0006,98.0,89.13,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8913
comcha,GG,2.480848173446196,3.26450912631592,10.951396977718996,postbreeding_migration,0.3673469387755102,1.558299894814757e-05,6.740057025391779e-05,112.0,36.734693877551024,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.3673469387755102
commur,GG,2.2344158600479314,4.47045988323433,8.341023793025892,prebreeding_migration,0.8979591836734694,6.664233211812051e-05,3.883932941638546e-05,105.0,89.79591836734694,0.9318237895520528,abundant,93.18237895520528,,peak_abundance_with_occupancy_days_modifiers,0.8979591836734694
meapip1,GG,2.167150336101765,2.9107687007825898,7.733361402336432,postbreeding_migration,0.9591836734693876,0.00014056162941783487,0.000340502196032006,105.0,95.91836734693877,0.9037718872403782,abundant,90.37718872403782,,peak_abundance_with_occupancy_days_modifiers,0.9591836734693876
euroys1,GG,2.135548585774132,4.787902220019272,7.461687195057771,nonbreeding,0.7142857142857143,0.001449095350474,0.0021311769244001,126.0,71.42857142857143,0.8905929337280534,abundant,89.05929337280534,,peak_abundance_with_occupancy_days_modifiers,0.7142857142857143
manshe,GG,2.097926141574235,3.274467564054898,7.149251981049168,breeding,0.8979591836734694,0.00020639733452585128,5.587955575097689e-05,140.0,89.79591836734694,0.8749031558521452,abundant,87.49031558521452,,peak_abundance_with_occupancy_days_modifiers,0.8979591836734694
dunlin,GG,2.0549354216873845,2.389708715053845,6.806333736497528,nonbreeding,0.1632653061224489,0.0001322251605591235,0.0003397416443118396,140.0,16.32653061224489,0.856974633128682,abundant,85.69746331286821,,peak_abundance_with_occupancy_days_modifiers,0.1632653061224489
cowpig1,GG,1.8018869926719867,2.6968577450939586,5.061073882239206,postbreeding_migration,0.3469387755102041,3.962894101562371e-05,5.000931541609397e-05,112.0,34.69387755102041,0.751445241630242,abundant,75.1445241630242,,peak_abundance_with_occupancy_days_modifiers,0.3469387755102041
razorb,GG,1.7665411669595381,2.344138400153998,4.85058213739979,postbreeding_migration,0.8775510204081632,9.503568157862908e-05,0.00017855570680789956,105.0,87.75510204081633,0.7367048874065149,common,73.67048874065148,,peak_abundance_with_occupancy_days_modifiers,0.8775510204081632
bklkit,GG,1.7361138702011143,3.0798673391418188,4.675245771602708,postbreeding_migration,0.8775510204081632,4.557380678008034e-05,6.226851017009034e-05,119.0,87.75510204081633,0.7240157190747742,common,72.40157190747742,,peak_abundance_with_occupancy_days_modifiers,0.8775510204081632
eursha1,GG,1.5638528083581755,2.6389029834001345,3.77719143709662,postbreeding_migration,0.9387755102040816,0.0021575468233565,0.0048797517890841,133.0,93.87755102040816,0.6521772765051335,common,65.21772765051335,,peak_abundance_with_occupancy_days_modifiers,0.9387755102040816
balshe1,GG,1.5368626558899665,1.5797386012565928,3.649978778800186,nonbreeding,0.8775510204081632,0.0005642230124260277,0.0005693341196652824,70.0,87.75510204081633,0.6409215086764113,common,64.09215086764112,,peak_abundance_with_occupancy_days_modifiers,0.8775510204081632
gbbgul,GG,1.4832921768965284,3.3354186877912406,3.407431867657876,breeding,0.9183673469387756,0.0008690110654075662,0.0010710434637091,126.0,91.83673469387756,0.6185808837120355,common,61.85808837120354,,peak_abundance_with_occupancy_days_modifiers,0.9183673469387756
lbbgul,GG,1.442822251358894,1.702417623365716,3.23262450646381,breeding,0.9591836734693876,0.0005728982557076512,0.000962582936472226,140.0,95.91836734693877,0.6017036138843145,common,60.170361388431445,,peak_abundance_with_occupancy_days_modifiers,0.9591836734693876
grecor,GG,1.4125340044484016,2.017891854503933,3.106347734830817,prebreeding_migration,0.9387755102040816,0.00013480406522172337,0.00014679727494392326,133.0,93.87755102040816,0.5890724338431838,common,58.90724338431838,,peak_abundance_with_occupancy_days_modifiers,0.9387755102040816
barswa,GG,1.2818667141939564,1.9157904588845465,2.603359894361347,postbreeding_migration,0.673469387755102,8.285344094285638e-06,6.983774238735887e-06,126.0,67.3469387755102,0.5345799413074465,common,53.457994130744645,,peak_abundance_with_occupancy_days_modifiers,0.673469387755102
carcro1,GG,1.1497172319853777,1.18005,2.1573,prebreeding_migration,0.7826,0.0,0.0001,77.0,78.25999999999999,0.47946932671652703,common,47.946932671652704,,peak_abundance_with_occupancy_days_modifiers,0.7826
eurlin1,GG,1.1461622550090436,1.2383852247528884,2.146095798331864,postbreeding_migration,0.4897959183673469,3.5780735651925e-05,0.00012867833834837283,147.0,48.97959183673469,0.4779867861666282,common,47.79867861666282,,peak_abundance_with_occupancy_days_modifiers,0.4897959183673469
sander,GG,1.0074637931432096,0.7674564148907607,1.738646425762955,nonbreeding,0.6530612244897959,0.000457345395818148,0.0004679679611960768,168.0,65.3061224489796,0.42014503492785477,common,42.01450349278548,,peak_abundance_with_occupancy_days_modifiers,0.6530612244897959
comshe,GG,1.007227726866257,0.6677,1.738,nonbreeding,0.3913,,,,39.129999999999995,0.4200465876438428,common,42.00465876438428,,peak_abundance_with_occupancy_days_modifiers,0.3913
rudtur,GG,0.9529486355771923,1.2260527984448233,1.5933452265299095,prebreeding_migration,0.7755102040816326,0.0007750193754843871,0.001228822338504,154.0,77.55102040816327,0.3974104483992292,common,39.74104483992292,,peak_abundance_with_occupancy_days_modifiers,0.7755102040816326
eurrob1,GG,0.9086787725074285,0.7902123681364619,1.4810423455676254,postbreeding_migration,0.5306122448979592,3.2448147859720166e-05,6.37304241375959e-05,112.0,53.06122448979592,0.3789484815352216,common,37.89484815352216,,peak_abundance_with_occupancy_days_modifiers,0.5306122448979592
medgul1,GG,0.8860259416215854,0.6728574625615563,1.425471507621055,postbreeding_migration,0.9387755102040816,0.0011622618626509,0.001464285267472,168.0,93.87755102040816,0.3695015172983694,common,36.95015172983694,,peak_abundance_with_occupancy_days_modifiers,0.9387755102040816
norful,GG,0.8710967155327118,0.6748980210941968,1.389530051727684,prebreeding_migration,0.8163265306122449,0.0001224081565630178,6.714183303654538e-07,154.0,81.63265306122449,0.3632755464404132,common,36.32755464404132,,peak_abundance_with_occupancy_days_modifiers,0.8163265306122449
santer1,GG,0.8502610101866671,0.7153200732997846,1.3402576032902438,postbreeding_migration,0.7551020408163265,0.000666704764081757,0.0004209555324117257,189.0,75.51020408163265,0.35458638241294127,common,35.458638241294125,,peak_abundance_with_occupancy_days_modifiers,0.7551020408163265
eurbla,GG,0.7741447555184421,0.8544427179256264,1.1687365338510396,prebreeding_migration,0.4693877551020408,2.741623446363713e-05,3.800359618376213e-05,119.0,46.93877551020408,0.32284343870239446,common,32.28434387023945,,peak_abundance_with_occupancy_days_modifiers,0.4693877551020408
houspa,GG,0.6659991859393716,0.9464343999113356,0.9464343999113356,resident,0.2653061224489796,8.059346548181873e-06,5.124389828050744e-06,365.0,26.53061224489796,0.2777432331988974,fairly_common,27.77432331988974,,peak_abundance_with_occupancy_days_modifiers,0.2653061224489796
corshe,GG,0.6435930402036519,0.46411038456218573,0.903307267749796,postbreeding_migration,0.5918367346938775,3.5004285007302615e-05,2.4191881863768456e-06,91.0,59.183673469387756,0.26839914466013004,fairly_common,26.839914466013003,,peak_abundance_with_occupancy_days_modifiers,0.5918367346938775
eurgol,GG,0.5794184152316024,0.7058,0.785,breeding,0.5,0.0,0.0,217.0,50.0,0.24163624733928213,fairly_common,24.163624733928213,,peak_abundance_with_occupancy_days_modifiers,0.5
dunnoc1,GG,0.5621041489501462,0.5577043049721694,0.754360054220472,postbreeding_migration,0.5510204081632653,7.006009000026946e-05,0.000194239348675244,140.0,55.10204081632652,0.23441563746617017,fairly_common,23.441563746617017,,peak_abundance_with_occupancy_days_modifiers,0.5510204081632653
blksco1,GG,0.5589177966761373,0.5639272017157352,0.7487789414899082,postbreeding_migration,0.5510204081632653,0.0018961430726136,0.0007007885388735282,140.0,55.10204081632652,0.23308682535742017,fairly_common,23.30868253574202,,peak_abundance_with_occupancy_days_modifiers,0.5510204081632653
eurcur,GG,0.554161413706171,0.5191123650162195,0.7404808292583543,nonbreeding,0.1632653061224489,0.00012466690561156908,0.0001333842064427927,182.0,16.32653061224489,0.23110325959292555,fairly_common,23.110325959292556,,peak_abundance_with_occupancy_days_modifiers,0.1632653061224489
redwin,GG,0.5250243431658036,0.3459666666666667,0.6905,postbreeding_migration,0.1304,0.0,0.0001,63.0,13.04,0.21895215738637927,fairly_common,21.895215738637926,,peak_abundance_with_occupancy_days_modifiers,0.1304
winwre4,GG,0.5125241804015721,0.430575,0.6695,prebreeding_migration,0.5,,,,50.0,0.21373918461561947,fairly_common,21.373918461561946,,peak_abundance_with_occupancy_days_modifiers,0.5
corplo,GG,0.5089161435347431,0.39350973170402703,0.6634872361105315,nonbreeding,0.2040816326530612,0.0003286770747740345,0.0003615454732988457,140.0,20.40816326530612,0.21223451637269888,fairly_common,21.22345163726989,,peak_abundance_with_occupancy_days_modifiers,0.2040816326530612
bkbplo,GG,0.4846148188153126,0.23305154339011222,0.6235495276597082,nonbreeding,0.1836734693877551,0.00014488843590435363,0.0001869626483443586,105.0,18.367346938775512,0.2021000768101776,fairly_common,20.21000768101776,,peak_abundance_with_occupancy_days_modifiers,0.1836734693877551
eurmag1,GG,0.48146616715042206,0.6184455752372742,0.6184455752372742,resident,0.3673469387755102,1.4573164165884707e-05,1.7021758860918272e-05,365.0,36.734693877551024,0.20078698707660642,fairly_common,20.078698707660642,,peak_abundance_with_occupancy_days_modifiers,0.3673469387755102
atlpuf,GG,0.41438152904622105,0.4529888753266055,0.5134344359441679,breeding,0.673469387755102,8.736676568233443e-05,1.0859355000835266e-06,70.0,67.3469387755102,0.17281052002018135,fairly_common,17.281052002018136,,peak_abundance_with_occupancy_days_modifiers,0.673469387755102
rocpip1,GG,0.41352073598704014,0.4337675252511185,0.5121322426260734,postbreeding_migration,0.5306122448979592,0.0044773011245314,0.0065639159629177,119.0,53.06122448979592,0.1724515414321897,fairly_common,17.24515414321897,,peak_abundance_with_occupancy_days_modifiers,0.5306122448979592
mallar3,GG,0.40002303423203917,0.38097429305923225,0.4918590610732837,prebreeding_migration,0.2653061224489796,1.3904308410395288e-05,8.661238216061366e-06,98.0,26.53061224489796,0.1668225625905704,fairly_common,16.68225625905704,,peak_abundance_with_occupancy_days_modifiers,0.2653061224489796
norwhe,GG,0.39778969265685843,0.25992046860141715,0.4885309479978619,prebreeding_migration,0.9183673469387756,2.2555362136363702e-05,4.0785644961773153e-05,98.0,91.83673469387756,0.16589118681260562,fairly_common,16.58911868126056,,peak_abundance_with_occupancy_days_modifiers,0.9183673469387756
stonec4,GG,0.39126849150510906,0.3027691556216806,0.4788555202587526,postbreeding_migration,0.4897959183673469,7.713498622589531e-05,0.00013326303378724752,140.0,48.97959183673469,0.163171634701333,fairly_common,16.317163470133302,,peak_abundance_with_occupancy_days_modifiers,0.4897959183673469
sonthr1,GG,0.37662172694891166,0.1957266144264413,0.4573529277529035,postbreeding_migration,0.2244897959183673,1.634058128894505e-05,3.0562066909880234e-05,112.0,22.44897959183673,0.15706345945183414,fairly_common,15.706345945183415,,peak_abundance_with_occupancy_days_modifiers,0.2244897959183673
whiwag,GG,0.36804042733382775,0.18127129675478348,0.4449004512660357,nonbreeding,0.2040816326530612,9.644345472028022e-06,1.1156189737122294e-05,84.0,20.40816326530612,0.15348477955182774,fairly_common,15.348477955182775,,peak_abundance_with_occupancy_days_modifiers,0.2040816326530612
comchi1,GG,0.3478456246311138,0.2574460089434774,0.4160136352388226,prebreeding_migration,0.3877551020408163,1.5519121674146414e-05,1.9953170209237465e-05,119.0,38.775510204081634,0.14506289268637407,fairly_common,14.506289268637406,,peak_abundance_with_occupancy_days_modifiers,0.3877551020408163
comter,GG,0.34652585985879436,0.31815016291858184,0.4141460629750271,breeding,0.4897959183673469,1.8845523245952924e-05,8.014236019006917e-06,112.0,48.97959183673469,0.14451250802725626,fairly_common,14.451250802725626,,peak_abundance_with_occupancy_days_modifiers,0.4897959183673469
comred1,GG,0.31690679016517287,0.15409745998224428,0.3728746005467006,nonbreeding,0.1224489795918367,4.517289927196344e-05,8.613003186677062e-05,91.0,12.244897959183671,0.13216039656116385,fairly_common,13.216039656116385,,peak_abundance_with_occupancy_days_modifiers,0.1224489795918367
comred,GG,0.31690679016517287,0.15409745998224428,0.3728746005467006,nonbreeding,0.1224489795918367,4.517289927196344e-05,8.613003186677062e-05,91.0,12.244897959183671,0.13216039656116385,fairly_common,13.216039656116385,,peak_abundance_with_occupancy_days_modifiers,0.1224489795918367
banswa,GG,0.31190814981519616,0.2579523827247068,0.3660292172310304,prebreeding_migration,0.2244897959183673,2.1005932075218043e-05,1.5218129692952142e-05,77.0,22.44897959183673,0.13007580162214336,fairly_common,13.007580162214335,,peak_abundance_with_occupancy_days_modifiers,0.2244897959183673
grewhi1,GG,0.3033882104956226,0.18313674233397656,0.3544401702832203,prebreeding_migration,0.4693877551020408,1.6922428324319075e-05,3.598311122197859e-05,63.0,46.93877551020408,0.1265227109529121,fairly_common,12.652271095291209,,peak_abundance_with_occupancy_days_modifiers,0.4693877551020408
redkno,GG,0.2991632102930515,0.1582048830582576,0.3487297320852474,nonbreeding,0.1224489795918367,0.0005185825410544512,0.0002627661423984307,154.0,12.244897959183671,0.12476074901466595,fairly_common,12.476074901466596,,peak_abundance_with_occupancy_days_modifiers,0.1224489795918367
eursis,GG,0.29468251209652535,0.1292,0.3427,postbreeding_migration,0.6739,0.0,0.0,63.0,67.39,0.12289215273051837,fairly_common,12.289215273051838,,peak_abundance_with_occupancy_days_modifiers,0.6739
greshe,GG,0.2811572468814644,0.2966405258190875,0.3246618865095839,prebreeding_migration,0.5714285714285714,6.711538092772632e-05,4.4102380959604485e-06,63.0,57.14285714285714,0.1172516790332343,fairly_common,11.725167903323431,,peak_abundance_with_occupancy_days_modifiers,0.5714285714285714
litegr,GG,0.2715873466103916,0.2353924556198168,0.3120454695759987,postbreeding_migration,0.2244897959183673,1.8716369024409265e-05,8.882232022158116e-06,119.0,22.44897959183673,0.11326072063749723,fairly_common,11.326072063749724,,peak_abundance_with_occupancy_days_modifiers,0.2244897959183673
bripet,GG,0.26893187412699604,0.20316564219015434,0.3085659908092751,postbreeding_migration,0.5714285714285714,0.00010250665378011593,2.1355048743420763e-05,70.0,57.14285714285714,0.11215330259738554,fairly_common,11.215330259738554,,peak_abundance_with_occupancy_days_modifiers,0.5714285714285714
gnwtea,GG,0.2688896202956039,0.13139328991576116,0.3085107000506654,nonbreeding,0.0408163265306122,7.965144527547452e-06,4.351970246381793e-06,105.0,4.08163265306122,0.11213568138103329,rare,11.213568138103328,rare,peak_abundance_with_occupancy_days_modifiers,0.0408163265306122
gretit1,GG,0.264539818419605,0.302831298842722,0.302831298842722,resident,0.2040816326530612,8.68906359699428e-06,5.194242456336184e-06,365.0,20.40816326530612,0.11032167310246375,fairly_common,11.032167310246376,,peak_abundance_with_occupancy_days_modifiers,0.2040816326530612
