species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
yelgul1,GI,3.7149053238633196,32.8993,40.0547,breeding,1.0,0.0001,0.0004,238.0,100.0,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,1.0
lbbgul,GI,3.3519266020156055,12.960799999999999,27.5577,nonbreeding,0.872,0.0,0.0004,133.0,87.2,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.872
bkhgul,GI,2.3312988781149917,5.2612,9.2913,nonbreeding,0.872,0.0,0.0,147.0,87.2,0.9722271462649574,abundant,97.22271462649574,,peak_abundance_with_occupancy_days_modifiers,0.872
blakit1,GI,1.9921392132770392,4.702433333333333,6.3312,prebreeding_migration,1.0,0.0,0.0,77.0,100.0,0.8307865801629404,abundant,83.07865801629404,,peak_abundance_with_occupancy_days_modifiers,1.0
balshe1,GI,1.8669287827216516,3.52775,5.4684,prebreeding_migration,0.872,0.0018,0.0037,196.0,87.2,0.7785697748771675,abundant,77.85697748771675,,peak_abundance_with_occupancy_days_modifiers,0.872
grecor,GI,1.6382974411146536,2.0214666666666665,4.1464,nonbreeding,1.0,0.0,0.0,98.0,100.0,0.6832230997322672,common,68.32230997322672,,peak_abundance_with_occupancy_days_modifiers,1.0
atlpuf,GI,1.3972408823065487,3.044026614251397,3.044026614251397,prebreeding_migration,1.0,1.0275049310512634e-05,7.074154021390496e-07,77.0,100.0,0.5826947065440238,common,58.269470654402376,,peak_abundance_with_occupancy_days_modifiers,1.0
palswi3,GI,1.2542475801995585,1.0319666666666667,2.5052,breeding,0.346,0.0,0.0001,105.0,34.599999999999994,0.523061867808696,common,52.3061867808696,,peak_abundance_with_occupancy_days_modifiers,0.346
santer1,GI,1.195678501501116,1.39505,2.3058,prebreeding_migration,0.872,0.0001,0.0002,119.0,87.2,0.4986366648555696,common,49.86366648555696,,peak_abundance_with_occupancy_days_modifiers,0.872
medgul1,GI,1.1725750121785201,1.5039333333333336,2.2303,prebreeding_migration,1.0,0.0004,0.0003,126.0,100.0,0.4890017614531229,common,48.900176145312294,,peak_abundance_with_occupancy_days_modifiers,1.0
norgan,GI,1.108265545696248,2.0291,2.0291,breeding,0.872,0.0,0.0,77.0,87.2,0.4621826308548036,common,46.21826308548036,,peak_abundance_with_occupancy_days_modifiers,0.872
euhbuz1,GI,1.0999780222958928,1.93795,2.0041,postbreeding_migration,0.346,0.0,0.0,77.0,34.599999999999994,0.45872646515216914,common,45.872646515216914,,peak_abundance_with_occupancy_days_modifiers,0.346
audgul1,GI,1.0796672935003375,1.1264750000000001,1.9437,breeding,1.0,0.0009,0.0009,98.0,100.0,0.4502562333509893,common,45.02562333509893,,peak_abundance_with_occupancy_days_modifiers,1.0
booeag1,GI,1.0136352047369037,0.7857333333333334,1.7556,prebreeding_migration,0.346,0.0,0.0,42.0,34.599999999999994,0.42271871346323653,common,42.27187134632365,,peak_abundance_with_occupancy_days_modifiers,0.346
comswi,GI,0.9787395711466436,0.9256666666666667,1.6611,breeding,0.346,0.0,0.0,70.0,34.599999999999994,0.408166103936826,common,40.8166103936826,,peak_abundance_with_occupancy_days_modifiers,0.346
houspa,GI,0.8003859312295439,1.2264,1.2264,resident,0.346,0.0,0.0,365.0,34.599999999999994,0.33378685896297905,common,33.3786858962979,,peak_abundance_with_occupancy_days_modifiers,0.346
razorb,GI,0.6969483804238129,0.7213003934407166,1.0076168671735497,nonbreeding,1.0,8.890777012347006e-06,3.9452833209830595e-06,98.0,100.0,0.290650049787398,common,29.0650049787398,,peak_abundance_with_occupancy_days_modifiers,1.0
barswa,GI,0.6822884372250694,0.80495,0.9784,prebreeding_migration,1.0,0.0,0.0,84.0,100.0,0.2845363786170825,fairly_common,28.45363786170825,,peak_abundance_with_occupancy_days_modifiers,1.0
shteag1,GI,0.5932715951326887,0.37986666666666663,0.8099,prebreeding_migration,0.346,0.0,0.0,7.0,34.599999999999994,0.24741347208226236,very_rare,24.741347208226237,very_rare,peak_abundance_with_occupancy_days_modifiers,0.346
rocpig,GI,0.5749828222093035,0.7771,0.7771,resident,0.128,0.0,0.0,365.0,12.8,0.23978646137380807,fairly_common,23.978646137380807,,peak_abundance_with_occupancy_days_modifiers,0.128
eurcrm1,GI,0.5388881615308743,0.6020666666666666,0.7141,postbreeding_migration,0.346,0.0,0.0001,70.0,34.599999999999994,0.224733818713436,fairly_common,22.4733818713436,,peak_abundance_with_occupancy_days_modifiers,0.346
blkter,GI,0.5231296182221548,0.3607,0.6873,prebreeding_migration,0.654,0.0,0.0,63.0,65.4,0.21816199571203818,fairly_common,21.816199571203818,,peak_abundance_with_occupancy_days_modifiers,0.654
eurgol,GI,0.520993752681617,0.45655,0.6837,nonbreeding,0.346,0.0,0.0,161.0,34.599999999999994,0.21727127059790705,fairly_common,21.727127059790703,,peak_abundance_with_occupancy_days_modifiers,0.346
eurser1,GI,0.5115053926707479,0.39769999999999994,0.6678,nonbreeding,1.0,0.0,0.0,112.0,100.0,0.21331431713188015,fairly_common,21.331431713188014,,peak_abundance_with_occupancy_days_modifiers,1.0
sarwar1,GI,0.48100538735351134,0.540575,0.6177,nonbreeding,1.0,0.0,0.0,161.0,100.0,0.20059482697598077,fairly_common,20.059482697598078,,peak_abundance_with_occupancy_days_modifiers,1.0
blared1,GI,0.4772895225465354,0.3604666666666667,0.6117,nonbreeding,1.0,0.0,0.0,84.0,100.0,0.19904519098931833,fairly_common,19.904519098931832,,peak_abundance_with_occupancy_days_modifiers,1.0
eurspa1,GI,0.4661211019815107,0.21956666666666666,0.5938,prebreeding_migration,0.782,0.0,0.0,70.0,78.2,0.19438759785265436,fairly_common,19.438759785265436,,peak_abundance_with_occupancy_days_modifiers,0.782
bripet,GI,0.3967389649454137,0.3115651584500833,0.4869677286842033,postbreeding_migration,1.0,4.350335557265342e-05,6.503968786031193e-06,98.0,100.0,0.16545299932236612,fairly_common,16.545299932236613,,peak_abundance_with_occupancy_days_modifiers,1.0
eurbla,GI,0.36893942675871444,0.35155,0.4462,prebreeding_migration,0.346,0.0,0.0,119.0,34.599999999999994,0.15385969143187722,fairly_common,15.385969143187722,,peak_abundance_with_occupancy_days_modifiers,0.346
comchi1,GI,0.3538208749558259,0.23500000000000001,0.4245,nonbreeding,0.346,0.0,0.0,98.0,34.599999999999994,0.14755476561864733,fairly_common,14.755476561864732,,peak_abundance_with_occupancy_days_modifiers,0.346
comter,GI,0.3407487933884732,0.2268,0.406,prebreeding_migration,0.654,0.0,0.0,119.0,65.4,0.14210328418172138,fairly_common,14.21032841817214,,peak_abundance_with_occupancy_days_modifiers,0.654
eurgri1,GI,0.3069698613590652,0.3593,0.3593,nonbreeding,0.218,,,,21.8,0.12801637537774027,fairly_common,12.801637537774027,,peak_abundance_with_occupancy_days_modifiers,0.218
gresku1,GI,0.28346219672670464,0.20361326790052708,0.3277186872527439,nonbreeding,1.0,4.5267755072850774e-05,5.442619436815465e-05,126.0,100.0,0.11821291777930784,fairly_common,11.821291777930783,,peak_abundance_with_occupancy_days_modifiers,1.0
eurrob1,GI,0.27261919477473523,0.132,0.3134,nonbreeding,0.346,0.0,0.0,119.0,34.599999999999994,0.11369103474506026,fairly_common,11.369103474506026,,peak_abundance_with_occupancy_days_modifiers,0.346
eurgre1,GI,0.23617822958466536,0.20220000000000002,0.2664,nonbreeding,0.346,0.0,0.0,273.0,34.599999999999994,0.09849397188603765,fairly_common,9.849397188603765,,peak_abundance_with_occupancy_days_modifiers,0.346
whiwag,GI,0.22793206804600694,0.17115,0.256,prebreeding_migration,0.782,0.0,0.0,56.0,78.2,0.0950550554195003,fairly_common,9.50550554195003,,peak_abundance_with_occupancy_days_modifiers,0.782
comcha,GI,0.22546086426936995,0.10016666666666668,0.2529,postbreeding_migration,0.346,0.0,0.0,42.0,34.599999999999994,0.09402448339883271,fairly_common,9.402448339883271,,peak_abundance_with_occupancy_days_modifiers,0.346
stonec4,GI,0.20506104376344406,0.1385,0.2276,nonbreeding,0.872,0.0,0.0,49.0,87.2,0.0855170974686211,fairly_common,8.55170974686211,,peak_abundance_with_occupancy_days_modifiers,0.872
blackc1,GI,0.16492104211378728,0.135275,0.1793,prebreeding_migration,0.346,0.0,0.0,140.0,34.599999999999994,0.06877741658889154,uncommon,6.877741658889154,,peak_abundance_with_occupancy_days_modifiers,0.346
meapip1,GI,0.16211884947643518,0.11789999999999999,0.176,prebreeding_migration,0.654,0.0,0.0,49.0,65.4,0.06760881149210515,uncommon,6.760881149210515,,peak_abundance_with_occupancy_days_modifiers,0.654
rudtur,GI,0.13418118146601968,0.0966,0.1436,postbreeding_migration,0.218,0.0,0.0,14.0,21.8,0.055957898990904927,rare,5.595789899090493,rare,peak_abundance_with_occupancy_days_modifiers,0.218
perfal,GI,0.12248308421454837,0.07727500000000001,0.1303,prebreeding_migration,0.346,,,,34.599999999999994,0.05107941351901049,uncommon,5.107941351901049,,peak_abundance_with_occupancy_days_modifiers,0.346
eursha1,GI,0.11724956005023976,0.1244,0.1244,breeding,0.218,0.0001,0.0,7.0,21.8,0.04889686442119228,very_rare,4.889686442119228,very_rare,peak_abundance_with_occupancy_days_modifiers,0.218
eurkes,GI,0.11618175428940962,0.085425,0.1232,breeding,0.564,0.0,0.0,91.0,56.39999999999999,0.04845155483117667,uncommon,4.845155483117667,,peak_abundance_with_occupancy_days_modifiers,0.564
eubeat1,GI,0.11520192968868352,0.1221,0.1221,postbreeding_migration,0.128,0.0,0.0,28.0,12.8,0.0480429362347596,rare,4.80429362347596,rare,peak_abundance_with_occupancy_days_modifiers,0.128
burthr,GI,0.10777759217343118,0.0804,0.1138,prebreeding_migration,0.346,0.0,0.0,119.0,34.599999999999994,0.0449467470060331,uncommon,4.49467470060331,,peak_abundance_with_occupancy_days_modifiers,0.346
eursis,GI,0.10768780541691743,0.1137,0.1137,postbreeding_migration,0.218,0.0,0.0,56.0,21.8,0.04490930302024595,uncommon,4.490930302024595,,peak_abundance_with_occupancy_days_modifiers,0.218
wlwwar,GI,0.10201492540672975,0.06225,0.1074,prebreeding_migration,1.0,0.0,0.0,63.0,100.0,0.042543528303334584,uncommon,4.254352830333459,,peak_abundance_with_occupancy_days_modifiers,1.0
alpswi1,GI,0.09903052346295425,0.10285,0.1041,breeding,0.346,0.0,0.0,49.0,34.599999999999994,0.041298936023750774,uncommon,4.129893602375077,,peak_abundance_with_occupancy_days_modifiers,0.346
eaywag1,GI,0.09057169818438696,0.06765,0.0948,postbreeding_migration,0.654,0.0,0.0,63.0,65.4,0.037771331889189956,uncommon,3.7771331889189956,,peak_abundance_with_occupancy_days_modifiers,0.654
spofly1,GI,0.07594200357515736,0.0471,0.0789,breeding,0.346,0.0,0.0,119.0,34.599999999999994,0.03167027536049652,uncommon,3.167027536049652,,peak_abundance_with_occupancy_days_modifiers,0.346
parjae,GI,0.07501470380544568,0.0779,0.0779,postbreeding_migration,0.654,,,,65.4,0.031283561319966555,uncommon,3.1283561319966555,,peak_abundance_with_occupancy_days_modifiers,0.654
winwre4,GI,0.0616593803867277,0.026075,0.0636,prebreeding_migration,0.346,,,,34.599999999999994,0.025713958856414358,uncommon,2.5713958856414356,,peak_abundance_with_occupancy_days_modifiers,0.346
eucdov,GI,0.056285811010591824,0.0579,0.0579,resident,0.128,0.0,0.0,365.0,12.8,0.023473006369000307,uncommon,2.3473006369000307,,peak_abundance_with_occupancy_days_modifiers,0.128
comred2,GI,0.05590763193829598,0.0377,0.0575,prebreeding_migration,1.0,0.0,0.0,63.0,100.0,0.023315293446094187,uncommon,2.3315293446094185,,peak_abundance_with_occupancy_days_modifiers,1.0
