species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
glagul,GL,1.7197620887208047,1.722675,4.5832,postbreeding_migration,0.7291,0.1672,0.2157,98.0,72.91,0.7171964965399941,common,71.71964965399941,,peak_abundance_with_occupancy_days_modifiers,0.7291
y00478,GL,1.0769118616887707,0.6681,1.9356,postbreeding_migration,0.6383,0.5247,0.7684,105.0,63.83,0.4491071290332052,common,44.91071290332052,,peak_abundance_with_occupancy_days_modifiers,0.6383
snobun,GL,0.9932147352873584,1.1262,1.6999,postbreeding_migration,0.7295,0.2336,0.3055,42.0,72.95,0.41420271625468674,common,41.42027162546867,,peak_abundance_with_occupancy_days_modifiers,0.7295
comeid,GL,0.8040174893913691,0.673075,1.2345,prebreeding_migration,0.0437,0.0934,0.1619,70.0,4.37,0.3353013363478012,rare,33.53013363478012,rare,peak_abundance_with_occupancy_days_modifiers,0.0437
pifgoo,GL,0.7608525569139583,0.4039,1.1401,prebreeding_migration,0.0427,0.4325,0.5293,42.0,4.2700000000000005,0.31730016133108047,rare,31.730016133108048,rare,peak_abundance_with_occupancy_days_modifiers,0.0427
norful,GL,0.6912108727932766,0.5178768245851132,0.996131131335676,breeding,0.0218911035868723,0.0032355296872417,0.0030956283940738,63.0,2.18911035868723,0.28825732325942066,rare,28.825732325942067,rare,peak_abundance_with_occupancy_days_modifiers,0.0218911035868723
thbmur,GL,0.6723382617846082,0.6131490395849714,0.9588121856123992,breeding,0.0221726109021527,0.0060325998127813,0.0181239830782647,70.0,2.21726109021527,0.28038683315805607,rare,28.038683315805606,rare,peak_abundance_with_occupancy_days_modifiers,0.0221726109021527
bklkit,GL,0.6416684866937812,0.41186978998695783,0.8996477736429346,breeding,0.0301675256564101,0.0051227316985046,0.0046851788715231,63.0,3.01675256564101,0.2675965435074847,rare,26.75965435074847,rare,peak_abundance_with_occupancy_days_modifiers,0.0301675256564101
doveki,GL,0.5192795885361022,0.6808163340726706,0.6808163340726706,breeding,0.0313273128116044,0.025373775227388,0.0096429964955212,28.0,3.13273128116044,0.2165564086250093,rare,21.65564086250093,rare,peak_abundance_with_occupancy_days_modifiers,0.0313273128116044
comrav,GL,0.3481184412556116,0.4164,0.4164,resident,0.171,0.0095,0.0277,365.0,17.1,0.1451766660557087,fairly_common,14.51766660557087,,peak_abundance_with_occupancy_days_modifiers,0.171
laplon,GL,0.29631966084736644,0.2543666666666667,0.3449,breeding,0.4961,0.1425,0.0568,63.0,49.61,0.12357489678919882,fairly_common,12.357489678919881,,peak_abundance_with_occupancy_days_modifiers,0.4961
norwhe,GL,0.25448716759414,0.1506333333333333,0.2898,breeding,0.4737,0.063,0.1211,35.0,47.370000000000005,0.10612939208856717,fairly_common,10.612939208856718,,peak_abundance_with_occupancy_days_modifiers,0.4737
redpol1,GL,0.22978408957171828,0.2499022480502003,0.2583282943964627,postbreeding_migration,0.0809473759866541,0.0386388113929799,0.0409928928668865,70.0,8.094737598665409,0.09582740838533688,fairly_common,9.582740838533688,,peak_abundance_with_occupancy_days_modifiers,0.0809473759866541
arcter,GL,0.20969350358980537,0.2333,0.2333,breeding,0.02,0.0109,0.0708,42.0,2.0,0.08744898326818533,rare,8.744898326818532,rare,peak_abundance_with_occupancy_days_modifiers,0.02
