species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
caster1,GM,1.516181621954313,1.5379000000000003,3.5548,postbreeding_migration,0.2272,0.0019,0.0567,126.0,22.720000000000002,0.6322968476370997,common,63.22968476370997,,peak_abundance_with_occupancy_days_modifiers,0.2272
vilwea1,GM,1.50621200858019,3.509616012693389,3.509616012693389,resident,0.8964817840231633,0.0023509267559815,0.0045139854387098,365.0,89.64817840231632,0.628139195930114,common,62.813919593011406,,peak_abundance_with_occupancy_days_modifiers,0.8964817840231633
categr1,GM,1.4635888642277772,1.344001213521547,3.3214407959299703,nonbreeding,0.5776764776864113,0.000965282684225678,0.0010837650213315,140.0,57.767647768641126,0.6103639641108064,common,61.03639641108064,,peak_abundance_with_occupancy_days_modifiers,0.5776764776864113
grwpel1,GM,1.3094943070246532,2.0294,2.7043,nonbreeding,0.6015,0.0023,0.0118,84.0,60.150000000000006,0.5461015424149274,common,54.61015424149274,,peak_abundance_with_occupancy_days_modifiers,0.6015
blakit1,GM,1.126908157822957,1.209125,2.0861,nonbreeding,0.9729,0.0006,0.0015,147.0,97.28999999999999,0.4699572039723997,common,46.99572039723997,,peak_abundance_with_occupancy_days_modifiers,0.9729
afpswi1,GM,1.1005638740241683,2.00586047281458,2.00586047281458,resident,0.9625470077203232,0.0036217453719279,0.0101708835603314,365.0,96.25470077203232,0.45897078429943183,common,45.897078429943186,,peak_abundance_with_occupancy_days_modifiers,0.9625470077203232
grhgul,GM,1.0593764266795713,1.5144245312726579,1.8845716863831323,breeding,0.2481424745077353,0.004875871794424,0.0151925446313127,224.0,24.81424745077353,0.44179428463665427,common,44.179428463665424,,peak_abundance_with_occupancy_days_modifiers,0.2481424745077353
grefla3,GM,1.0169374696434972,1.4933265918824785,1.7647147625738953,nonbreeding,0.0759357639311579,0.0015549840279828,0.0013784962208333,70.0,7.59357639311579,0.42409586489434953,common,42.40958648943495,,peak_abundance_with_occupancy_days_modifiers,0.0759357639311579
hoovul1,GM,0.9564725215069869,1.6025,1.6025,resident,0.9125,,,,91.25,0.39888002297563757,common,39.88800229756376,,peak_abundance_with_occupancy_days_modifiers,0.9125
spwlap1,GM,0.9326364104102411,1.3599,1.5412,nonbreeding,0.9378,0.0026,0.0057,77.0,93.78,0.38893959256270766,common,38.89395925627077,,peak_abundance_with_occupancy_days_modifiers,0.9378
combul2,GM,0.893478456341605,1.443614892683193,1.443614892683193,resident,0.8408775620417773,0.0009878058773871868,0.0007356692805472053,365.0,84.08775620417774,0.3726094573341836,common,37.26094573341836,,peak_abundance_with_occupancy_days_modifiers,0.8408775620417773
gargan,GM,0.8576017355254755,0.9868333333333332,1.3575,postbreeding_migration,0.3557,0.0002,0.0016,77.0,35.57,0.357647702655773,common,35.7647702655773,,peak_abundance_with_occupancy_days_modifiers,0.3557
orabis1,GM,0.8415240813009625,1.3199,1.3199,resident,0.9163,0.003,0.0091,365.0,91.63,0.35094280006603223,common,35.09428000660322,,peak_abundance_with_occupancy_days_modifiers,0.9163
grecor,GM,0.8381562024699203,0.8097,1.3121,nonbreeding,0.1836,0.0002,0.0006,98.0,18.360000000000003,0.3495382855030956,common,34.95382855030956,,peak_abundance_with_occupancy_days_modifiers,0.1836
banswa,GM,0.7219289819853973,0.5112,1.0584,nonbreeding,0.5574,,,,55.74,0.3010677697958419,common,30.106776979584186,,peak_abundance_with_occupancy_days_modifiers,0.5574
wfwduc1,GM,0.6673164205254237,0.949,0.949,resident,0.3489,0.0005,0.0006,365.0,34.89,0.2782925626883855,fairly_common,27.82925626883855,,peak_abundance_with_occupancy_days_modifiers,0.3489
lbbgul,GM,0.6184775122229157,0.32889999999999997,0.8561,nonbreeding,0.1191,0.0008,0.0038,105.0,11.91,0.2579251559644411,fairly_common,25.79251559644411,,peak_abundance_with_occupancy_days_modifiers,0.1191
pieavo1,GM,0.6121341477061308,0.6061795838912755,0.8443633454147165,postbreeding_migration,0.1343724190800882,0.0012264512025577,0.0019457257880955,70.0,13.43724190800882,0.25527976749033054,fairly_common,25.527976749033055,,peak_abundance_with_occupancy_days_modifiers,0.1343724190800882
reedov1,GM,0.6084059521048547,0.8375,0.8375,resident,0.8658,0.0007,0.001,365.0,86.58,0.25372498916303293,common,25.372498916303293,,peak_abundance_with_occupancy_days_modifiers,0.8658
afghor1,GM,0.5938239592651596,0.8109,0.8109,resident,0.9272,0.0012,0.0029,365.0,92.72,0.24764382581736374,common,24.764382581736374,,peak_abundance_with_occupancy_days_modifiers,0.9272
bkwsti,GM,0.5885086264473757,0.445725,0.8013,postbreeding_migration,0.7413,0.0006,0.0004,105.0,74.13,0.2454271598611475,fairly_common,24.54271598611475,,peak_abundance_with_occupancy_days_modifiers,0.7413
colpra,GM,0.5832305370044989,0.566525170773265,0.791817623914607,postbreeding_migration,0.0697734182529425,0.0022654965104177,0.0051346880370004,119.0,6.977341825294251,0.24322602559863354,fairly_common,24.322602559863356,,peak_abundance_with_occupancy_days_modifiers,0.0697734182529425
bktgod,GM,0.5653138090500605,0.35426666666666673,0.76,postbreeding_migration,0.1938,0.001,0.0014,105.0,19.38,0.2357541696932964,fairly_common,23.57541696932964,,peak_abundance_with_occupancy_days_modifiers,0.1938
barswa,GM,0.5346788597881502,0.32042499999999996,0.7069,prebreeding_migration,0.7729,0.0002,0.0001,126.0,77.29,0.22297840354144158,fairly_common,22.297840354144157,,peak_abundance_with_occupancy_days_modifiers,0.7729
rorpar,GM,0.5231888827493894,0.6874,0.6874,resident,0.8929,0.0019,0.0009,365.0,89.29,0.21818671093955744,common,21.818671093955743,,peak_abundance_with_occupancy_days_modifiers,0.8929
eurspo1,GM,0.5024103141646434,0.3724,0.6527,postbreeding_migration,0.1121,0.001,0.0028,77.0,11.21,0.2095213747922881,fairly_common,20.95213747922881,,peak_abundance_with_occupancy_days_modifiers,0.1121
eaywag1,GM,0.49925898739452523,0.4881333333333333,0.6475,postbreeding_migration,0.6888,0.0005,0.0005,91.0,68.88,0.20820716945318649,fairly_common,20.820716945318647,,peak_abundance_with_occupancy_days_modifiers,0.6888
norsho,GM,0.4527938875145427,0.47735,0.5727,postbreeding_migration,0.1478,0.0002,0.0003,49.0,14.78,0.18882971773247093,fairly_common,18.882971773247093,,peak_abundance_with_occupancy_days_modifiers,0.1478
litsti,GM,0.42271546151469197,0.3989,0.5261,postbreeding_migration,0.196,0.0002,0.0005,112.0,19.6,0.17628603980747592,fairly_common,17.62860398074759,,peak_abundance_with_occupancy_days_modifiers,0.196
bkrwax,GM,0.4192765532586754,0.5208608956732305,0.5208608956732305,resident,0.7442203737185059,0.0045238972294243,0.0075713699758764,365.0,74.42203737185059,0.1748519036735808,common,17.48519036735808,,peak_abundance_with_occupancy_days_modifiers,0.7442203737185059
spepig1,GM,0.3886579897917831,0.475,0.475,resident,0.8526,0.0019,0.0012,365.0,85.26,0.16208297092900767,common,16.208297092900768,,peak_abundance_with_occupancy_days_modifiers,0.8526
greegr,GM,0.37747707156799565,0.308775,0.4586,nonbreeding,0.5663,0.0003,0.0003,133.0,56.63,0.15742016586382263,fairly_common,15.742016586382263,,peak_abundance_with_occupancy_days_modifiers,0.5663
eubeat1,GM,0.36193110608443596,0.23796666666666666,0.4361,nonbreeding,0.9428,0.0007,0.0007,91.0,94.28,0.15093699470121488,fairly_common,15.093699470121487,,peak_abundance_with_occupancy_days_modifiers,0.9428
cursan,GM,0.3435897043900769,0.22499999999999998,0.41,postbreeding_migration,0.229,0.0024,0.0034,126.0,22.900000000000002,0.1432880360905436,fairly_common,14.328803609054361,,peak_abundance_with_occupancy_days_modifiers,0.229
piecro1,GM,0.33482802850872373,0.3977,0.3977,resident,0.5445,0.0009,0.0012,365.0,54.449999999999996,0.13963413344485875,common,13.963413344485875,,peak_abundance_with_occupancy_days_modifiers,0.5445
palswi3,GM,0.3286560554212065,0.30465,0.3891,postbreeding_migration,0.9961,,,,99.61,0.13706022074836538,fairly_common,13.706022074836538,,peak_abundance_with_occupancy_days_modifiers,0.9961
subwar6,GM,0.3239657845290276,0.1879333333333333,0.3826,nonbreeding,0.775,0.0042,0.0053,14.0,77.5,0.13510422586177248,rare,13.510422586177247,rare,peak_abundance_with_occupancy_days_modifiers,0.775
santer1,GM,0.3239657845290276,0.20500000000000002,0.3826,nonbreeding,0.1472,0.0048,0.0101,133.0,14.719999999999999,0.13510422586177248,fairly_common,13.510422586177247,,peak_abundance_with_occupancy_days_modifiers,0.1472
helgui,GM,0.3236184543010108,0.3821198646143374,0.3821198646143374,resident,0.5339940817097202,0.0012896651568341,0.000398518774606668,365.0,53.399408170972016,0.13495937790616866,common,13.495937790616866,,peak_abundance_with_occupancy_days_modifiers,0.5339940817097202
squher1,GM,0.32128607986555846,0.30369999999999997,0.3789,nonbreeding,0.8338,0.0019,0.0021,119.0,83.38,0.13398670221765524,fairly_common,13.398670221765524,,peak_abundance_with_occupancy_days_modifiers,0.8338
graher1,GM,0.32128607986555846,0.30455,0.3789,nonbreeding,0.8925,0.0006,0.0006,147.0,89.25,0.13398670221765524,fairly_common,13.398670221765524,,peak_abundance_with_occupancy_days_modifiers,0.8925
ruff,GM,0.3156862688613783,0.2639333333333333,0.3712,nonbreeding,0.1206,0.0005,0.001,161.0,12.06,0.13165139964305816,fairly_common,13.165139964305816,,peak_abundance_with_occupancy_days_modifiers,0.1206
eutdov,GM,0.31283799233289894,0.2023,0.3673,prebreeding_migration,0.7784,0.0009,0.0028,91.0,77.84,0.13046357607094883,fairly_common,13.046357607094883,,peak_abundance_with_occupancy_days_modifiers,0.7784
corplo,GM,0.31159389249809377,0.26589999999999997,0.3656,prebreeding_migration,0.2465,0.0039,0.0074,77.0,24.65,0.12994474614166956,fairly_common,12.994474614166956,,peak_abundance_with_occupancy_days_modifiers,0.2465
litswi1,GM,0.310128261281611,0.3537,0.3636,breeding,0.8865,0.0006,0.0005,84.0,88.64999999999999,0.1293335304505137,fairly_common,12.933353045051371,,peak_abundance_with_occupancy_days_modifiers,0.8865
grbcam1,GM,0.3073577376602129,0.359827342521372,0.359827342521372,resident,0.9466095641970566,0.0012826950030542,0.001074340115143,365.0,94.66095641970566,0.12817813235918474,common,12.817813235918473,,peak_abundance_with_occupancy_days_modifiers,0.9466095641970566
leskes1,GM,0.2929680768810183,0.21365,0.3404,prebreeding_migration,0.37,0.0003,0.0016,42.0,37.0,0.1221771777126535,fairly_common,12.21771777126535,,peak_abundance_with_occupancy_days_modifiers,0.37
werher,GM,0.2826192781093186,0.3266,0.3266,resident,0.2308,,,,23.080000000000002,0.11786139341252326,fairly_common,11.786139341252326,,peak_abundance_with_occupancy_days_modifiers,0.2308
afrjac1,GM,0.2593237861293285,0.2960533810055484,0.2960533810055484,resident,0.2233963134272203,0.0032497329791635,0.0042340250743772,365.0,22.33963134272203,0.10814641868270362,fairly_common,10.814641868270362,,peak_abundance_with_occupancy_days_modifiers,0.2233963134272203
bcnher,GM,0.2522362255174821,0.20455,0.2869,prebreeding_migration,0.8457,0.001,0.0008,112.0,84.57000000000001,0.10519067633138103,fairly_common,10.519067633138103,,peak_abundance_with_occupancy_days_modifiers,0.8457
gubter2,GM,0.24886618817276326,0.18109991808527642,0.2825703984981168,postbreeding_migration,0.2116482634096999,0.0033608338350735,0.0033925694483263,140.0,21.164826340969988,0.10378526159832398,fairly_common,10.378526159832397,,peak_abundance_with_occupancy_days_modifiers,0.2116482634096999
blkter,GM,0.24623488253760742,0.079475,0.2792,postbreeding_migration,0.2071,0.0006,0.002,133.0,20.71,0.10268792191672677,fairly_common,10.268792191672677,,peak_abundance_with_occupancy_days_modifiers,0.2071
litegr,GM,0.20961241702985822,0.13685,0.2332,nonbreeding,0.6005,0.0005,0.0002,84.0,60.050000000000004,0.08741516754617822,fairly_common,8.741516754617821,,peak_abundance_with_occupancy_days_modifiers,0.6005
spwgoo1,GM,0.20782684720231648,0.231,0.231,resident,0.2978,,,,29.78,0.08667052709094349,fairly_common,8.66705270909435,,peak_abundance_with_occupancy_days_modifiers,0.2978
didcuc1,GM,0.20216284276297308,0.2240473191301961,0.2240473191301961,breeding,0.9872500451813866,0.0011150489954067,0.0018199028268843,168.0,98.72500451813866,0.08430845377456657,fairly_common,8.430845377456658,,peak_abundance_with_occupancy_days_modifiers,0.9872500451813866
comhom1,GM,0.19819065183590143,0.12938691943680863,0.2191948133948248,nonbreeding,0.683319027254656,0.0026813510416378,0.0028322104427255,84.0,68.3319027254656,0.08265192149305613,fairly_common,8.265192149305612,,peak_abundance_with_occupancy_days_modifiers,0.683319027254656
piekin1,GM,0.1966352914334136,0.2173,0.2173,resident,0.4288,0.0011,0.002,365.0,42.88,0.0820032858248801,fairly_common,8.20032858248801,,peak_abundance_with_occupancy_days_modifiers,0.4288
comred1,GM,0.1941677790776362,0.1592333333333333,0.2143,postbreeding_migration,0.2556,0.0011,0.0008,182.0,25.56,0.08097425324628134,fairly_common,8.097425324628134,,peak_abundance_with_occupancy_days_modifiers,0.2556
gloibi,GM,0.18979357163265562,0.15706666666666666,0.209,postbreeding_migration,0.1427,,,,14.27,0.07915006705491538,fairly_common,7.915006705491538,,peak_abundance_with_occupancy_days_modifiers,0.1427
darter3,GM,0.18637344725689858,0.2048721325634538,0.2048721325634538,resident,0.2707600156202323,0.0051340013682845,0.0108142141812054,365.0,27.076001562023226,0.07772376440752501,fairly_common,7.772376440752502,,peak_abundance_with_occupancy_days_modifiers,0.2707600156202323
comgre,GM,0.1806534996932576,0.12332499999999999,0.198,nonbreeding,0.4126,0.0006,0.0017,147.0,41.260000000000005,0.07533836099623856,uncommon,7.533836099623856,,peak_abundance_with_occupancy_days_modifiers,0.4126
webwar1,GM,0.1798184265758361,0.1502666666666667,0.197,nonbreeding,0.8419,0.0033,0.0055,56.0,84.19,0.07499010845706619,uncommon,7.499010845706619,,peak_abundance_with_occupancy_days_modifiers,0.8419
grewhi1,GM,0.17722525936920555,0.13146666666666665,0.1939,nonbreeding,0.949,0.0016,0.0033,84.0,94.89999999999999,0.07390867373552208,uncommon,7.390867373552208,,peak_abundance_with_occupancy_days_modifiers,0.949
whbvul1,GM,0.17714149675241242,0.1938,0.1938,resident,0.6829,0.0019,0.0013,365.0,68.28999999999999,0.0738737420111289,fairly_common,7.387374201112889,,peak_abundance_with_occupancy_days_modifiers,0.6829
osprey,GM,0.1630537864362979,0.089875,0.1771,nonbreeding,0.4108,0.0008,0.0043,147.0,41.08,0.06799871048830765,uncommon,6.799871048830765,,peak_abundance_with_occupancy_days_modifiers,0.4108
comsan,GM,0.1615234341566714,0.1687,0.1753,prebreeding_migration,0.9961,0.0005,0.0006,119.0,99.61,0.06736050401741346,uncommon,6.7360504017413465,,peak_abundance_with_occupancy_days_modifiers,0.9961
wookin1,GM,0.15751643787498348,0.1413,0.1706,breeding,0.9961,0.0007,0.0009,147.0,99.61,0.0656894567756331,uncommon,6.568945677563311,,peak_abundance_with_occupancy_days_modifiers,0.9961
yefcan,GM,0.15554970074096566,0.1683,0.1683,resident,0.6312,0.001,0.0008,365.0,63.12,0.06486926368533072,fairly_common,6.486926368533072,,peak_abundance_with_occupancy_days_modifiers,0.6312
norwhe,GM,0.15495035999782264,0.14023333333333332,0.1676,nonbreeding,0.6261,,,,62.61,0.06461931918193983,uncommon,6.461931918193983,,peak_abundance_with_occupancy_days_modifiers,0.6261
klacuc1,GM,0.15063462852689624,0.0652259363371786,0.1625718098980718,prebreeding_migration,0.808572504972525,0.0018353108756427,0.0018688026675332,91.0,80.8572504972525,0.06281951936587452,uncommon,6.281951936587451,,peak_abundance_with_occupancy_days_modifiers,0.808572504972525
hamerk1,GM,0.1494539531683378,0.1612,0.1612,resident,0.7548,0.0013,0.0019,365.0,75.48,0.062327139497599215,fairly_common,6.232713949759922,,peak_abundance_with_occupancy_days_modifiers,0.7548
weowar1,GM,0.14479274490154054,0.1558,0.1558,nonbreeding,0.9683,0.0086,0.0187,112.0,96.83,0.060383264667170276,uncommon,6.038326466717027,,peak_abundance_with_occupancy_days_modifiers,0.9683
comred2,GM,0.14461968960994312,0.1411,0.1556,prebreeding_migration,0.9538,0.0004,0.0008,98.0,95.38,0.06031109500506679,uncommon,6.031109500506679,,peak_abundance_with_occupancy_days_modifiers,0.9538
crelar1,GM,0.13976194237515868,0.15,0.15,nonbreeding,0.6705,0.0005,0.0001,147.0,67.05,0.0582852570588101,uncommon,5.8285257058810105,,peak_abundance_with_occupancy_days_modifiers,0.6705
wooshr1,GM,0.1377599397044856,0.1155,0.1477,nonbreeding,0.7543,0.0008,0.0011,84.0,75.42999999999999,0.0574503570974216,uncommon,5.74503570974216,,peak_abundance_with_occupancy_days_modifiers,0.7543
bripet,GM,0.13625025988475736,0.1459686476935487,0.1459686476935487,nonbreeding,0.10832899380756,0.000799089036916348,0.0007491286183796304,28.0,10.832899380756,0.05682077171191541,rare,5.6820771711915405,rare,peak_abundance_with_occupancy_days_modifiers,0.10832899380756
dunlin,GM,0.13479309634153203,0.08596666666666668,0.1443,postbreeding_migration,0.2256,0.0009,0.0001,70.0,22.56,0.056213087314787955,uncommon,5.621308731478796,,peak_abundance_with_occupancy_days_modifiers,0.2256
grnsan,GM,0.13418118146601968,0.08173333333333334,0.1436,nonbreeding,0.9378,0.0007,0.0008,49.0,93.78,0.055957898990904927,uncommon,5.595789899090493,,peak_abundance_with_occupancy_days_modifiers,0.9378
wlwwar,GM,0.12821729780075383,0.09503333333333334,0.1368,postbreeding_migration,0.9837,0.0006,0.0003,98.0,98.37,0.05347076632380314,uncommon,5.347076632380314,,peak_abundance_with_occupancy_days_modifiers,0.9837
zitcis1,GM,0.1268969331883509,0.1353,0.1353,resident,0.7027,0.0009,0.0008,365.0,70.27,0.05292013151194078,fairly_common,5.292013151194078,,peak_abundance_with_occupancy_days_modifiers,0.7027
purher1,GM,0.12566301799565704,0.11382500000000001,0.1339,postbreeding_migration,0.6804,0.0016,0.0013,105.0,68.04,0.052405548908316925,uncommon,5.240554890831692,,peak_abundance_with_occupancy_days_modifiers,0.6804
woosan,GM,0.12486898204586927,0.11133333333333334,0.133,nonbreeding,0.7698,0.0008,0.0003,161.0,76.98,0.052074410197300136,uncommon,5.207441019730013,,peak_abundance_with_occupancy_days_modifiers,0.7698
yecbis,GM,0.12344390104562664,0.1313865331602539,0.1313865331602539,resident,0.676187653061863,0.0032938901559989,0.0069020117170599,365.0,67.6187653061863,0.05148010525979571,fairly_common,5.148010525979571,,peak_abundance_with_occupancy_days_modifiers,0.676187653061863
wemhar1,GM,0.12221763272424921,0.10173333333333334,0.13,nonbreeding,0.8994,0.0005,0.0003,63.0,89.94,0.05096871164920383,uncommon,5.096871164920383,,peak_abundance_with_occupancy_days_modifiers,0.8994
bkbplo,GM,0.12159797174748753,0.07775,0.1293,prebreeding_migration,0.1048,0.003,0.0011,119.0,10.48,0.05071029295019266,uncommon,5.071029295019266,,peak_abundance_with_occupancy_days_modifiers,0.1048
yeboxp1,GM,0.12133228516752496,0.129,0.129,resident,0.7688,0.004,0.0038,365.0,76.88000000000001,0.05059949304038154,fairly_common,5.059949304038154,,peak_abundance_with_occupancy_days_modifiers,0.7688
yebsto1,GM,0.11852923316798175,0.1258397854845007,0.1258397854845007,resident,0.1985825198756585,0.0034875909174018,0.0022441224944364,365.0,19.85825198756585,0.049430529561725486,uncommon,4.943052956172549,,peak_abundance_with_occupancy_days_modifiers,0.1985825198756585
shikra1,GM,0.11350724079359488,0.08915000000000001,0.1202,prebreeding_migration,0.9164,,,,91.64,0.04733619607212067,uncommon,4.733619607212066,,peak_abundance_with_occupancy_days_modifiers,0.9164
pitwhy,GM,0.11243542932978817,0.119,0.119,resident,0.6844,0.0007,0.0007,365.0,68.44,0.0468892159742134,fairly_common,4.6889215974213405,,peak_abundance_with_occupancy_days_modifiers,0.6844
sander,GM,0.10813665860457805,0.06693333333333333,0.1142,nonbreeding,0.0279,0.0008,0.0012,77.0,2.79,0.045096489338494514,rare,4.509648933849451,rare,peak_abundance_with_occupancy_days_modifiers,0.0279
lirplo,GM,0.10786737086900704,0.07346666666666667,0.1139,prebreeding_migration,0.4957,0.001,0.0005,105.0,49.57,0.04498418763014813,uncommon,4.498418763014813,,peak_abundance_with_occupancy_days_modifiers,0.4957
comchi1,GM,0.10426992117579677,0.09046666666666665,0.1099,nonbreeding,0.8808,0.0008,0.0002,63.0,88.08,0.043483934581560225,uncommon,4.348393458156022,,peak_abundance_with_occupancy_days_modifiers,0.8808
hoopoe,GM,0.10336853297703312,0.07096666666666666,0.1089,prebreeding_migration,0.9267,0.0005,0.0003,91.0,92.67,0.04310802650542818,uncommon,4.310802650542818,,peak_abundance_with_occupancy_days_modifiers,0.9267
blacra1,GM,0.09707440648128306,0.1019423622244809,0.1019423622244809,resident,0.2125054877931613,0.003834725752883,0.0069404623681301,365.0,21.25054877931613,0.040483171880978795,uncommon,4.048317188097879,,peak_abundance_with_occupancy_days_modifiers,0.2125054877931613
melwar1,GM,0.09440067542148431,0.05890000000000001,0.099,nonbreeding,0.9659,,,,96.59,0.03936813942308566,uncommon,3.936813942308566,,peak_abundance_with_occupancy_days_modifiers,0.9659
brseag1,GM,0.09031017920460571,0.0945137264555497,0.0945137264555497,resident,0.80679039863191,0.0020435198640757,0.0042785043485556,365.0,80.67903986319101,0.03766227000364899,fairly_common,3.766227000364899,,peak_abundance_with_occupancy_days_modifiers,0.80679039863191
afrspo1,GM,0.08317733195119092,0.0867345042122425,0.0867345042122425,resident,0.1661555114178068,0.0032421005138688,0.0043591743810531,365.0,16.615551141780678,0.03468764165589351,uncommon,3.4687641655893513,,peak_abundance_with_occupancy_days_modifiers,0.1661555114178068
batgod,GM,0.08314558108666886,0.07856666666666666,0.0867,prebreeding_migration,0.1823,0.0056,0.0006,112.0,18.23,0.0346744005169321,uncommon,3.4674400516932105,,peak_abundance_with_occupancy_days_modifiers,0.1823
rutscr1,GM,0.08231704248921366,0.043666666666666666,0.0858,prebreeding_migration,0.795,,,,79.5,0.034328873084248104,uncommon,3.4328873084248106,,peak_abundance_with_occupancy_days_modifiers,0.795
