species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
vilwea1,GN,1.788917123264026,4.982970138060756,4.982970138060756,resident,0.9387046553093356,0.0537300136930323,0.1398875892041499,365.0,93.87046553093356,0.7460363859745799,common,74.60363859745799,,peak_abundance_with_occupancy_days_modifiers,0.9387046553093356
combul2,GN,1.6013098907958723,3.959524607076375,3.959524607076375,resident,0.9790071894059668,0.0251023900349257,0.0440417598387144,365.0,97.90071894059668,0.6677980931699014,common,66.77980931699014,,peak_abundance_with_occupancy_days_modifiers,0.9790071894059668
broman1,GN,0.8479553090583017,1.3348678846216404,1.3348678846216404,resident,0.9370667295227154,0.0692722634288962,0.0877529305681498,365.0,93.70667295227155,0.3536248303574694,common,35.36248303574694,,peak_abundance_with_occupancy_days_modifiers,0.9370667295227154
reedov1,GN,0.8161609564550896,1.2618,1.2618,resident,0.9894,0.0178,0.0316,365.0,98.94,0.34036555545756614,common,34.03655554575661,,peak_abundance_with_occupancy_days_modifiers,0.9894
blakit1,GN,0.7251302264129961,0.703125,1.065,prebreeding_migration,0.9857,0.0124,0.0149,147.0,98.57000000000001,0.3024027924150169,common,30.24027924150169,,peak_abundance_with_occupancy_days_modifiers,0.9857
grhgul,GN,0.6863958739835703,0.7702349792139265,0.9865428645854664,nonbreeding,0.0568525762603732,0.003245942991593,0.0101645422193481,133.0,5.68525762603732,0.2862493127911039,fairly_common,28.62493127911039,,peak_abundance_with_occupancy_days_modifiers,0.0568525762603732
barswa,GN,0.6254570315899951,0.517925,0.8691,postbreeding_migration,0.9724,0.0061,0.0015,126.0,97.24000000000001,0.260835841617086,fairly_common,26.0835841617086,,peak_abundance_with_occupancy_days_modifiers,0.9724
grbcam1,GN,0.5794577909564069,0.7850702870525689,0.7850702870525689,resident,0.9784686136138084,0.0289394161048394,0.0511618831964895,365.0,97.84686136138085,0.24165266829196141,common,24.165266829196142,,peak_abundance_with_occupancy_days_modifiers,0.9784686136138084
litswi1,GN,0.5215281468991263,0.5414,0.6846,breeding,0.9849,0.0183,0.0129,84.0,98.49,0.21749413029639827,fairly_common,21.74941302963983,,peak_abundance_with_occupancy_days_modifiers,0.9849
comhom1,GN,0.5095900312323118,0.2940336721687792,0.664608617494131,prebreeding_migration,0.6689076520404322,0.0400523958526996,0.0522213194433765,84.0,66.89076520404322,0.21251554937076736,fairly_common,21.251554937076737,,peak_abundance_with_occupancy_days_modifiers,0.6689076520404322
hoovul1,GN,0.4331451238814737,0.5421,0.5421,resident,0.8225,,,,82.25,0.1806355468460424,fairly_common,18.06355468460424,,peak_abundance_with_occupancy_days_modifiers,0.8225
orcwax,GN,0.3297717278826186,0.390650645461523,0.390650645461523,resident,0.891965912339228,0.1011862263029189,0.0747206747482145,365.0,89.19659123392279,0.13752549230299427,common,13.752549230299426,,peak_abundance_with_occupancy_days_modifiers,0.891965912339228
klacuc1,GN,0.32785503871100125,0.21171417918750896,0.3879877532114563,nonbreeding,0.9648250485794324,0.0523861486888557,0.1674764382828185,126.0,96.48250485794324,0.13672617083413766,fairly_common,13.672617083413765,,peak_abundance_with_occupancy_days_modifiers,0.9648250485794324
afghor1,GN,0.3220110327753717,0.3799,0.3799,resident,0.8678,0.0248,0.03,365.0,86.78,0.13428903106330464,common,13.428903106330464,,peak_abundance_with_occupancy_days_modifiers,0.8678
yefcan,GN,0.2889312918522129,0.335,0.335,resident,0.8566,0.03,0.0359,365.0,85.66,0.12049370759842516,common,12.049370759842516,,peak_abundance_with_occupancy_days_modifiers,0.8566
reccuc1,GN,0.27203904345795693,0.3126382502469701,0.3126382502469701,nonbreeding,0.7591760084138156,0.0530480595029482,0.1037113209479387,56.0,75.91760084138156,0.11344909285403622,fairly_common,11.344909285403622,,peak_abundance_with_occupancy_days_modifiers,0.7591760084138156
caster1,GN,0.27132400583896293,0.10155,0.3117,nonbreeding,0.0161,0.0028,0.0669,105.0,1.6099999999999999,0.11315089900582892,rare,11.315089900582892,rare,peak_abundance_with_occupancy_days_modifiers,0.0161
