species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
carmar1,GP,2.7600647861257817,14.5983755549209,14.80086659203157,postbreeding_migration,0.5246913580246914,0.0193783817792877,0.3634804861238499,203.0,52.46913580246913,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.5246913580246914
manshe,GP,1.7876638037445305,4.975476261893759,4.975476261893759,prebreeding_migration,0.3425925925925926,0.0005454786698183212,0.0007587955310446897,56.0,34.25925925925926,0.7455137111381461,common,74.55137111381461,,peak_abundance_with_occupancy_days_modifiers,0.3425925925925926
laugul,GP,1.704114924686669,1.932551148236411,4.496518680710851,breeding,0.2716049382716049,0.0020387359836901,0.0025929126631316,112.0,27.160493827160494,0.7106711223038309,common,71.06711223038309,,peak_abundance_with_occupancy_days_modifiers,0.2716049382716049
categr1,GP,1.538311029312234,2.4774732408401228,3.656718564162284,postbreeding_migration,0.404320987654321,0.000118062447655907,0.00035214314373849785,140.0,40.4320987654321,0.6415255273083748,common,64.15255273083747,,peak_abundance_with_occupancy_days_modifiers,0.404320987654321
banana,GP,1.405136794604423,3.076084289469837,3.076084289469837,resident,0.7438271604938271,0.0005065249237585411,0.0076389056688098,365.0,74.38271604938271,0.5859875577320824,common,58.59875577320825,,peak_abundance_with_occupancy_days_modifiers,0.7438271604938271
cargra1,GP,1.3506921920709303,2.8600965343806664,2.8600965343806664,resident,0.5246913580246914,0.0033678705152841,0.0074804681247843,365.0,52.46913580246913,0.5632823949373975,common,56.32823949373975,,peak_abundance_with_occupancy_days_modifiers,0.5246913580246914
grykin,GP,1.0552981954946108,1.728651979782929,1.872831691654376,postbreeding_migration,0.7654320987654321,0.0087292501431024,0.0162343161197247,98.0,76.5432098765432,0.4400935301328093,common,44.00935301328093,,peak_abundance_with_occupancy_days_modifiers,0.7654320987654321
bkfgra,GP,0.9892163709280472,1.6891263688707516,1.6891263688707516,resident,0.6327160493827161,0.0152020763811642,0.0412329130161758,365.0,63.27160493827161,0.41253526880413777,common,41.25352688041378,,peak_abundance_with_occupancy_days_modifiers,0.6327160493827161
leabul1,GP,0.9456903312972921,1.5745900853732486,1.5745900853732486,resident,0.7191358024691358,0.2502685284640172,0.2237311305116386,365.0,71.91358024691358,0.39438350040769743,common,39.43835004076974,,peak_abundance_with_occupancy_days_modifiers,0.7191358024691358
zendov,GP,0.9148377828277748,1.4963702649326511,1.4963702649326511,resident,0.6172839506172839,0.0157418339236521,0.047398147006142,365.0,61.72839506172839,0.3815169883379222,common,38.15169883379222,,peak_abundance_with_occupancy_days_modifiers,0.6172839506172839
magfri,GP,0.735355238164225,0.9196324818940074,1.0862229669029697,breeding,0.5462962962962963,0.004248814736133,0.0014840830582149,140.0,54.629629629629626,0.3066669535179729,common,30.66669535179729,,peak_abundance_with_occupancy_days_modifiers,0.5462962962962963
cogdov,GP,0.6291676884162849,0.7262199942775669,0.8760484723995129,breeding,0.5679012345679012,0.0006997596305901701,0.0021125197290782,147.0,56.79012345679012,0.2623833057071083,fairly_common,26.238330570710833,,peak_abundance_with_occupancy_days_modifiers,0.5679012345679012
semsan,GP,0.6021807086619283,0.27676375521588376,0.8260966463267435,postbreeding_migration,0.2561728395061728,0.0023480900292079,0.00032171643818583315,147.0,25.61728395061728,0.25112886100283127,fairly_common,25.112886100283127,,peak_abundance_with_occupancy_days_modifiers,0.2561728395061728
bkwvir,GP,0.5955661943783186,0.5617579687537659,0.8140577635509364,breeding,0.7345679012345679,0.0314197051978277,0.0329885639328411,105.0,73.4567901234568,0.24837039429302768,fairly_common,24.837039429302767,,peak_abundance_with_occupancy_days_modifiers,0.7345679012345679
yelwar,GP,0.5818803681313586,0.697975,0.7894,postbreeding_migration,0.7628,0.0013,0.0039,119.0,76.28,0.24266296144464125,fairly_common,24.266296144464125,,peak_abundance_with_occupancy_days_modifiers,0.7628
carela1,GP,0.5795700325723173,0.7852706574708407,0.7852706574708407,resident,0.7438271604938271,0.1828528072837632,0.2610404286732669,365.0,74.38271604938271,0.24169947668146177,common,24.16994766814618,,peak_abundance_with_occupancy_days_modifiers,0.7438271604938271
barswa,GP,0.5732298484614903,0.34807504409687723,0.7739875191983617,nonbreeding,0.3395061728395062,6.16314172312478e-05,1.9543006540456598e-05,147.0,33.95061728395062,0.23905541453965357,fairly_common,23.905541453965355,,peak_abundance_with_occupancy_days_modifiers,0.3395061728395062
eucdov,GP,0.5370050631381534,0.710875218288605,0.710875218288605,resident,0.3703703703703703,8.012713505428613e-05,6.086290562027301e-05,365.0,37.03703703703703,0.22394850568743255,fairly_common,22.394850568743255,,peak_abundance_with_occupancy_days_modifiers,0.3703703703703703
nutman,GP,0.5104378527848531,0.6660205069871872,0.6660205069871872,resident,0.4506172839506173,0.0002797722730347435,0.0002042642780809725,365.0,45.06172839506173,0.21286911842032466,fairly_common,21.286911842032467,,peak_abundance_with_occupancy_days_modifiers,0.4506172839506173
comgal1,GP,0.5091432553284653,0.4936277951706016,0.6638650765849484,prebreeding_migration,0.287037037037037,0.000522564115572918,0.0015018433828856,133.0,28.7037037037037,0.21232922934715556,fairly_common,21.232922934715557,,peak_abundance_with_occupancy_days_modifiers,0.287037037037037
anchum1,GP,0.46819472052028976,0.597108362182216,0.597108362182216,resident,0.7006172839506173,0.2176414189837008,0.1677626732935156,365.0,70.06172839506173,0.19525236395078308,common,19.52523639507831,,peak_abundance_with_occupancy_days_modifiers,0.7006172839506173
scbthr,GP,0.46109748056147987,0.58581342972976,0.58581342972976,resident,0.6512345679012346,0.3241167434715822,0.3442310854776504,365.0,65.12345679012346,0.1922925849982489,common,19.22925849982489,,peak_abundance_with_occupancy_days_modifiers,0.6512345679012346
leasal1,GP,0.40249516249447254,0.4955516904678748,0.4955516904678748,resident,0.6080246913580247,0.3536804308797127,0.3996781176714938,365.0,60.802469135802475,0.16785352015176047,common,16.78535201517605,,peak_abundance_with_occupancy_days_modifiers,0.6080246913580247
blkswi,GP,0.3726715316395974,0.3729021697872368,0.4516074543956805,postbreeding_migration,0.5555555555555556,0.0026645350386357,0.0173446500355418,91.0,55.55555555555556,0.15541610005539797,fairly_common,15.541610005539797,,peak_abundance_with_occupancy_days_modifiers,0.5555555555555556
semplo,GP,0.3647391655055954,0.23023072202735934,0.4401383214043798,postbreeding_migration,0.25,0.0019034261671007,0.0011619557990777,161.0,25.0,0.1521080464368824,fairly_common,15.210804643688238,,peak_abundance_with_occupancy_days_modifiers,0.25
brnpel,GP,0.33678942879974455,0.2978642115162478,0.4004441394850059,nonbreeding,0.2839506172839506,0.0038801352803922,0.0004544745995634823,161.0,28.39506172839506,0.14045210089876342,fairly_common,14.045210089876342,,peak_abundance_with_occupancy_days_modifiers,0.2839506172839506
grnher,GP,0.32358635257390955,0.3230080176187955,0.3820754968917664,postbreeding_migration,0.6172839506172839,0.0029071614666073,0.0040768990909134,119.0,61.72839506172839,0.1349459904461468,fairly_common,13.49459904461468,,peak_abundance_with_occupancy_days_modifiers,0.6172839506172839
buwtea,GP,0.31152866741951646,0.1637156252958141,0.3655109315374751,nonbreeding,0.0308641975308641,0.00037552514844978527,0.0004623389473390686,112.0,3.08641975308641,0.12991754517116966,rare,12.991754517116966,rare,peak_abundance_with_occupancy_days_modifiers,0.0308641975308641
snoegr,GP,0.30275465744949154,0.2182159135146871,0.353582332359144,postbreeding_migration,0.2530864197530864,0.0002172933725521372,0.0002347050942291796,147.0,25.30864197530864,0.12625849881098997,fairly_common,12.625849881098997,,peak_abundance_with_occupancy_days_modifiers,0.2530864197530864
leaswi1,GP,0.2994389341168296,0.3491016602765964,0.3491016602765964,resident,0.2808641975308642,0.1978260869565217,0.221918761660909,365.0,28.08641975308642,0.12487573478026878,fairly_common,12.487573478026878,,peak_abundance_with_occupancy_days_modifiers,0.2808641975308642
peethr1,GP,0.2782504869502713,0.3208170031990718,0.3208170031990718,resident,0.3117283950617284,0.0626939788950962,0.0481384778705583,365.0,31.17283950617284,0.11603946598783269,fairly_common,11.603946598783269,,peak_abundance_with_occupancy_days_modifiers,0.3117283950617284
leasan,GP,0.2369231611452375,0.1236608159946806,0.2673437327928381,postbreeding_migration,0.2716049382716049,0.00024881123520955435,0.00021703660536734868,175.0,27.160493827160494,0.09880463247619047,fairly_common,9.880463247619046,,peak_abundance_with_occupancy_days_modifiers,0.2716049382716049
pluwar1,GP,0.23649443780972262,0.266800509415061,0.266800509415061,resident,0.3148148148148148,0.5573770491803278,0.5011868993857628,365.0,31.48148148148148,0.0986258409583213,fairly_common,9.86258409583213,,peak_abundance_with_occupancy_days_modifiers,0.3148148148148148
pecsan,GP,0.22697759339527518,0.2548017517784265,0.2548017517784265,postbreeding_migration,0.3703703703703703,0.00028584495769494624,0.0003616138632561621,126.0,37.03703703703703,0.0946570085733518,fairly_common,9.465700857335179,,peak_abundance_with_occupancy_days_modifiers,0.3703703703703703
putcar1,GP,0.22523342003597296,0.2526150675243295,0.2526150675243295,resident,0.2746913580246913,0.1816326530612245,0.1847018296067515,365.0,27.46913580246913,0.09392963178626355,fairly_common,9.392963178626355,,peak_abundance_with_occupancy_days_modifiers,0.2746913580246913
shicow,GP,0.22339039311626213,0.22409558571288704,0.2503085903374961,nonbreeding,0.2901234567901234,0.0003047703037003654,0.00010372194017695904,140.0,29.01234567901234,0.09316102986247732,fairly_common,9.316102986247731,,peak_abundance_with_occupancy_days_modifiers,0.2901234567901234
guawoo1,GP,0.22298107478222415,0.2497969208332641,0.2497969208332641,resident,0.324074074074074,1.0,1.0,365.0,32.407407407407405,0.09299033085877967,fairly_common,9.299033085877968,,peak_abundance_with_occupancy_days_modifiers,0.324074074074074
sposan,GP,0.20571687597928587,0.14934860740562153,0.2284053636910278,postbreeding_migration,0.3086419753086419,0.0007836920802571935,0.0011196547418924,147.0,30.86419753086419,0.08579060074596664,fairly_common,8.579060074596665,,peak_abundance_with_occupancy_days_modifiers,0.3086419753086419
brotre1,GP,0.20462510887626734,0.2270649629616305,0.2270649629616305,resident,0.25,0.3648648648648648,0.4666602305649165,365.0,25.0,0.08533529850011656,fairly_common,8.533529850011657,,peak_abundance_with_occupancy_days_modifiers,0.25
royter1,GP,0.19714765518563832,0.19398038605527007,0.2179238602036127,prebreeding_migration,0.3919753086419753,0.0034168258494982,0.0005648867158697892,126.0,39.197530864197525,0.08221695810574943,fairly_common,8.221695810574943,,peak_abundance_with_occupancy_days_modifiers,0.3919753086419753
y00475,GP,0.19160854353391332,0.14791759646879962,0.2111962935312386,breeding,0.1882716049382716,0.0006166723953173335,0.0002416946507341848,147.0,18.82716049382716,0.0799069691272647,fairly_common,7.990696912726469,,peak_abundance_with_occupancy_days_modifiers,0.1882716049382716
leater1,GP,0.189233090721721,0.15125499015919278,0.2083225684401429,breeding,0.0709876543209876,0.0033008196417312,0.0017489548950359,98.0,7.09876543209876,0.07891632836028066,fairly_common,7.891632836028066,,peak_abundance_with_occupancy_days_modifiers,0.0709876543209876
pibgre,GP,0.18600149068038627,0.17105350591296922,0.2044240557876082,nonbreeding,0.2191358024691358,0.0006717378141083863,0.0014765374467518,182.0,21.91358024691358,0.07756864646691615,fairly_common,7.756864646691615,,peak_abundance_with_occupancy_days_modifiers,0.2191358024691358
brqdov1,GP,0.16900281796794175,0.1841234757412616,0.1841234757412616,resident,0.3549382716049383,0.5111111111111111,0.6818701160317646,365.0,35.49382716049383,0.07047964933460732,uncommon,7.047964933460732,,peak_abundance_with_occupancy_days_modifiers,0.3549382716049383
lesyel,GP,0.1554395016664867,0.07430544883849234,0.1681712615148475,postbreeding_migration,0.2037037037037037,0.00010786534482589552,0.0001578592585567038,182.0,20.37037037037037,0.06482330710176804,uncommon,6.482330710176804,,peak_abundance_with_occupancy_days_modifiers,0.2037037037037037
orcwax,GP,0.1533111870435258,0.1656876694070417,0.1656876694070417,resident,0.3395061728395062,0.0005163858622939738,0.00042490902420629854,365.0,33.95061728395062,0.0639357309648515,uncommon,6.3935730964851505,,peak_abundance_with_occupancy_days_modifiers,0.3395061728395062
forthr1,GP,0.14229081781066233,0.1529118870988626,0.1529118870988626,resident,0.2716049382716049,0.5432098765432098,0.650293195527112,365.0,27.160493827160494,0.05933988002929225,uncommon,5.933988002929224,,peak_abundance_with_occupancy_days_modifiers,0.2716049382716049
