species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
barswa,GQ,1.2933530933667907,1.0670725989072425,2.6449880732374997,prebreeding_migration,0.6095272122755365,0.000671487251902472,0.0005656576498110263,63.0,60.95272122755365,0.5393701334826992,common,53.93701334826992,,peak_abundance_with_occupancy_days_modifiers,0.6095272122755365
blakit1,GQ,0.6729435784285143,0.36021140567301374,0.959998246165518,breeding,0.8850174216027874,0.0003245924267881315,0.0003502238439324815,105.0,88.50174216027874,0.28063926980563314,fairly_common,28.063926980563313,,peak_abundance_with_occupancy_days_modifiers,0.8850174216027874
orcwax,GQ,0.6495519026185876,0.9146826724676362,0.9146826724676362,resident,0.9792840647894984,0.0129706280875512,0.02042687203199,365.0,97.92840647894984,0.27088418330319874,common,27.088418330319875,,peak_abundance_with_occupancy_days_modifiers,0.9792840647894984
comwax,GQ,0.5939253662720929,0.8110836472602575,0.8110836472602575,resident,0.1496256289358769,0.0005609670496585292,0.0048773577079208,365.0,14.96256289358769,0.24768611582397226,fairly_common,24.768611582397227,,peak_abundance_with_occupancy_days_modifiers,0.1496256289358769
combul2,GQ,0.5151378068711265,0.6738691565754007,0.6738691565754007,resident,0.8179120210990748,0.0021602536970319,0.0007720868765333518,365.0,81.79120210990747,0.21482915151250742,common,21.482915151250744,,peak_abundance_with_occupancy_days_modifiers,0.8179120210990748
lessts1,GQ,0.5061405997580295,0.4319187720078068,0.6588765559968695,prebreeding_migration,0.8889455140037257,0.0036778326165298,0.0041623104440265,140.0,88.89455140037256,0.2110770247139933,fairly_common,21.10770247139933,,peak_abundance_with_occupancy_days_modifiers,0.8889455140037257
comswi,GQ,0.4674596310238412,0.5959347759987702,0.5959347759987702,nonbreeding,0.2783320954452548,0.0008208070831690171,0.0015270031808664,21.0,27.833209544525477,0.1949458078201683,rare,19.49458078201683,rare,peak_abundance_with_occupancy_days_modifiers,0.2783320954452548
litswi1,GQ,0.4530481948463221,0.50055,0.5731,breeding,0.9145,0.0014,0.0016,84.0,91.45,0.18893577212719964,fairly_common,18.893577212719965,,peak_abundance_with_occupancy_days_modifiers,0.9145
panvul1,GQ,0.339762778955038,0.4046143469558046,0.4046143469558046,resident,0.9985966669597278,0.0125708278009452,0.0188271478880226,365.0,99.85966669597278,0.14169208422456706,common,14.169208422456705,,peak_abundance_with_occupancy_days_modifiers,0.9985966669597278
vilwea1,GQ,0.26964572709457746,0.3095004480179339,0.3095004480179339,resident,0.0971961175480351,0.0006313607148200256,0.0009860361589958914,365.0,9.71961175480351,0.11245100240758134,fairly_common,11.245100240758134,,peak_abundance_with_occupancy_days_modifiers,0.0971961175480351
broman1,GQ,0.22833589535599305,0.2565073095271692,0.2565073095271692,resident,0.0463012485559207,0.00038843845677057786,0.0019136554558474,365.0,4.63012485559207,0.09522346448830625,rare,9.522346448830625,rare,peak_abundance_with_occupancy_days_modifiers,0.0463012485559207
werher,GQ,0.20465821329147701,0.2271055849020327,0.2271055849020327,resident,0.264963102539537,0.0098837355818879,0.0057592742128967,365.0,26.4963102539537,0.08534910411355812,fairly_common,8.534910411355812,,peak_abundance_with_occupancy_days_modifiers,0.264963102539537
grbcam1,GQ,0.19225245233087832,0.2119764446256156,0.2119764446256156,resident,0.9170913008175192,0.0027939872028839,0.0014229661154594,365.0,91.70913008175192,0.08017549995272209,common,8.017549995272208,,peak_abundance_with_occupancy_days_modifiers,0.9170913008175192
categr1,GQ,0.14552799771977626,0.12398343601567868,0.1566501176947347,breeding,0.0871454267431686,0.000244250708676127,0.00010801874996028252,140.0,8.71454267431686,0.06068988890826058,uncommon,6.068988890826058,,peak_abundance_with_occupancy_days_modifiers,0.0871454267431686
piecro1,GQ,0.13479309634153203,0.1443,0.1443,resident,0.0671,0.0003,0.0011,365.0,6.710000000000001,0.056213087314787955,uncommon,5.621308731478796,,peak_abundance_with_occupancy_days_modifiers,0.0671
comsan,GQ,0.12190467352962948,0.09908961710567298,0.1296464114423608,prebreeding_migration,0.1857036924994289,0.0005434708052825625,0.0006477517434913026,112.0,18.57036924994289,0.05083819752785339,uncommon,5.083819752785339,,peak_abundance_with_occupancy_days_modifiers,0.1857036924994289
afrski1,GQ,0.11370589439030951,0.1204225538638706,0.1204225538638706,resident,0.0372391781137897,0.006219281304047,0.0345147839703358,365.0,3.72391781137897,0.047419041056623555,rare,4.741904105662355,rare,peak_abundance_with_occupancy_days_modifiers,0.0372391781137897
klacuc1,GQ,0.10809900446641832,0.060383563899877396,0.1141580465491279,breeding,0.7042292428832093,0.0033440781530564,0.0040493500707459,84.0,70.42292428832093,0.0450807863432107,uncommon,4.50807863432107,,peak_abundance_with_occupancy_days_modifiers,0.7042292428832093
afpswi1,GQ,0.09934779271583075,0.1044503525572091,0.1044503525572091,resident,0.0711015498976641,0.0003271217539437269,0.0006475931780496822,365.0,7.11015498976641,0.04143124757900323,uncommon,4.143124757900323,,peak_abundance_with_occupancy_days_modifiers,0.0711015498976641
wookin1,GQ,0.09921165007094808,0.08745,0.1043,breeding,0.9138,0.0016,0.0014,203.0,91.38,0.041374471686233,fairly_common,4.1374471686233,,peak_abundance_with_occupancy_days_modifiers,0.9138
wlwwar,GQ,0.0948307197523608,0.0581063657440119,0.0994727203577029,postbreeding_migration,0.6097560975609756,0.00019673453195066356,0.00018288928328738331,28.0,60.97560975609756,0.03954748183880951,rare,3.954748183880951,rare,peak_abundance_with_occupancy_days_modifiers,0.6097560975609756
hadibi1,GQ,0.09170029989876424,0.0960362906655563,0.0960362906655563,resident,0.531532574778587,0.0099784188407619,0.002290836425346,365.0,53.153257477858695,0.038241995361102225,fairly_common,3.8241995361102226,,peak_abundance_with_occupancy_days_modifiers,0.531532574778587
reedov1,GQ,0.08611750497999426,0.0899343934999355,0.0899343934999355,resident,0.08238416833645,0.00031864075698128275,0.00036174442323981824,365.0,8.238416833645,0.03591378904529644,uncommon,3.5913789045296443,,peak_abundance_with_occupancy_days_modifiers,0.08238416833645
whimbr,GQ,0.06896823734610218,0.05064935974741477,0.0714021780313236,postbreeding_migration,0.1934850728801206,0.0017965496248529,0.0004273169619191128,84.0,19.34850728801206,0.028761988952760026,uncommon,2.8761988952760027,,peak_abundance_with_occupancy_days_modifiers,0.1934850728801206
woowar,GQ,0.0568528115927828,0.0477,0.0585,prebreeding_migration,0.7077,0.0023,0.0025,49.0,70.77,0.02370946397773032,uncommon,2.370946397773032,,peak_abundance_with_occupancy_days_modifiers,0.7077
