species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
dovpri1,GS,4.791875533476858,119.5272096273976,119.5272096273976,breeding,0.2593548387096774,0.0004893094407509561,0.0022821468738026,161.0,25.93548387096774,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.2593548387096774
kinpen1,GS,8.873319345371508,7137.938289815841,7137.938289815841,breeding,0.8258064516129032,0.108825029756844,0.8401463188691924,161.0,82.58064516129032,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8258064516129032
wispet,GS,2.473576451105474,6.088879396377072,10.86480495545172,breeding,0.8270967741935484,0.0010888250202137,0.0034963288638758,119.0,82.70967741935485,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8270967741935484
yebpin1,GS,2.0579364164367706,4.626926879916461,6.82979569004428,prebreeding_migration,0.3174193548387097,0.0033324357075535,0.0152108894948721,210.0,31.74193548387097,0.85822614514567,abundant,85.822614514567,,peak_abundance_with_occupancy_days_modifiers,0.3174193548387097
kelgul,GS,2.031272126031008,6.623778599808293,6.623778599808293,resident,0.7664516129032258,0.0136482698405404,0.0064533241921548,365.0,76.64516129032258,0.8471062723521243,abundant,84.71062723521243,,peak_abundance_with_occupancy_days_modifiers,0.7664516129032258
bkbalb,GS,1.5433625402489182,3.6803015436087887,3.6803015436087887,breeding,0.4425806451612903,0.0003781147616884864,0.0003748176473346215,112.0,44.25806451612903,0.6436321709946058,common,64.36321709946058,,peak_abundance_with_occupancy_days_modifiers,0.4425806451612903
angpet1,GS,1.5113640292960642,3.53290960081162,3.53290960081162,breeding,0.8270967741935484,0.0010267532492495,0.0023038051450043,133.0,82.70967741935485,0.6302877554499222,common,63.02877554499222,,peak_abundance_with_occupancy_days_modifiers,0.8270967741935484
whcpet1,GS,1.355456783661608,1.8878290039877736,2.87853220220535,breeding,0.6064516129032258,0.0004416355172679487,0.0004535727149428458,112.0,60.64516129032258,0.5652693839626176,common,56.52693839626176,,peak_abundance_with_occupancy_days_modifiers,0.6064516129032258
norgip1,GS,1.1966464268591888,2.309001316716594,2.309001316716594,breeding,0.8296774193548387,0.0008244911043436448,0.0029897095670355,154.0,82.96774193548387,0.49904032108236684,common,49.904032108236684,,peak_abundance_with_occupancy_days_modifiers,0.8296774193548387
cappet,GS,1.0522080014418373,1.863967786892768,1.863967786892768,breeding,0.6903225806451613,0.0007410865298173049,0.0004731309395183833,112.0,69.03225806451613,0.4388048191170162,common,43.88048191170162,,peak_abundance_with_occupancy_days_modifiers,0.6903225806451613
codpet1,GS,0.18302020871668692,0.2008386752442006,0.2008386752442006,breeding,0.3780645161290322,0.0006890518364524883,0.0003407907629540745,154.0,37.80645161290322,0.07632535532008465,fairly_common,7.632535532008465,,peak_abundance_with_occupancy_days_modifiers,0.3780645161290322
souful1,GS,0.05037967910905665,0.0516703178325007,0.0516703178325007,prebreeding_migration,0.2116129032258064,0.00040976438547834994,5.5892359395227926e-05,42.0,21.16129032258064,0.021009958058036016,uncommon,2.100995805803602,,peak_abundance_with_occupancy_days_modifiers,0.2116129032258064
slbpri1,GS,0.044754644072106026,0.0457712422551647,0.0457712422551647,breeding,0.1483870967741935,0.0003421549813302391,2.5176076355353176e-05,63.0,14.83870967741935,0.018664136244731306,rare,1.8664136244731306,,peak_abundance_with_occupancy_days_modifiers,0.1483870967741935
faipri1,GS,0.019692720853191008,0.0198879015884332,0.0198879015884332,breeding,0.6219354838709678,0.001180345532686,6.3598731805707575e-06,49.0,62.193548387096776,0.008212502471056381,rare,0.8212502471056381,,peak_abundance_with_occupancy_days_modifiers,0.6219354838709678
greshe,GS,0.012095517418428394,0.01216896401538,0.01216896401538,breeding,0.1238709677419354,0.00021325182374736768,2.2596706762450594e-06,56.0,12.387096774193541,0.005044222554520788,rare,0.5044222554520787,,peak_abundance_with_occupancy_days_modifiers,0.1238709677419354
sooshe,GS,0.007055217243295423,0.00385097177038265,0.0070801639220406,breeding,0.0774193548387096,5.806683880258436e-05,1.385008779433731e-07,49.0,7.74193548387096,0.0029422541189890617,very_rare,0.29422541189890616,,peak_abundance_with_occupancy_days_modifiers,0.0774193548387096
