species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
turvul,GT,1.554030905162362,1.8827500000000001,3.7305,postbreeding_migration,0.9982,0.0055,0.0173,126.0,99.82,0.6480812247270459,common,64.80812247270458,,peak_abundance_with_occupancy_days_modifiers,0.9982
blkvul,GT,1.3014714966796124,2.6747,2.6747,resident,0.9934,0.0064,0.016,365.0,99.33999999999999,0.5427557706307917,common,54.27557706307917,,peak_abundance_with_occupancy_days_modifiers,0.9934
categr1,GT,1.1476766915611187,1.269311910462687,2.1508639704409283,nonbreeding,0.4680083212837952,0.0051918784065544,0.0067263482211972,140.0,46.80083212837952,0.4786183552636004,common,47.86183552636004,,peak_abundance_with_occupancy_days_modifiers,0.4680083212837952
brwhaw,GT,0.806565147595502,0.4791,1.2402,postbreeding_migration,0.5505,0.0346,0.0525,91.0,55.05,0.33636379234120234,common,33.636379234120234,,peak_abundance_with_occupancy_days_modifiers,0.5505
grtgra,GT,0.7607590989699651,0.9899,1.1399,nonbreeding,0.5363,0.0561,0.038,126.0,53.63,0.3172611863411994,common,31.72611863411994,,peak_abundance_with_occupancy_days_modifiers,0.5363
melbla1,GT,0.7434124467074954,1.1031,1.1031,resident,0.9207,0.1357,0.1703,365.0,92.07,0.31002707046497685,common,31.002707046497687,,peak_abundance_with_occupancy_days_modifiers,0.9207
swahaw,GT,0.6472079486185002,0.3860333333333333,0.9102,postbreeding_migration,0.1619,0.0096,0.0515,105.0,16.189999999999998,0.26990667856115386,fairly_common,26.990667856115387,,peak_abundance_with_occupancy_days_modifiers,0.1619
brnjay,GT,0.6163741217540315,0.8522,0.8522,resident,0.5029,0.1098,0.1583,365.0,50.29,0.2570479740071033,common,25.704797400710326,,peak_abundance_with_occupancy_days_modifiers,0.5029
clcrob,GT,0.6110690695243384,0.8424,0.8424,resident,0.922,0.1126,0.1281,365.0,92.2,0.25483559538912387,common,25.483559538912388,,peak_abundance_with_occupancy_days_modifiers,0.922
whcsee1,GT,0.5875644179848801,0.7996,0.7996,resident,0.7846,0.149,0.2006,365.0,78.46,0.24503339434802995,common,24.503339434802996,,peak_abundance_with_occupancy_days_modifiers,0.7846
grbani,GT,0.587008584498278,0.751775,0.7986,postbreeding_migration,0.6709,0.0484,0.0733,133.0,67.09,0.24480159377987865,fairly_common,24.480159377987864,,peak_abundance_with_occupancy_days_modifiers,0.6709
buwtea,GT,0.5382462193419828,0.3992,0.713,nonbreeding,0.0935,0.0135,0.0328,119.0,9.35,0.22446610802724654,fairly_common,22.446610802724653,,peak_abundance_with_occupancy_days_modifiers,0.0935
gofwoo,GT,0.5355572599851744,0.7084,0.7084,resident,0.8741,0.0777,0.0999,365.0,87.41,0.2233447248762341,common,22.33447248762341,,peak_abundance_with_occupancy_days_modifiers,0.8741
oltpar1,GT,0.523603636125206,0.6881,0.6881,resident,0.4448,0.1129,0.1517,365.0,44.48,0.21835967653172547,fairly_common,21.835967653172546,,peak_abundance_with_occupancy_days_modifiers,0.4448
socfly1,GT,0.5141999244049401,0.6723,0.6723,resident,0.7485,0.0123,0.0476,365.0,74.85000000000001,0.21443802414475882,common,21.443802414475883,,peak_abundance_with_occupancy_days_modifiers,0.7485
