species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
caster1,GW,2.63711341080577,4.222318498420269,12.972811571277838,nonbreeding,0.2498562188495967,0.0118631052906723,0.2935956516446708,140.0,24.98562188495967,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.2498562188495967
vilwea1,GW,1.7553795836723076,4.785643460992449,4.785643460992449,resident,0.8015875108266941,0.0070930605135166,0.0207694972614203,365.0,80.15875108266941,0.7320501456361603,common,73.20501456361603,,peak_abundance_with_occupancy_days_modifiers,0.8015875108266941
grwpel1,GW,1.5796374471090597,1.365405226909502,3.853195952012984,nonbreeding,0.1495239417119034,0.016662270159153,0.0594398406856059,105.0,14.952394171190338,0.6587599821511825,common,65.87599821511824,,peak_abundance_with_occupancy_days_modifiers,0.1495239417119034
combul2,GW,1.3148863834720808,2.724327816016873,2.724327816016873,resident,0.8662415765276571,0.003433704835276,0.004684634647375,365.0,86.6241576527657,0.5483502129505403,common,54.835021295054034,,peak_abundance_with_occupancy_days_modifiers,0.8662415765276571
reedov1,GW,1.1723367464612091,2.229530421939046,2.229530421939046,resident,0.9000122410831078,0.0047419837878601,0.0122164078211326,365.0,90.00122410831078,0.4889023969312384,common,48.89023969312384,,peak_abundance_with_occupancy_days_modifiers,0.9000122410831078
lbbgul,GW,1.1009585869983667,0.8184834371897979,2.007047159126665,nonbreeding,0.1254385337289281,0.0046756237671963,0.0113177119476584,70.0,12.54385337289281,0.459135392394988,common,45.9135392394988,,peak_abundance_with_occupancy_days_modifiers,0.1254385337289281
blakit1,GW,1.0726074148566336,0.6701868620179888,1.9229910226843407,nonbreeding,0.8500962346285496,0.003428751648719,0.0073683234289664,105.0,85.00962346285496,0.44731203527704055,common,44.731203527704054,,peak_abundance_with_occupancy_days_modifiers,0.8500962346285496
categr1,GW,1.022405755596768,0.9099482035291065,1.779874424382217,nonbreeding,0.4658203470589243,0.0018193518561127,0.0019596705701956,105.0,46.582034705892426,0.42637631726243364,common,42.63763172624336,,peak_abundance_with_occupancy_days_modifiers,0.4658203470589243
whimbr,GW,0.9648151185742331,0.9397903554778289,1.6243024268466657,postbreeding_migration,0.3064824279288247,0.0118291548299067,0.0268160519921847,133.0,30.648242792882467,0.4023591561812802,common,40.23591561812802,,peak_abundance_with_occupancy_days_modifiers,0.3064824279288247
grhgul,GW,0.8428716143076858,1.1534744735993556,1.3230282490583591,breeding,0.2371504600293499,0.0133689495930807,0.0335175805766292,224.0,23.71504600293499,0.35150476497834915,common,35.150476497834916,,peak_abundance_with_occupancy_days_modifiers,0.2371504600293499
grecor,GW,0.8180062864251539,0.9094368725321398,1.2659776206851343,nonbreeding,0.1024089499465785,0.0004047578533985368,0.0015814593323955,84.0,10.24089499465785,0.3411351178279489,common,34.113511782794895,,peak_abundance_with_occupancy_days_modifiers,0.1024089499465785
santer1,GW,0.8146943631954918,0.7712361414601964,1.2584852906247883,nonbreeding,0.2618438312678581,0.0199777640679664,0.0571742546689291,84.0,26.18438312678581,0.33975393856326946,common,33.975393856326946,,peak_abundance_with_occupancy_days_modifiers,0.2618438312678581
afpswi1,GW,0.8061261660456444,1.2392168093490754,1.2392168093490754,resident,0.8578325869763541,0.0108913972631366,0.0212026601121611,365.0,85.78325869763542,0.3361807228156742,common,33.61807228156742,,peak_abundance_with_occupancy_days_modifiers,0.8578325869763541
sander,GW,0.7357534328150961,0.5457789847591034,1.087053855145563,nonbreeding,0.1841415363204679,0.0085620549212313,0.0194263738940158,112.0,18.41415363204679,0.3068330135854781,common,30.68330135854781,,peak_abundance_with_occupancy_days_modifiers,0.1841415363204679
wfwduc1,GW,0.73230472192404,1.0798686068287062,1.0798686068287062,resident,0.7646938590569878,0.0034454049584552,0.002396827368213,365.0,76.46938590569879,0.30539478943525006,common,30.539478943525005,,peak_abundance_with_occupancy_days_modifiers,0.7646938590569878
corplo,GW,0.6679275337498061,0.6236571279062147,0.9501914236846268,prebreeding_migration,0.2624276925781567,0.0096011620722188,0.0220588355573069,112.0,26.242769257815667,0.27854741669778055,fairly_common,27.854741669778054,,peak_abundance_with_occupancy_days_modifiers,0.2624276925781567
hoovul1,GW,0.6622335637632492,0.9391186461975972,0.9391186461975972,resident,0.430274709414362,0.0144181179877835,0.1248304414590341,365.0,43.0274709414362,0.2761728467775889,fairly_common,27.617284677758892,,peak_abundance_with_occupancy_days_modifiers,0.430274709414362
