species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
semsan,GY,1.2911470898290265,1.173239603207615,2.6369560792137205,nonbreeding,0.0152660689303811,0.0133440238245232,0.0721335230485131,147.0,1.5266068930381098,0.5384501585518551,rare,53.84501585518551,rare,peak_abundance_with_occupancy_days_modifiers,0.0152660689303811
orwpar,GY,1.1306169145922689,2.0975668449915155,2.0975668449915155,resident,0.5116038444071965,0.0226990337122116,0.1119961624889783,365.0,51.16038444071965,0.4715038756771167,common,47.15038756771167,,peak_abundance_with_occupancy_days_modifiers,0.5116038444071965
categr1,GY,1.0427395327452842,0.6820920611686021,1.8369783734004133,nonbreeding,0.0720096814991548,0.0008065985388889924,0.0047425997348311,140.0,7.2009681499154805,0.434856160973367,common,43.4856160973367,,peak_abundance_with_occupancy_days_modifiers,0.0720096814991548
barswi,GY,1.03602177597396,1.8179841135626549,1.8179841135626549,resident,0.8229629279907281,0.0774350189047222,0.1541190269229069,365.0,82.29629279907282,0.4320546388020153,common,43.20546388020153,,peak_abundance_with_occupancy_days_modifiers,0.8229629279907281
whcswi,GY,0.7201447132527,1.0547305358691863,1.0547305358691863,resident,0.8409239300124021,0.0371348949218474,0.0447119123767998,365.0,84.09239300124021,0.30032367193930165,common,30.032367193930163,,peak_abundance_with_occupancy_days_modifiers,0.8409239300124021
scrpih1,GY,0.7103919994220403,1.0347887383401528,1.0347887383401528,resident,0.8219879693720222,0.0349621256524858,0.0473142229642851,365.0,82.19879693720222,0.2962564743676253,common,29.62564743676253,,peak_abundance_with_occupancy_days_modifiers,0.8219879693720222
blhpar1,GY,0.6838592606784503,0.9815101592361818,0.9815101592361818,resident,0.7026436312808524,0.026522649409681,0.0307769064363393,365.0,70.26436312808524,0.2851914628783512,common,28.519146287835117,,peak_abundance_with_occupancy_days_modifiers,0.7026436312808524
sibtan2,GY,0.6821905692266034,0.9782063874262268,0.9782063874262268,resident,0.7870318259236596,0.0235669301590941,0.0298447989775058,365.0,78.70318259236596,0.28449556449163826,common,28.449556449163826,,peak_abundance_with_occupancy_days_modifiers,0.7870318259236596
paipar1,GY,0.5270925962298626,0.694,0.694,resident,0.7229,0.1503,0.1688,365.0,72.28999999999999,0.21981468590775427,common,21.981468590775428,,peak_abundance_with_occupancy_days_modifiers,0.7229
whttou1,GY,0.493392979658849,0.6378640421881366,0.6378640421881366,resident,0.7857491504270927,0.0306460800711984,0.0351008986603646,365.0,78.57491504270926,0.2057608542190643,common,20.576085421906427,,peak_abundance_with_occupancy_days_modifiers,0.7857491504270927
gybmar,GY,0.4726041522170369,0.41908335541440933,0.6041662516226742,prebreeding_migration,0.232492874619316,0.0176022580117725,0.0517672380698812,119.0,23.2492874619316,0.1970912397960994,fairly_common,19.70912397960994,,peak_abundance_with_occupancy_days_modifiers,0.232492874619316
trokin,GY,0.4582041075523286,0.4447296470163915,0.5812317114609793,prebreeding_migration,0.7419972770220359,0.0150521687304142,0.0156135868407306,126.0,74.19972770220359,0.19108595473296014,fairly_common,19.108595473296013,,peak_abundance_with_occupancy_days_modifiers,0.7419972770220359
greegr,GY,0.36898973588470413,0.32272967618493364,0.446272758888209,nonbreeding,0.0901618322320213,0.002179164386286,0.0072920959358647,154.0,9.01618322320213,0.15388067196699917,fairly_common,15.388067196699918,,peak_abundance_with_occupancy_days_modifiers,0.0901618322320213
chbtou1,GY,0.3469365525457822,0.4147269616986875,0.4147269616986875,resident,0.6670255599942372,0.0287175585549531,0.0450217748345637,365.0,66.70255599942372,0.14468378018065123,common,14.468378018065122,,peak_abundance_with_occupancy_days_modifiers,0.6670255599942372
ragmac1,GY,0.34139229198125265,0.4069050501894786,0.4069050501894786,resident,0.8030633836499915,0.0427860458185943,0.0653203102463125,365.0,80.30633836499915,0.14237164393874635,common,14.237164393874636,,peak_abundance_with_occupancy_days_modifiers,0.8030633836499915
fotfly,GY,0.3356920388742798,0.19311472491129406,0.3989081491394692,nonbreeding,0.1225946673502274,0.017392086018456,0.0210901655000303,119.0,12.25946673502274,0.13999445375382197,fairly_common,13.999445375382196,,peak_abundance_with_occupancy_days_modifiers,0.1225946673502274
