species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
brwhaw,HN,2.235012452704531,2.9304045116518282,8.346598241898223,postbreeding_migration,0.7368714826940612,0.056049573462415,0.2206091125414896,84.0,73.68714826940612,0.9320725880143407,abundant,93.20725880143407,,peak_abundance_with_occupancy_days_modifiers,0.7368714826940612
blkvul,HN,1.5187302949120733,3.566423501548112,3.566423501548112,resident,0.9642653170109928,0.0092068177510251,0.0219403178384506,365.0,96.42653170109928,0.6333597268156327,common,63.33597268156327,,peak_abundance_with_occupancy_days_modifiers,0.9642653170109928
turvul,HN,1.4852379637021011,2.1799235234301855,3.4160161393052797,prebreeding_migration,0.96078856718651,0.0069812090511482,0.0147922644146787,119.0,96.078856718651,0.6193923398367651,common,61.93923398367651,,peak_abundance_with_occupancy_days_modifiers,0.96078856718651
amwpel,HN,1.4595518361343678,1.607793554509256,3.304030185240951,nonbreeding,0.3163960094611264,0.0080023417536113,0.013058723976268,105.0,31.63960094611264,0.608680392630765,common,60.868039263076504,,peak_abundance_with_occupancy_days_modifiers,0.3163960094611264
categr1,HN,1.3171926457763945,1.5408634030582558,2.7329270050491363,nonbreeding,0.300128788863807,0.0035708337187905,0.0091661185080971,140.0,30.0128788863807,0.54931199903456,common,54.931199903456,,peak_abundance_with_occupancy_days_modifiers,0.300128788863807
grtgra,HN,1.2496567208643556,1.77940696116678,2.4891450011767646,nonbreeding,0.2835115454535929,0.0536389515916741,0.0436384597630671,126.0,28.351154545359293,0.521147330761444,common,52.114733076144404,,peak_abundance_with_occupancy_days_modifiers,0.2835115454535929
blkski,HN,1.230747436294879,1.001312481426715,2.423787643310132,nonbreeding,0.2368072486921369,0.0024648073420685,0.0151144750862497,140.0,23.68072486921369,0.5132615465973136,common,51.32615465973136,,peak_abundance_with_occupancy_days_modifiers,0.2368072486921369
miskit,HN,1.1289492987224854,1.3649774267977568,2.092405598047842,postbreeding_migration,0.516607239759688,0.033192113885991,0.1427459202597819,56.0,51.6607239759688,0.47080842584296384,common,47.080842584296384,,peak_abundance_with_occupancy_days_modifiers,0.516607239759688
grbani,HN,0.9753215644472093,1.5583068674071583,1.6520198691862005,postbreeding_migration,0.7730405146985719,0.0578637500849088,0.08590938128244,133.0,77.3040514698572,0.40674068442905686,common,40.674068442905686,,peak_abundance_with_occupancy_days_modifiers,0.7730405146985719
wessan,HN,0.9352583543276984,0.9188812690239927,1.5478716263760832,nonbreeding,0.0569437659201852,0.0107320218741052,0.0161043740063501,154.0,5.69437659201852,0.3900330281047852,common,39.003302810478516,,peak_abundance_with_occupancy_days_modifiers,0.0569437659201852
clcrob,HN,0.9164913684382419,1.500501641732371,1.500501641732371,resident,0.9361238730085576,0.1136526456891234,0.2043282112333043,365.0,93.61238730085576,0.38220658709948,common,38.220658709948005,,peak_abundance_with_occupancy_days_modifiers,0.9361238730085576
whcswi,HN,0.8631078215458856,1.3705163996162844,1.3705163996162844,resident,0.5993581292563219,0.0142858838906946,0.0313589267316236,365.0,59.93581292563219,0.3599439188762523,common,35.994391887625234,,peak_abundance_with_occupancy_days_modifiers,0.5993581292563219
buwtea,HN,0.829142981375686,0.9306625198670043,1.291354165351178,nonbreeding,0.0676433272538837,0.0165774925553408,0.0552814527156206,126.0,6.764332725388369,0.34577948035573164,common,34.577948035573165,,peak_abundance_with_occupancy_days_modifiers,0.0676433272538837
melbla1,HN,0.7771252098554242,1.175209996196551,1.175209996196551,resident,0.8667884910373951,0.1454382183852182,0.1804013372998683,365.0,86.67884910373951,0.3240863847020768,common,32.40863847020768,,peak_abundance_with_occupancy_days_modifiers,0.8667884910373951
whwdov,HN,0.7259337264168343,0.9529372938964146,1.0666598942811525,breeding,0.4792508915378287,0.0365677111374704,0.0285655625853809,98.0,47.92508915378287,0.30273787794312695,common,30.273787794312696,,peak_abundance_with_occupancy_days_modifiers,0.4792508915378287
brnjay,HN,0.6090950970185078,0.8387667402124913,0.8387667402124913,resident,0.72319566719564,0.1465398863884516,0.1487474599504291,365.0,72.319566719564,0.25401238491441164,common,25.401238491441163,,peak_abundance_with_occupancy_days_modifiers,0.72319566719564
grekis,HN,0.5947902205484346,0.8126506482134678,0.8126506482134678,resident,0.6350451446620259,0.0073614914386859,0.0068915326612561,365.0,63.504514466202586,0.24804678807106856,common,24.804678807106857,,peak_abundance_with_occupancy_days_modifiers,0.6350451446620259
bbwduc,HN,0.5941159166464456,0.5554922425354384,0.8114287828090366,nonbreeding,0.0824036166722785,0.003240676574731,0.0066338331250587,119.0,8.24036166722785,0.24776558150227537,fairly_common,24.776558150227537,,peak_abundance_with_occupancy_days_modifiers,0.0824036166722785
tenwar,HN,0.5930210432445286,0.4984914008602254,0.8094465829422411,nonbreeding,0.8186605259483452,0.1491441471566919,0.2843966940963995,105.0,81.86605259483451,0.24730898382916716,fairly_common,24.730898382916717,,peak_abundance_with_occupancy_days_modifiers,0.8186605259483452
weskin,HN,0.5830308078345058,0.37734636857680687,0.7914597814047868,nonbreeding,0.4015926763286889,0.1072918755486001,0.3849588534526814,105.0,40.15926763286889,0.24314273206523412,fairly_common,24.314273206523414,,peak_abundance_with_occupancy_days_modifiers,0.4015926763286889
vigswa,HN,0.5676872834224966,0.32601582350762276,0.7641822761948085,nonbreeding,0.5740311633850655,0.1293545834102043,0.1712485608077602,91.0,57.40311633850656,0.23674398538681765,fairly_common,23.674398538681764,,peak_abundance_with_occupancy_days_modifiers,0.5740311633850655
bknsti,HN,0.5565847455712235,0.46104159756188245,0.7447037065623922,nonbreeding,0.080790791923099,0.0023386694770193,0.0083855124237856,119.0,8.0790791923099,0.23211386747582297,fairly_common,23.211386747582296,,peak_abundance_with_occupancy_days_modifiers,0.080790791923099
blhsal1,HN,0.5344609657491117,0.7065281171817612,0.7065281171817612,resident,0.7416847676875546,0.1717981061457311,0.2767433894222937,365.0,74.16847676875547,0.22288753466926423,common,22.288753466926423,,peak_abundance_with_occupancy_days_modifiers,0.7416847676875546
socfly1,HN,0.5057968033147723,0.6583063381621632,0.6583063381621632,resident,0.5328144882001862,0.0161793927423669,0.0339430065152073,365.0,53.28144882001862,0.21093365046109863,common,21.093365046109863,,peak_abundance_with_occupancy_days_modifiers,0.5328144882001862
gofwoo,HN,0.4976497674858465,0.644850942230367,0.644850942230367,resident,0.7079933699610819,0.0748853494585479,0.083144831319389,365.0,70.79933699610818,0.2075360726263427,common,20.75360726263427,,peak_abundance_with_occupancy_days_modifiers,0.7079933699610819
