species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
gwfgoo,HR,2.9299571700781004,10.640375459977564,17.726828410898136,nonbreeding,0.135835418204571,0.0049707576847976,0.0095152384515864,84.0,13.583541820457102,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.135835418204571
brambl,HR,6.889024867020621,326.9591282627581,980.4439121206132,nonbreeding,0.5257692483529444,0.0049402589523419,0.0895183810279045,84.0,52.576924835294435,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.5257692483529444
eursta,HR,3.75467529705172,20.16288097047471,41.72034613592088,postbreeding_migration,0.4314455655660978,0.0032833236903147,0.0096977505730269,126.0,43.14455655660978,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.4314455655660978
bkhgul,HR,2.0498308908130545,2.836241746216523,6.766587593933044,nonbreeding,0.1611595934614453,0.0105537505705655,0.0144234835890111,161.0,16.11595934614453,0.8548458784110612,abundant,85.48458784110612,,peak_abundance_with_occupancy_days_modifiers,0.1611595934614453
yelgul1,HR,1.9304339264738335,4.68687056020509,5.892500431181158,nonbreeding,0.1962416289705142,0.0362964184604844,0.0596024587902661,133.0,19.62416289705142,0.8050534768438805,abundant,80.50534768438806,,peak_abundance_with_occupancy_days_modifiers,0.1962416289705142
barswa,HR,1.7531939108972965,3.703040886754939,4.773011747019152,postbreeding_migration,0.8310317756054341,0.0021018953335648,0.0038458563236368,119.0,83.1031775605434,0.7311386492919265,common,73.11386492919266,,peak_abundance_with_occupancy_days_modifiers,0.8310317756054341
comcha,HR,1.7239934928686547,3.400930329643976,4.606874829199136,postbreeding_migration,0.8977426930125665,0.0083972255707497,0.0068569506317589,112.0,89.77426930125665,0.7189611291308544,common,71.89611291308545,,peak_abundance_with_occupancy_days_modifiers,0.8977426930125665
mallar3,HR,1.6924501339687452,2.3238384402987995,4.432775439188704,nonbreeding,0.0990854190526333,0.0026775209262582,0.0042233827199539,154.0,9.908541905263329,0.7058065267352718,common,70.58065267352718,,peak_abundance_with_occupancy_days_modifiers,0.0990854190526333
rook1,HR,1.597282234097481,2.572889111296485,3.9395895173695856,nonbreeding,0.2340500571630848,0.0013027356171527,0.0033815547200083,217.0,23.40500571630848,0.6661184298651353,common,66.61184298651352,,peak_abundance_with_occupancy_days_modifiers,0.2340500571630848
gretit1,HR,1.3800874423854048,2.975249217571637,2.975249217571637,resident,0.88810455413371,0.0055315481428169,0.0074654905770294,365.0,88.810455413371,0.5755411664725572,common,57.55411664725572,,peak_abundance_with_occupancy_days_modifiers,0.88810455413371
comcra,HR,1.2958691620854705,1.4870185892288024,2.654170660875014,postbreeding_migration,0.4623298861718037,0.0061038092695431,0.0019898505759202,84.0,46.23298861718037,0.5404194156374379,common,54.04194156374379,,peak_abundance_with_occupancy_days_modifiers,0.4623298861718037
cowpig1,HR,1.2595534990329982,1.1883138892582241,2.5238477346293897,postbreeding_migration,0.6092743482476567,0.0056231510115364,0.0036171234364642,112.0,60.92743482476567,0.5252746078285083,common,52.52746078285083,,peak_abundance_with_occupancy_days_modifiers,0.6092743482476567
gragoo,HR,1.2292578727089076,1.1418887114034286,2.418691490374758,nonbreeding,0.1023309052867926,0.0039889030833891,0.0079154663308454,154.0,10.233090528679261,0.5126403503328775,common,51.26403503328775,,peak_abundance_with_occupancy_days_modifiers,0.1023309052867926
eutspa,HR,1.1903097521794914,2.2880995456593785,2.2880995456593785,resident,0.3704714709206658,0.0021426313309553,0.0021628834723455,365.0,37.04714709206658,0.4963977224870152,common,49.63977224870152,,peak_abundance_with_occupancy_days_modifiers,0.3704714709206658
