species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
categr1,HT,1.4011701488618924,2.3688619242808757,3.0599479318417813,nonbreeding,0.5023467963156328,0.0016059154546486,0.0027575826736632,140.0,50.23467963156328,0.5843333379721422,common,58.43333379721422,,peak_abundance_with_occupancy_days_modifiers,0.5023467963156328
palmch1,HT,1.1913737687494208,2.2916,2.2916,resident,0.7293,0.3597,0.2545,365.0,72.92999999999999,0.49684145186168793,common,49.68414518616879,,peak_abundance_with_occupancy_days_modifiers,0.7293
moudov,HT,1.1753881274701592,1.5033249999999998,2.2394,breeding,0.8982,0.0045,0.0047,119.0,89.82,0.4901749216505473,common,49.01749216505473,,peak_abundance_with_occupancy_days_modifiers,0.8982
hiswoo1,HT,1.0816695679377977,1.9496,1.9496,resident,0.8631,0.3532,0.3067,365.0,86.31,0.45109124664793104,common,45.10912466479311,,peak_abundance_with_occupancy_days_modifiers,0.8631
vilwea1,HT,1.065013143910084,1.900877112676988,1.900877112676988,resident,0.6746048662546158,0.0048859946794254,0.006752436103648,365.0,67.46048662546158,0.44414497830307736,common,44.41449783030774,,peak_abundance_with_occupancy_days_modifiers,0.6746048662546158
grykin,HT,0.9523911974988778,1.29105,1.5919,postbreeding_migration,0.9602,0.1095,0.1069,112.0,96.02000000000001,0.3971779786643586,common,39.71779786643586,,peak_abundance_with_occupancy_days_modifiers,0.9602
banana,HT,0.8942496009972748,1.4455,1.4455,resident,0.8943,0.0032,0.0236,365.0,89.42999999999999,0.3729310496340716,common,37.29310496340716,,peak_abundance_with_occupancy_days_modifiers,0.8943
yefgra1,HT,0.7763847791300009,1.1736,1.1736,resident,0.8544,0.0449,0.0777,365.0,85.44,0.3237776011059696,common,32.37776011059696,,peak_abundance_with_occupancy_days_modifiers,0.8544
turvul,HT,0.6678293725756554,0.65035,0.95,breeding,0.9005,0.001,0.0022,126.0,90.05,0.27850648030857955,fairly_common,27.850648030857954,,peak_abundance_with_occupancy_days_modifiers,0.9005
normoc,HT,0.6605206777328512,0.798375,0.9358,breeding,0.8929,0.0067,0.0107,112.0,89.29,0.27545851782009484,fairly_common,27.545851782009485,,peak_abundance_with_occupancy_days_modifiers,0.8929
bkwvir,HT,0.6591249319455091,0.5912333333333333,0.9331,breeding,0.9602,0.1213,0.116,105.0,96.02000000000001,0.27487644661657923,fairly_common,27.487644661657924,,peak_abundance_with_occupancy_days_modifiers,0.9602
brbtod1,HT,0.6086955917878325,0.838032289999904,0.838032289999904,resident,0.8011210998181474,0.346513576558325,0.2625153963060583,365.0,80.11210998181474,0.2538457782926766,common,25.384577829267663,,peak_abundance_with_occupancy_days_modifiers,0.8011210998181474
cogdov,HT,0.6005383488272822,0.8231,0.8231,resident,0.7457,0.01,0.0235,365.0,74.57000000000001,0.2504439437534097,common,25.04439437534097,,peak_abundance_with_occupancy_days_modifiers,0.7457
smbani,HT,0.5817127001136401,0.7891,0.7891,resident,0.7647,0.0022,0.0029,365.0,76.47,0.2425930384502467,common,24.25930384502467,,peak_abundance_with_occupancy_days_modifiers,0.7647
whwdov,HT,0.5185556698279011,0.36722499999999997,0.6796,breeding,0.7797,0.009,0.0038,119.0,77.97,0.21625451107493152,fairly_common,21.625451107493152,,peak_abundance_with_occupancy_days_modifiers,0.7797
