species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
gwfgoo,HU,5.1393232506629625,129.68539414472409,169.60027562250107,nonbreeding,0.5207197532661338,0.0376708298154103,0.1799727508258609,126.0,52.071975326613384,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.5207197532661338
brambl,HU,4.975987356772757,48.152686885405096,143.89181446015604,nonbreeding,0.4174602627215637,0.0056625108274132,0.0189365735265746,91.0,41.74602627215637,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.4174602627215637
mallar3,HU,2.6296551981714016,8.927042539447939,12.868987025517786,nonbreeding,0.1637502602007262,0.0070712396497572,0.0181054553694936,154.0,16.37502602007262,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.1637502602007262
gragoo,HU,3.0115756240366047,11.864830429888405,19.319390436093997,postbreeding_migration,0.4207100947143298,0.0315918762805031,0.1031724886007799,154.0,42.07100947143298,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.4207100947143298
barswa,HU,2.5308739323659797,7.726829162382533,11.564481847303409,postbreeding_migration,0.9388771305971776,0.0037878176328998,0.0106840028390368,112.0,93.88771305971775,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9388771305971776
norlap,HU,3.0033936194831163,7.89204768489023,19.153815382645934,prebreeding_migration,0.6827595631794848,0.0266898838813028,0.0582268498277593,168.0,68.27595631794848,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.6827595631794848
comcra,HU,5.0447391094563825,41.32572162540768,154.20380271155372,postbreeding_migration,0.5100351280263619,0.02444803615992,0.1659393303887173,133.0,51.00351280263619,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.5100351280263619
rook1,HU,3.347028535096603,17.688239224339775,27.41816448047028,nonbreeding,0.5402600465060418,0.0088463753256478,0.0692339002278456,217.0,54.02600465060418,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.5402600465060418
eursta,HU,5.307768729275016,101.4109551661236,200.89923358021625,postbreeding_migration,0.7816854686778539,0.0094163266430011,0.0594478305749137,126.0,78.1685468677854,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.7816854686778539
ruff,HU,2.361643768892322,3.4487370725475324,9.608374845063656,prebreeding_migration,0.4487946665031677,0.0408367877858778,0.0301425279032033,154.0,44.87946665031677,0.9848819486333352,abundant,98.48819486333352,,peak_abundance_with_occupancy_days_modifiers,0.4487946665031677
fieldf,HU,2.3538103850694916,4.57005,9.5256,nonbreeding,0.9933,0.001,0.0002,91.0,99.33,0.981615173844756,abundant,98.1615173844756,,peak_abundance_with_occupancy_days_modifiers,0.9933
