species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
pltswi1,ID,0.9189080819886529,1.5065519459140853,1.5065519459140853,resident,0.4799624805042067,0.6652937482762983,0.5368822578218129,365.0,47.99624805042067,0.3832144349307953,common,38.321443493079535,,peak_abundance_with_occupancy_days_modifiers,0.4799624805042067
barswa,ID,0.889853350718069,1.0020462429306671,1.4347725674587877,prebreeding_migration,0.3688991987222189,0.0339636182731441,0.0180162281838892,154.0,36.88991987222189,0.3710976708668349,common,37.10976708668349,,peak_abundance_with_occupancy_days_modifiers,0.3688991987222189
categr2,ID,0.7643331055789202,0.6580815447696958,1.147561700070273,nonbreeding,0.2009134380150317,0.0755466209817857,0.0571294970833477,126.0,20.09134380150317,0.31875166286429796,common,31.875166286429796,,peak_abundance_with_occupancy_days_modifiers,0.2009134380150317
succoc,ID,0.5819616329091883,0.7895454211021754,0.7895454211021754,resident,0.6453214789679556,0.1510240470350156,0.1158114772692425,365.0,64.53214789679555,0.24269685148927814,common,24.269685148927813,,peak_abundance_with_occupancy_days_modifiers,0.6453214789679556
nutman,ID,0.5750043942311327,0.7771383360534841,0.7771383360534841,resident,0.1877217580792209,0.0683844996070327,0.1398457878331985,365.0,18.77217580792209,0.23979545760565932,fairly_common,23.97954576056593,,peak_abundance_with_occupancy_days_modifiers,0.1877217580792209
pacswa1,ID,0.559177634282909,0.7492333990648652,0.7492333990648652,resident,0.4741321071592123,0.618196548628681,0.5766737505612352,365.0,47.41321071592123,0.23319518605595416,fairly_common,23.319518605595416,,peak_abundance_with_occupancy_days_modifiers,0.4741321071592123
whhmun1,ID,0.5585192954740695,0.7480821898169838,0.7480821898169838,resident,0.583954630334048,0.9243721398699394,0.9662900234635692,365.0,58.3954630334048,0.23292063744813643,common,23.292063744813643,,peak_abundance_with_occupancy_days_modifiers,0.583954630334048
zebfin2,ID,0.5159105457606177,0.6751631202522455,0.6751631202522455,resident,0.3444332341251982,0.009844737750781,0.0013272134308347,365.0,34.443323412519824,0.21515140865953847,fairly_common,21.515140865953846,,peak_abundance_with_occupancy_days_modifiers,0.3444332341251982
chemun,ID,0.48865213551386133,0.6301175609723989,0.6301175609723989,resident,0.1514389426106666,0.2353126602022392,0.3554198239229562,365.0,15.14389426106666,0.20378376864791048,fairly_common,20.378376864791047,,peak_abundance_with_occupancy_days_modifiers,0.1514389426106666
yevbul1,ID,0.47767755342909907,0.6123255107243186,0.6123255107243186,resident,0.3520921976299455,0.4578089725724693,0.3691625960141471,365.0,35.20921976299455,0.19920701243622035,fairly_common,19.920701243622034,,peak_abundance_with_occupancy_days_modifiers,0.3520921976299455
