species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
rook1,IE,2.7537348198301075,11.293392995083266,14.701163530483388,nonbreeding,0.8360275902066787,0.011651679474848,0.0388952441261821,217.0,83.60275902066788,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8360275902066787
manshe,IE,2.547736149825287,4.441910531069729,11.778143212092074,breeding,0.1582214446305413,0.0052238326487681,0.012016924467442,140.0,15.82214446305413,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.1582214446305413
norgan,IE,3.013997926300391,11.945258365060344,19.3686698022104,breeding,0.1768437772761039,0.0025780709975569,0.0072249453860324,112.0,17.68437772761039,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.1768437772761039
eursta,IE,3.616952170248355,23.41361404748025,36.22394251524481,prebreeding_migration,0.7152061561447636,0.0083571614294463,0.0135379782610518,126.0,71.52061561447636,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.7152061561447636
eugplo,IE,2.412421633629008,3.6809993947030715,10.160956192663528,nonbreeding,0.2873308950466198,0.0580605425861343,0.1001847247982302,168.0,28.73308950466198,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.2873308950466198
norlap,IE,2.4674494487545435,3.567707786178212,10.792331516782776,nonbreeding,0.309952733364283,0.0182041847844082,0.0466461519174176,168.0,30.995273336428298,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.309952733364283
commur,IE,2.3905109100219915,4.448236332200973,9.919071181084506,breeding,0.1602539098005345,0.0018874101757191,0.0018111581703254,105.0,16.02539098005345,0.9969204815322225,abundant,99.69204815322225,,peak_abundance_with_occupancy_days_modifiers,0.1602539098005345
eurjac,IE,1.9161281790565545,4.0677,5.7946,nonbreeding,0.9295,0.024,0.0494,140.0,92.95,0.7990875167873412,abundant,79.90875167873412,,peak_abundance_with_occupancy_days_modifiers,0.9295
bkhgul,IE,1.8966453912357106,2.454414820670619,5.6635034596772105,nonbreeding,0.1771841785666178,0.0145250185791797,0.0151121661995446,161.0,17.71841785666178,0.7909625631908036,abundant,79.09625631908035,,peak_abundance_with_occupancy_days_modifiers,0.1771841785666178
cowpig1,IE,1.8630176854064457,4.740769382476879,5.443150866221644,nonbreeding,0.8084610398765893,0.0234843069643804,0.0157402306464467,112.0,80.84610398765894,0.7769387206107142,abundant,77.69387206107142,,peak_abundance_with_occupancy_days_modifiers,0.8084610398765893
barswa,IE,1.716661745642208,3.1745156638395904,4.565916970028641,postbreeding_migration,0.9439520815919488,0.0032281455417149,0.0044444805663276,112.0,94.39520815919488,0.7159035530516913,common,71.59035530516913,,peak_abundance_with_occupancy_days_modifiers,0.9439520815919488
comcha,IE,1.6437934778790064,3.186272969930441,4.174762673357287,nonbreeding,0.8660621308958539,0.0101239408603344,0.0098850175683885,112.0,86.6062130895854,0.685515125087461,common,68.5515125087461,,peak_abundance_with_occupancy_days_modifiers,0.8660621308958539
eurrob1,IE,1.6101771027617393,3.3758186940753214,4.003697317980688,prebreeding_migration,0.9110960722328982,0.0177946548120993,0.0438955221172497,112.0,91.10960722328983,0.6714960077812925,common,67.14960077812925,,peak_abundance_with_occupancy_days_modifiers,0.9110960722328982
eurbla,IE,1.4407768807577686,2.7290877793385038,3.2239760683782803,nonbreeding,0.8960756206721735,0.0120949580054512,0.0226174534972584,119.0,89.60756206721734,0.6008506280911784,common,60.08506280911784,,peak_abundance_with_occupancy_days_modifiers,0.8960756206721735
eurwig,IE,1.4329099713293654,1.2881091606819837,3.1908767964124864,nonbreeding,0.1402942827247126,0.0096843652791815,0.0300763276840453,147.0,14.02942827247126,0.5975698720391335,common,59.75698720391335,,peak_abundance_with_occupancy_days_modifiers,0.1402942827247126
redwin,IE,1.392102461402867,1.9795999999999998,3.0233,nonbreeding,0.831,0.023,0.1118,63.0,83.1,0.5805518185864171,common,58.05518185864172,,peak_abundance_with_occupancy_days_modifiers,0.831
gnwtea,IE,1.334429080353406,1.0767200974386464,2.7978270732615416,nonbreeding,0.2225768115992528,0.0077730100061548,0.0070629498022978,154.0,22.25768115992528,0.5565001505658386,common,55.650015056583854,,peak_abundance_with_occupancy_days_modifiers,0.2225768115992528
mallar3,IE,1.260089893724487,1.8925531619667177,2.525738414877952,nonbreeding,0.3809282274163963,0.0126311847420871,0.0053431605723641,154.0,38.09282274163963,0.5254983017894472,common,52.549830178944724,,peak_abundance_with_occupancy_days_modifiers,0.3809282274163963
comhom1,IE,1.2514049315578484,1.300847068291701,2.4952500967207394,breeding,0.880514145150209,0.011737543946094,0.0139606590941199,91.0,88.0514145150209,0.5218763912476648,common,52.187639124766484,,peak_abundance_with_occupancy_days_modifiers,0.880514145150209
