species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
commur,IM,3.131610872224013,10.344453803289005,21.91085629463196,breeding,0.4454545454545454,8.473828228440286e-05,8.710518726107771e-05,105.0,44.54545454545454,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.4454545454545454
norgan,IM,2.1899537644772646,7.9348,7.9348,breeding,0.5,0.0,0.0,77.0,50.0,0.9132816555084843,abundant,91.32816555084842,,peak_abundance_with_occupancy_days_modifiers,0.5
eursta,IM,2.1605260142201788,3.1482,7.6757,postbreeding_migration,0.5877,0.0,0.0,140.0,58.77,0.9010093304445362,abundant,90.10093304445363,,peak_abundance_with_occupancy_days_modifiers,0.5877
manshe,IM,2.1297321316016196,2.6946857594348717,7.412613036415793,breeding,0.4363636363636363,0.0002309684457789288,0.00013006494887527582,140.0,43.636363636363626,0.8881672839348811,abundant,88.8167283934881,,peak_abundance_with_occupancy_days_modifiers,0.4363636363636363
razorb,IM,1.940053258092725,2.845236151970246,5.959121590310877,breeding,0.4727272727272727,0.00011085454210799324,0.0001756525946527504,126.0,47.27272727272727,0.8090650497128096,abundant,80.90650497128095,,peak_abundance_with_occupancy_days_modifiers,0.4727272727272727
bklkit,IM,1.91221902415773,3.8797385613688014,5.768090704354373,postbreeding_migration,0.4363636363636363,6.640754702240279e-05,3.678193745621069e-05,119.0,43.636363636363626,0.7974572725714367,abundant,79.74572725714367,,peak_abundance_with_occupancy_days_modifiers,0.4363636363636363
eurwig,IM,1.8761312544473967,2.599066666666667,5.5282,nonbreeding,0.2982,0.0001,0.0005,49.0,29.82,0.782407503667969,abundant,78.2407503667969,,peak_abundance_with_occupancy_days_modifiers,0.2982
eurjac,IM,1.7665784040307961,3.5498499999999997,4.8508,nonbreeding,0.6316,0.0002,0.0005,140.0,63.160000000000004,0.7367204164713913,common,73.67204164713912,,peak_abundance_with_occupancy_days_modifiers,0.6316
rook1,IM,1.674401343284752,3.46775,4.3356,nonbreeding,0.7807,0.0001,0.0002,217.0,78.07,0.6982795963940105,common,69.82795963940104,,peak_abundance_with_occupancy_days_modifiers,0.7807
bkhgul,IM,1.5480730166825158,1.883275,3.7024,nonbreeding,0.3158,0.0003,0.0002,175.0,31.580000000000002,0.6455965922464567,common,64.55965922464567,,peak_abundance_with_occupancy_days_modifiers,0.3158
