species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
amufal1,IN,3.748758513808122,13.825147592342047,41.46832541895556,postbreeding_migration,0.1036281305720438,0.0434410362879225,0.5071984541091851,56.0,10.36281305720438,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.1036281305720438
lesfla1,IN,2.5457424085473876,7.425315334062513,11.75269228023255,prebreeding_migration,0.0571206379335146,0.3271389782225934,0.3901852579147167,161.0,5.71206379335146,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.0571206379335146
grefla3,IN,2.153844520660627,4.096752275528044,7.617926587595122,postbreeding_migration,0.0840539137587048,0.2648896750698113,0.6181756834768832,133.0,8.40539137587048,0.8982229312071106,abundant,89.82229312071107,,peak_abundance_with_occupancy_days_modifiers,0.0840539137587048
categr2,IN,2.0469795573025027,5.72185566368861,6.744474004055903,nonbreeding,0.7560317145857243,0.5462343901102914,0.6451569901978139,126.0,75.60317145857243,0.8536567799784077,abundant,85.36567799784078,,peak_abundance_with_occupancy_days_modifiers,0.7560317145857243
pltswi1,IN,1.7581746260750815,4.801837200344853,4.801837200344853,resident,0.6869070208728653,0.0129112027867273,0.023204112747229,365.0,68.69070208728652,0.7332157688535212,common,73.32157688535213,,peak_abundance_with_occupancy_days_modifiers,0.6869070208728653
rorpar,IN,1.6929566605589812,4.43552798146651,4.43552798146651,resident,0.7752416581269006,0.6384618908940695,0.8792625770679007,365.0,77.52416581269006,0.7060177647305179,common,70.60177647305179,,peak_abundance_with_occupancy_days_modifiers,0.7752416581269006
revbul,IN,1.6637146226320692,4.278883529602385,4.278883529602385,resident,0.9244847330393664,0.7171148206629206,0.8140142995892811,365.0,92.44847330393664,0.6938228877237393,common,69.38228877237394,,peak_abundance_with_occupancy_days_modifiers,0.9244847330393664
rocpig,IN,1.6031846214547163,3.96883110076935,3.96883110076935,resident,0.5935396646724698,0.1883799790166578,0.2474063353907549,365.0,59.35396646724698,0.6685799165798353,common,66.85799165798353,,peak_abundance_with_occupancy_days_modifiers,0.5935396646724698
commyn,IN,1.583418488060228,3.8715808197175097,3.8715808197175097,resident,0.8504773338726426,0.4877996882394017,0.6325589055911023,365.0,85.04773338726426,0.6603367987011213,common,66.03367987011212,,peak_abundance_with_occupancy_days_modifiers,0.8504773338726426
barswa,IN,1.4912174180751139,1.470046827953574,3.4425006087489067,nonbreeding,0.524930621852545,0.1017391763239945,0.0928032691142059,154.0,52.4930621852545,0.6218859659933549,common,62.18859659933549,,peak_abundance_with_occupancy_days_modifiers,0.524930621852545
houspa,IN,1.4694788639603718,3.346969188372004,3.346969188372004,resident,0.6225875940669948,0.1356584674279141,0.1299861986083421,365.0,62.25875940669948,0.6128202847847786,common,61.282028478477855,,peak_abundance_with_occupancy_days_modifiers,0.6225875940669948
rewlap1,IN,1.4240112526825728,3.013631523835744,3.1537488037031656,nonbreeding,0.759463937146609,0.6644150510229516,0.7735815218519079,203.0,75.9463937146609,0.59385881812125,common,59.385881812125,,peak_abundance_with_occupancy_days_modifiers,0.759463937146609
lewduc1,IN,1.394460923786284,1.576875,3.0328,nonbreeding,0.5866,0.7497,0.5886,112.0,58.660000000000004,0.5815353737942577,common,58.15353737942577,,peak_abundance_with_occupancy_days_modifiers,0.5866
comcra,IN,1.386445013162476,2.112466602328588,3.000602653564697,nonbreeding,0.1010815994373782,0.0877840361355078,0.120015406451298,84.0,10.10815994373782,0.578192479417368,common,57.8192479417368,,peak_abundance_with_occupancy_days_modifiers,0.1010815994373782
houcro1,IN,1.2906979295343206,2.6353228697632254,2.6353228697632254,resident,0.6285849007633358,0.7630785191852438,0.7349518914344012,365.0,62.85849007633358,0.538262844160021,common,53.8262844160021,,peak_abundance_with_occupancy_days_modifiers,0.6285849007633358
bladro1,IN,1.2759763999533307,2.360143868029987,2.5821973604365183,postbreeding_migration,0.8774050930825453,0.6791135817472396,0.7307668635802431,126.0,87.74050930825453,0.532123489473438,common,53.2123489473438,,peak_abundance_with_occupancy_days_modifiers,0.8774050930825453
eurcoo,IN,1.2642643975054346,1.2582210986970848,2.5404873866220963,nonbreeding,0.284740859391102,0.372517847484084,0.22476363522366,154.0,28.4740859391102,0.5272392050842253,common,52.72392050842253,,peak_abundance_with_occupancy_days_modifiers,0.284740859391102
junbab2,IN,1.211558143205916,2.3587139348038697,2.3587139348038697,resident,0.6348279697094601,0.8777986388229296,0.8880604965459633,365.0,63.48279697094601,0.5052589898106825,common,50.52589898106825,,peak_abundance_with_occupancy_days_modifiers,0.6348279697094601
inpher1,IN,1.1988698909467705,1.983908384582428,2.3163669478837536,nonbreeding,0.7491305555717366,0.8338601718175316,0.8066365806733258,126.0,74.91305555717366,0.4999675776280571,common,49.99675776280571,,peak_abundance_with_occupancy_days_modifiers,0.7491305555717366
eucdov,IN,1.1902758855865176,2.287988190816024,2.287988190816024,resident,0.7810614193016253,0.1712608338155552,0.1985375118158596,365.0,78.10614193016254,0.49638359902075807,common,49.638359902075806,,peak_abundance_with_occupancy_days_modifiers,0.7810614193016253
norpin,IN,1.187822938374139,1.0281760507785629,2.2799328130962557,nonbreeding,0.1666738049667159,0.3205076780505158,0.4071408935725653,98.0,16.66738049667159,0.49536064057874235,common,49.536064057874235,,peak_abundance_with_occupancy_days_modifiers,0.1666738049667159
litcor1,IN,1.1563516734114883,2.178316561399086,2.178316561399086,resident,0.5328586011553781,0.7194116142225894,0.618693695328925,365.0,53.28586011553781,0.48223610369022196,common,48.2236103690222,,peak_abundance_with_occupancy_days_modifiers,0.5328586011553781
asgsta1,IN,1.1543514691369776,2.17196563272198,2.17196563272198,resident,0.6426312460468058,0.0356128851344246,0.0248672735264233,365.0,64.26312460468057,0.48140195371828576,common,48.140195371828575,,peak_abundance_with_occupancy_days_modifiers,0.6426312460468058
gnwtea,IN,1.0951251013818608,1.394322142254543,1.989556657669552,nonbreeding,0.1810042950218036,0.2522229181859329,0.2004047073464064,119.0,18.10042950218036,0.4567026399379976,common,45.67026399379976,,peak_abundance_with_occupancy_days_modifiers,0.1810042950218036
rossta2,IN,1.0866409168868898,1.9643,1.9643,nonbreeding,0.586,0.6628,0.8638,168.0,58.599999999999994,0.45316446018877526,common,45.31644601887753,,peak_abundance_with_occupancy_days_modifiers,0.586
spodov,IN,1.0662715056406642,1.9045297631164704,1.9045297631164704,resident,0.7025820547558917,0.3652412554771223,0.3823521084951451,365.0,70.25820547558918,0.4446697559048579,common,44.46697559048579,,peak_abundance_with_occupancy_days_modifiers,0.7025820547558917
indsil,IN,1.0429654612675872,1.837619400142507,1.837619400142507,resident,0.7585588100662298,0.8624221125305805,0.9260865996057916,365.0,75.85588100662298,0.434950380485314,common,43.4950380485314,,peak_abundance_with_occupancy_days_modifiers,0.7585588100662298
bkwsti,IN,0.9718282935245803,1.2133355617692239,1.642771807687561,nonbreeding,0.4024068155358807,0.3280294650958996,0.423964525590078,105.0,40.24068155358807,0.4052838773023001,common,40.52838773023001,,peak_abundance_with_occupancy_days_modifiers,0.4024068155358807
norsho,IN,0.9640528490562806,0.8725185719137528,1.6223027633388871,nonbreeding,0.1609460748248464,0.3657931839873626,0.2691547957156853,133.0,16.09460748248464,0.4020412651012987,common,40.20412651012987,,peak_abundance_with_occupancy_days_modifiers,0.1609460748248464
indrob1,IN,0.9404955461907227,1.5612503217436056,1.5612503217436056,resident,0.8189446380517038,0.8993980171674465,0.9421443643733444,365.0,81.89446380517037,0.39221710675176974,common,39.22171067517697,,peak_abundance_with_occupancy_days_modifiers,0.8189446380517038
baywea1,IN,0.9305486036208547,1.5359,1.5359,resident,0.6532,0.7569,0.8112,365.0,65.32,0.388068909504498,common,38.8068909504498,,peak_abundance_with_occupancy_days_modifiers,0.6532
brasta1,IN,0.9229321867435587,1.4237383158621582,1.5166588955913478,breeding,0.7708605420987219,0.9864127151022004,0.9976135739166606,133.0,77.08605420987219,0.3848926169600753,common,38.48926169600753,,peak_abundance_with_occupancy_days_modifiers,0.7708605420987219
lotpar2,IN,0.9127595054707777,1.4911875026106156,1.4911875026106156,resident,0.6913345983554712,0.03482777299812,0.0766438684799961,365.0,69.13345983554711,0.3806502793616908,common,38.06502793616908,,peak_abundance_with_occupancy_days_modifiers,0.6913345983554712
litegr,IN,0.8688171138562931,1.1455970651047838,1.384089078997397,nonbreeding,0.5540270134315588,0.3416060708679054,0.3118420080530377,119.0,55.40270134315588,0.3623248787018016,common,36.23248787018016,,peak_abundance_with_occupancy_days_modifiers,0.5540270134315588
bahgoo,IN,0.8529674720073864,0.43437499999999996,1.3466,nonbreeding,0.3059,0.576,0.5657,105.0,30.59,0.3557150646583342,common,35.571506465833416,,peak_abundance_with_occupancy_days_modifiers,0.3059
gloibi,IN,0.8452200283850895,0.845679105172758,1.3284900921250336,nonbreeding,0.1569442207684718,0.1956219008261304,0.5732671894019241,133.0,15.69442207684718,0.3524841297171032,common,35.248412971710316,,peak_abundance_with_occupancy_days_modifiers,0.1569442207684718
whtkin2,IN,0.8165831010774535,1.2627550082684829,1.2627550082684829,resident,0.8481908796081119,0.5364045035545908,0.6895327912846791,365.0,84.81908796081119,0.3405416034389575,common,34.05416034389575,,peak_abundance_with_occupancy_days_modifiers,0.8481908796081119
aspsta2,IN,0.8120851046314591,1.2526,1.2526,resident,0.5115,0.7645,0.7353,365.0,51.15,0.3386657932244667,common,33.86657932244667,,peak_abundance_with_occupancy_days_modifiers,0.5115
olbsun4,IN,0.7737880895327016,1.1679631572241491,1.1679631572241491,resident,0.6660341555977229,0.0076584603076475,0.0167752323809902,365.0,66.60341555977229,0.3226946974334214,common,32.269469743342135,,peak_abundance_with_occupancy_days_modifiers,0.6660341555977229
gadwal,IN,0.767472989841471,0.5735471738845288,1.154315392612996,nonbreeding,0.15182452673921,0.2968962150329711,0.3773046403659579,112.0,15.182452673920999,0.3200610963071049,common,32.00610963071049,,peak_abundance_with_occupancy_days_modifiers,0.15182452673921
horlar,IN,0.7404616089037923,0.6757435811152352,1.0969032403278764,prebreeding_migration,0.418785270461696,0.0084870733645453,0.0104753665063948,126.0,41.8785270461696,0.30879647551899353,common,30.879647551899353,,peak_abundance_with_occupancy_days_modifiers,0.418785270461696
ashpri1,IN,0.7385268058586926,1.0928500678628328,1.0928500678628328,resident,0.7791374159228059,0.9438573194362224,0.972981525894262,365.0,77.91374159228059,0.3079895999781607,common,30.798959997816073,,peak_abundance_with_occupancy_days_modifiers,0.7791374159228059
yebbab1,IN,0.7384136030302458,1.0926131647249413,1.0926131647249413,resident,0.3310397204725372,0.869342733682056,0.8662688151985901,365.0,33.10397204725372,0.3079423907318975,common,30.79423907318975,,peak_abundance_with_occupancy_days_modifiers,0.3310397204725372
nutman,IN,0.6861523870670918,0.9860592262711064,0.9860592262711064,resident,0.7863813931307798,0.522431350499003,0.3235988718726075,365.0,78.63813931307799,0.28614777086004434,common,28.614777086004434,,peak_abundance_with_occupancy_days_modifiers,0.7863813931307798
compea,IN,0.6768786678239707,0.9677262096203926,0.9677262096203926,resident,0.6979269002808336,0.91357103455169,0.9456245773635984,365.0,69.79269002808336,0.2822803295466885,common,28.22803295466885,,peak_abundance_with_occupancy_days_modifiers,0.6979269002808336
asikoe2,IN,0.6714935232037205,0.5606579639730545,0.9571582000775508,breeding,0.7825699272597932,0.693552099692743,0.7535357186820343,105.0,78.25699272597933,0.28003454980754017,fairly_common,28.003454980754018,,peak_abundance_with_occupancy_days_modifiers,0.7825699272597932
grecou1,IN,0.6714537115666466,0.9570802839565876,0.9570802839565876,resident,0.8589685754152092,0.4444987237047818,0.6009823438840793,365.0,85.89685754152092,0.28001794706532473,common,28.001794706532472,,peak_abundance_with_occupancy_days_modifiers,0.8589685754152092
banmyn1,IN,0.6531694186421202,0.9216216110087926,0.9216216110087926,resident,0.3886989008690344,0.779199356926281,0.7648659638409637,365.0,38.86989008690344,0.272392804661508,fairly_common,27.2392804661508,,peak_abundance_with_occupancy_days_modifiers,0.3886989008690344
