species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
gnwtea,IQ,2.5300791670455136,4.1733,11.5545,nonbreeding,0.6179,0.032,0.0766,147.0,61.79,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.6179
comcra,IQ,2.349153743809865,3.7322666666666664,9.4767,nonbreeding,0.2292,0.0167,0.0362,112.0,22.919999999999998,0.9796732036042493,abundant,97.96732036042492,,peak_abundance_with_occupancy_days_modifiers,0.2292
eursta,IQ,2.1833622713430705,3.7331000000000003,7.8761,nonbreeding,0.6874,0.0249,0.0272,140.0,68.74,0.9105327893636748,abundant,91.05327893636748,,peak_abundance_with_occupancy_days_modifiers,0.6874
barswa,IQ,1.7930253343492886,3.226725,5.0076,prebreeding_migration,0.9821,0.0081,0.0208,154.0,98.21,0.7477496430679426,abundant,74.77496430679426,,peak_abundance_with_occupancy_days_modifiers,0.9821
houspa,IQ,1.7238017760448279,4.6058,4.6058,resident,0.8994,0.02,0.0357,365.0,89.94,0.7188811770053376,common,71.88811770053375,,peak_abundance_with_occupancy_days_modifiers,0.8994
eurcoo,IQ,1.6919207175700022,1.9417499999999999,4.4299,nonbreeding,0.3311,0.0212,0.0395,154.0,33.11,0.7055857429484448,common,70.55857429484448,,peak_abundance_with_occupancy_days_modifiers,0.3311
crelar1,IQ,1.6822421779887042,3.54565,4.3776,breeding,0.9842,0.0305,0.08,147.0,98.42,0.701549478441362,common,70.15494784413619,,peak_abundance_with_occupancy_days_modifiers,0.9842
whiwag,IQ,1.5444939757934355,1.5683749999999999,3.6856,nonbreeding,0.9641,0.0218,0.0718,112.0,96.41,0.6441040162654783,common,64.41040162654784,,peak_abundance_with_occupancy_days_modifiers,0.9641
rocpig,IQ,1.5295285292057985,3.616,3.616,resident,0.9328,0.0236,0.0316,365.0,93.28,0.6378629402863042,common,63.78629402863042,,peak_abundance_with_occupancy_days_modifiers,0.9328
mallar3,IQ,1.4698079613477082,1.5354249999999998,3.3484,nonbreeding,0.4865,0.0212,0.0089,126.0,48.65,0.6129575290552309,common,61.295752905523095,,peak_abundance_with_occupancy_days_modifiers,0.4865
eucdov,IQ,1.4691178143190038,3.3454,3.3454,resident,0.9366,0.0262,0.0535,365.0,93.66,0.612669715389416,common,61.2669715389416,,peak_abundance_with_occupancy_days_modifiers,0.9366
spaspa1,IQ,1.4408298937679047,2.1790000000000003,3.2242,nonbreeding,0.9483,,,,94.83,0.600872736233572,common,60.0872736233572,,peak_abundance_with_occupancy_days_modifiers,0.9483
skylar,IQ,1.343517331763832,1.567425,2.8325,nonbreeding,0.8701,0.0707,0.1032,154.0,87.01,0.5602902457853934,common,56.02902457853934,,peak_abundance_with_occupancy_days_modifiers,0.8701
norsho,IQ,1.2595399527743918,1.31015,2.5238,nonbreeding,0.297,0.033,0.052,147.0,29.7,0.5252689585998869,common,52.526895859988684,,peak_abundance_with_occupancy_days_modifiers,0.297
blakit1,IQ,1.1594878593863915,0.852625,2.1883,postbreeding_migration,0.8393,0.0089,0.033,147.0,83.93,0.4835439948272871,common,48.35439948272871,,peak_abundance_with_occupancy_days_modifiers,0.8393
bkwsti,IQ,1.0365950309175835,0.8902,1.8196,breeding,0.8369,0.0242,0.0368,105.0,83.69,0.4322937046820504,common,43.22937046820504,,peak_abundance_with_occupancy_days_modifiers,0.8369
banswa,IQ,0.9303908562529367,0.8767750000000001,1.5355,prebreeding_migration,0.8984,,,,89.84,0.38800312374241436,common,38.800312374241436,,peak_abundance_with_occupancy_days_modifiers,0.8984
norlap,IQ,0.837031050888523,0.6806000000000001,1.3095,nonbreeding,0.3111,0.0807,0.0418,133.0,31.11,0.34906906084839073,common,34.90690608483907,,peak_abundance_with_occupancy_days_modifiers,0.3111
eaywag1,IQ,0.8162051680517985,0.538,1.2619,postbreeding_migration,0.9385,0.0119,0.0295,126.0,93.85,0.34038399312547035,common,34.038399312547035,,peak_abundance_with_occupancy_days_modifiers,0.9385
rook1,IQ,0.783947204886384,0.6750499999999999,1.1901,nonbreeding,0.4838,0.0228,0.017,217.0,48.38,0.32693137760412233,common,32.693137760412235,,peak_abundance_with_occupancy_days_modifiers,0.4838
corbun1,IQ,0.7730206431431086,0.5196749999999999,1.1663,nonbreeding,0.7023,0.0688,0.062,91.0,70.23,0.32237464743027944,common,32.23746474302794,,peak_abundance_with_occupancy_days_modifiers,0.7023
eubeat1,IQ,0.7521705210094063,0.8546666666666667,1.1216,prebreeding_migration,0.9856,0.0235,0.03,112.0,98.56,0.313679471135374,common,31.367947113537397,,peak_abundance_with_occupancy_days_modifiers,0.9856
grecor,IQ,0.7165218518763958,0.42872499999999997,1.0473,nonbreeding,0.1862,0.0084,0.019,98.0,18.62,0.29881282139574294,common,29.881282139574296,,peak_abundance_with_occupancy_days_modifiers,0.1862
comswi,IQ,0.7089220996753075,0.399825,1.0318,prebreeding_migration,0.87,0.0109,0.0204,196.0,87.0,0.2956434785610914,common,29.56434785610914,,peak_abundance_with_occupancy_days_modifiers,0.87
comcha,IQ,0.6863239552118199,0.399575,0.9864,nonbreeding,0.2385,0.0095,0.012,112.0,23.849999999999998,0.28621932033373254,fairly_common,28.621932033373255,,peak_abundance_with_occupancy_days_modifiers,0.2385
cowpig1,IQ,0.6791496709160917,0.49055,0.9722,nonbreeding,0.2495,0.0282,0.0236,112.0,24.95,0.2832274113971276,fairly_common,28.32274113971276,,peak_abundance_with_occupancy_days_modifiers,0.2495
watpip1,IQ,0.6420117684451749,0.31553333333333333,0.9003,nonbreeding,0.8328,0.067,0.1502,42.0,83.28,0.2677397031172008,fairly_common,26.77397031172008,,peak_abundance_with_occupancy_days_modifiers,0.8328
comhom1,IQ,0.6394385847826268,0.3317359260371479,0.8954164648970329,breeding,0.1711339311150273,0.0059723408817749,0.0083099621528101,91.0,17.11339311150273,0.26666660218083454,fairly_common,26.666660218083454,,peak_abundance_with_occupancy_days_modifiers,0.1711339311150273
comchi1,IQ,0.6353061808700954,0.410375,0.8876,prebreeding_migration,0.9938,0.0302,0.0323,133.0,99.38,0.2649432558948606,fairly_common,26.494325589486063,,peak_abundance_with_occupancy_days_modifiers,0.9938
gragoo,IQ,0.5810976767513224,0.5040000000000001,0.788,nonbreeding,0.2368,0.047,0.0229,56.0,23.68,0.24233655378667762,fairly_common,24.233655378667763,,peak_abundance_with_occupancy_days_modifiers,0.2368
litgre1,IQ,0.5795864683367791,0.57485,0.7853,breeding,0.4143,0.0148,0.0473,84.0,41.43,0.24170633092762012,fairly_common,24.17063309276201,,peak_abundance_with_occupancy_days_modifiers,0.4143
colpra,IQ,0.49244026321509277,0.4226808849885679,0.636304365265405,prebreeding_migration,0.5775188592201564,0.1076315265199116,0.1093417870405484,70.0,57.751885922015646,0.20536354060217543,fairly_common,20.536354060217544,,peak_abundance_with_occupancy_days_modifiers,0.5775188592201564
ruff,IQ,0.4854462754265935,0.224,0.6249,prebreeding_migration,0.7293,0.0194,0.0142,189.0,72.92999999999999,0.20244682114914564,common,20.244682114914564,,peak_abundance_with_occupancy_days_modifiers,0.7293
hoocro1,IQ,0.44929058764819396,0.476575,0.5672,postbreeding_migration,0.3703,0.0237,0.0244,168.0,37.03,0.1873687282113313,fairly_common,18.73687282113313,,peak_abundance_with_occupancy_days_modifiers,0.3703
litsti,IQ,0.44102528350671527,0.24109999999999998,0.5543,postbreeding_migration,0.6675,0.0191,0.0159,126.0,66.75,0.18392182865936169,fairly_common,18.392182865936167,,peak_abundance_with_occupancy_days_modifiers,0.6675
graher1,IQ,0.4357356311264119,0.374,0.5461,postbreeding_migration,0.6857,0.0121,0.0284,147.0,68.57,0.18171587227740077,fairly_common,18.171587227740076,,peak_abundance_with_occupancy_days_modifiers,0.6857
gloibi,IQ,0.4322368586055922,0.31275000000000003,0.5407,postbreeding_migration,0.855,,,,85.5,0.18025677080599392,fairly_common,18.025677080599394,,peak_abundance_with_occupancy_days_modifiers,0.855
rewlap1,IQ,0.39649163330905607,0.3974,0.4866,breeding,0.7613,0.0572,0.0212,203.0,76.13,0.16534985401858096,common,16.534985401858098,,peak_abundance_with_occupancy_days_modifiers,0.7613
isawhe1,IQ,0.39608794629556743,0.28404999999999997,0.486,prebreeding_migration,0.8753,0.0289,0.0159,14.0,87.53,0.16518150345795893,rare,16.518150345795892,rare,peak_abundance_with_occupancy_days_modifiers,0.8753
categr1,IQ,0.39365258775052014,0.3806733791119631,0.4823854603385626,nonbreeding,0.2776972270173439,0.0131045505564264,0.0076637368978071,140.0,27.769722701734388,0.1641658800599424,fairly_common,16.41658800599424,,peak_abundance_with_occupancy_days_modifiers,0.2776972270173439
gadwal,IQ,0.3817869807535872,0.3384333333333333,0.4649,prebreeding_migration,0.285,0.0253,0.0174,98.0,28.499999999999996,0.1592175375983112,fairly_common,15.92175375983112,,peak_abundance_with_occupancy_days_modifiers,0.285
leswhi4,IQ,0.37747707156799565,0.155,0.4586,prebreeding_migration,0.9004,0.0158,0.0306,140.0,90.03999999999999,0.15742016586382263,fairly_common,15.742016586382263,,peak_abundance_with_occupancy_days_modifiers,0.9004
hoopoe,IQ,0.3728041658686032,0.252075,0.4518,postbreeding_migration,0.9913,0.0127,0.0242,112.0,99.13,0.15547141282510496,fairly_common,15.547141282510497,,peak_abundance_with_occupancy_days_modifiers,0.9913
whisto1,IQ,0.3704594989093491,0.20583333333333334,0.4484,prebreeding_migration,0.5019,0.0173,0.0219,28.0,50.19,0.15449361075599377,rare,15.449361075599377,rare,peak_abundance_with_occupancy_days_modifiers,0.5019
meapip1,IQ,0.3694924476493468,0.2788666666666667,0.447,postbreeding_migration,0.8456,0.0745,0.0375,98.0,84.56,0.15409031905640524,fairly_common,15.409031905640525,,peak_abundance_with_occupancy_days_modifiers,0.8456
bkhgul,IQ,0.3591418985025198,0.296075,0.4321,nonbreeding,0.0357,0.0138,0.0103,175.0,3.5700000000000003,0.14977380479314975,rare,14.977380479314975,rare,peak_abundance_with_occupancy_days_modifiers,0.0357
commoo3,IQ,0.34536118403845895,0.3296,0.4125,breeding,0.7287,0.028,0.0385,294.0,72.87,0.1440268004846678,common,14.40268004846678,,peak_abundance_with_occupancy_days_modifiers,0.7287
grefla3,IQ,0.33757560886226484,0.34457730309683154,0.4015455736522025,postbreeding_migration,0.0500326659130563,0.0554023307691001,0.010780733514179,133.0,5.00326659130563,0.14077996345032628,fairly_common,14.077996345032629,,peak_abundance_with_occupancy_days_modifiers,0.0500326659130563
litegr,IQ,0.3266383275621933,0.37075,0.3863,breeding,0.619,0.0273,0.0184,84.0,61.9,0.13621876287407775,fairly_common,13.621876287407774,,peak_abundance_with_occupancy_days_modifiers,0.619
blackc1,IQ,0.32157612409933717,0.1038,0.3793,prebreeding_migration,0.8571,0.0326,0.0292,126.0,85.71,0.13410766005808675,fairly_common,13.410766005808675,,peak_abundance_with_occupancy_days_modifiers,0.8571
wlwwar,IQ,0.2972858085944757,0.24655,0.3462,prebreeding_migration,0.9874,0.0102,0.0168,119.0,98.74000000000001,0.12397781169464497,fairly_common,12.397781169464498,,peak_abundance_with_occupancy_days_modifiers,0.9874
stonec4,IQ,0.2736845628079273,0.1447,0.3148,nonbreeding,0.847,0.0889,0.0801,91.0,84.7,0.11413532772368924,fairly_common,11.413532772368924,,peak_abundance_with_occupancy_days_modifiers,0.847
greegr,IQ,0.2691106868663456,0.14652500000000002,0.3088,nonbreeding,0.4248,0.0056,0.008,133.0,42.480000000000004,0.11222787330169358,fairly_common,11.222787330169357,,peak_abundance_with_occupancy_days_modifiers,0.4248
spwlap1,IQ,0.26719871351038055,0.2663,0.3063,nonbreeding,0.2649,0.0283,0.0433,77.0,26.490000000000002,0.11143051848071607,fairly_common,11.143051848071607,,peak_abundance_with_occupancy_days_modifiers,0.2649
rebshr1,IQ,0.26443903372138133,0.1734,0.3027,prebreeding_migration,0.9938,0.0165,0.0335,77.0,99.38,0.11027964261874455,fairly_common,11.027964261874455,,peak_abundance_with_occupancy_days_modifiers,0.9938
eurlin1,IQ,0.25874232855407325,0.146925,0.2953,nonbreeding,0.249,0.019,0.0112,133.0,24.9,0.10790393203958325,fairly_common,10.790393203958324,,peak_abundance_with_occupancy_days_modifiers,0.249
eurwig,IQ,0.25820176712927273,0.1545,0.2946,nonbreeding,0.25,0.0296,0.0124,49.0,25.0,0.10767850041588696,fairly_common,10.767850041588696,,peak_abundance_with_occupancy_days_modifiers,0.25
spofly1,IQ,0.2507587183471831,0.14916666666666667,0.285,prebreeding_migration,0.9935,0.0098,0.0246,140.0,99.35000000000001,0.10457450798280478,fairly_common,10.457450798280478,,peak_abundance_with_occupancy_days_modifiers,0.9935
retpip,IQ,0.24842135849847827,0.20136666666666667,0.282,prebreeding_migration,0.8033,,,,80.33,0.10359975321548041,fairly_common,10.359975321548042,,peak_abundance_with_occupancy_days_modifiers,0.8033
eurkes,IQ,0.23956792972835161,0.22797499999999998,0.2707,nonbreeding,0.9935,0.0138,0.0268,98.0,99.35000000000001,0.09990758664317025,fairly_common,9.990758664317024,,peak_abundance_with_occupancy_days_modifiers,0.9935
euhbuz1,IQ,0.23166712225508665,0.09513333333333333,0.2607,postbreeding_migration,0.849,0.0246,0.0168,84.0,84.89999999999999,0.09661269400841199,fairly_common,9.6612694008412,,peak_abundance_with_occupancy_days_modifiers,0.849
combuz1,IQ,0.22450262735184073,0.142975,0.2517,postbreeding_migration,0.8959,0.017,0.0106,154.0,89.59,0.09362486756556457,fairly_common,9.362486756556457,,peak_abundance_with_occupancy_days_modifiers,0.8959
bcnher,IQ,0.22178262567486823,0.12545,0.2483,breeding,0.3174,0.0167,0.0221,112.0,31.740000000000002,0.09249053876153873,fairly_common,9.249053876153873,,peak_abundance_with_occupancy_days_modifiers,0.3174
eurwar1,IQ,0.21276993088664886,0.12230000000000002,0.2371,breeding,0.8094,0.0726,0.0886,63.0,80.94,0.08873195310083082,fairly_common,8.873195310083082,,peak_abundance_with_occupancy_days_modifiers,0.8094
whiter2,IQ,0.2125363798245266,0.11181682706928502,0.2368111077179114,breeding,0.2365735965791683,0.0347283500715923,0.0202659731343799,126.0,23.657359657916828,0.08863455474287425,fairly_common,8.863455474287425,,peak_abundance_with_occupancy_days_modifiers,0.2365735965791683
eutdov,IQ,0.20936911789237,0.11963333333333333,0.2329,breeding,0.6009,0.0208,0.0163,105.0,60.089999999999996,0.08731370392503997,fairly_common,8.731370392503997,,peak_abundance_with_occupancy_days_modifiers,0.6009
eurjac,IQ,0.2092068855753367,0.20115,0.2327,nonbreeding,0.0903,0.0129,0.0121,140.0,9.030000000000001,0.08724604779390129,fairly_common,8.724604779390129,,peak_abundance_with_occupancy_days_modifiers,0.0903
comred2,IQ,0.20880118959833327,0.07505,0.2322,prebreeding_migration,0.8564,0.0122,0.0289,133.0,85.64,0.08707685943042037,fairly_common,8.707685943042037,,peak_abundance_with_occupancy_days_modifiers,0.8564
wemhar1,IQ,0.20709546689260228,0.170775,0.2301,nonbreeding,0.6871,0.0335,0.0255,119.0,68.71000000000001,0.08636551781134275,fairly_common,8.636551781134274,,peak_abundance_with_occupancy_days_modifiers,0.6871
squher1,IQ,0.20603808341127067,0.108825,0.2288,breeding,0.7845,0.039,0.0628,119.0,78.45,0.08592455464947057,fairly_common,8.592455464947058,,peak_abundance_with_occupancy_days_modifiers,0.7845
gargan,IQ,0.20326732130941713,0.10135,0.2254,postbreeding_migration,0.7246,0.0183,0.0104,168.0,72.46000000000001,0.0847690571040669,fairly_common,8.47690571040669,,peak_abundance_with_occupancy_days_modifiers,0.7246
steeag1,IQ,0.19762059408312385,0.18383333333333332,0.2185,postbreeding_migration,0.8448,0.0225,0.0228,112.0,84.48,0.08241418894516538,fairly_common,8.241418894516537,,peak_abundance_with_occupancy_days_modifiers,0.8448
rutscr1,IQ,0.19523778206050096,0.19675,0.2156,postbreeding_migration,0.8934,,,,89.34,0.08142047914905653,fairly_common,8.142047914905653,,peak_abundance_with_occupancy_days_modifiers,0.8934
eurgol,IQ,0.19490867229942604,0.16635,0.2152,nonbreeding,0.2237,0.0087,0.0073,245.0,22.37,0.0812832297183544,fairly_common,8.12832297183544,,peak_abundance_with_occupancy_days_modifiers,0.2237
eurmag1,IQ,0.19235439249432928,0.2121,0.2121,resident,0.3238,0.0084,0.007,365.0,32.379999999999995,0.08021801230286822,fairly_common,8.021801230286822,,peak_abundance_with_occupancy_days_modifiers,0.3238
norpin,IQ,0.18904887754338112,0.079,0.2081,nonbreeding,0.2275,0.0258,0.0051,133.0,22.75,0.07883950549798571,fairly_common,7.883950549798572,,peak_abundance_with_occupancy_days_modifiers,0.2275
norshr1,IQ,0.18273813667917088,0.17065000000000002,0.2005,nonbreeding,0.7794,,,,77.94,0.07620772214372537,fairly_common,7.620772214372537,,peak_abundance_with_occupancy_days_modifiers,0.7794
pieavo1,IQ,0.18201599721887973,0.12548094579035982,0.1996333845241971,nonbreeding,0.0867006187939635,0.0609297449970667,0.0284709545550323,140.0,8.67006187939635,0.07590656659765838,uncommon,7.590656659765838,,peak_abundance_with_occupancy_days_modifiers,0.0867006187939635
tawpip1,IQ,0.180486540848225,0.109625,0.1978,prebreeding_migration,0.7366,0.0044,0.0034,42.0,73.66,0.07526873374982516,uncommon,7.526873374982516,,peak_abundance_with_occupancy_days_modifiers,0.7366
grrwar1,IQ,0.17260786460631553,0.1292,0.1884,breeding,0.8625,0.0812,0.0483,28.0,86.25,0.07198307055540433,rare,7.198307055540433,rare,peak_abundance_with_occupancy_days_modifiers,0.8625
palswi3,IQ,0.16720791898390644,0.10776666666666668,0.182,prebreeding_migration,0.2797,0.0364,0.0297,56.0,27.97,0.06973111831893011,uncommon,6.973111831893012,,peak_abundance_with_occupancy_days_modifiers,0.2797
grnsan,IQ,0.16593807754343054,0.1084,0.1805,postbreeding_migration,0.9217,0.0176,0.0211,147.0,92.17,0.06920155330627883,uncommon,6.920155330627884,,peak_abundance_with_occupancy_days_modifiers,0.9217
ortbun1,IQ,0.16364829152833335,0.08560000000000001,0.1778,prebreeding_migration,0.6996,0.0418,0.0428,91.0,69.96,0.06824663836855306,uncommon,6.824663836855306,,peak_abundance_with_occupancy_days_modifiers,0.6996
pygcor2,IQ,0.16271391048774617,0.12755,0.1767,breeding,0.1166,0.1178,0.1388,14.0,11.66,0.06785697120869556,rare,6.785697120869556,rare,peak_abundance_with_occupancy_days_modifiers,0.1166
renpha,IQ,0.1625439291852801,0.0982,0.1765,prebreeding_migration,0.186,,,,18.6,0.06778608349963067,uncommon,6.778608349963067,,peak_abundance_with_occupancy_days_modifiers,0.186
comshe,IQ,0.1595645696713384,0.06592499999999998,0.173,nonbreeding,0.156,,,,15.6,0.06654359407661903,uncommon,6.654359407661903,,peak_abundance_with_occupancy_days_modifiers,0.156
comsni,IQ,0.1522059328893311,0.1252333333333333,0.1644,postbreeding_migration,0.6949,0.0125,0.0136,140.0,69.49,0.06347480418179613,uncommon,6.347480418179613,,peak_abundance_with_occupancy_days_modifiers,0.6949
whwter,IQ,0.15022871324669096,0.09712499999999999,0.1621,prebreeding_migration,0.2452,0.0216,0.0034,140.0,24.52,0.06265023954585486,uncommon,6.2650239545854856,,peak_abundance_with_occupancy_days_modifiers,0.2452
