species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
gnwtea,IR,1.7301854385322721,1.9549999999999998,4.6417,nonbreeding,0.4025,0.078,0.1153,140.0,40.25,0.7215433710385217,common,72.15433710385217,,peak_abundance_with_occupancy_days_modifiers,0.4025
houspa,IR,1.5137196493751295,3.5436,3.5436,resident,0.6283,0.0524,0.1029,365.0,62.83,0.6312701253247818,common,63.127012532478176,,peak_abundance_with_occupancy_days_modifiers,0.6283
mallar3,IR,1.3706729802169337,1.259125,2.938,nonbreeding,0.3485,0.0568,0.0293,126.0,34.849999999999994,0.5716150308004665,common,57.16150308004665,,peak_abundance_with_occupancy_days_modifiers,0.3485
eursta,IR,1.2377073420555647,1.6714,2.4477,nonbreeding,0.4309,0.0585,0.0316,140.0,43.09,0.5161640527407798,common,51.616405274077984,,peak_abundance_with_occupancy_days_modifiers,0.4309
rocpig,IR,1.1977031913123406,2.3125,2.3125,resident,0.831,0.0789,0.0756,365.0,83.1,0.49948102608943695,common,49.94810260894369,,peak_abundance_with_occupancy_days_modifiers,0.831
crelar1,IR,0.9848088240045562,1.4203000000000001,1.6773,breeding,0.8987,0.1002,0.1148,147.0,89.87,0.4106971789703197,common,41.06971789703197,,peak_abundance_with_occupancy_days_modifiers,0.8987
barswa,IR,0.8600166327949783,0.85575,1.3632,breeding,0.7555,0.0235,0.0325,154.0,75.55,0.3586547930391177,common,35.86547930391177,,peak_abundance_with_occupancy_days_modifiers,0.7555
eurcoo,IR,0.7841298282718161,0.5088999999999999,1.1905,nonbreeding,0.2452,0.0588,0.0398,154.0,24.52,0.3270075374712791,common,32.700753747127905,,peak_abundance_with_occupancy_days_modifiers,0.2452
comcha,IR,0.6822884372250694,0.47155,0.9784,nonbreeding,0.3526,0.0526,0.0445,112.0,35.260000000000005,0.2845363786170825,fairly_common,28.45363786170825,,peak_abundance_with_occupancy_days_modifiers,0.3526
eucdov,IR,0.6172375864595953,0.8538,0.8538,resident,0.2792,0.0292,0.0511,365.0,27.92,0.257408066758175,fairly_common,25.740806675817502,,peak_abundance_with_occupancy_days_modifiers,0.2792
