species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
norful,IS,3.3246621611018097,11.9542543358425,26.78960864583983,nonbreeding,0.1918196863425013,0.0072668647091313,0.0048509428833537,154.0,19.18196863425013,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.1918196863425013
atlpuf,IS,2.88453134572484,7.911665824998039,16.895178977860112,breeding,0.1037906848451414,0.0030054167394723,0.0057456626267048,98.0,10.37906848451414,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.1037906848451414
comeid,IS,2.618920217813945,7.976925,12.7209,nonbreeding,0.129,0.062,0.2916,84.0,12.9,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.129
pifgoo,IS,2.496752872071682,3.938,11.143,prebreeding_migration,0.8099,0.3041,0.6881,77.0,80.99,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8099
snobun,IS,2.131761184191913,2.721925,7.4297,nonbreeding,0.9452,0.0193,0.0067,42.0,94.52000000000001,0.8890134645889366,abundant,88.90134645889366,,peak_abundance_with_occupancy_days_modifiers,0.9452
bklkit,IS,2.0269457509279736,2.9592945989989716,6.590866520219928,prebreeding_migration,0.1127748443533769,0.0011833810627605,0.0020866974187781,119.0,11.277484435337689,0.8453020337967075,abundant,84.53020337967075,,peak_abundance_with_occupancy_days_modifiers,0.1127748443533769
arcter,IS,1.9813876012044478,6.2528,6.2528,breeding,0.3985,0.0108,0.0942,42.0,39.85,0.8263028096686417,abundant,82.63028096686416,,peak_abundance_with_occupancy_days_modifiers,0.3985
redwin,IS,1.8326134632363211,1.9360249999999999,5.2502,postbreeding_migration,0.8988,0.0001,0.0002,63.0,89.88000000000001,0.7642591751297131,abundant,76.42591751297131,,peak_abundance_with_occupancy_days_modifiers,0.8988
mallar3,IS,1.5947505796822232,1.33305,3.9271,nonbreeding,0.5665,0.0064,0.0027,126.0,56.65,0.6650626479700805,common,66.50626479700806,,peak_abundance_with_occupancy_days_modifiers,0.5665
eugplo,IS,1.4980146107302985,2.3859,3.4728,prebreeding_migration,0.9496,,,,94.96,0.6247206155013177,common,62.47206155013178,,peak_abundance_with_occupancy_days_modifiers,0.9496
commur,IS,1.4211910706940918,1.4438330977795313,3.1420509788928532,breeding,0.0951217590038616,0.0022437990996557,0.0011687457287771,105.0,9.512175900386161,0.5926827108823423,common,59.26827108823423,,peak_abundance_with_occupancy_days_modifiers,0.0951217590038616
whoswa,IS,1.4037904087366417,1.7790500000000002,3.0706,prebreeding_migration,0.8174,0.0078,0.0133,56.0,81.74,0.5854260712138619,common,58.54260712138619,,peak_abundance_with_occupancy_days_modifiers,0.8174
gragoo,IS,1.2784585622524827,1.5269249999999999,2.5911,prebreeding_migration,0.8379,0.0172,0.0241,112.0,83.78999999999999,0.5331586315529565,common,53.31586315529565,,peak_abundance_with_occupancy_days_modifiers,0.8379
redpol1,IS,1.276279991748238,0.8622642504439959,2.583285051261536,postbreeding_migration,0.8203168098352904,0.0055619349698712,0.0063284129358441,112.0,82.03168098352904,0.5322500970856849,common,53.22500970856849,,peak_abundance_with_occupancy_days_modifiers,0.8203168098352904
meapip1,IS,1.2099449355962248,1.3247333333333333,2.3533,breeding,0.9511,0.0283,0.1381,63.0,95.11,0.5045862299833493,common,50.45862299833493,,peak_abundance_with_occupancy_days_modifiers,0.9511
bargoo,IS,1.170746886427309,1.1745333333333334,2.2244,postbreeding_migration,0.6611,0.0956,0.0279,63.0,66.11,0.48823937379927107,common,48.82393737992711,,peak_abundance_with_occupancy_days_modifiers,0.6611
comsni,IS,1.0500520980527326,0.74475,1.8578,breeding,0.9393,0.0063,0.0817,154.0,93.93,0.4379057375709782,common,43.790573757097825,,peak_abundance_with_occupancy_days_modifiers,0.9393
dunlin,IS,0.9176897527878625,0.9551000000000002,1.5035,breeding,0.5153,0.0363,0.1393,28.0,51.53,0.38270635219064764,rare,38.270635219064765,rare,peak_abundance_with_occupancy_days_modifiers,0.5153
lotduc,IS,0.8650395418633607,0.66855,1.3751,nonbreeding,0.0783,0.0289,0.0461,140.0,7.829999999999999,0.3607495088198117,common,36.074950881981174,,peak_abundance_with_occupancy_days_modifiers,0.0783
pursan,IS,0.7949814864412134,0.404675,1.2144,nonbreeding,0.0631,0.0364,0.3529,154.0,6.3100000000000005,0.33153303042858123,common,33.15330304285812,,peak_abundance_with_occupancy_days_modifiers,0.0631
renpha,IS,0.7765687886990177,0.6611666666666666,1.174,breeding,0.4347,0.013,0.0277,14.0,43.47,0.32385433905658156,rare,32.385433905658154,rare,peak_abundance_with_occupancy_days_modifiers,0.4347
y00478,IS,0.7551825714793979,0.4093,1.128,nonbreeding,0.1189,0.0742,0.2237,112.0,11.89,0.31493559374596514,common,31.493559374596515,,peak_abundance_with_occupancy_days_modifiers,0.1189
bargol,IS,0.7276452209675127,0.399575,1.0702,nonbreeding,0.3474,0.2095,0.3093,112.0,34.74,0.3034516266085059,common,30.34516266085059,,peak_abundance_with_occupancy_days_modifiers,0.3474
bktgod,IS,0.6447444413317779,0.4487666666666667,0.9055,breeding,0.5317,0.007,0.0319,63.0,53.169999999999995,0.26887931622608097,fairly_common,26.887931622608097,,peak_abundance_with_occupancy_days_modifiers,0.5317
