species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
brambl,IT,3.7361851837220192,14.151466666666666,40.9377,nonbreeding,0.3731,0.0087,0.0376,49.0,37.31,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.3731
eursta,IT,2.8061866861706997,8.609325,15.5467,postbreeding_migration,0.5434,0.014,0.0285,140.0,54.339999999999996,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.5434
comcha,IT,1.8468787684491346,2.7346,5.34,nonbreeding,0.9452,0.0276,0.0476,112.0,94.52000000000001,0.7702082694770094,abundant,77.02082694770094,,peak_abundance_with_occupancy_days_modifiers,0.9452
mallar3,IT,1.7352067542684395,2.7369749999999997,4.6701,postbreeding_migration,0.2779,0.0077,0.0128,126.0,27.79,0.7236374223480718,common,72.36374223480718,,peak_abundance_with_occupancy_days_modifiers,0.2779
cowpig1,IT,1.592759599381287,2.1908250000000002,3.9173,postbreeding_migration,0.8321,0.0614,0.0423,112.0,83.21,0.6642323446939026,common,66.42323446939025,,peak_abundance_with_occupancy_days_modifiers,0.8321
bkhgul,IT,1.345237964129523,1.42035,2.8391,nonbreeding,0.138,0.0391,0.0495,175.0,13.8,0.5610078052156194,common,56.100780521561944,,peak_abundance_with_occupancy_days_modifiers,0.138
hoocro1,IT,1.288047373112843,1.809625,2.6257,nonbreeding,0.7575,0.0563,0.0856,168.0,75.75,0.5371574762769673,common,53.71574762769673,,peak_abundance_with_occupancy_days_modifiers,0.7575
barswa,IT,1.2735175235169298,2.0882,2.5734,postbreeding_migration,0.8705,0.0046,0.0083,140.0,87.05000000000001,0.531098058352949,common,53.1098058352949,,peak_abundance_with_occupancy_days_modifiers,0.8705
comhom1,IT,1.2119166987125138,1.5800841218852761,2.3599184361076637,breeding,0.7493517826813562,0.0398004692104754,0.0735313573502134,91.0,74.93517826813562,0.5054085190710574,common,50.54085190710575,,peak_abundance_with_occupancy_days_modifiers,0.7493517826813562
comswi,IT,1.0917219379633556,1.1765,1.9794,breeding,0.8958,0.0168,0.0266,84.0,89.58,0.4552834105591708,common,45.52834105591708,,peak_abundance_with_occupancy_days_modifiers,0.8958
yelgul1,IT,1.067121621576739,1.72035,1.907,breeding,0.2945,0.1889,0.1516,238.0,29.45,0.44502428178666703,common,44.502428178666705,,peak_abundance_with_occupancy_days_modifiers,0.2945
rocpig,IT,0.9267557817219191,1.5263,1.5263,resident,0.3696,0.0069,0.0098,365.0,36.96,0.38648717991773873,common,38.64871799177387,,peak_abundance_with_occupancy_days_modifiers,0.3696
norlap,IT,0.8899467565345531,0.837375,1.435,nonbreeding,0.1261,0.024,0.0336,133.0,12.61,0.3711366241178562,common,37.11366241178562,,peak_abundance_with_occupancy_days_modifiers,0.1261
eurbla,IT,0.8614120703641657,1.0578,1.3665,prebreeding_migration,0.9425,0.0347,0.0472,119.0,94.25,0.35923673570567916,common,35.923673570567914,,peak_abundance_with_occupancy_days_modifiers,0.9425
categr1,IT,0.8539716348369482,0.910010311484466,1.348957551980782,postbreeding_migration,0.324510007002067,0.0097885240115449,0.0132702720229905,140.0,32.4510007002067,0.3561338330845257,common,35.61338330845257,,peak_abundance_with_occupancy_days_modifiers,0.324510007002067
grecor,IT,0.8504927512837228,0.723175,1.3408,nonbreeding,0.3175,0.0105,0.0179,98.0,31.75,0.3546830259568376,common,35.46830259568376,,peak_abundance_with_occupancy_days_modifiers,0.3175
gnwtea,IT,0.834820338876091,0.80175,1.3044,nonbreeding,0.1789,0.0068,0.0065,147.0,17.89,0.34814712233109596,common,34.814712233109596,,peak_abundance_with_occupancy_days_modifiers,0.1789
eurrob1,IT,0.8270222641159728,0.776775,1.2865,nonbreeding,0.901,0.0338,0.0725,119.0,90.10000000000001,0.3448950725653788,common,34.489507256537884,,peak_abundance_with_occupancy_days_modifiers,0.901
gragoo,IT,0.815674499839637,0.645975,1.2607,nonbreeding,0.0744,0.0108,0.0268,112.0,7.4399999999999995,0.3401626872918998,common,34.01626872918998,,peak_abundance_with_occupancy_days_modifiers,0.0744
