species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
brant,JE,3.0443986205345817,10.757366666666664,19.9974,nonbreeding,0.5789,,,,57.89,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.5789
norgan,JE,3.8414953853883365,45.5951,45.5951,breeding,0.6579,0.0,0.0001,77.0,65.79,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.6579
cowpig1,JE,2.603696585757487,6.739750000000001,12.5136,postbreeding_migration,0.6579,0.0001,0.0001,112.0,65.79,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.6579
dunlin,JE,3.1054562554313603,8.516200000000001,21.3194,nonbreeding,0.4474,0.0001,0.0008,70.0,44.74,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.4474
comcha,JE,3.255500864481455,8.62515,24.9326,postbreeding_migration,1.0,0.0,0.0001,112.0,100.0,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,1.0
norlap,JE,2.579466548201621,4.353666666666666,12.1901,nonbreeding,0.3684,0.0001,0.0003,56.0,36.84,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.3684
eursta,JE,3.8700482634163946,26.68115,46.9447,nonbreeding,0.9474,0.0,0.0001,140.0,94.74000000000001,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9474
bkhgul,JE,2.987206028209538,7.7622,18.8302,nonbreeding,0.8947,0.0003,0.0003,175.0,89.47,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8947
redwin,JE,3.4203363901192434,10.545566666666668,29.5797,postbreeding_migration,0.6579,0.0001,0.0003,63.0,65.79,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.6579
euroys1,JE,2.2409862467750883,5.0995333333333335,8.4026,nonbreeding,0.6579,0.0012,0.0024,98.0,65.79,0.9345638536414612,abundant,93.45638536414612,,peak_abundance_with_occupancy_days_modifiers,0.6579
eurwig,JE,2.0405447760498894,3.6121,6.6948,nonbreeding,0.3158,0.0,0.0002,42.0,31.580000000000002,0.8509732677643383,abundant,85.09732677643383,,peak_abundance_with_occupancy_days_modifiers,0.3158
eurlin1,JE,2.0310519222816357,3.65015,6.6221,postbreeding_migration,1.0,0.0001,0.0002,133.0,100.0,0.8470144402559229,abundant,84.70144402559228,,peak_abundance_with_occupancy_days_modifiers,1.0
meapip1,JE,1.9683144311276726,2.3114749999999997,6.1586,postbreeding_migration,1.0,0.0001,0.0002,98.0,100.0,0.8208508742880283,abundant,82.08508742880282,,peak_abundance_with_occupancy_days_modifiers,1.0
carcro1,JE,1.7113986554085674,3.582325,4.5367,nonbreeding,0.9737,0.0001,0.0002,105.0,97.37,0.7137086739452745,common,71.37086739452745,,peak_abundance_with_occupancy_days_modifiers,0.9737
mallar3,JE,1.601385579243272,1.5594999999999999,3.9599,nonbreeding,0.7105,0.0,0.0,126.0,71.05,0.6678296577041236,common,66.78296577041236,,peak_abundance_with_occupancy_days_modifiers,0.7105
comshe,JE,1.5728984016431522,1.2223,3.8206,nonbreeding,0.3684,,,,36.84,0.6559495819046184,common,65.59495819046184,,peak_abundance_with_occupancy_days_modifiers,0.3684
commur,JE,1.5561814067128534,2.5334223997653336,3.74068389389966,prebreeding_migration,0.6486486486486487,4.589990290405155e-05,2.689305470176772e-05,105.0,64.86486486486487,0.6489780535314089,common,64.8978053531409,,peak_abundance_with_occupancy_days_modifiers,0.6486486486486487
bklkit,JE,1.5308879114192655,2.270883997902274,3.622279175229975,nonbreeding,0.7027027027027027,3.385482789377397e-05,4.0705705806403913e-05,119.0,70.27027027027027,0.6384298467016462,common,63.84298467016462,,peak_abundance_with_occupancy_days_modifiers,0.7027027027027027
balshe1,JE,1.4413742273868453,1.2803,3.2265,nonbreeding,0.3684,0.0046,0.0133,70.0,36.84,0.6010997409844114,common,60.10997409844114,,peak_abundance_with_occupancy_days_modifiers,0.3684
barswa,JE,1.4271003555121444,1.8299333333333332,3.1666,postbreeding_migration,1.0,0.0,0.0,147.0,100.0,0.5951470740616216,common,59.51470740616216,,peak_abundance_with_occupancy_days_modifiers,1.0
eurcur,JE,1.4186889445557616,1.4382,3.1317,nonbreeding,0.5526,0.0,0.0001,133.0,55.26,0.5916392432352292,common,59.16392432352292,,peak_abundance_with_occupancy_days_modifiers,0.5526
razorb,JE,1.3671136310705945,1.5717538165280949,2.9240081986865483,nonbreeding,0.7027027027027027,5.831735005961329e-05,0.00010290995233407324,98.0,70.27027027027027,0.5701306669140549,common,57.01306669140549,,peak_abundance_with_occupancy_days_modifiers,0.7027027027027027
gbbgul,JE,1.3205818177545092,2.7456,2.7456,resident,0.7632,0.0005,0.0007,365.0,76.32,0.5507253935295412,common,55.07253935295412,,peak_abundance_with_occupancy_days_modifiers,0.7632
manshe,JE,1.305127121047663,1.3933105656021347,2.6881579064034127,breeding,0.6216216216216216,0.00011302711176415665,1.586546336758364e-05,140.0,62.16216216216216,0.5442802844031486,common,54.428028440314854,,peak_abundance_with_occupancy_days_modifiers,0.6216216216216216
stodov1,JE,1.2886264039417321,1.39475,2.6278,postbreeding_migration,0.6579,,,,65.79,0.5373989508882473,common,53.73989508882473,,peak_abundance_with_occupancy_days_modifiers,0.6579
grecor,JE,1.2802669564743605,1.8498999999999999,2.5976,nonbreeding,0.7895,0.0,0.0001,98.0,78.95,0.533912790519944,common,53.3912790519944,,peak_abundance_with_occupancy_days_modifiers,0.7895
comter,JE,1.2225099253243472,1.0341333333333333,2.3957,prebreeding_migration,0.3421,0.0,0.0001,98.0,34.21,0.5098262376978893,common,50.98262376978893,,peak_abundance_with_occupancy_days_modifiers,0.3421
eursha1,JE,1.2197378799043184,2.3863,2.3863,breeding,0.6316,0.0023,0.0037,7.0,63.160000000000004,0.508670204967238,very_rare,50.8670204967238,very_rare,peak_abundance_with_occupancy_days_modifiers,0.6316
