species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
categr1,JM,1.4054893900527932,2.0298573169961465,3.077521751643894,nonbreeding,0.6776223776223776,0.0009160196477986732,0.0011442856353773,140.0,67.76223776223776,0.5861346014551216,common,58.613460145512164,,peak_abundance_with_occupancy_days_modifiers,0.6776223776223776
turvul,JM,1.3863943561202239,2.308925,3.0004,nonbreeding,0.9399,0.0006,0.0028,126.0,93.99,0.5781713537898951,common,57.81713537898951,,peak_abundance_with_occupancy_days_modifiers,0.9399
banana,JM,1.1007433496770638,2.0064,2.0064,resident,0.9304,0.0014,0.0135,365.0,93.04,0.4590456314601613,common,45.90456314601613,,peak_abundance_with_occupancy_days_modifiers,0.9304
grykin,JM,0.8913420865101901,1.0223333333333333,1.4384,breeding,1.0,0.0471,0.036,91.0,100.0,0.37171852191442195,common,37.1718521914422,,peak_abundance_with_occupancy_days_modifiers,1.0
whcpig2,JM,0.8507917496414593,1.3415,1.3415,resident,0.9174,0.1805,0.1791,365.0,91.74,0.3548077179569964,common,35.48077179569964,,peak_abundance_with_occupancy_days_modifiers,0.9174
stream2,JM,0.8433961349657372,1.3242470449781032,1.3242470449781032,resident,0.8153846153846154,1.0,1.0,365.0,81.53846153846153,0.35172350708272776,common,35.17235070827277,,peak_abundance_with_occupancy_days_modifiers,0.8153846153846154
yebpar1,JM,0.8426760968164712,1.3225741008014933,1.3225741008014933,resident,0.6636363636363637,1.0,1.0,365.0,66.36363636363637,0.35142322785142266,common,35.14232278514227,,peak_abundance_with_occupancy_days_modifiers,0.6636363636363637
amered,JM,0.8083936685643318,1.1031333333333333,1.2443,nonbreeding,0.9413,0.0083,0.0463,119.0,94.13,0.3371263448136029,common,33.71263448136029,,peak_abundance_with_occupancy_days_modifiers,0.9413
bkwvir,JM,0.7630463079396125,0.7541666666666668,1.1448,breeding,0.9638,0.05,0.0597,105.0,96.38,0.31821502656749845,common,31.821502656749846,,peak_abundance_with_occupancy_days_modifiers,0.9638
whcthr1,JM,0.7487887187554685,1.1144372866046126,1.1144372866046126,resident,0.7237762237762237,1.0,1.0,365.0,72.37762237762237,0.3122691500540904,common,31.22691500540904,,peak_abundance_with_occupancy_days_modifiers,0.7237762237762237
jamwoo1,JM,0.7381968353403799,1.0921596029639844,1.0921596029639844,resident,0.872027972027972,1.0,1.0,365.0,87.2027972027972,0.30785199158380916,common,30.785199158380916,,peak_abundance_with_occupancy_days_modifiers,0.872027972027972
cavswa,JM,0.734433067465488,0.7536499999999999,1.0843,prebreeding_migration,0.7761,0.0532,0.0631,119.0,77.61,0.30628237846617723,common,30.628237846617722,,peak_abundance_with_occupancy_days_modifiers,0.7761
whwdov,JM,0.7207623475929187,0.72315,1.056,prebreeding_migration,0.9618,0.0057,0.0035,119.0,96.17999999999999,0.30058124546522874,common,30.058124546522873,,peak_abundance_with_occupancy_days_modifiers,0.9618
logkin,JM,0.720421822694826,1.0553,1.0553,resident,0.9311,0.1093,0.227,365.0,93.11,0.30043923555263763,common,30.043923555263763,,peak_abundance_with_occupancy_days_modifiers,0.9311
normoc,JM,0.711379948821005,0.780525,1.0368,prebreeding_migration,0.8771,0.0025,0.0051,112.0,87.71,0.29666848126808165,common,29.666848126808166,,peak_abundance_with_occupancy_days_modifiers,0.8771
gragra1,JM,0.6416433376928297,0.8996,0.8996,resident,0.8102,0.0617,0.0335,365.0,81.02000000000001,0.267586055559476,common,26.7586055559476,,peak_abundance_with_occupancy_days_modifiers,0.8102
orange1,JM,0.6038132285674368,0.8290802201604588,0.8290802201604588,resident,0.5923076923076923,1.0,1.0,365.0,59.23076923076923,0.25180967468307325,common,25.180967468307326,,peak_abundance_with_occupancy_days_modifiers,0.5923076923076923
cogdov,JM,0.5974069082791096,0.8174,0.8174,resident,0.8942,0.0049,0.0096,365.0,89.42,0.24913803161300246,common,24.913803161300248,,peak_abundance_with_occupancy_days_modifiers,0.8942
jameup1,JM,0.5539650528731113,0.7401391005449622,0.7401391005449622,resident,0.7657342657342657,1.0,1.0,365.0,76.57342657342657,0.23102137076513263,common,23.102137076513262,,peak_abundance_with_occupancy_days_modifiers,0.7657342657342657
jamcro1,JM,0.5185923832429999,0.6796616649839591,0.6796616649839591,resident,0.6330347835908802,1.0,1.0,365.0,63.30347835908802,0.21626982175822748,common,21.626982175822747,,peak_abundance_with_occupancy_days_modifiers,0.6330347835908802
jamori1,JM,0.4902513874675813,0.6327266153781772,0.6327266153781772,resident,0.8146853146853147,0.9940273037542662,0.9982290645324864,365.0,81.46853146853147,0.2044507085146602,common,20.44507085146602,,peak_abundance_with_occupancy_days_modifiers,0.8146853146853147
btbwar,JM,0.47131526867053153,0.5252,0.6021,nonbreeding,0.873,0.0352,0.0871,126.0,87.3,0.19655373360843295,fairly_common,19.655373360843296,,peak_abundance_with_occupancy_days_modifiers,0.873
jamvir1,JM,0.44814452228456075,0.5654049152008525,0.5654049152008525,resident,0.779020979020979,1.0,1.0,365.0,77.90209790209789,0.1868907818320068,common,18.68907818320068,,peak_abundance_with_occupancy_days_modifiers,0.779020979020979
norpar,JM,0.44532664153329504,0.5276000000000001,0.561,nonbreeding,0.9399,0.0187,0.0386,91.0,93.99,0.18571563428355808,fairly_common,18.57156342835581,,peak_abundance_with_occupancy_days_modifiers,0.9399
smbani,JM,0.438383954865274,0.5502,0.5502,resident,0.8908,0.0011,0.0008,365.0,89.08,0.18282030905948407,common,18.282030905948407,,peak_abundance_with_occupancy_days_modifiers,0.8908
yefgra1,JM,0.4214040719096669,0.5241,0.5241,resident,0.8382,0.0181,0.0143,365.0,83.82,0.17573914786440342,common,17.57391478644034,,peak_abundance_with_occupancy_days_modifiers,0.8382
jamspi,JM,0.38850596295191336,0.4747757774555464,0.4747757774555464,resident,0.5433022782756723,1.0,1.0,365.0,54.330227827567235,0.16201957081241605,common,16.201957081241606,,peak_abundance_with_occupancy_days_modifiers,0.5433022782756723
jamtod1,JM,0.38792833320136155,0.4739241490777178,0.4739241490777178,resident,0.6335664335664336,1.0,1.0,365.0,63.35664335664336,0.16177868049618563,common,16.177868049618564,,peak_abundance_with_occupancy_days_modifiers,0.6335664335664336
ritpig,JM,0.38630293828788176,0.4715303861949673,0.4715303861949673,resident,0.3946828163473593,1.0,1.0,365.0,39.46828163473593,0.16110083816840837,fairly_common,16.110083816840838,,peak_abundance_with_occupancy_days_modifiers,0.3946828163473593
sadfly1,JM,0.3797319577099339,0.4618926878495897,0.4618926878495897,resident,0.7741258741258741,1.0,1.0,365.0,77.41258741258741,0.1583605264239845,common,15.83605264239845,,peak_abundance_with_occupancy_days_modifiers,0.7741258741258741
zendov,JM,0.36748629015038237,0.4441,0.4441,resident,0.8491,0.1055,0.0948,365.0,84.91,0.15325368639703837,common,15.325368639703838,,peak_abundance_with_occupancy_days_modifiers,0.8491
buwtea,JM,0.364156884286488,0.41363333333333335,0.4393,postbreeding_migration,0.1993,0.0018,0.002,98.0,19.93,0.15186521630759664,fairly_common,15.186521630759664,,peak_abundance_with_occupancy_days_modifiers,0.1993
oltpar1,JM,0.3548031933059364,0.4259,0.4259,resident,0.501,0.0149,0.011,365.0,50.1,0.14796442418933375,common,14.796442418933376,,peak_abundance_with_occupancy_days_modifiers,0.501
magfri,JM,0.3422412779411289,0.276975,0.4081,nonbreeding,0.1973,0.0094,0.0039,140.0,19.73,0.14272569858387918,fairly_common,14.272569858387918,,peak_abundance_with_occupancy_days_modifiers,0.1973
laugul,JM,0.34110434894777447,0.259675,0.4065,prebreeding_migration,0.1263,0.0062,0.0021,161.0,12.629999999999999,0.14225156236690095,fairly_common,14.225156236690095,,peak_abundance_with_occupancy_days_modifiers,0.1263
amekes,JM,0.3333960815324616,0.2898,0.3957,breeding,0.9399,0.0007,0.0023,105.0,93.99,0.13903696517295544,fairly_common,13.903696517295543,,peak_abundance_with_occupancy_days_modifiers,0.9399
blbpar1,JM,0.3327542924431138,0.3948045423462095,0.3948045423462095,resident,0.4241262946539119,1.0,1.0,365.0,42.41262946539119,0.13876931833423475,fairly_common,13.876931833423475,,peak_abundance_with_occupancy_days_modifiers,0.4241262946539119
yesgra1,JM,0.3238022206134744,0.3823738750238036,0.3823738750238036,resident,0.7132867132867133,1.0,1.0,365.0,71.32867132867133,0.1350360144109186,common,13.503601441091858,,peak_abundance_with_occupancy_days_modifiers,0.7132867132867133
prawar,JM,0.31152066193162264,0.3436666666666666,0.3655,prebreeding_migration,0.9399,0.0348,0.0746,112.0,93.99,0.12991420662340872,fairly_common,12.991420662340872,,peak_abundance_with_occupancy_days_modifiers,0.9399
comgal1,JM,0.30792577892882333,0.250625,0.3606,nonbreeding,0.2567,0.0009,0.0027,126.0,25.669999999999998,0.128415023967861,fairly_common,12.841502396786101,,peak_abundance_with_occupancy_days_modifiers,0.2567
anpswi,JM,0.3054974323217824,0.3573,0.3573,resident,0.3679,0.0407,0.0191,365.0,36.79,0.12740232477511973,fairly_common,12.740232477511974,,peak_abundance_with_occupancy_days_modifiers,0.3679
bkfgra,JM,0.29669136660936835,0.3454,0.3454,resident,0.5761,0.0757,0.0604,365.0,57.60999999999999,0.12372991013203265,common,12.372991013203265,,peak_abundance_with_occupancy_days_modifiers,0.5761
