species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
rocpig,JO,2.6008398162786475,12.47504985063354,12.47504985063354,resident,0.6795456047125228,0.0060421614869646,0.0217860859331818,365.0,67.95456047125228,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.6795456047125228
crelar1,JO,2.1413897151206034,6.288490004253877,7.51125763719541,breeding,0.9039060022110152,0.0076868845628187,0.0261611838405326,161.0,90.39060022110152,0.8930288738680308,abundant,89.30288738680308,,peak_abundance_with_occupancy_days_modifiers,0.9039060022110152
eucdov,JO,1.9320099121935053,5.903371477490338,5.903371477490338,resident,0.7192035134572282,0.0047295281585728,0.0153632131532961,365.0,71.92035134572282,0.8057107139374056,abundant,80.57107139374055,,peak_abundance_with_occupancy_days_modifiers,0.7192035134572282
barswa,JO,1.7879986901358869,2.6400111501036125,4.977477702684677,postbreeding_migration,0.7564018605272284,0.0015113505395356,0.0031273350815459,154.0,75.64018605272284,0.7456533696107889,common,74.56533696107888,,peak_abundance_with_occupancy_days_modifiers,0.7564018605272284
comcra,JO,1.7330248283333627,1.698613333685989,4.657741749052579,nonbreeding,0.0498900264886057,0.0005308196812701017,0.0007786383735647503,63.0,4.98900264886057,0.7227274885574562,rare,72.27274885574562,rare,peak_abundance_with_occupancy_days_modifiers,0.0498900264886057
spaspa1,JO,1.6916628526897697,3.55535,4.4285,nonbreeding,0.9221,,,,92.21000000000001,0.7054782049407772,common,70.54782049407771,,peak_abundance_with_occupancy_days_modifiers,0.9221
eursta,JO,1.5768905176804773,1.5522912319209048,3.8398828586649687,nonbreeding,0.0464486017490279,0.00032496069633946055,0.0006751040696301308,70.0,4.6448601749027905,0.6576144236025072,rare,65.76144236025073,rare,peak_abundance_with_occupancy_days_modifiers,0.0464486017490279
houspa,JO,1.4682101231255498,3.3414575082411764,3.3414575082411764,resident,0.3878618069070583,0.0023681060158013,0.0036362953654368,365.0,38.78618069070583,0.6122911787603351,common,61.22911787603351,,peak_abundance_with_occupancy_days_modifiers,0.3878618069070583
whiwag,JO,1.3511953437427742,1.385200230690462,2.862039237101494,postbreeding_migration,0.4330623425909746,0.0025565847644329,0.0111948870963773,77.0,43.30623425909746,0.5634922254823556,common,56.34922254823556,,peak_abundance_with_occupancy_days_modifiers,0.4330623425909746
combuz1,JO,1.2138870176964265,0.5996854606813814,2.366545073337488,prebreeding_migration,0.4454663340717034,0.0033763076403961,0.0189001682362992,105.0,44.54663340717034,0.5062302059087871,common,50.62302059087871,,peak_abundance_with_occupancy_days_modifiers,0.4454663340717034
leswhi4,JO,1.2110096562108417,0.6396851046712866,2.3568722290124637,prebreeding_migration,0.9360682356104912,0.0038917696500066,0.0255002393400859,105.0,93.60682356104913,0.5050302529674616,common,50.50302529674616,,peak_abundance_with_occupancy_days_modifiers,0.9360682356104912
euhbuz1,JO,1.1940084747082609,1.3954631670122868,2.3002838327837467,prebreeding_migration,0.4214362319564403,0.0069243291858144,0.0322783644706583,49.0,42.14362319564403,0.4979402095884028,common,49.79402095884028,,peak_abundance_with_occupancy_days_modifiers,0.4214362319564403
whisto1,JO,1.0386878582156926,0.7531500827566837,1.8255071149794293,prebreeding_migration,0.0648196059245836,0.0014947166008809,0.0144908561209446,133.0,6.4819605924583605,0.4331664814550188,common,43.31664814550188,,peak_abundance_with_occupancy_days_modifiers,0.0648196059245836
blbsan1,JO,1.0237085545185618,0.6945422458763905,1.7834984019294682,postbreeding_migration,0.852812130643557,0.048554870267316,0.0824731262516202,105.0,85.2812130643557,0.4269196266123343,common,42.69196266123343,,peak_abundance_with_occupancy_days_modifiers,0.852812130643557
cowpig1,JO,0.9757322496502093,0.8958956138013596,1.6531092381830896,nonbreeding,0.2350768574153328,0.0003226154367149188,0.00021781248150765537,56.0,23.50768574153328,0.40691195346138653,common,40.691195346138656,,peak_abundance_with_occupancy_days_modifiers,0.2350768574153328
comcha,JO,0.9529588928778617,0.8149537555658887,1.5933718273880637,nonbreeding,0.1051114355459329,0.0007637202029089411,0.0019983778168946,77.0,10.51114355459329,0.39741472602585687,common,39.74147260258569,,peak_abundance_with_occupancy_days_modifiers,0.1051114355459329
eaywag1,JO,0.9040157009985424,0.509875,1.4695,postbreeding_migration,0.8602,0.0022,0.007,126.0,86.02,0.3770038296724886,common,37.700382967248856,,peak_abundance_with_occupancy_days_modifiers,0.8602
palswi3,JO,0.8477010798214516,0.6791805361670167,1.3342743683889735,breeding,0.922211213245448,0.2302800819707679,0.1721077946780787,126.0,92.2211213245448,0.3535188085308558,common,35.35188085308558,,peak_abundance_with_occupancy_days_modifiers,0.922211213245448
banswa,JO,0.8442076255298472,0.4567947993222944,1.3261339150088316,prebreeding_migration,0.6326277033767822,0.0048692081547184,0.0075821415383643,133.0,63.26277033767822,0.35206192493329685,common,35.20619249332969,,peak_abundance_with_occupancy_days_modifiers,0.6326277033767822
blackc1,JO,0.820632462539814,0.3503957232905512,1.2719362978320805,prebreeding_migration,0.4782524698988124,0.0061913720615629,0.018400044883195,119.0,47.825246989881244,0.34223031833334683,common,34.22303183333468,,peak_abundance_with_occupancy_days_modifiers,0.4782524698988124
blakit1,JO,0.8043311036304274,0.5260930593572065,1.2352008809145485,nonbreeding,0.0363846523059811,0.0011373139882686,0.0110077924542675,105.0,3.63846523059811,0.33543212364390035,rare,33.54321236439004,rare,peak_abundance_with_occupancy_days_modifiers,0.0363846523059811
whsbul1,JO,0.8023154375605991,1.2307,1.2307,resident,0.5711,0.0448,0.0531,365.0,57.11000000000001,0.33459152560248717,common,33.45915256024872,,peak_abundance_with_occupancy_days_modifiers,0.5711
eubeat1,JO,0.7277326559639861,0.7875380175125848,1.0703810158431435,prebreeding_migration,0.4488934199196825,0.0023122404380132,0.0039796586631953,77.0,44.88934199196825,0.30348808983417935,common,30.348808983417936,,peak_abundance_with_occupancy_days_modifiers,0.4488934199196825
corbun1,JO,0.6868828242024243,0.5128281390481473,0.9875104476314076,nonbreeding,0.0850321496228094,0.0084095281777881,0.0090828864347063,140.0,8.503214962280941,0.28645238680537716,fairly_common,28.645238680537716,,peak_abundance_with_occupancy_days_modifiers,0.0850321496228094
comswi,JO,0.6621272693398693,0.29642734048171215,0.9389125396534168,prebreeding_migration,0.1145917348699755,0.0017253211456781,0.0073210178873669,126.0,11.45917348699755,0.2761285185600117,fairly_common,27.612851856001168,,peak_abundance_with_occupancy_days_modifiers,0.1145917348699755
isawhe1,JO,0.6390605146561794,0.3962,0.8947,prebreeding_migration,0.852,0.0064,0.004,14.0,85.2,0.2665089346918761,rare,26.650893469187608,rare,peak_abundance_with_occupancy_days_modifiers,0.852
retpip,JO,0.6127502434879162,0.4188666666666667,0.8455,postbreeding_migration,0.8463,,,,84.63000000000001,0.25553669938755486,fairly_common,25.553669938755487,,peak_abundance_with_occupancy_days_modifiers,0.8463
meapip1,JO,0.5864727929631978,0.35848716123344887,0.7976365834632647,nonbreeding,0.1209916173002132,0.0025695965641541,0.0102502423322966,98.0,12.09916173002132,0.2445781513546992,fairly_common,24.45781513546992,,peak_abundance_with_occupancy_days_modifiers,0.1209916173002132
bkhgul,JO,0.5349693612176957,0.2730086577013824,0.7073959289206336,nonbreeding,0.0104900188941131,0.0001492418926453326,0.0003063336627190925,105.0,1.04900188941131,0.22309955204731707,rare,22.309955204731708,rare,peak_abundance_with_occupancy_days_modifiers,0.0104900188941131
sarwar1,JO,0.5309981530299442,0.44649475973959996,0.7006289496629031,nonbreeding,0.5550615877026818,0.0237246577810188,0.0363529267510147,161.0,55.50615877026818,0.22144342959993554,fairly_common,22.144342959993555,,peak_abundance_with_occupancy_days_modifiers,0.5550615877026818
ortbun1,JO,0.5053531040207758,0.3475331299254404,0.657570712021159,prebreeding_migration,0.8659416224497243,0.0077472477754468,0.021907461772571,70.0,86.59416224497242,0.21074861348345006,fairly_common,21.074861348345006,,peak_abundance_with_occupancy_days_modifiers,0.8659416224497243
comchi1,JO,0.4306514430235453,0.4272320643453249,0.5382592854973788,postbreeding_migration,0.4427730055329757,0.0023610861229357,0.0085659938092958,70.0,44.27730055329757,0.17959560115441162,fairly_common,17.95956011544116,,peak_abundance_with_occupancy_days_modifiers,0.4427730055329757
rebshr1,JO,0.42649726839888,0.30118971108565806,0.5318823424455758,postbreeding_migration,0.9878781924190332,0.0049458842027738,0.0076279187938304,77.0,98.78781924190332,0.1778631757762936,fairly_common,17.786317577629358,,peak_abundance_with_occupancy_days_modifiers,0.9878781924190332
tawpip1,JO,0.41936801327715584,0.19387500000000002,0.521,prebreeding_migration,0.9142,0.0,0.0,0.0,91.42,0.17489004546380735,very_rare,17.489004546380734,very_rare,peak_abundance_with_occupancy_days_modifiers,0.9142
eurlin1,JO,0.401065054062767,0.26964105500463925,0.4934144180152271,nonbreeding,0.1175578316591789,0.0028843445854128,0.0035212654375512,147.0,11.75578316591789,0.16725711861249035,fairly_common,16.725711861249035,,peak_abundance_with_occupancy_days_modifiers,0.1175578316591789
wlwwar,JO,0.3893889987176047,0.27449393996117144,0.4760786323624963,postbreeding_migration,0.6684591565711071,0.0030437930296365,0.0068031178648065,77.0,66.84591565711071,0.16238782532949547,fairly_common,16.238782532949546,,peak_abundance_with_occupancy_days_modifiers,0.6684591565711071
norwhe,JO,0.37728852404186447,0.36646222744027823,0.4583250105034944,prebreeding_migration,0.8536110523710286,0.0052488536078384,0.0076906027112314,98.0,85.36110523710286,0.15734153543810298,fairly_common,15.734153543810297,,peak_abundance_with_occupancy_days_modifiers,0.8536110523710286
eurjac,JO,0.3663083929069704,0.38275000000000003,0.4424,nonbreeding,0.0795,0.0023,0.0047,140.0,7.95,0.15276246509276634,fairly_common,15.276246509276634,,peak_abundance_with_occupancy_days_modifiers,0.0795
grwpel1,JO,0.3387193400906436,0.14384695050536034,0.4031494821380537,postbreeding_migration,0.0124119066779537,0.0003767296921424053,0.0018165584784497,77.0,1.2411906677953701,0.14125693641964368,rare,14.125693641964368,rare,peak_abundance_with_occupancy_days_modifiers,0.0124119066779537
rerswa1,JO,0.3231698653813342,0.25549999999999995,0.3815,breeding,0.1169,0.0026,0.0047,105.0,11.690000000000001,0.1347723017962295,fairly_common,13.477230179622952,,peak_abundance_with_occupancy_days_modifiers,0.1169
norsho,JO,0.3037089499070786,0.1440895486003938,0.3548746623019216,nonbreeding,0.0121034679308223,0.0009064443639064844,0.0016887906946773,161.0,1.2103467930822298,0.1266564696766956,rare,12.665646967669561,rare,peak_abundance_with_occupancy_days_modifiers,0.0121034679308223
hoocro1,JO,0.3030631744900832,0.28052499999999997,0.354,postbreeding_migration,0.1107,0.0017,0.0027,168.0,11.07,0.12638716041022308,fairly_common,12.638716041022308,,peak_abundance_with_occupancy_days_modifiers,0.1107
eurgre1,JO,0.29562332152226417,0.26841824652560037,0.3439638192292416,nonbreeding,0.0985204317876614,0.0011115320675691,0.0042613826911924,287.0,9.85204317876614,0.12328450073520869,fairly_common,12.32845007352087,,peak_abundance_with_occupancy_days_modifiers,0.0985204317876614
skylar,JO,0.2930492818137449,0.3146932473935957,0.3405088515114068,prebreeding_migration,0.2048975954955897,0.0026645996326523,0.0033690204596021,63.0,20.48975954955897,0.12221104279994391,fairly_common,12.22110427999439,,peak_abundance_with_occupancy_days_modifiers,0.2048975954955897
commyn,JO,0.27249036606238364,0.3132308072678724,0.3132308072678724,resident,0.0469502105021047,0.0007649618537747915,0.0014537863098273,365.0,4.69502105021047,0.11363730899906416,rare,11.363730899906416,rare,peak_abundance_with_occupancy_days_modifiers,0.0469502105021047
norshr1,JO,0.2683463361450385,0.23135,0.3078,nonbreeding,0.9201,,,,92.01,0.1119091142925001,fairly_common,11.19091142925001,,peak_abundance_with_occupancy_days_modifiers,0.9201
hoopoe,JO,0.2537898359670869,0.14796453147931599,0.2889008951909707,prebreeding_migration,0.7053496820152729,0.0030498324489643,0.0041195652411762,112.0,70.53496820152729,0.1058385822125214,fairly_common,10.58385822125214,,peak_abundance_with_occupancy_days_modifiers,0.7053496820152729
