species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
barswa,JP,3.4131300440657473,8.457973227082494,29.360124219357456,postbreeding_migration,0.5897705303858115,0.0065552853393598,0.0550468197349964,154.0,58.977053038581154,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.5897705303858115
gwfgoo,JP,2.6479074037500605,6.274998706641747,13.124450925557708,postbreeding_migration,0.1108864238646431,0.0209733723862303,0.0549064033996716,112.0,11.088642386464311,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.1108864238646431
shtshe,JP,3.744614064167869,34.852568538641115,41.29268180741342,postbreeding_migration,0.0973950220917089,0.0060711383384384,0.0134426411236016,56.0,9.73950220917089,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.0973950220917089
rhiauk,JP,2.283472971431105,4.82288028846028,8.810693570462789,breeding,0.0892320447714789,0.011375319930873,0.0266204526859017,56.0,8.923204477147891,0.9522821940285434,abundant,95.22821940285434,,peak_abundance_with_occupancy_days_modifiers,0.0892320447714789
bklkit,JP,2.1662125442363025,2.1401548568751765,7.72517516614798,postbreeding_migration,0.0778318996787231,0.001775485074596,0.0030180179563072,63.0,7.78318996787231,0.9033807976560662,abundant,90.33807976560662,,peak_abundance_with_occupancy_days_modifiers,0.0778318996787231
bktgul,JP,1.5043637336095235,2.2234235789199364,3.501288700241991,breeding,0.1548162082320271,0.4454866775421425,0.4241514693020849,175.0,15.48162082320271,0.6273684053990873,common,62.736840539908734,,peak_abundance_with_occupancy_days_modifiers,0.1548162082320271
mallar3,JP,1.4743381438841465,1.5675591647578522,3.3681437333334494,nonbreeding,0.1141464234681012,0.020477326789033,0.0213040981199897,154.0,11.414642346810119,0.6148467619119901,common,61.48467619119901,,peak_abundance_with_occupancy_days_modifiers,0.1141464234681012
brebul1,JP,1.4040272110549974,3.0715640416562437,3.0715640416562437,resident,0.7913549634361604,0.6461071269258484,0.7103819581542206,365.0,79.13549634361604,0.5855248254509805,common,58.55248254509805,,peak_abundance_with_occupancy_days_modifiers,0.7913549634361604
whcsta1,JP,1.2821080114890435,1.408748418882473,2.604229480267226,postbreeding_migration,0.1108262587206858,0.0901583401583401,0.286259271649007,126.0,11.08262587206858,0.5346805700954609,common,53.46805700954609,,peak_abundance_with_occupancy_days_modifiers,0.1108262587206858
norpin,JP,1.110518490523743,1.015826184981053,2.035932088446292,nonbreeding,0.0549088005379507,0.0146935608126725,0.0505941115299519,147.0,5.4908800537950695,0.4631221818239608,common,46.31221818239608,,peak_abundance_with_occupancy_days_modifiers,0.0549088005379507
eutspa,JP,1.0940839973836851,1.986445837904911,1.986445837904911,resident,0.2663066319240144,0.0117583529955362,0.0143352993314033,365.0,26.63066319240144,0.4562684658479171,common,45.62684658479171,,peak_abundance_with_occupancy_days_modifiers,0.2663066319240144
spbduc,JP,1.0496425470655462,1.200601986879042,1.856629824828373,nonbreeding,0.1226359586450365,0.0909898813514398,0.0857768430587583,133.0,12.26359586450365,0.43773494154338166,common,43.77349415433817,,peak_abundance_with_occupancy_days_modifiers,0.1226359586450365
jabwar,JP,1.0357965483216145,0.9150100049187646,1.8173494970856827,breeding,0.871249054383458,0.9441312147616608,0.9651911959148974,140.0,87.1249054383458,0.4319607115755429,common,43.196071157554286,,peak_abundance_with_occupancy_days_modifiers,0.871249054383458
origre,JP,0.9974186376503574,1.1477822732099998,1.7112740068461203,nonbreeding,0.5802185534253633,0.0967498272708071,0.177033361814667,112.0,58.021855342536334,0.41595587971044234,common,41.59558797104423,,peak_abundance_with_occupancy_days_modifiers,0.5802185534253633
tunswa,JP,0.9787486993875625,0.8928192720347915,1.6611242912727775,nonbreeding,0.1369560200731299,0.0630673903645708,0.0878321378850692,84.0,13.69560200731299,0.4081699107089659,common,40.81699107089659,,peak_abundance_with_occupancy_days_modifiers,0.1369560200731299
warwhe1,JP,0.970331925320037,1.3121588284652055,1.6388202052461407,nonbreeding,0.5324072853791613,0.643841876761368,0.6256622875027654,161.0,53.24072853791613,0.4046598432915082,common,40.46598432915082,,peak_abundance_with_occupancy_days_modifiers,0.5324072853791613
grecor,JP,0.9631653524977182,1.1362405699277207,1.6199765110840398,nonbreeding,0.1556484828107926,0.0246019251081129,0.0337250248053453,133.0,15.56484828107926,0.40167115028910055,common,40.167115028910054,,peak_abundance_with_occupancy_days_modifiers,0.1556484828107926
gretit4,JP,0.9311005235276348,1.5373,1.5373,resident,0.8542,0.055,0.0894,365.0,85.42,0.3882990779830972,common,38.82990779830972,,peak_abundance_with_occupancy_days_modifiers,0.8542
gresca,JP,0.8942194955558141,0.7829537168722832,1.4454263782511212,nonbreeding,0.0437709717439749,0.045607026708663,0.2279504216691046,140.0,4.37709717439749,0.3729184946898244,rare,37.29184946898244,rare,peak_abundance_with_occupancy_days_modifiers,0.0437709717439749
brambl,JP,0.885335099902258,1.0417953688112402,1.4237964693743208,postbreeding_migration,0.6858240838145946,0.0339923290486814,0.0210595565939886,98.0,68.58240838145946,0.3692134139240627,common,36.92134139240627,,peak_abundance_with_occupancy_days_modifiers,0.6858240838145946
martit2,JP,0.865835547623429,1.3769913459420031,1.3769913459420031,resident,0.8790548243341278,0.0111062227320103,0.0345902420677616,365.0,87.90548243341279,0.3610814690055205,common,36.10814690055205,,peak_abundance_with_occupancy_days_modifiers,0.8790548243341278
