species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
lesfla1,KE,2.70000482799437,6.7428345069290705,13.879803564307249,prebreeding_migration,0.0749848046517643,0.1713446712700378,0.2147840666689943,161.0,7.49848046517643,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.0749848046517643
barswa,KE,1.882194146699263,2.63755,5.5679,nonbreeding,0.9595,0.0148,0.0358,154.0,95.95,0.7849359261227123,abundant,78.49359261227123,,peak_abundance_with_occupancy_days_modifiers,0.9595
wfwduc1,KE,0.9748614812319347,1.6508,1.6508,resident,0.31,0.0242,0.052,365.0,31.0,0.4065488148255368,common,40.65488148255368,,peak_abundance_with_occupancy_days_modifiers,0.31
litswi1,KE,0.9434388637931671,1.20695,1.5688,breeding,0.9449,0.0382,0.0644,84.0,94.49,0.3934445655302382,common,39.34445655302382,,peak_abundance_with_occupancy_days_modifiers,0.9449
categr1,KE,0.8084978676358862,0.8844858319658628,1.244533866160396,prebreeding_migration,0.4601230038197185,0.0243598166206725,0.0219871529549382,140.0,46.01230038197185,0.33716979920159734,common,33.71697992015974,,peak_abundance_with_occupancy_days_modifiers,0.4601230038197185
combul2,KE,0.7539188445672639,1.1253124876294978,1.1253124876294978,resident,0.5290109108549753,0.0319572605538764,0.0294897084066055,365.0,52.901091085497534,0.3144085786896907,common,31.44085786896907,,peak_abundance_with_occupancy_days_modifiers,0.5290109108549753
rindov,KE,0.727886714363842,1.0707,1.0707,resident,0.9464,0.0609,0.0355,365.0,94.64,0.3035523371770903,common,30.35523371770903,,peak_abundance_with_occupancy_days_modifiers,0.9464
whisto1,KE,0.7061127629499685,0.87645,1.0261,nonbreeding,0.7135,,,,71.35000000000001,0.2944718941482073,common,29.44718941482073,,peak_abundance_with_occupancy_days_modifiers,0.7135
helgui,KE,0.6992229657159259,1.0121885603537928,1.0121885603537928,resident,0.4030651589635265,0.0500589636418307,0.0542846032290917,365.0,40.30651589635265,0.29159862553126636,common,29.159862553126636,,peak_abundance_with_occupancy_days_modifiers,0.4030651589635265
eaywag1,KE,0.6721278133358699,0.48116666666666674,0.9584,nonbreeding,0.8857,0.0316,0.0667,98.0,88.57000000000001,0.28029906933820725,fairly_common,28.029906933820726,,peak_abundance_with_occupancy_days_modifiers,0.8857
supsta1,KE,0.6375816151102366,0.8919,0.8919,resident,0.6315,0.3339,0.3373,365.0,63.14999999999999,0.2658921856775554,common,26.58921856775554,,peak_abundance_with_occupancy_days_modifiers,0.6315
litsti,KE,0.6116659386920622,0.5453666666666667,0.8435,nonbreeding,0.5319,0.0353,0.0581,119.0,53.190000000000005,0.2550845091655071,fairly_common,25.50845091655071,,peak_abundance_with_occupancy_days_modifiers,0.5319
grefla3,KE,0.5917429807373816,0.4731836144614235,0.8071354742911445,postbreeding_migration,0.0644403073588501,0.0537862482513211,0.0173471497748675,133.0,6.44403073588501,0.24677599036542194,fairly_common,24.677599036542194,,peak_abundance_with_occupancy_days_modifiers,0.0644403073588501
eubeat1,KE,0.5568118606026884,0.5513666666666667,0.7451,prebreeding_migration,0.9263,0.0365,0.0253,91.0,92.63,0.2322085818005232,fairly_common,23.22085818005232,,peak_abundance_with_occupancy_days_modifiers,0.9263
lessts1,KE,0.49980512048252523,0.59665,0.6484,nonbreeding,0.9245,0.0533,0.0561,287.0,92.45,0.20843492464091107,common,20.843492464091106,,peak_abundance_with_occupancy_days_modifiers,0.9245
wbswea1,KE,0.4989554511955033,0.647,0.647,resident,0.4544,0.0811,0.1155,365.0,45.440000000000005,0.20808058502622456,fairly_common,20.808058502622455,,peak_abundance_with_occupancy_days_modifiers,0.4544
fotdro5,KE,0.4131686924931969,0.5116,0.5116,resident,0.8882,0.0665,0.0793,365.0,88.82,0.17230472789206694,common,17.230472789206694,,peak_abundance_with_occupancy_days_modifiers,0.8882
spemou2,KE,0.4114473092155517,0.509000195309641,0.509000195309641,resident,0.2348518016281165,0.0748373495241528,0.1314910178486158,365.0,23.485180162811652,0.17158685530723286,fairly_common,17.158685530723286,,peak_abundance_with_occupancy_days_modifiers,0.2348518016281165
whwter,KE,0.4032626845529643,0.207475,0.4967,prebreeding_migration,0.016,0.0011,0.0104,140.0,1.6,0.16817360171128415,rare,16.817360171128414,rare,peak_abundance_with_occupancy_days_modifiers,0.016
reedov1,KE,0.37685985109782993,0.4577,0.4577,resident,0.8128,0.0345,0.027,365.0,81.28,0.15716276493511339,common,15.716276493511339,,peak_abundance_with_occupancy_days_modifiers,0.8128
eswdov1,KE,0.36036564780372043,0.4338536041413264,0.4338536041413264,resident,0.6009344940281188,0.0831025218256373,0.0680620964974893,365.0,60.093449402811885,0.1502841478907332,common,15.028414789073318,,peak_abundance_with_occupancy_days_modifiers,0.6009344940281188
egygoo,KE,0.35739468486308124,0.4296,0.4296,resident,0.5757,,,,57.57,0.14904516011076563,fairly_common,14.904516011076563,,peak_abundance_with_occupancy_days_modifiers,0.5757
comswi,KE,0.35452262937058965,0.2741,0.4255,prebreeding_migration,0.9508,0.0302,0.0127,147.0,95.08,0.14784741994042874,fairly_common,14.784741994042875,,peak_abundance_with_occupancy_days_modifiers,0.9508
bkwsti,KE,0.34039311136444955,0.26125,0.4055,postbreeding_migration,0.5768,0.0285,0.0134,105.0,57.68,0.14195495325665616,fairly_common,14.195495325665616,,peak_abundance_with_occupancy_days_modifiers,0.5768
hadibi1,KE,0.2850285549862175,0.3298,0.3298,resident,0.7125,0.0462,0.0497,365.0,71.25,0.1188661399100996,common,11.88661399100996,,peak_abundance_with_occupancy_days_modifiers,0.7125
woosan,KE,0.27147646810484755,0.21336666666666668,0.3119,nonbreeding,0.679,0.0353,0.0376,168.0,67.9,0.11321448070917271,fairly_common,11.32144807091727,,peak_abundance_with_occupancy_days_modifiers,0.679
spepig1,KE,0.2705613456433628,0.3107,0.3107,resident,0.5392,0.0626,0.0391,365.0,53.92,0.11283284500061368,common,11.283284500061368,,peak_abundance_with_occupancy_days_modifiers,0.5392
banswa,KE,0.26290258108755804,0.23156666666666667,0.3007,prebreeding_migration,0.6062,,,,60.62,0.10963889210255115,fairly_common,10.963889210255115,,peak_abundance_with_occupancy_days_modifiers,0.6062
grbcam1,KE,0.2523367784680725,0.2870294080981888,0.2870294080981888,resident,0.4397825342615173,0.0306447839975583,0.0440697004468359,365.0,43.97825342615173,0.10523261016883054,fairly_common,10.523261016883053,,peak_abundance_with_occupancy_days_modifiers,0.4397825342615173
didcuc1,KE,0.24367050633265389,0.17909630796111042,0.2759238523914447,nonbreeding,0.8634872255050248,0.1526511247649454,0.171192480795048,336.0,86.34872255050247,0.1016184939754636,common,10.16184939754636,,peak_abundance_with_occupancy_days_modifiers,0.8634872255050248
gloibi,KE,0.2436518119455605,0.16207500000000002,0.2759,postbreeding_migration,0.4937,,,,49.370000000000005,0.10161069781050784,fairly_common,10.161069781050784,,peak_abundance_with_occupancy_days_modifiers,0.4937
vilwea1,KE,0.24204481486623594,0.2738512790117036,0.2738512790117036,resident,0.1635709448272388,0.022058189521284,0.0181126250436726,365.0,16.35709448272388,0.10094052797550533,fairly_common,10.094052797550534,,peak_abundance_with_occupancy_days_modifiers,0.1635709448272388
isawhe1,KE,0.23039718002551782,0.15940000000000001,0.2591,nonbreeding,0.8003,,,,80.03,0.09608308696344432,fairly_common,9.608308696344432,,peak_abundance_with_occupancy_days_modifiers,0.8003
grwpel1,KE,0.22689650018351698,0.14784999999999998,0.2547,breeding,0.2507,0.0307,0.0473,84.0,25.069999999999997,0.094623190077324,fairly_common,9.4623190077324,,peak_abundance_with_occupancy_days_modifiers,0.2507
ruff,KE,0.21017988492235104,0.1536,0.2339,postbreeding_migration,0.5457,0.0146,0.0107,161.0,54.56999999999999,0.08765182003844094,fairly_common,8.765182003844094,,peak_abundance_with_occupancy_days_modifiers,0.5457
leskes1,KE,0.20733931976924247,0.09236666666666667,0.2304,prebreeding_migration,0.61,0.028,0.0557,105.0,61.0,0.08646721235964368,fairly_common,8.646721235964367,,peak_abundance_with_occupancy_days_modifiers,0.61
spwlap1,KE,0.2018790560094854,0.19135000000000002,0.2237,nonbreeding,0.5324,0.0747,0.0423,77.0,53.239999999999995,0.08419010550610506,fairly_common,8.419010550610507,,peak_abundance_with_occupancy_days_modifiers,0.5324
colpra,KE,0.18826513660471056,0.11652065465517533,0.2071535335127059,nonbreeding,0.2219318977535383,0.1261186754145919,0.1304851300602635,119.0,22.19318977535383,0.07851266014007485,fairly_common,7.851266014007486,,peak_abundance_with_occupancy_days_modifiers,0.2219318977535383
whrswi1,KE,0.187972228302769,0.2068,0.2068,breeding,0.9907,,,,99.07000000000001,0.07839050789044817,fairly_common,7.839050789044817,,peak_abundance_with_occupancy_days_modifiers,0.9907
broman1,KE,0.18644111609798983,0.2049536676229879,0.2049536676229879,resident,0.120970048851023,0.016477040240088,0.0248251296586344,365.0,12.097004885102299,0.07775198450615026,fairly_common,7.775198450615026,,peak_abundance_with_occupancy_days_modifiers,0.120970048851023
eurrol1,KE,0.17563256864315802,0.1543,0.192,prebreeding_migration,0.882,0.0542,0.1304,91.0,88.2,0.07324447011323926,uncommon,7.324447011323926,,peak_abundance_with_occupancy_days_modifiers,0.882
fuwduc,KE,0.17521301755665977,0.089675,0.1915,nonbreeding,0.3912,,,,39.12,0.07306950372031228,uncommon,7.306950372031228,,peak_abundance_with_occupancy_days_modifiers,0.3912
wlwwar,KE,0.16517539795898414,0.09323333333333333,0.1796,prebreeding_migration,0.9965,0.0211,0.0218,105.0,99.65,0.06888349121528671,uncommon,6.888349121528671,,peak_abundance_with_occupancy_days_modifiers,0.9965
librol2,KE,0.15349332095710863,0.1659,0.1659,resident,0.7347,0.102,0.1165,365.0,73.47,0.06401168670639237,fairly_common,6.401168670639238,,peak_abundance_with_occupancy_days_modifiers,0.7347
reboxp1,KE,0.15315017949367477,0.1655,0.1655,resident,0.5058,0.1384,0.1336,365.0,50.580000000000005,0.06386858560129975,fairly_common,6.386858560129975,,peak_abundance_with_occupancy_days_modifiers,0.5058
pitwhy,KE,0.14219376570317527,0.1528,0.1528,resident,0.7744,0.0428,0.044,365.0,77.44,0.05929940615681418,fairly_common,5.929940615681418,,peak_abundance_with_occupancy_days_modifiers,0.7744
whbvul1,KE,0.14019663049328351,0.1505,0.1505,resident,0.5857,0.0835,0.051,365.0,58.57,0.058466536084235465,fairly_common,5.846653608423546,,peak_abundance_with_occupancy_days_modifiers,0.5857
blhher1,KE,0.1401097079846452,0.1504,0.1504,resident,0.8168,,,,81.67999999999999,0.058430286582589426,uncommon,5.843028658258943,,peak_abundance_with_occupancy_days_modifiers,0.8168
comsan,KE,0.13828258780000657,0.11313333333333332,0.1483,nonbreeding,0.6741,0.0233,0.0268,147.0,67.41,0.057668318282570005,uncommon,5.766831828257001,,peak_abundance_with_occupancy_days_modifiers,0.6741
hamerk1,KE,0.1381954987513994,0.1482,0.1482,resident,0.7944,0.0707,0.0884,365.0,79.44,0.05763199932836257,fairly_common,5.763199932836257,,peak_abundance_with_occupancy_days_modifiers,0.7944
afpswi1,KE,0.13413157021638275,0.1435432659822496,0.1435432659822496,resident,0.2637986103876896,0.051042806022875,0.0374288822290887,365.0,26.379861038768958,0.05593720949282729,uncommon,5.593720949282729,,peak_abundance_with_occupancy_days_modifiers,0.2637986103876896
spofly1,KE,0.133393883170531,0.1057,0.1427,prebreeding_migration,0.9535,0.0378,0.0552,91.0,95.35,0.05562957009997308,uncommon,5.562957009997308,,peak_abundance_with_occupancy_days_modifiers,0.9535
rebshr1,KE,0.13286867307442432,0.06956666666666667,0.1421,prebreeding_migration,0.8818,0.0552,0.0252,77.0,88.18,0.05541054047759357,uncommon,5.541054047759357,,peak_abundance_with_occupancy_days_modifiers,0.8818
eugori2,KE,0.12927233570413918,0.08510000000000001,0.138,prebreeding_migration,0.8074,,,,80.74,0.053910751303695104,uncommon,5.391075130369511,,peak_abundance_with_occupancy_days_modifiers,0.8074
