species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
comcha,KG,1.607109403519417,2.355484141117594,3.988370999796229,postbreeding_migration,0.7813195288492293,0.0177439712611578,0.0107899420575933,77.0,78.13195288492292,0.6702166778300965,common,67.02166778300965,,peak_abundance_with_occupancy_days_modifiers,0.7813195288492293
brambl,KG,1.0430033374789753,0.9636252717189153,1.8377268804502065,postbreeding_migration,0.9577682673863608,0.015674359401052,0.0151285854292449,91.0,95.77682673863607,0.4349661760923273,common,43.49661760923273,,peak_abundance_with_occupancy_days_modifiers,0.9577682673863608
yebcho1,KG,0.9830143639170633,1.6725,1.6725,resident,0.5766,0.0957,0.1335,365.0,57.66,0.40994883098871726,common,40.994883098871725,,peak_abundance_with_occupancy_days_modifiers,0.5766
rocpig,KG,0.9674901347740811,1.631331876105377,1.631331876105377,resident,0.1839161559615977,0.0035764449871711,0.0062307050402415,365.0,18.39161559615977,0.4034747245842014,common,40.34747245842014,,peak_abundance_with_occupancy_days_modifiers,0.1839161559615977
rebcho1,KG,0.9633269778755843,1.6204,1.6204,resident,0.7273,0.0282,0.0425,365.0,72.72999999999999,0.4017385533069469,common,40.17385533069469,,peak_abundance_with_occupancy_days_modifiers,0.7273
carcro1,KG,0.9592735900460094,0.9551499999999999,1.6098,nonbreeding,1.0,0.0336,0.0356,105.0,100.0,0.4000481592870094,common,40.004815928700936,,peak_abundance_with_occupancy_days_modifiers,1.0
eurmag1,KG,0.9567111566928502,1.603121122179065,1.603121122179065,resident,0.9346317146569564,0.0162984933533636,0.019395402524207,365.0,93.46317146569564,0.39897954157787613,common,39.897954157787616,,peak_abundance_with_occupancy_days_modifiers,0.9346317146569564
rook1,KG,0.8994148189347219,1.055918575706206,1.4581642190354744,nonbreeding,0.1682017689221608,0.007963735418597,0.0078951281802104,217.0,16.82017689221608,0.3750851128227525,common,37.50851128227525,,peak_abundance_with_occupancy_days_modifiers,0.1682017689221608
horlar,KG,0.8706616947421882,0.45747934602124024,1.3884907825438422,postbreeding_migration,0.5473836999492704,0.0087695922780863,0.0096675228460809,70.0,54.73836999492704,0.3630941286798219,common,36.30941286798219,,peak_abundance_with_occupancy_days_modifiers,0.5473836999492704
comswi,KG,0.7057145124185699,0.469202881554079,1.025293265250267,breeding,0.9020817546794132,0.0220781994328238,0.0074176449768582,77.0,90.20817546794132,0.2943058107767121,common,29.43058107767121,,peak_abundance_with_occupancy_days_modifiers,0.9020817546794132
eurcoo,KG,0.5841693903927769,0.432487215152605,0.7935006679041456,postbreeding_migration,0.0345331180720802,0.0018551064391782,0.0054181288279144,154.0,3.45331180720802,0.24361755787234388,rare,24.361755787234387,rare,peak_abundance_with_occupancy_days_modifiers,0.0345331180720802
misthr1,KG,0.578064966945378,0.5016382451199467,0.7825857289731243,postbreeding_migration,0.8332092708667846,0.0278067010284781,0.0494903775291085,126.0,83.32092708667847,0.24107181556380883,fairly_common,24.107181556380883,,peak_abundance_with_occupancy_days_modifiers,0.8332092708667846
comros,KG,0.5486415044502161,0.39017500000000005,0.7309,breeding,0.8856,0.0088,0.0261,98.0,88.56,0.2288012786354699,fairly_common,22.88012786354699,,peak_abundance_with_occupancy_days_modifiers,0.8856
barswa,KG,0.47634738432507084,0.43901977032207995,0.6101822708960294,postbreeding_migration,0.3096429034032517,0.0016657093411011,0.0010752502144131,98.0,30.964290340325167,0.19865228883376881,fairly_common,19.865228883376883,,peak_abundance_with_occupancy_days_modifiers,0.3096429034032517
comchi1,KG,0.4684373142449362,0.46774228711724236,0.5974958576485455,postbreeding_migration,0.9800202625972492,0.0111047183234102,0.0093638303763667,70.0,98.00202625972491,0.19535353339191686,fairly_common,19.535353339191687,,peak_abundance_with_occupancy_days_modifiers,0.9800202625972492
yellow2,KG,0.44199555358862946,0.5391189966159756,0.5558088226526885,postbreeding_migration,0.5844518726342763,0.025098903299277,0.0162333269642705,56.0,58.445187263427634,0.18432646271194975,fairly_common,18.432646271194976,,peak_abundance_with_occupancy_days_modifiers,0.5844518726342763
eurbla,KG,0.40153978833308057,0.36435815858877635,0.4941235613332387,nonbreeding,0.5263703919813033,0.0173975990538515,0.0084883958009776,119.0,52.63703919813033,0.16745509818053025,fairly_common,16.745509818053026,,peak_abundance_with_occupancy_days_modifiers,0.5263703919813033
mallar3,KG,0.39883982931614675,0.3054288204877479,0.4900949299685123,nonbreeding,0.0339833660939344,0.0028459085305221,0.001319536941686,154.0,3.39833660939344,0.16632912781495088,rare,16.632912781495087,rare,peak_abundance_with_occupancy_days_modifiers,0.0339833660939344
grywag,KG,0.3926573106707528,0.37722577465725293,0.4809108100310626,prebreeding_migration,0.862501786044318,0.0197016258364413,0.0242084715307122,91.0,86.25017860443181,0.16375081727923727,fairly_common,16.375081727923728,,peak_abundance_with_occupancy_days_modifiers,0.862501786044318
eutspa,KG,0.38848158552495116,0.4747398266549416,0.4747398266549416,resident,0.1537416521880311,0.0030724455623769,0.0015506502210287,365.0,15.37416521880311,0.16200940463575325,fairly_common,16.200940463575325,,peak_abundance_with_occupancy_days_modifiers,0.1537416521880311
eursta,KG,0.38515099378075873,0.28430962007413757,0.4698362408175971,postbreeding_migration,0.0996178372554003,0.0042725940740746,0.00030079141808173965,112.0,9.96178372554003,0.16062043999581485,fairly_common,16.062043999581483,,peak_abundance_with_occupancy_days_modifiers,0.0996178372554003
comhom1,KG,0.38172111875902554,0.4470686947607784,0.4648035219413202,breeding,0.8478765476774027,0.0276765325871703,0.015482882796485,91.0,84.78765476774028,0.15919007101321517,fairly_common,15.919007101321517,,peak_abundance_with_occupancy_days_modifiers,0.8478765476774027
eurcrm1,KG,0.37066661025218844,0.3130057660337246,0.4487000111357507,prebreeding_migration,0.8156173622677235,0.0383729404278281,0.0314186142611332,112.0,81.56173622677235,0.15457998289458919,fairly_common,15.457998289458919,,peak_abundance_with_occupancy_days_modifiers,0.8156173622677235
blared1,KG,0.35453522095372414,0.21787539473937753,0.4255179494147638,postbreeding_migration,0.7796631879058492,0.0180535914818369,0.0190586059499943,112.0,77.96631879058492,0.14785267103845515,fairly_common,14.785267103845515,,peak_abundance_with_occupancy_days_modifiers,0.7796631879058492
commyn,KG,0.3518945467440297,0.4217585867408696,0.4217585867408696,resident,0.1817632589669434,0.006476886451372,0.004281125761957,365.0,18.17632589669434,0.1467514243578139,fairly_common,14.67514243578139,,peak_abundance_with_occupancy_days_modifiers,0.1817632589669434
blakit1,KG,0.32847970365904017,0.2693607929024351,0.3888550513663711,postbreeding_migration,0.2448665780908894,0.0048090902469423,0.0036185306907757,77.0,24.48665780908894,0.13698667635125725,fairly_common,13.698667635125725,,peak_abundance_with_occupancy_days_modifiers,0.2448665780908894
eurgol,KG,0.32779181337965707,0.31010000000000004,0.3879,nonbreeding,0.9375,0.0162,0.0064,126.0,93.75,0.1366998038230087,fairly_common,13.669980382300869,,peak_abundance_with_occupancy_days_modifiers,0.9375
rocbun1,KG,0.3159050313955209,0.33855,0.3715,nonbreeding,0.848,,,,84.8,0.13174263070582565,fairly_common,13.174263070582565,,peak_abundance_with_occupancy_days_modifiers,0.848
eubeat1,KG,0.29455592914511763,0.28886494331485973,0.3425300478278956,postbreeding_migration,0.2166527427777458,0.0095208487731527,0.0040868962087547,56.0,21.66527427777458,0.12283936353957928,fairly_common,12.283936353957928,,peak_abundance_with_occupancy_days_modifiers,0.2166527427777458
alpswi1,KG,0.2932766299527118,0.21685877414676047,0.3408136483502508,prebreeding_migration,0.6754748230621868,0.0366222157556174,0.0529649768080689,63.0,67.54748230621868,0.12230585433802317,fairly_common,12.230585433802316,,peak_abundance_with_occupancy_days_modifiers,0.6754748230621868
eurgri1,KG,0.29050836533809166,0.28729745040994037,0.3371070541565548,breeding,0.6213362169028129,0.0652517688523777,0.0234501264535177,77.0,62.133621690281295,0.12115139832569298,fairly_common,12.115139832569298,,peak_abundance_with_occupancy_days_modifiers,0.6213362169028129
chukar,KG,0.2801327999073843,0.3233055355217258,0.3233055355217258,resident,0.8382307938452703,0.055408213220229,0.0567263397139102,365.0,83.82307938452703,0.11682445146174636,common,11.682445146174636,,peak_abundance_with_occupancy_days_modifiers,0.8382307938452703
cowpig1,KG,0.2755058049660904,0.2129990054277051,0.317196751059102,postbreeding_migration,0.428200786487269,0.012203048651827,0.0020751939625336,105.0,42.8200786487269,0.11489484469627068,fairly_common,11.489484469627067,,peak_abundance_with_occupancy_days_modifiers,0.428200786487269
eurspa1,KG,0.26569509879515973,0.1167689780766312,0.3043373040365544,postbreeding_migration,0.9819131805631346,0.0186556016175719,0.02830213636619,119.0,98.19131805631346,0.11080346244024686,fairly_common,11.080346244024685,,peak_abundance_with_occupancy_days_modifiers,0.9819131805631346
whiwag,KG,0.26559220262037647,0.23979973847607963,0.3042030996220208,prebreeding_migration,0.4028891348696831,0.0069220782773064,0.0034460197932967,119.0,40.28891348696831,0.11076055140240859,fairly_common,11.07605514024086,,peak_abundance_with_occupancy_days_modifiers,0.4028891348696831
goldcr1,KG,0.25708355096888513,0.16348158315067712,0.293153166445854,nonbreeding,0.399253125412199,0.0189997666343047,0.0166003030531693,63.0,39.925312541219895,0.10721216805639129,fairly_common,10.721216805639129,,peak_abundance_with_occupancy_days_modifiers,0.399253125412199
goleag,KG,0.25373444606189766,0.24390673786874717,0.288829505069752,postbreeding_migration,0.855391130188318,0.0161543542790393,0.0434529228082514,119.0,85.5391130188318,0.1058154828278996,fairly_common,10.58154828278996,,peak_abundance_with_occupancy_days_modifiers,0.855391130188318
eurkes,KG,0.24979338117772829,0.21160673724870274,0.2837601402748723,breeding,0.9748235229242764,0.0115432908691668,0.0120698562946872,91.0,97.48235229242765,0.10417193111449631,fairly_common,10.417193111449631,,peak_abundance_with_occupancy_days_modifiers,0.9748235229242764
bucred1,KG,0.24623346291088805,0.1754814899048804,0.2791981840147896,postbreeding_migration,0.7322289386324873,0.4450443365701216,0.7013926102894102,77.0,73.22289386324873,0.10268732988640113,fairly_common,10.268732988640112,,peak_abundance_with_occupancy_days_modifiers,0.7322289386324873
norwhe,KG,0.24231589316841626,0.20945894409225482,0.2741966392613685,breeding,0.7718912733173825,0.0180702878197449,0.0108700419293548,63.0,77.18912733173825,0.10105357640812686,fairly_common,10.105357640812686,,peak_abundance_with_occupancy_days_modifiers,0.7718912733173825
grecor,KG,0.24130135996280616,0.11203560269565395,0.2729045799897024,postbreeding_migration,0.0236892937203535,0.002067095207138,0.0032090305353571,91.0,2.3689293720353497,0.10063048319921197,rare,10.063048319921197,rare,peak_abundance_with_occupancy_days_modifiers,0.0236892937203535
leswhi4,KG,0.22969142822878488,0.22509733029665333,0.2582117014087677,prebreeding_migration,0.5315777280126385,0.0097860876971107,0.0330040651595384,84.0,53.157772801263846,0.0957887656039008,fairly_common,9.57887656039008,,peak_abundance_with_occupancy_days_modifiers,0.5315777280126385
citwag,KG,0.22928465607097281,0.116,0.2577,breeding,0.8942,0.0099,0.0164,105.0,89.42,0.09561912843816364,fairly_common,9.561912843816364,,peak_abundance_with_occupancy_days_modifiers,0.8942
himgri1,KG,0.22442273281259,0.2516,0.2516,resident,0.7024,0.038,0.0315,365.0,70.24000000000001,0.0935915489547991,common,9.359154895479909,,peak_abundance_with_occupancy_days_modifiers,0.7024
grewar3,KG,0.22017916185019412,0.14256666666666665,0.2463,postbreeding_migration,0.9972,0.0135,0.026,98.0,99.72,0.09182184240817262,fairly_common,9.182184240817262,,peak_abundance_with_occupancy_days_modifiers,0.9972
ortdov,KG,0.21723624149468954,0.2024039986859876,0.2426376300357413,breeding,0.5286162387097059,0.0131625484516225,0.0086379775669036,84.0,52.86162387097059,0.09059454929454548,fairly_common,9.059454929454548,,peak_abundance_with_occupancy_days_modifiers,0.5286162387097059
blwthr1,KG,0.21472063976043573,0.2135736465259176,0.2395155772257339,breeding,0.6976745809390794,0.0404598000338636,0.0528279900126435,105.0,69.76745809390795,0.08954546188743857,fairly_common,8.954546188743857,,peak_abundance_with_occupancy_days_modifiers,0.6976745809390794
trepip,KG,0.2134483494072596,0.15343864756360934,0.2379395563049201,prebreeding_migration,0.9482706667821272,0.0110370104547307,0.0078487604932557,70.0,94.82706667821273,0.08901487559886755,fairly_common,8.901487559886755,,peak_abundance_with_occupancy_days_modifiers,0.9482706667821272
sibsto1,KG,0.21186603246553506,0.19239266953468462,0.2359822924863688,prebreeding_migration,0.7099224599521059,0.0231315649636455,0.0218045517418234,77.0,70.9922459952106,0.0883549981806691,fairly_common,8.835499818066909,,peak_abundance_with_occupancy_days_modifiers,0.7099224599521059
compoc,KG,0.2108605039796162,0.07703290612365077,0.2347401017169479,nonbreeding,0.0272539928796794,0.0035066622338855,0.0054019231416262,84.0,2.72539928796794,0.08793566023154116,rare,8.793566023154115,rare,peak_abundance_with_occupancy_days_modifiers,0.0272539928796794
eurjac,KG,0.20733931976924247,0.12129999999999999,0.2304,breeding,0.3748,0.0091,0.0073,105.0,37.480000000000004,0.08646721235964368,fairly_common,8.646721235964367,,peak_abundance_with_occupancy_days_modifiers,0.3748
comnig1,KG,0.20435351221094403,0.19542485433005297,0.2267317414625274,breeding,0.4199384762551439,0.0244049388026274,0.0229514279040543,42.0,41.99384762551439,0.08522203389327392,fairly_common,8.522203389327391,,peak_abundance_with_occupancy_days_modifiers,0.4199384762551439
grewhi1,KG,0.20389799355627705,0.16889802149817013,0.2261730695224246,breeding,0.4915029853896803,0.0146649348386689,0.016729353274532,56.0,49.15029853896803,0.0850320678593798,fairly_common,8.50320678593798,,peak_abundance_with_occupancy_days_modifiers,0.4915029853896803
cinvul1,KG,0.2010516466982197,0.17904466270375827,0.2226879179865848,prebreeding_migration,0.8010464473431986,0.0417000800369621,0.0180578759498109,105.0,80.10464473431986,0.08384504902234124,fairly_common,8.384504902234124,,peak_abundance_with_occupancy_days_modifiers,0.8010464473431986
eurrol1,KG,0.19953375045548963,0.19123430586657267,0.2208334124194242,prebreeding_migration,0.3200669832646424,0.0096867482644161,0.0118003419328594,77.0,32.00669832646424,0.08321203712230164,fairly_common,8.321203712230165,,peak_abundance_with_occupancy_days_modifiers,0.3200669832646424
lammer1,KG,0.19770735125987246,0.2186057182057084,0.2186057182057084,resident,0.7985904070649665,0.0448976828117357,0.0536713821436205,365.0,79.85904070649666,0.08245036949805809,common,8.24503694980581,,peak_abundance_with_occupancy_days_modifiers,0.7985904070649665
gretit1,KG,0.19111855886803725,0.2106029712913127,0.2106029712913127,resident,0.342850417334452,0.0064165746648127,0.0015878719116161,365.0,34.2850417334452,0.07970262965029315,fairly_common,7.970262965029315,,peak_abundance_with_occupancy_days_modifiers,0.342850417334452
twite1,KG,0.1864795669426183,0.2005,0.205,postbreeding_migration,0.692,0.0254,0.0114,21.0,69.19999999999999,0.07776801975383797,rare,7.776801975383798,rare,peak_abundance_with_occupancy_days_modifiers,0.692
egyvul1,KG,0.1718532281453398,0.12321652457926403,0.1875035283274249,postbreeding_migration,0.4297810483000391,0.0211701653277805,0.0152574424058625,98.0,42.97810483000391,0.07166836270742764,uncommon,7.166836270742764,,peak_abundance_with_occupancy_days_modifiers,0.4297810483000391
comcuc,KG,0.17032081449822198,0.09963996144570737,0.1856851753049441,prebreeding_migration,0.5723538905544879,0.0050214402515183,0.0039803247364199,49.0,57.23538905544879,0.071029296579519,uncommon,7.1029296579519,,peak_abundance_with_occupancy_days_modifiers,0.5723538905544879
corbun1,KG,0.16468211896671386,0.13038855498536694,0.1790182715897157,breeding,0.3889633008445381,0.0169421952104892,0.0068023887165543,84.0,38.89633008445381,0.06867777789750092,uncommon,6.867777789750091,,peak_abundance_with_occupancy_days_modifiers,0.3889633008445381
himrub1,KG,0.16401092678806145,0.17333671864374683,0.1782271892611707,prebreeding_migration,0.5010445033023302,0.3034181173536965,0.5320870205754205,63.0,50.10445033023302,0.06839786901813223,uncommon,6.839786901813223,,peak_abundance_with_occupancy_days_modifiers,0.5010445033023302
crelar1,KG,0.15688396291063306,0.1104524671220554,0.1698598588917648,nonbreeding,0.3717509875375368,0.0069309073565167,0.0017088784418811,161.0,37.17509875375368,0.06542569422873407,uncommon,6.542569422873407,,peak_abundance_with_occupancy_days_modifiers,0.3717509875375368
spofly1,KG,0.15452203943617093,0.1156,0.1671,postbreeding_migration,0.8461,0.0148,0.0139,84.0,84.61,0.06444069563381807,uncommon,6.444069563381808,,peak_abundance_with_occupancy_days_modifiers,0.8461
bkhgul,KG,0.14585831122280396,0.10669131859689499,0.1570322379531541,prebreeding_migration,0.0446517726866211,0.0034834677542153,0.0013131633180675,161.0,4.46517726866211,0.06082764033834793,rare,6.082764033834793,rare,peak_abundance_with_occupancy_days_modifiers,0.0446517726866211
whoswa,KG,0.14416639929282402,0.0813671760324737,0.1550762964133868,postbreeding_migration,0.0160575320629509,0.0012314657289494,0.0037543551520706,35.0,1.60575320629509,0.06012205826010915,rare,6.012205826010915,rare,peak_abundance_with_occupancy_days_modifiers,0.0160575320629509
watpip1,KG,0.143147509218485,0.05610000000000001,0.1539,breeding,0.7028,0.0561,0.0482,42.0,70.28,0.05969714809580911,uncommon,5.9697148095809105,,peak_abundance_with_occupancy_days_modifiers,0.7028
rtrthr1,KG,0.13089278511885447,0.1359690367859681,0.1398455663535554,breeding,0.8555441029906655,0.0537233353254883,0.0433363651025677,63.0,85.55441029906655,0.054586531198295866,uncommon,5.458653119829586,,peak_abundance_with_occupancy_days_modifiers,0.8555441029906655
