species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
barswa,KH,2.162893465431345,4.415630782786669,7.696263628561758,nonbreeding,0.678291276490471,0.0076869986797666,0.012131749957086,154.0,67.82912764904711,0.9019966342847091,abundant,90.19966342847091,,peak_abundance_with_occupancy_days_modifiers,0.678291276490471
yebbun,KH,1.7338436354549314,2.528885828667319,4.662376245409078,postbreeding_migration,0.3184939568026173,0.1122496991370093,0.3314640842397659,119.0,31.84939568026173,0.7230689576494791,common,72.30689576494791,,peak_abundance_with_occupancy_days_modifiers,0.3184939568026173
categr2,KH,1.7275736631258707,3.003835472682698,4.626984372012401,nonbreeding,0.7205759201877885,0.0304419897843968,0.025880318718238,126.0,72.05759201877885,0.7204541760949271,common,72.04541760949272,,peak_abundance_with_occupancy_days_modifiers,0.7205759201877885
litegr,KH,1.452245776334687,2.085166359370963,3.272699275444541,nonbreeding,0.3771993337102421,0.0135691447615676,0.0419699394532636,119.0,37.71993337102421,0.6056335290406156,common,60.56335290406156,,peak_abundance_with_occupancy_days_modifiers,0.3771993337102421
gargan,KH,1.4188858822221833,1.9095183691150979,3.132513767484459,nonbreeding,0.2057463838700086,0.0289616764464429,0.0988603849209561,77.0,20.57463838700086,0.5917213726212186,common,59.17213726212186,,peak_abundance_with_occupancy_days_modifiers,0.2057463838700086
litcor1,KH,1.4138335235737742,3.1116874810473694,3.1116874810473694,resident,0.2693213824232082,0.0213589558569081,0.051915182898846,365.0,26.932138242320818,0.5896143754117396,common,58.96143754117396,,peak_abundance_with_occupancy_days_modifiers,0.2693213824232082
asiope1,KH,1.3612072957432468,2.9009,2.9009,resident,0.2667,0.0259,0.0905,365.0,26.669999999999998,0.5676675337679374,common,56.766753376793744,,peak_abundance_with_occupancy_days_modifiers,0.2667
nutman,KH,1.1829164411958477,2.2638792475964604,2.2638792475964604,resident,0.4607685978955887,0.0178593560069793,0.043345515837125,365.0,46.076859789558874,0.4933144723269632,common,49.33144723269632,,peak_abundance_with_occupancy_days_modifiers,0.4607685978955887
zebdov,KH,1.1808313513068063,2.257080856070018,2.257080856070018,resident,0.7089324861057963,0.1156640415233167,0.1400090794689281,365.0,70.89324861057963,0.49244492230420167,common,49.244492230420164,,peak_abundance_with_occupancy_days_modifiers,0.7089324861057963
spodov,KH,1.1728924835722114,2.2313256906481467,2.2313256906481467,resident,0.8971655252720728,0.0273485692109047,0.0262674522016682,365.0,89.71655252720728,0.4891341573076429,common,48.91341573076429,,peak_abundance_with_occupancy_days_modifiers,0.8971655252720728
commyn,KH,1.142409652165525,2.1343118743149083,2.1343118743149083,resident,0.6449790083407271,0.0215829733402411,0.0203449883132382,365.0,64.49790083407271,0.4764218292287303,common,47.642182922873026,,peak_abundance_with_occupancy_days_modifiers,0.6449790083407271
oripra,KH,1.0793384814692923,1.5634657748854612,1.9427322351392964,postbreeding_migration,0.3249385084663927,0.0819738264588024,0.1945614666770881,98.0,32.49385084663927,0.4501191080833535,common,45.01191080833535,,peak_abundance_with_occupancy_days_modifiers,0.3249385084663927
bladro1,KH,1.0748490369627428,1.006734540252329,1.929550613291648,nonbreeding,0.6532824766818965,0.0297479123626354,0.0311431412643972,126.0,65.32824766818965,0.44824686430462074,common,44.82468643046207,,peak_abundance_with_occupancy_days_modifiers,0.6532824766818965
recdov1,KH,1.0669722638686663,1.8195189976541188,1.9065658495652968,breeding,0.5928414565479115,0.0396514654886795,0.1042960040359263,140.0,59.28414565479115,0.44496199478449183,common,44.496199478449185,,peak_abundance_with_occupancy_days_modifiers,0.5928414565479115
whiter2,KH,1.0638658509331578,0.9341746830887712,1.897550865193732,nonbreeding,0.2354862027672384,0.0170730301441941,0.0421315708763737,126.0,23.548620276723838,0.44366651996924544,common,44.366651996924546,,peak_abundance_with_occupancy_days_modifiers,0.2354862027672384
whiter,KH,1.0638658509331578,0.9341746830887712,1.897550865193732,nonbreeding,0.2354862027672384,0.0170730301441941,0.0421315708763737,126.0,23.548620276723838,0.44366651996924544,common,44.366651996924546,,peak_abundance_with_occupancy_days_modifiers,0.2354862027672384
bkwsti,KH,1.0112536001395618,1.222459274961238,1.7490450591085696,nonbreeding,0.2173809001715942,0.0075060134296464,0.0191202559876423,105.0,21.73809001715942,0.42172550720257995,common,42.172550720257995,,peak_abundance_with_occupancy_days_modifiers,0.2173809001715942
spbpel1,KH,0.9952968578151739,0.9096975961202762,1.7055273790261702,breeding,0.1951811179443722,0.1803764057018431,0.2471423082707521,175.0,19.51811179443722,0.4150710287917,common,41.50710287917,,peak_abundance_with_occupancy_days_modifiers,0.1951811179443722
lewduc1,KH,0.9820410185272496,1.166925,1.6699,nonbreeding,0.3779,0.0381,0.0318,112.0,37.79,0.40954291443312146,common,40.954291443312144,,peak_abundance_with_occupancy_days_modifiers,0.3779
btbeat1,KH,0.9593334104175504,1.1490440866948546,1.609956123875295,postbreeding_migration,0.3788017584116938,0.042112861162477,0.0900463286994334,140.0,37.880175841169375,0.400073106319609,common,40.007310631960905,,peak_abundance_with_occupancy_days_modifiers,0.3788017584116938
houspa,KH,0.9436871952293789,1.5694379930069222,1.5694379930069222,resident,0.2890771216990739,0.0036249440322892,0.0035077677467685,365.0,28.90771216990739,0.3935481277829475,common,39.35481277829475,,peak_abundance_with_occupancy_days_modifiers,0.2890771216990739
aspswi1,KH,0.9384435365152884,1.556,1.556,resident,0.7108,0.0512,0.1109,365.0,71.08,0.3913613522495977,common,39.13613522495977,,peak_abundance_with_occupancy_days_modifiers,0.7108
