species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
comter,KM,1.1497489041154894,0.9319333333333333,2.1574,prebreeding_migration,0.2072,0.0001,0.0009,63.0,20.72,0.479482535020689,common,47.9482535020689,,peak_abundance_with_occupancy_days_modifiers,0.2072
categr1,KM,1.0691389291531501,1.2891224002690507,1.9128702321657824,postbreeding_migration,0.6687306501547987,0.00016327221711576604,0.0001836414534564884,126.0,66.87306501547987,0.44586556438949604,common,44.58655643894961,,peak_abundance_with_occupancy_days_modifiers,0.6687306501547987
commyn,KM,0.9557806395605674,1.6007,1.6007,resident,0.7658,0.0004,0.0003,365.0,76.58,0.39859148579293896,common,39.859148579293894,,peak_abundance_with_occupancy_days_modifiers,0.7658
roster,KM,0.8852127763032936,1.001,1.4235,breeding,0.2192,,,,21.92,0.36916240102105885,common,36.91624010210589,,peak_abundance_with_occupancy_days_modifiers,0.2192
broman1,KM,0.7063910706706492,1.0266639577461285,1.0266639577461285,resident,0.7244582043343654,0.0006315431514003255,0.0007958889873751137,365.0,72.44582043343654,0.29458795748251465,common,29.458795748251465,,peak_abundance_with_occupancy_days_modifiers,0.7244582043343654
piecro1,KM,0.7056190820552656,1.0251,1.0251,resident,0.7658,0.0003,0.0008,365.0,76.58,0.2942660132240889,common,29.426601322408892,,peak_abundance_with_occupancy_days_modifiers,0.7658
houspa,KM,0.43132776763389175,0.5393,0.5393,resident,0.4565,0.0001,0.0,365.0,45.65,0.17987765042404347,fairly_common,17.987765042404348,,peak_abundance_with_occupancy_days_modifiers,0.4565
litegr,KM,0.2616717170195501,0.2991,0.2991,nonbreeding,0.2192,0.0001,0.0001,84.0,21.92,0.1091255819167516,fairly_common,10.91255819167516,,peak_abundance_with_occupancy_days_modifiers,0.2192
rudtur,KM,0.15306437572683676,0.0894,0.1654,prebreeding_migration,0.2192,0.0009,0.0001,42.0,21.92,0.06383280265122208,uncommon,6.383280265122209,,peak_abundance_with_occupancy_days_modifiers,0.2192
rindov,KM,0.12407431510192668,0.1321,0.1321,resident,0.4054,0.0001,0.0,365.0,40.54,0.05174300834128192,uncommon,5.174300834128192,,peak_abundance_with_occupancy_days_modifiers,0.4054
litsti,KM,0.08369755902156674,0.04306666666666666,0.0873,nonbreeding,0.1772,0.0001,0.0,28.0,17.72,0.03490459319513595,rare,3.4904593195135947,rare,peak_abundance_with_occupancy_days_modifiers,0.1772
graher1,KM,0.07194849931258404,0.038299999999999994,0.0746,nonbreeding,0.2222,0.0,0.0,119.0,22.220000000000002,0.030004854727712662,uncommon,3.000485472771266,,peak_abundance_with_occupancy_days_modifiers,0.2222
grcter1,KM,0.06494468864038216,0.046700000000000005,0.0671,breeding,0.2192,0.0011,0.0001,63.0,21.92,0.027084038814001628,uncommon,2.7084038814001627,,peak_abundance_with_occupancy_days_modifiers,0.2192
barswa,KM,0.056663847117541744,0.0583,0.0583,prebreeding_migration,0.1772,0.0,0.0,70.0,17.72,0.023630659670726327,uncommon,2.363065967072633,,peak_abundance_with_occupancy_days_modifiers,0.1772
commoo3,KM,0.044973365642731154,0.046,0.046,breeding,0.2192,0.0001,0.0,133.0,21.92,0.018755350224385226,rare,1.8755350224385225,,peak_abundance_with_occupancy_days_modifiers,0.2192
banswa,KM,0.04296369943211568,0.022000000000000002,0.0439,prebreeding_migration,0.1892,,,,18.92,0.017917254318607752,rare,1.7917254318607752,,peak_abundance_with_occupancy_days_modifiers,0.1892
comsan,KM,0.036139046615873194,0.017566666666666664,0.0368,nonbreeding,0.2312,0.0,0.0,70.0,23.119999999999997,0.015071153034009892,rare,1.5071153034009892,,peak_abundance_with_occupancy_days_modifiers,0.2312
lessts1,KM,0.035656677208034684,0.0182,0.0363,breeding,0.2943,0.0001,0.0,28.0,29.43,0.01486998936630912,rare,1.486998936630912,rare,peak_abundance_with_occupancy_days_modifiers,0.2943
cursan,KM,0.03207989346341168,0.016399999999999998,0.0326,nonbreeding,0.2132,0.0009,0.0001,42.0,21.32,0.013378354687681606,rare,1.3378354687681606,,peak_abundance_with_occupancy_days_modifiers,0.2132
greegr,KM,0.027615167032973367,0.016366666666666668,0.028,nonbreeding,0.0721,0.0,0.0,84.0,7.21,0.0115164191473409,rare,1.15164191473409,,peak_abundance_with_occupancy_days_modifiers,0.0721
bkbplo,KM,0.0246926125903715,0.0132,0.025,postbreeding_migration,0.2042,0.0003,0.0,42.0,20.419999999999998,0.010297619279075043,rare,1.0297619279075043,,peak_abundance_with_occupancy_days_modifiers,0.2042
alpswi1,KM,0.01666044089310724,0.012033333333333333,0.0168,postbreeding_migration,0.1652,0.0001,0.0,56.0,16.520000000000003,0.006947943507834789,rare,0.6947943507834788,,peak_abundance_with_occupancy_days_modifiers,0.1652
comswi,KM,0.01222496962256897,0.00625,0.0123,prebreeding_migration,0.1201,0.0,0.0,56.0,12.01,0.005098208316788695,rare,0.5098208316788695,,peak_abundance_with_occupancy_days_modifiers,0.1201
eubeat1,KM,0.010939940038334364,0.00565,0.011,prebreeding_migration,0.03,0.0,0.0,28.0,3.0,0.004562309356224399,rare,0.4562309356224399,rare,peak_abundance_with_occupancy_days_modifiers,0.03
trepip,KM,0.009851316050374183,0.00775,0.0099,prebreeding_migration,0.0541,,,,5.41,0.0041083178911636145,very_rare,0.4108317891163614,,peak_abundance_with_occupancy_days_modifiers,0.0541
reedov1,KM,0.008860628432196557,0.0089,0.0089,resident,0.0961,0.0,0.0,365.0,9.610000000000001,0.003695169064600562,very_rare,0.3695169064600562,,peak_abundance_with_occupancy_days_modifiers,0.0961
spofly1,KM,0.008067371077758796,0.00415,0.0081,nonbreeding,0.2342,0.0,0.0,84.0,23.419999999999998,0.0033643550530645483,very_rare,0.33643550530645483,,peak_abundance_with_occupancy_days_modifiers,0.2342
whwter,KM,0.007670506304219701,0.0077,0.0077,nonbreeding,0.1922,,,,19.220000000000002,0.0031988495874835155,very_rare,0.31988495874835154,,peak_abundance_with_occupancy_days_modifiers,0.1922
comgre,KM,0.007670506304219701,0.004900000000000001,0.0077,prebreeding_migration,0.1802,0.0,0.0,56.0,18.02,0.0031988495874835155,very_rare,0.31988495874835154,,peak_abundance_with_occupancy_days_modifiers,0.1802
brnowl,KM,0.006478966097709122,0.0065,0.0065,resident,0.2733,,,,27.33,0.002701938725684232,very_rare,0.2701938725684232,,peak_abundance_with_occupancy_days_modifiers,0.2733
piecuc1,KM,0.006379606964039027,0.0064,0.0064,prebreeding_migration,0.2132,0.0001,0.0001,42.0,21.32,0.002660502748559955,very_rare,0.26605027485599547,,peak_abundance_with_occupancy_days_modifiers,0.2132
rocpig,KM,0.006180859075081115,0.0062,0.0062,resident,0.009,0.0,0.0,365.0,0.8999999999999999,0.0025776184411373257,very_rare,0.2577618441137326,very_rare,peak_abundance_with_occupancy_days_modifiers,0.009
comqua1,KM,0.005982071677547464,0.00375,0.006,nonbreeding,0.1712,,,,17.119999999999997,0.002494717657358874,very_rare,0.2494717657358874,,peak_abundance_with_occupancy_days_modifiers,0.1712
grsplo,KM,0.005882663158155495,0.0059,0.0059,nonbreeding,0.1802,0.0012,0.0,21.0,18.02,0.002453261084788902,very_rare,0.2453261084788902,rare,peak_abundance_with_occupancy_days_modifiers,0.1802
eurrol1,KM,0.004888034072775962,0.0019,0.0049,prebreeding_migration,0.2102,0.0,0.0,21.0,21.02,0.002038468538732918,very_rare,0.2038468538732918,rare,peak_abundance_with_occupancy_days_modifiers,0.2102
legshr2,KM,0.004788516731797177,0.0048,0.0048,prebreeding_migration,0.2042,0.0,0.0,21.0,20.419999999999998,0.001996966584036358,very_rare,0.19969665840363582,rare,peak_abundance_with_occupancy_days_modifiers,0.2042
corplo,KM,0.004390348301292895,0.00365,0.0044,nonbreeding,0.009,0.0,0.0,28.0,0.8999999999999999,0.0018309174512735364,very_rare,0.18309174512735363,rare,peak_abundance_with_occupancy_days_modifiers,0.009
comcuc,KM,0.004390348301292895,0.00365,0.0044,postbreeding_migration,0.7177,0.0,0.0,21.0,71.77,0.0018309174512735364,very_rare,0.18309174512735363,rare,peak_abundance_with_occupancy_days_modifiers,0.7177
euhbuz1,KM,0.004091617903253565,0.0035,0.0041,prebreeding_migration,0.3423,0.0001,0.0,7.0,34.23,0.0017063371989880915,very_rare,0.17063371989880916,very_rare,peak_abundance_with_occupancy_days_modifiers,0.3423
wlwwar,KM,0.004091617903253565,0.0016,0.0041,prebreeding_migration,0.0601,0.0,0.0,28.0,6.01,0.0017063371989880915,very_rare,0.17063371989880916,rare,peak_abundance_with_occupancy_days_modifiers,0.0601
blakit1,KM,0.003992021269537453,0.004,0.004,postbreeding_migration,0.042,0.0,0.0,21.0,4.2,0.0016648021766516613,very_rare,0.16648021766516613,rare,peak_abundance_with_occupancy_days_modifiers,0.042
perfal,KM,0.002995508979798479,0.0017500000000000003,0.003,postbreeding_migration,0.6366,,,,63.660000000000004,0.001249224273378119,very_rare,0.12492242733781189,,peak_abundance_with_occupancy_days_modifiers,0.6366
purher1,KM,0.0021975835434872217,0.00215,0.0022,breeding,0.2102,0.0001,0.0,35.0,21.02,0.0009164635204950369,very_rare,0.0916463520495037,,peak_abundance_with_occupancy_days_modifiers,0.2102
eurwar1,KM,0.0018981972830802527,0.0019,0.0019,prebreeding_migration,0.048,,,,4.8,0.0007916097523579702,very_rare,0.07916097523579702,rare,peak_abundance_with_occupancy_days_modifiers,0.048
whinch1,KM,0.0011992805754820971,0.0012,0.0012,nonbreeding,0.018,,,,1.7999999999999998,0.0005001388463819827,very_rare,0.050013884638198274,rare,peak_abundance_with_occupancy_days_modifiers,0.018
marsan,KM,0.0010993954433009636,0.0011,0.0011,prebreeding_migration,0.1562,0.0,0.0,21.0,15.620000000000001,0.0004584835108407622,very_rare,0.04584835108407622,rare,peak_abundance_with_occupancy_days_modifiers,0.1562
whrswi1,KM,0.0010993954433009636,0.0011,0.0011,breeding,0.0661,,,,6.61,0.0004584835108407622,very_rare,0.04584835108407622,,peak_abundance_with_occupancy_days_modifiers,0.0661
fuwduc,KM,0.0009995003330835331,0.001,0.001,nonbreeding,0.009,,,,0.8999999999999999,0.00041682401413511066,very_rare,0.04168240141351107,very_rare,peak_abundance_with_occupancy_days_modifiers,0.009
eugori2,KM,0.0006997551142733419,0.0007,0.0007,prebreeding_migration,0.003,,,,0.3,0.0002918205487167264,very_rare,0.02918205487167264,very_rare,peak_abundance_with_occupancy_days_modifiers,0.003
garwar1,KM,0.0006997551142733419,0.0005,0.0007,postbreeding_migration,0.042,0.0,0.0,14.0,4.2,0.0002918205487167264,very_rare,0.02918205487167264,rare,peak_abundance_with_occupancy_days_modifiers,0.042
gloibi,KM,0.0005998200719676155,0.0006,0.0006,breeding,0.009,,,,0.8999999999999999,0.0002501443990368907,very_rare,0.02501443990368907,very_rare,peak_abundance_with_occupancy_days_modifiers,0.009
blasto1,KM,0.0005998200719676155,0.0002666666666666666,0.0006,nonbreeding,0.1021,0.0,0.0,49.0,10.209999999999999,0.0002501443990368907,very_rare,0.02501443990368907,,peak_abundance_with_occupancy_days_modifiers,0.1021
sander,KM,0.0003999200213269354,0.0004,0.0004,prebreeding_migration,0.006,,,,0.6,0.00016677960287238907,very_rare,0.016677960287238905,very_rare,peak_abundance_with_occupancy_days_modifiers,0.006
litbit1,KM,0.0003999200213269354,0.0004,0.0004,nonbreeding,0.1892,,,,18.92,0.00016677960287238907,very_rare,0.016677960287238905,,peak_abundance_with_occupancy_days_modifiers,0.1892
norwhe,KM,0.00029995500899797546,0.0003,0.0003,prebreeding_migration,0.006,,,,0.6,0.00012509095472209328,very_rare,0.012509095472209329,very_rare,peak_abundance_with_occupancy_days_modifiers,0.006
leskes1,KM,0.00019998000266626675,0.0002,0.0002,postbreeding_migration,0.024,0.0,0.0,7.0,2.4,8.339813874893117e-05,very_rare,0.008339813874893118,very_rare,peak_abundance_with_occupancy_days_modifiers,0.024
shikra1,KM,0.00019998000266626675,0.0002,0.0002,nonbreeding,0.048,,,,4.8,8.339813874893117e-05,very_rare,0.008339813874893118,rare,peak_abundance_with_occupancy_days_modifiers,0.048
bcnher,KM,9.999500033330834e-05,0.0001,0.0001,nonbreeding,0.003,0.0,0.0,7.0,0.3,4.170115411946329e-05,very_rare,0.004170115411946329,very_rare,peak_abundance_with_occupancy_days_modifiers,0.003
batgod,KM,9.999500033330834e-05,5e-05,0.0001,nonbreeding,0.003,0.0,0.0,7.0,0.3,4.170115411946329e-05,very_rare,0.004170115411946329,very_rare,peak_abundance_with_occupancy_days_modifiers,0.003
grrwar1,KM,9.999500033330834e-05,0.0001,0.0001,prebreeding_migration,0.003,,,,0.3,4.170115411946329e-05,very_rare,0.004170115411946329,very_rare,peak_abundance_with_occupancy_days_modifiers,0.003
rutscr1,KM,0.0,0.0,0.0,nonbreeding,0.003,,,,0.3,0.0,very_rare,0.0,very_rare,peak_abundance_with_occupancy_days_modifiers,0.003
grewhi1,KM,0.0,0.0,0.0,prebreeding_migration,0.003,0.0,0.0,7.0,0.3,0.0,very_rare,0.0,very_rare,peak_abundance_with_occupancy_days_modifiers,0.003
leseag1,KM,0.0,0.0,0.0,postbreeding_migration,0.03,,,,3.0,0.0,very_rare,0.0,rare,peak_abundance_with_occupancy_days_modifiers,0.03
