species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
laugul,KN,2.147217484737816,2.606945110488284,7.561004100527082,breeding,0.7571428571428571,0.001227875081086,0.0009419850062158508,161.0,75.71428571428571,0.8954592425681666,abundant,89.54592425681666,,peak_abundance_with_occupancy_days_modifiers,0.7571428571428571
zendov,KN,1.6531797406913697,4.223563023975918,4.223563023975918,resident,0.7285714285714285,0.0040141676505312,0.0289037573725993,365.0,72.85714285714285,0.6894295007146373,common,68.94295007146373,,peak_abundance_with_occupancy_days_modifiers,0.7285714285714285
carmar1,KN,1.5513967887552678,2.3527609825258597,3.718055709386744,breeding,0.3515670210662988,0.0028941739021014,0.015621787274045,77.0,35.15670210662988,0.6469827128625055,common,64.69827128625056,,peak_abundance_with_occupancy_days_modifiers,0.3515670210662988
categr1,KN,1.3328248875812976,2.0977700343621626,2.791739510638373,postbreeding_migration,0.5,2.76708861693532e-05,5.808388051258596e-05,140.0,50.0,0.5558311502177807,common,55.58311502177807,,peak_abundance_with_occupancy_days_modifiers,0.5
grykin,KN,1.3272707045382428,2.12543322310916,2.770737872804914,breeding,0.7285714285714285,0.0018245563823697,0.0031637324919771,98.0,72.85714285714285,0.5535148759809277,common,55.351487598092774,,peak_abundance_with_occupancy_days_modifiers,0.7285714285714285
banana,KN,1.213397183093144,2.3648964268820625,2.3648964268820625,resident,0.6428571428571429,9.457934261051596e-05,0.0012688143165845,365.0,64.28571428571429,0.5060259290127779,common,50.60259290127779,,peak_abundance_with_occupancy_days_modifiers,0.6428571428571429
bkfgra,KN,0.9701348965080941,1.6383003328527723,1.6383003328527723,resident,0.5857142857142857,0.0030404152762328,0.0086402921123613,365.0,58.57142857142858,0.4045776758948842,common,40.45776758948842,,peak_abundance_with_occupancy_days_modifiers,0.5857142857142857
bknsti,KN,0.9533166518693368,0.9214154670631668,1.5942997954621134,prebreeding_migration,0.2731129311271649,3.762020378575004e-05,6.647785536119791e-05,119.0,27.311293112716488,0.3975639231136252,common,39.75639231136252,,peak_abundance_with_occupancy_days_modifiers,0.2731129311271649
cogdov,KN,0.9408610091440719,1.2653993888092891,1.5621865349156516,breeding,0.6714285714285714,0.0001818584350686318,0.0007669837761423061,147.0,67.14285714285714,0.392369516641182,common,39.2369516641182,,peak_abundance_with_occupancy_days_modifiers,0.6714285714285714
leabul1,KN,0.850082211167954,1.3398392049329622,1.3398392049329622,resident,0.7142857142857143,0.0537056928034371,0.0411305593718204,365.0,71.42857142857143,0.354511817430583,common,35.4511817430583,,peak_abundance_with_occupancy_days_modifiers,0.7142857142857143
barswa,KN,0.8243660951655086,0.37995008965166005,1.280434728453734,postbreeding_migration,0.9714285714285714,1.512771150221537e-05,3.5312818017800537e-06,133.0,97.14285714285714,0.3437873640759399,common,34.37873640759399,,peak_abundance_with_occupancy_days_modifiers,0.9714285714285714
magfri,KN,0.8189446971121663,0.9855995283062969,1.2681050363395896,breeding,0.7714285714285715,0.0012176481255991,0.0003743238364851333,140.0,77.14285714285715,0.3415264654808917,common,34.15264654808917,,peak_abundance_with_occupancy_days_modifiers,0.7714285714285715
brnpel,KN,0.7084926677087515,0.7626540358425966,1.030927667447499,breeding,0.7285714285714285,0.0015555419996339,0.00016911945589962078,161.0,72.85714285714285,0.2954643915211246,common,29.54643915211246,,peak_abundance_with_occupancy_days_modifiers,0.7285714285714285
scnpig1,KN,0.5953744019949266,0.8137098744511604,0.8137098744511604,resident,0.6714285714285714,0.003051948051948,0.0041787575002369,365.0,67.14285714285714,0.24829041065672477,common,24.829041065672477,,peak_abundance_with_occupancy_days_modifiers,0.6714285714285714
peethr1,KN,0.5883966594306891,0.8010983251035213,0.8010983251035213,resident,0.4428571428571428,0.0192427063935443,0.0259701124249789,365.0,44.28571428571428,0.24538046598841803,fairly_common,24.538046598841802,,peak_abundance_with_occupancy_days_modifiers,0.4428571428571428
whwdov,KN,0.5358709670123737,0.3291559876840828,0.7089360211576734,breeding,0.7285714285714285,0.0002928327212865645,5.813786173226524e-05,91.0,72.85714285714285,0.22347555086799362,fairly_common,22.34755508679936,,peak_abundance_with_occupancy_days_modifiers,0.7285714285714285
semsan,KN,0.49414745172922375,0.26022562986331094,0.6391002311394179,postbreeding_migration,0.287538055272069,0.0006299753736899376,4.541715725776999e-05,119.0,28.7538055272069,0.20607549351083546,fairly_common,20.607549351083545,,peak_abundance_with_occupancy_days_modifiers,0.287538055272069
royter1,KN,0.4611259614134961,0.4897002117993605,0.585858595690557,breeding,0.7,0.0013116684958642,0.00031348188504363143,126.0,70.0,0.19230446243607496,fairly_common,19.230446243607496,,peak_abundance_with_occupancy_days_modifiers,0.7
buwtea,KN,0.4498494181447848,0.3684376925421345,0.5680760439114858,prebreeding_migration,0.2731129311271649,0.0002905482421831348,6.402354511429952e-05,119.0,27.311293112716488,0.18760177862972535,fairly_common,18.760177862972537,,peak_abundance_with_occupancy_days_modifiers,0.2731129311271649
leater1,KN,0.4176586259329617,0.3484393266426391,0.518402242768703,breeding,0.3950208998927947,0.0012238994177205,0.0008385544636430185,91.0,39.50208998927947,0.17417717557178775,fairly_common,17.417717557178776,,peak_abundance_with_occupancy_days_modifiers,0.3950208998927947
anchum1,KN,0.36916966757460074,0.4465330126030104,0.4465330126030104,resident,0.5,0.0335570469798657,0.027104960998842,365.0,50.0,0.15395570930992983,fairly_common,15.395570930992983,,peak_abundance_with_occupancy_days_modifiers,0.5
semplo,KN,0.361780944277322,0.18541611803717928,0.4358843688189927,postbreeding_migration,0.3803904961930616,0.0006010819475055099,0.0002289883464583449,161.0,38.03904961930616,0.15087437236369355,fairly_common,15.087437236369356,,peak_abundance_with_occupancy_days_modifiers,0.3803904961930616
bkwvir,KN,0.35542897612629465,0.2823568779160268,0.4267925829759666,prebreeding_migration,0.5285714285714286,0.0063356607189035,0.0018626907630291,105.0,52.85714285714286,0.14822539589542003,fairly_common,14.822539589542002,,peak_abundance_with_occupancy_days_modifiers,0.5285714285714286
yelwar,KN,0.3388978638360513,0.270825,0.4034,prebreeding_migration,0.6901,0.0002,0.0003,119.0,69.01,0.14133138660411707,fairly_common,14.133138660411706,,peak_abundance_with_occupancy_days_modifiers,0.6901
cargra1,KN,0.2970042712881406,0.3458210478253021,0.3458210478253021,resident,0.2495820306852523,5.943300909325039e-05,3.355540136212572e-05,365.0,24.95820306852523,0.12386040151850891,fairly_common,12.38604015185089,,peak_abundance_with_occupancy_days_modifiers,0.2495820306852523
stisan,KN,0.28122771374057925,0.23871840341974862,0.3247552345610487,nonbreeding,0.3963361375942384,0.00029211701372949963,0.0002653811697771224,119.0,39.63361375942384,0.11728106599600711,fairly_common,11.72810659960071,,peak_abundance_with_occupancy_days_modifiers,0.3963361375942384
scbthr,KN,0.28000419673419796,0.3231353651732206,0.3231353651732206,resident,0.4428571428571428,0.0476190476190476,0.0410230818924464,365.0,44.28571428571428,0.11677081977288775,fairly_common,11.677081977288776,,peak_abundance_with_occupancy_days_modifiers,0.4428571428571428
lesyel,KN,0.2716466698943841,0.21927558597476027,0.3121233067307565,prebreeding_migration,0.2830972411387417,2.826096172052735e-05,2.5175511926333744e-05,154.0,28.309724113874168,0.1132854603684878,fairly_common,11.32854603684878,,peak_abundance_with_occupancy_days_modifiers,0.2830972411387417
rudtur,KN,0.23729400023208394,0.1795770714878589,0.2678138005397875,nonbreeding,0.3684968904939834,0.0004250106252656316,0.0001949000254088944,154.0,36.849689049398336,0.0989592843874116,fairly_common,9.89592843874116,,peak_abundance_with_occupancy_days_modifiers,0.3684968904939834
eucdov,KN,0.22705854106214649,0.2549033291637897,0.2549033291637897,resident,0.2222222222222222,6.677261254523845e-06,3.0311143350826515e-06,365.0,22.22222222222222,0.09469076637244735,fairly_common,9.469076637244735,,peak_abundance_with_occupancy_days_modifiers,0.2222222222222222
sposan,KN,0.2229658182266084,0.16753413606085713,0.2497778533824852,postbreeding_migration,0.4857142857142857,9.796151003214918e-05,0.00014309051323059514,147.0,48.57142857142857,0.09298396838090632,fairly_common,9.298396838090632,,peak_abundance_with_occupancy_days_modifiers,0.4857142857142857
comgal1,KN,0.22041259278399275,0.19097871957025941,0.2465909589308795,prebreeding_migration,0.1976813992762647,0.00011609143361311367,8.70985962151716e-05,119.0,19.76813992762647,0.09191919066872706,fairly_common,9.191919066872705,,peak_abundance_with_occupancy_days_modifiers,0.1976813992762647
whcpin,KN,0.2053934464768652,0.22640585638771216,0.2280081253982328,nonbreeding,0.3114069652526159,0.00013455492899169428,0.0001128929915768468,119.0,31.14069652526159,0.08565572016711505,fairly_common,8.565572016711505,,peak_abundance_with_occupancy_days_modifiers,0.3114069652526159
rocpig,KN,0.19491583908045948,0.2152087091035199,0.2152087091035199,resident,0.2104521180325111,1.083396230503382e-05,2.175990844672017e-06,365.0,21.04521180325111,0.0812862184981876,fairly_common,8.12862184981876,,peak_abundance_with_occupancy_days_modifiers,0.2104521180325111
greegr,KN,0.1942525979506207,0.1263270539514351,0.2144029999255721,breeding,0.2578652958055655,1.788224795184396e-05,9.393736768298522e-06,154.0,25.78652958055655,0.08100962546372,fairly_common,8.100962546372,,peak_abundance_with_occupancy_days_modifiers,0.2578652958055655
roster,KN,0.19212390824533698,0.11353712331687335,0.2118206622345106,breeding,0.4571428571428571,0.00010334248344905538,5.0034107654743385e-05,42.0,45.71428571428571,0.08012189290532538,fairly_common,8.012189290532538,,peak_abundance_with_occupancy_days_modifiers,0.4571428571428571
bkbplo,KN,0.17933708160315065,0.0854654076067015,0.1964239687136993,postbreeding_migration,0.1880651670445826,7.900855549786677e-05,2.012719936771114e-05,140.0,18.80651670445826,0.07478937201200712,uncommon,7.478937201200712,,peak_abundance_with_occupancy_days_modifiers,0.1880651670445826
carela1,KN,0.17826459014238105,0.1951415020639875,0.1951415020639875,resident,0.6,0.0318664643399089,0.0140149346646119,365.0,60.0,0.07434210833334029,fairly_common,7.434210833334029,,peak_abundance_with_occupancy_days_modifiers,0.6
houspa,KN,0.17250809456005306,0.1882814391915287,0.1882814391915287,resident,0.3857142857142857,1.6738642830839274e-05,1.456334415169507e-06,365.0,38.57142857142857,0.07194146321441891,uncommon,7.194146321441891,,peak_abundance_with_occupancy_days_modifiers,0.3857142857142857
leafly1,KN,0.17154643494347263,0.1871392661971705,0.1871392661971705,resident,0.7285714285714285,0.0946196660482374,0.0892037637732929,365.0,72.85714285714285,0.07154042000478027,fairly_common,7.154042000478027,,peak_abundance_with_occupancy_days_modifiers,0.7285714285714285
grtcar1,KN,0.16407715668693693,0.1783052257129124,0.1783052257129124,resident,0.4571428571428571,0.0326197757390418,0.0292499668968873,365.0,45.71428571428571,0.06842548903124403,uncommon,6.842548903124403,,peak_abundance_with_occupancy_days_modifiers,0.4571428571428571
ycnher,KN,0.16027566975664925,0.13388812856020998,0.1738344170419233,postbreeding_migration,0.5285714285714286,0.000702576112412178,0.000980157478083277,147.0,52.85714285714286,0.06684014584573818,uncommon,6.684014584573818,,peak_abundance_with_occupancy_days_modifiers,0.5285714285714286
snoegr,KN,0.14907738550403407,0.14521270517088247,0.1607628119488184,nonbreeding,0.2410404378599649,4.8126524633260845e-05,2.0494140710684584e-05,133.0,24.104043785996492,0.06217009858402162,uncommon,6.217009858402163,,peak_abundance_with_occupancy_days_modifiers,0.2410404378599649
leasan,KN,0.1459341112001809,0.09378057125847604,0.1571199442946427,postbreeding_migration,0.3803904961930616,0.00023498838880902357,2.751356002044699e-05,168.0,38.03904961930616,0.060859251384183334,uncommon,6.085925138418333,,peak_abundance_with_occupancy_days_modifiers,0.3803904961930616
amekes,KN,0.1445301093524985,0.13353773594966953,0.1554964856909854,breeding,0.6142857142857143,2.754561521850399e-05,3.41861221324028e-05,98.0,61.42857142857143,0.0602737371360803,uncommon,6.02737371360803,,peak_abundance_with_occupancy_days_modifiers,0.6142857142857143
putcar1,KN,0.13781658696630597,0.1477650159038603,0.1477650159038603,resident,0.2857142857142857,0.0408163265306122,0.0233419213371363,365.0,28.57142857142857,0.05747398084048622,uncommon,5.747398084048623,,peak_abundance_with_occupancy_days_modifiers,0.2857142857142857
brqdov1,KN,0.13669785439619997,0.1464816917798349,0.1464816917798349,resident,0.2714285714285714,0.0844444444444444,0.1172003394847341,365.0,27.142857142857142,0.05700743312141067,uncommon,5.700743312141067,,peak_abundance_with_occupancy_days_modifiers,0.2714285714285714
libher,KN,0.12923075659315406,0.10600056512474271,0.1379526839553853,breeding,0.3821380663764118,0.00021113438281197217,8.094098134607566e-05,147.0,38.21380663764118,0.05389341146760772,uncommon,5.3893411467607715,,peak_abundance_with_occupancy_days_modifiers,0.3821380663764118
grnher,KN,0.12128176527636121,0.0647132807725286,0.1289429644836023,breeding,0.3576299475538604,0.00020651966702675225,9.997499715328104e-05,98.0,35.76299475538604,0.050578424609355,uncommon,5.0578424609355,,peak_abundance_with_occupancy_days_modifiers,0.3576299475538604
shbdow,KN,0.11612667543073069,0.050379408919601694,0.1231381371296156,postbreeding_migration,0.2337445611513874,0.0008422732511747496,5.847960380463421e-05,91.0,23.374456115138738,0.048428585163024895,uncommon,4.842858516302489,,peak_abundance_with_occupancy_days_modifiers,0.2337445611513874
wilplo,KN,0.11254164546478695,0.0935482122777787,0.1191188621674919,breeding,0.1968117516447191,0.0010857069868437,0.000552680202702537,119.0,19.68117516447191,0.046933511542999795,uncommon,4.69335115429998,,peak_abundance_with_occupancy_days_modifiers,0.1968117516447191
